Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,SIU Edwardsville,REG (Non-Conf),W,63.0,47.0,,20.0,48.0,0.417,5.0,23.0,0.217,15.0,25.0,0.6,0.469,18.0,22.0,0.818,6.0,27.0,33.0,17.0,6.0,3.0,10.0,16.0,16.0,50.0,0.32,5.0,12.0,0.417,11.0,38.0,0.289,0.37,10.0,15.0,0.667,6.0,22.0,28.0,7.0,7.0,1.0,12.0,20.0,100.3,74.9,62.8,0.458,0.479,0.539,54.1,85.0,9.6,7.9,0.469,14.6,21.4,0.375,0.37,17.4,18.2,0.2
2.0,2.0,2023-11-10,@,Northwestern,REG (Non-Conf),L,66.0,71.0,,21.0,39.0,0.538,12.0,23.0,0.522,9.0,16.0,0.563,0.692,12.0,15.0,0.8,3.0,18.0,21.0,16.0,3.0,1.0,15.0,17.0,25.0,53.0,0.472,5.0,14.0,0.357,20.0,39.0,0.513,0.519,16.0,20.0,0.8,10.0,15.0,25.0,14.0,9.0,1.0,6.0,14.0,113.2,121.8,58.3,0.385,0.59,0.715,45.7,76.2,5.1,2.6,0.692,24.5,16.7,0.308,0.519,8.8,35.7,0.302
3.0,3.0,2023-11-16,N,Louisiana State,REG (Non-Conf),W,70.0,67.0,,22.0,56.0,0.393,11.0,34.0,0.324,11.0,22.0,0.5,0.491,15.0,22.0,0.682,11.0,19.0,30.0,12.0,9.0,2.0,10.0,11.0,26.0,49.0,0.531,7.0,16.0,0.438,19.0,33.0,0.576,0.602,8.0,12.0,0.667,4.0,23.0,27.0,13.0,8.0,4.0,14.0,18.0,107.6,103.0,65.1,0.393,0.607,0.527,52.6,54.5,13.8,6.1,0.491,13.1,32.4,0.268,0.602,20.4,17.4,0.163
4.0,4.0,2023-11-17,N,St. John's (NY),REG (Non-Conf),W,88.0,81.0,,29.0,56.0,0.518,7.0,17.0,0.412,22.0,39.0,0.564,0.58,23.0,28.0,0.821,7.0,21.0,28.0,12.0,8.0,3.0,11.0,17.0,30.0,62.0,0.484,7.0,18.0,0.389,23.0,44.0,0.523,0.54,14.0,18.0,0.778,12.0,23.0,35.0,13.0,4.0,1.0,14.0,22.0,120.7,111.1,72.9,0.5,0.304,0.635,44.4,41.4,11.0,6.8,0.58,13.7,23.3,0.411,0.54,16.6,36.4,0.226
5.0,5.0,2023-11-19,N,Houston,REG (Non-Conf),L,55.0,69.0,,19.0,47.0,0.404,4.0,18.0,0.222,15.0,29.0,0.517,0.447,13.0,16.0,0.813,5.0,17.0,22.0,15.0,3.0,3.0,11.0,10.0,27.0,63.0,0.429,8.0,20.0,0.4,19.0,43.0,0.442,0.492,7.0,8.0,0.875,13.0,20.0,33.0,11.0,7.0,4.0,6.0,14.0,91.4,114.6,60.2,0.34,0.383,0.504,40.0,78.9,5.0,7.0,0.447,16.8,20.0,0.277,0.492,8.2,43.3,0.111
6.0,6.0,2023-11-24,,Youngstown State,REG (Non-Conf),W,77.0,69.0,,26.0,51.0,0.51,10.0,23.0,0.435,16.0,28.0,0.571,0.608,15.0,26.0,0.577,6.0,29.0,35.0,15.0,3.0,9.0,8.0,11.0,25.0,61.0,0.41,13.0,29.0,0.448,12.0,32.0,0.375,0.516,6.0,10.0,0.6,4.0,26.0,30.0,14.0,4.0,2.0,7.0,20.0,114.8,102.9,67.1,0.51,0.451,0.608,53.8,57.7,4.5,28.1,0.608,11.2,18.8,0.294,0.516,9.6,12.1,0.098
7.0,7.0,2023-11-29,@,SMU,REG (Non-Conf),W,65.0,63.0,,24.0,51.0,0.471,10.0,20.0,0.5,14.0,31.0,0.452,0.569,7.0,10.0,0.7,10.0,18.0,28.0,16.0,8.0,6.0,16.0,9.0,26.0,63.0,0.413,5.0,22.0,0.227,21.0,41.0,0.512,0.452,6.0,8.0,0.75,13.0,17.0,30.0,12.0,10.0,5.0,13.0,11.0,101.1,98.0,64.3,0.196,0.392,0.583,48.3,66.7,12.4,14.6,0.569,22.3,37.0,0.137,0.452,16.3,41.9,0.095
8.0,8.0,2023-12-02,,Grambling State,REG (Non-Conf),W,76.0,46.0,,28.0,56.0,0.5,14.0,28.0,0.5,14.0,28.0,0.5,0.625,6.0,10.0,0.6,11.0,24.0,35.0,21.0,4.0,8.0,12.0,11.0,18.0,59.0,0.305,2.0,19.0,0.105,16.0,40.0,0.4,0.322,8.0,10.0,0.8,11.0,14.0,25.0,9.0,7.0,2.0,8.0,13.0,124.1,75.1,61.3,0.179,0.5,0.626,58.3,75.0,6.5,20.0,0.625,16.5,44.0,0.107,0.322,11.1,31.4,0.136
10.0,10.0,2023-12-09,,Troy,REG (Non-Conf),W,82.0,70.0,,29.0,55.0,0.527,10.0,20.0,0.5,19.0,35.0,0.543,0.618,14.0,20.0,0.7,9.0,26.0,35.0,13.0,5.0,10.0,11.0,20.0,24.0,60.0,0.4,11.0,28.0,0.393,13.0,32.0,0.406,0.492,11.0,14.0,0.786,9.0,18.0,27.0,16.0,7.0,5.0,11.0,20.0,121.3,103.6,67.6,0.364,0.364,0.636,56.5,44.8,7.4,31.3,0.618,14.6,33.3,0.255,0.492,14.2,25.7,0.183
11.0,11.0,2023-12-16,N,Cincinnati,REG (Non-Conf),W,82.0,68.0,,23.0,49.0,0.469,8.0,21.0,0.381,15.0,28.0,0.536,0.551,28.0,30.0,0.933,5.0,27.0,32.0,9.0,3.0,7.0,6.0,13.0,27.0,73.0,0.37,6.0,25.0,0.24,21.0,48.0,0.438,0.411,8.0,16.0,0.5,18.0,19.0,37.0,11.0,3.0,3.0,6.0,19.0,123.4,102.4,66.4,0.612,0.429,0.648,46.4,39.1,4.5,14.6,0.551,8.7,20.8,0.571,0.411,6.9,40.0,0.11
