Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Purdue Fort Wayne,REG (Non-Conf),L,74.0,82.0,,25.0,51.0,0.49,8.0,23.0,0.348,17.0,28.0,0.607,0.569,16.0,23.0,0.696,4.0,28.0,32.0,15.0,4.0,4.0,21.0,19.0,28.0,63.0,0.444,9.0,18.0,0.5,19.0,45.0,0.422,0.516,17.0,20.0,0.85,5.0,22.0,27.0,11.0,12.0,3.0,10.0,21.0,94.6,104.8,78.2,0.451,0.451,0.597,54.2,60.0,5.1,8.9,0.569,25.3,15.4,0.314,0.516,12.1,15.2,0.27
2.0,2.0,2023-11-11,,Long Beach State,REG (Non-Conf),L,73.0,77.0,,26.0,59.0,0.441,7.0,21.0,0.333,19.0,38.0,0.5,0.5,14.0,20.0,0.7,5.0,20.0,25.0,16.0,6.0,8.0,11.0,21.0,28.0,61.0,0.459,4.0,14.0,0.286,24.0,47.0,0.511,0.492,17.0,26.0,0.654,12.0,27.0,39.0,11.0,4.0,3.0,14.0,18.0,97.4,102.8,74.9,0.339,0.356,0.533,39.1,61.5,8.0,17.0,0.5,13.8,15.6,0.237,0.492,16.0,37.5,0.279
3.0,3.0,2023-11-14,,South Dakota,REG (Non-Conf),W,72.0,60.0,,26.0,56.0,0.464,8.0,18.0,0.444,18.0,38.0,0.474,0.536,12.0,16.0,0.75,8.0,22.0,30.0,19.0,2.0,9.0,11.0,12.0,21.0,65.0,0.323,4.0,17.0,0.235,17.0,48.0,0.354,0.354,14.0,16.0,0.875,14.0,19.0,33.0,10.0,4.0,3.0,13.0,19.0,104.2,86.8,69.1,0.286,0.321,0.566,47.6,73.1,2.9,18.8,0.536,14.7,29.6,0.214,0.354,15.2,38.9,0.215
4.0,4.0,2023-11-17,N,South Carolina,REG (Non-Conf),L,68.0,73.0,,23.0,56.0,0.411,4.0,16.0,0.25,19.0,40.0,0.475,0.446,18.0,24.0,0.75,4.0,21.0,25.0,11.0,5.0,3.0,12.0,26.0,24.0,51.0,0.471,5.0,21.0,0.238,19.0,30.0,0.633,0.52,20.0,34.0,0.588,8.0,27.0,35.0,12.0,6.0,3.0,17.0,24.0,89.7,96.3,75.8,0.429,0.286,0.504,41.7,47.8,6.6,10.0,0.446,15.1,12.9,0.321,0.52,20.2,27.6,0.392
5.0,5.0,2023-11-19,N,San Francisco,REG (Non-Conf),L,54.0,70.0,,17.0,47.0,0.362,9.0,18.0,0.5,8.0,29.0,0.276,0.457,11.0,15.0,0.733,7.0,17.0,24.0,10.0,7.0,1.0,16.0,11.0,30.0,58.0,0.517,6.0,19.0,0.316,24.0,39.0,0.615,0.569,4.0,6.0,0.667,11.0,21.0,32.0,15.0,12.0,2.0,16.0,16.0,83.7,108.5,64.5,0.319,0.383,0.499,42.9,58.8,10.9,2.6,0.457,22.8,25.0,0.234,0.569,20.8,39.3,0.069
6.0,6.0,2023-11-25,,Northern Illinois,REG (Non-Conf),L,79.0,89.0,,29.0,66.0,0.439,6.0,20.0,0.3,23.0,46.0,0.5,0.485,15.0,22.0,0.682,7.0,24.0,31.0,17.0,3.0,1.0,8.0,25.0,28.0,58.0,0.483,10.0,22.0,0.455,18.0,36.0,0.5,0.569,23.0,35.0,0.657,9.0,30.0,39.0,12.0,6.0,5.0,8.0,21.0,104.6,117.8,75.5,0.333,0.303,0.517,44.3,58.6,4.0,2.8,0.485,9.5,18.9,0.227,0.569,9.7,27.3,0.397
7.0,7.0,2023-12-01,,Iowa State,REG (Non-Conf),L,80.0,99.0,,25.0,56.0,0.446,9.0,19.0,0.474,16.0,37.0,0.432,0.527,21.0,24.0,0.875,7.0,20.0,27.0,14.0,8.0,3.0,17.0,16.0,39.0,69.0,0.565,7.0,17.0,0.412,32.0,52.0,0.615,0.616,14.0,21.0,0.667,8.0,23.0,31.0,29.0,9.0,2.0,9.0,16.0,101.7,125.8,78.7,0.429,0.339,0.593,46.6,56.0,10.2,5.8,0.527,20.1,23.3,0.375,0.616,10.2,28.6,0.203
8.0,8.0,2023-12-06,@,Texas A&M,REG (Non-Conf),L,64.0,89.0,,23.0,42.0,0.548,8.0,16.0,0.5,15.0,26.0,0.577,0.643,10.0,17.0,0.588,5.0,18.0,23.0,15.0,2.0,3.0,14.0,13.0,35.0,66.0,0.53,14.0,31.0,0.452,21.0,35.0,0.6,0.636,5.0,9.0,0.556,14.0,15.0,29.0,20.0,9.0,2.0,4.0,14.0,107.2,149.1,59.7,0.405,0.381,0.639,44.2,65.2,3.4,8.6,0.643,21.8,25.0,0.238,0.636,5.4,43.8,0.076
9.0,9.0,2023-12-09,,Louisville,REG (Non-Conf),W,75.0,68.0,,25.0,49.0,0.51,8.0,23.0,0.348,17.0,26.0,0.654,0.592,17.0,24.0,0.708,2.0,28.0,30.0,17.0,5.0,7.0,16.0,17.0,25.0,63.0,0.397,5.0,19.0,0.263,20.0,44.0,0.455,0.437,13.0,18.0,0.722,8.0,21.0,29.0,12.0,9.0,3.0,10.0,21.0,101.4,91.9,74.0,0.49,0.469,0.621,50.8,68.0,6.8,15.9,0.592,20.9,8.7,0.347,0.437,12.3,22.2,0.206
10.0,10.0,2023-12-16,,Northwestern,REG (Non-Conf),L,46.0,56.0,,13.0,45.0,0.289,4.0,22.0,0.182,9.0,23.0,0.391,0.333,16.0,19.0,0.842,6.0,25.0,31.0,8.0,5.0,2.0,12.0,9.0,21.0,59.0,0.356,8.0,32.0,0.25,13.0,27.0,0.481,0.424,6.0,7.0,0.857,8.0,24.0,32.0,14.0,7.0,3.0,7.0,16.0,75.8,92.3,60.7,0.422,0.489,0.426,49.2,61.5,8.2,7.4,0.333,18.2,20.0,0.356,0.424,10.1,24.2,0.102
11.0,11.0,2023-12-23,,Villanova,REG (Conf),L,48.0,84.0,,17.0,56.0,0.304,4.0,24.0,0.167,13.0,32.0,0.406,0.339,10.0,14.0,0.714,3.0,18.0,21.0,5.0,9.0,1.0,12.0,9.0,30.0,56.0,0.536,12.0,22.0,0.545,18.0,34.0,0.529,0.643,12.0,13.0,0.923,7.0,34.0,41.0,18.0,5.0,3.0,15.0,14.0,67.7,118.5,70.9,0.25,0.429,0.383,33.9,29.4,12.7,2.9,0.339,16.1,8.1,0.179,0.643,19.4,28.0,0.214
12.0,12.0,2023-12-30,,Chicago State,REG (Non-Conf),W,70.0,58.0,,26.0,46.0,0.565,8.0,17.0,0.471,18.0,29.0,0.621,0.652,10.0,14.0,0.714,5.0,25.0,30.0,19.0,4.0,2.0,10.0,19.0,21.0,61.0,0.344,2.0,17.0,0.118,19.0,44.0,0.432,0.361,14.0,22.0,0.636,15.0,14.0,29.0,9.0,4.0,2.0,5.0,17.0,117.5,97.4,59.6,0.304,0.37,0.665,50.8,73.1,6.7,4.5,0.652,16.0,26.3,0.217,0.361,6.5,37.5,0.23
13.0,13.0,2024-01-02,@,Connecticut,REG (Conf),L,56.0,85.0,,20.0,56.0,0.357,2.0,13.0,0.154,18.0,43.0,0.419,0.375,14.0,19.0,0.737,5.0,17.0,22.0,8.0,3.0,1.0,8.0,14.0,32.0,55.0,0.582,12.0,26.0,0.462,20.0,29.0,0.69,0.691,9.0,10.0,0.9,5.0,28.0,33.0,23.0,3.0,8.0,11.0,19.0,83.7,127.1,66.9,0.339,0.232,0.431,40.0,40.0,4.5,3.4,0.375,11.0,15.2,0.25,0.691,15.5,22.7,0.164
14.0,14.0,2024-01-06,@,Georgetown,REG (Conf),L,65.0,68.0,,25.0,54.0,0.463,5.0,18.0,0.278,20.0,36.0,0.556,0.509,10.0,15.0,0.667,10.0,16.0,26.0,16.0,5.0,4.0,8.0,15.0,23.0,51.0,0.451,8.0,21.0,0.381,15.0,30.0,0.5,0.529,14.0,20.0,0.7,13.0,21.0,34.0,12.0,5.0,4.0,10.0,16.0,111.5,116.6,58.3,0.278,0.333,0.532,43.3,64.0,8.6,13.3,0.509,11.6,32.3,0.185,0.529,14.2,44.8,0.275
