Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Penn State,REG (Non-Conf),L,45.0,79.0,,19.0,66.0,0.288,1.0,16.0,0.063,18.0,50.0,0.36,0.295,6.0,7.0,0.857,13.0,20.0,33.0,7.0,11.0,3.0,21.0,16.0,27.0,55.0,0.491,12.0,32.0,0.375,15.0,23.0,0.652,0.6,13.0,21.0,0.619,9.0,29.0,38.0,13.0,11.0,7.0,21.0,14.0,58.3,102.4,77.2,0.106,0.242,0.325,46.5,36.8,14.3,13.0,0.295,23.2,31.0,0.091,0.6,24.4,31.0,0.236
2.0,2.0,2023-11-10,@,Texas,REG (Non-Conf),L,59.0,86.0,,21.0,52.0,0.404,3.0,9.0,0.333,18.0,43.0,0.419,0.433,14.0,21.0,0.667,6.0,16.0,22.0,14.0,12.0,0.0,21.0,20.0,28.0,53.0,0.528,12.0,22.0,0.545,16.0,31.0,0.516,0.642,18.0,21.0,0.857,8.0,25.0,33.0,22.0,11.0,1.0,19.0,18.0,78.2,113.9,75.5,0.404,0.173,0.476,40.0,66.7,15.9,0.0,0.433,25.3,19.4,0.269,0.642,23.2,33.3,0.34
3.0,3.0,2023-11-15,,Delaware,REG (Non-Conf),L,67.0,78.0,,24.0,63.0,0.381,5.0,22.0,0.227,19.0,41.0,0.463,0.421,14.0,19.0,0.737,13.0,17.0,30.0,11.0,10.0,1.0,9.0,19.0,27.0,50.0,0.54,8.0,14.0,0.571,19.0,36.0,0.528,0.62,16.0,25.0,0.64,8.0,23.0,31.0,16.0,3.0,2.0,14.0,17.0,98.6,114.8,68.0,0.302,0.349,0.465,49.2,45.8,14.7,2.8,0.421,11.1,36.1,0.222,0.62,18.5,32.0,0.32
4.0,4.0,2023-11-17,N,Grambling State,REG (Non-Conf),W,71.0,63.0,,26.0,58.0,0.448,5.0,12.0,0.417,21.0,46.0,0.457,0.491,14.0,22.0,0.636,8.0,21.0,29.0,12.0,12.0,0.0,14.0,15.0,23.0,56.0,0.411,4.0,17.0,0.235,19.0,39.0,0.487,0.446,13.0,21.0,0.619,8.0,19.0,27.0,8.0,8.0,2.0,17.0,19.0,95.0,84.3,74.7,0.379,0.207,0.519,51.8,46.2,16.1,0.0,0.491,17.0,29.6,0.241,0.446,20.5,27.6,0.232
5.0,5.0,2023-11-20,@,NJIT,REG (Non-Conf),L,72.0,81.0,,23.0,64.0,0.359,2.0,9.0,0.222,21.0,55.0,0.382,0.375,24.0,41.0,0.585,20.0,21.0,41.0,9.0,7.0,2.0,12.0,23.0,25.0,52.0,0.481,6.0,19.0,0.316,19.0,33.0,0.576,0.538,25.0,32.0,0.781,6.0,25.0,31.0,12.0,7.0,0.0,13.0,30.0,96.2,108.2,74.8,0.641,0.141,0.431,56.9,39.1,9.4,6.1,0.375,12.6,44.4,0.375,0.538,16.2,22.2,0.481
6.0,6.0,2023-11-24,@,Longwood,REG (Non-Conf),L,82.0,84.0,2OT,28.0,70.0,0.4,9.0,20.0,0.45,19.0,50.0,0.38,0.464,17.0,21.0,0.81,9.0,27.0,36.0,11.0,8.0,3.0,21.0,26.0,25.0,61.0,0.41,9.0,21.0,0.429,16.0,40.0,0.4,0.484,25.0,33.0,0.758,7.0,23.0,30.0,15.0,8.0,5.0,12.0,18.0,94.4,96.7,69.5,0.3,0.286,0.513,54.5,39.3,9.2,7.5,0.464,20.8,28.1,0.243,0.484,13.5,20.6,0.41
7.0,7.0,2023-11-25,N,Bethune-Cookman,REG (Non-Conf),W,72.0,64.0,,26.0,53.0,0.491,4.0,14.0,0.286,22.0,39.0,0.564,0.528,16.0,21.0,0.762,7.0,25.0,32.0,11.0,11.0,2.0,15.0,15.0,24.0,56.0,0.429,8.0,22.0,0.364,16.0,34.0,0.471,0.5,8.0,12.0,0.667,7.0,19.0,26.0,10.0,11.0,1.0,16.0,23.0,101.6,90.3,70.8,0.396,0.264,0.572,55.2,42.3,15.5,5.9,0.528,19.2,26.9,0.302,0.5,20.6,21.9,0.143
8.0,8.0,2023-11-26,N,Lamar,REG (Non-Conf),L,81.0,84.0,OT,30.0,65.0,0.462,6.0,17.0,0.353,24.0,48.0,0.5,0.508,15.0,19.0,0.789,10.0,25.0,35.0,17.0,8.0,5.0,12.0,15.0,29.0,63.0,0.46,14.0,29.0,0.483,15.0,34.0,0.441,0.571,12.0,20.0,0.6,8.0,22.0,30.0,16.0,5.0,2.0,13.0,17.0,105.5,109.4,68.2,0.292,0.262,0.547,53.8,56.7,10.4,14.7,0.508,13.9,31.3,0.231,0.571,15.2,24.2,0.19
9.0,9.0,2023-11-30,@,Chicago State,REG (Non-Conf),W,76.0,69.0,,27.0,48.0,0.563,4.0,8.0,0.5,23.0,40.0,0.575,0.604,18.0,25.0,0.72,10.0,22.0,32.0,12.0,9.0,4.0,21.0,21.0,17.0,48.0,0.354,8.0,28.0,0.286,9.0,20.0,0.45,0.438,27.0,36.0,0.75,8.0,12.0,20.0,11.0,13.0,4.0,17.0,21.0,104.8,95.2,72.5,0.521,0.167,0.635,61.5,44.4,12.4,20.0,0.604,26.0,45.5,0.375,0.438,20.7,26.7,0.563
10.0,10.0,2023-12-02,@,Loyola (MD),REG (Non-Conf),W,79.0,73.0,OT,28.0,60.0,0.467,3.0,10.0,0.3,25.0,50.0,0.5,0.492,20.0,26.0,0.769,9.0,26.0,35.0,11.0,7.0,1.0,8.0,18.0,28.0,58.0,0.483,8.0,26.0,0.308,20.0,32.0,0.625,0.552,9.0,17.0,0.529,9.0,21.0,30.0,23.0,5.0,4.0,14.0,20.0,110.9,102.5,63.3,0.433,0.167,0.546,53.8,39.3,9.8,3.1,0.492,10.0,30.0,0.333,0.552,17.5,25.7,0.155
