Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Bucknell,REG (Non-Conf),W,78.0,57.0,,27.0,53.0,0.509,10.0,23.0,0.435,17.0,30.0,0.567,0.604,14.0,28.0,0.5,7.0,30.0,37.0,15.0,6.0,5.0,14.0,15.0,21.0,54.0,0.389,10.0,28.0,0.357,11.0,26.0,0.423,0.481,5.0,13.0,0.385,6.0,24.0,30.0,12.0,11.0,2.0,15.0,24.0,109.5,80.0,71.2,0.528,0.434,0.588,55.2,55.6,8.4,19.2,0.604,17.4,22.6,0.264,0.481,20.0,16.7,0.093
2.0,2.0,2023-11-08,,Goldey-Beacom,REG (Non-Conf),W,101.0,68.0,,43.0,74.0,0.581,10.0,20.0,0.5,33.0,54.0,0.611,0.649,5.0,7.0,0.714,9.0,36.0,45.0,21.0,6.0,6.0,9.0,19.0,25.0,76.0,0.329,6.0,26.0,0.231,19.0,50.0,0.38,0.368,12.0,17.0,0.706,12.0,22.0,34.0,7.0,4.0,2.0,7.0,8.0,129.2,87.0,78.2,0.095,0.27,0.653,57.0,48.8,7.7,12.0,0.649,10.4,29.0,0.068,0.368,7.7,25.0,0.158
3.0,3.0,2023-11-12,,Air Force,REG (Non-Conf),W,65.0,57.0,,22.0,49.0,0.449,6.0,18.0,0.333,16.0,31.0,0.516,0.51,15.0,20.0,0.75,5.0,20.0,25.0,12.0,8.0,2.0,6.0,10.0,23.0,49.0,0.469,6.0,21.0,0.286,17.0,28.0,0.607,0.531,5.0,7.0,0.714,5.0,18.0,23.0,14.0,2.0,5.0,11.0,14.0,110.3,96.8,58.9,0.408,0.367,0.556,52.1,54.5,13.6,7.1,0.51,9.3,21.7,0.306,0.531,17.4,20.0,0.102
4.0,4.0,2023-11-15,@,Delaware State,REG (Non-Conf),W,78.0,67.0,,27.0,50.0,0.54,8.0,14.0,0.571,19.0,36.0,0.528,0.62,16.0,25.0,0.64,8.0,23.0,31.0,16.0,3.0,2.0,14.0,17.0,24.0,63.0,0.381,5.0,22.0,0.227,19.0,41.0,0.463,0.421,14.0,19.0,0.737,13.0,17.0,30.0,11.0,10.0,1.0,9.0,19.0,114.8,98.6,68.0,0.5,0.28,0.63,50.8,59.3,4.4,4.9,0.62,18.5,32.0,0.32,0.421,11.1,36.1,0.222
5.0,5.0,2023-11-24,N,Brown,REG (Non-Conf),W,67.0,59.0,,25.0,62.0,0.403,4.0,18.0,0.222,21.0,44.0,0.477,0.435,13.0,21.0,0.619,7.0,31.0,38.0,10.0,8.0,2.0,9.0,13.0,22.0,63.0,0.349,8.0,29.0,0.276,14.0,34.0,0.412,0.413,7.0,16.0,0.438,11.0,32.0,43.0,9.0,3.0,4.0,15.0,14.0,90.2,79.4,74.3,0.339,0.29,0.465,46.9,40.0,10.8,5.9,0.435,11.1,17.9,0.21,0.413,17.5,26.2,0.111
6.0,6.0,2023-11-25,N,UNC Greensboro,REG (Non-Conf),L,77.0,88.0,,25.0,60.0,0.417,11.0,30.0,0.367,14.0,30.0,0.467,0.508,16.0,21.0,0.762,8.0,27.0,35.0,17.0,5.0,2.0,12.0,18.0,28.0,58.0,0.483,11.0,27.0,0.407,17.0,31.0,0.548,0.578,21.0,26.0,0.808,6.0,20.0,26.0,11.0,10.0,3.0,7.0,19.0,106.0,121.1,72.7,0.35,0.5,0.55,57.4,68.0,6.9,6.5,0.508,14.6,28.6,0.267,0.578,9.0,18.2,0.362
7.0,7.0,2023-11-26,N,George Washington,REG (Non-Conf),L,71.0,81.0,,30.0,68.0,0.441,4.0,24.0,0.167,26.0,44.0,0.591,0.471,7.0,10.0,0.7,7.0,18.0,25.0,15.0,6.0,3.0,11.0,14.0,30.0,57.0,0.526,5.0,17.0,0.294,25.0,40.0,0.625,0.57,16.0,19.0,0.842,5.0,27.0,32.0,8.0,7.0,5.0,13.0,12.0,94.2,107.4,75.4,0.147,0.353,0.488,43.9,50.0,8.0,7.5,0.471,13.1,20.6,0.103,0.57,16.5,21.7,0.281
8.0,8.0,2023-12-02,@,Ohio,REG (Non-Conf),L,73.0,74.0,,28.0,69.0,0.406,6.0,19.0,0.316,22.0,50.0,0.44,0.449,11.0,19.0,0.579,13.0,26.0,39.0,11.0,0.0,4.0,8.0,19.0,30.0,70.0,0.429,4.0,15.0,0.267,26.0,55.0,0.473,0.457,10.0,21.0,0.476,12.0,24.0,36.0,8.0,4.0,8.0,3.0,15.0,101.4,102.8,72.0,0.275,0.275,0.468,52.0,39.3,0.0,7.3,0.449,9.3,35.1,0.159,0.457,3.6,31.6,0.143
9.0,9.0,2023-12-05,@,Xavier,REG (Non-Conf),W,87.0,80.0,,32.0,64.0,0.5,9.0,18.0,0.5,23.0,46.0,0.5,0.57,14.0,17.0,0.824,7.0,21.0,28.0,20.0,11.0,2.0,8.0,21.0,27.0,53.0,0.509,8.0,16.0,0.5,19.0,37.0,0.514,0.585,18.0,25.0,0.72,6.0,24.0,30.0,15.0,6.0,6.0,17.0,11.0,116.8,107.4,74.5,0.266,0.281,0.604,48.3,62.5,14.8,5.4,0.57,10.0,22.6,0.219,0.585,20.8,22.2,0.34
10.0,10.0,2023-12-11,@,Robert Morris,REG (Non-Conf),W,73.0,69.0,,22.0,46.0,0.478,6.0,16.0,0.375,16.0,30.0,0.533,0.543,23.0,28.0,0.821,4.0,29.0,33.0,15.0,8.0,2.0,15.0,16.0,23.0,58.0,0.397,9.0,23.0,0.391,14.0,35.0,0.4,0.474,14.0,21.0,0.667,10.0,22.0,32.0,10.0,7.0,2.0,13.0,19.0,103.3,97.7,70.6,0.609,0.348,0.616,50.8,68.2,11.3,5.7,0.543,20.2,15.4,0.5,0.474,16.1,25.6,0.241
11.0,11.0,2023-12-16,N,Rhode Island,REG (Non-Conf),W,67.0,56.0,,23.0,58.0,0.397,5.0,21.0,0.238,18.0,37.0,0.486,0.44,16.0,18.0,0.889,10.0,15.0,25.0,14.0,12.0,3.0,12.0,11.0,21.0,50.0,0.42,5.0,17.0,0.294,16.0,33.0,0.485,0.47,9.0,10.0,0.9,7.0,25.0,32.0,14.0,7.0,6.0,19.0,14.0,99.0,82.8,67.7,0.31,0.362,0.503,43.9,60.9,17.7,9.1,0.44,15.3,28.6,0.276,0.47,25.8,31.8,0.18
12.0,12.0,2023-12-20,,Rider,REG (Non-Conf),L,85.0,88.0,OT,29.0,67.0,0.433,6.0,24.0,0.25,23.0,43.0,0.535,0.478,21.0,26.0,0.808,10.0,13.0,23.0,15.0,9.0,2.0,4.0,14.0,32.0,59.0,0.542,7.0,14.0,0.5,25.0,45.0,0.556,0.602,17.0,19.0,0.895,6.0,30.0,36.0,17.0,1.0,10.0,12.0,21.0,115.4,119.4,65.5,0.388,0.358,0.536,39.0,51.7,12.2,4.4,0.478,4.8,25.0,0.313,0.602,15.0,31.6,0.288
13.0,13.0,2023-12-30,,Princeton,REG (Non-Conf),L,82.0,84.0,,34.0,61.0,0.557,7.0,19.0,0.368,27.0,42.0,0.643,0.615,7.0,8.0,0.875,4.0,24.0,28.0,19.0,4.0,1.0,8.0,17.0,30.0,60.0,0.5,11.0,30.0,0.367,19.0,30.0,0.633,0.592,13.0,17.0,0.765,5.0,24.0,29.0,18.0,2.0,1.0,9.0,13.0,116.4,119.3,70.4,0.131,0.311,0.633,49.1,55.9,5.7,3.3,0.615,11.0,14.3,0.115,0.592,11.7,17.2,0.217
14.0,14.0,2024-01-04,,Hampton,REG (Conf),W,80.0,53.0,,31.0,63.0,0.492,6.0,20.0,0.3,25.0,43.0,0.581,0.54,12.0,13.0,0.923,10.0,28.0,38.0,12.0,7.0,5.0,10.0,18.0,18.0,59.0,0.305,6.0,27.0,0.222,12.0,32.0,0.375,0.356,11.0,17.0,0.647,10.0,18.0,28.0,11.0,6.0,2.0,13.0,14.0,114.9,76.1,69.6,0.206,0.317,0.578,57.6,38.7,10.1,15.6,0.54,12.6,35.7,0.19,0.356,16.2,26.3,0.186
15.0,15.0,2024-01-06,@,Hofstra,REG (Conf),L,71.0,76.0,,26.0,63.0,0.413,11.0,30.0,0.367,15.0,33.0,0.455,0.5,8.0,14.0,0.571,8.0,26.0,34.0,19.0,5.0,0.0,13.0,14.0,29.0,64.0,0.453,9.0,31.0,0.29,20.0,33.0,0.606,0.523,9.0,11.0,0.818,6.0,27.0,33.0,19.0,6.0,6.0,9.0,14.0,96.7,103.5,73.4,0.222,0.476,0.51,50.7,73.1,6.8,0.0,0.5,15.7,22.9,0.127,0.523,11.5,18.8,0.141
16.0,16.0,2024-01-11,@,Campbell,REG (Conf),W,68.0,62.0,,27.0,55.0,0.491,6.0,22.0,0.273,21.0,33.0,0.636,0.545,8.0,12.0,0.667,7.0,25.0,32.0,11.0,8.0,6.0,14.0,13.0,23.0,58.0,0.397,8.0,21.0,0.381,15.0,37.0,0.405,0.466,8.0,12.0,0.667,7.0,22.0,29.0,12.0,7.0,1.0,12.0,13.0,99.7,90.9,68.2,0.218,0.4,0.56,52.5,40.7,11.7,16.2,0.545,18.7,24.1,0.145,0.466,15.9,21.9,0.138
17.0,17.0,2024-01-14,@,UNC Wilmington,REG (Conf),L,74.0,79.0,,28.0,62.0,0.452,9.0,26.0,0.346,19.0,36.0,0.528,0.524,9.0,13.0,0.692,11.0,27.0,38.0,10.0,4.0,0.0,13.0,15.0,30.0,66.0,0.455,6.0,24.0,0.25,24.0,42.0,0.571,0.5,13.0,13.0,1.0,9.0,24.0,33.0,12.0,10.0,4.0,7.0,13.0,105.5,112.6,70.2,0.21,0.419,0.543,53.5,35.7,5.7,0.0,0.524,16.0,31.4,0.145,0.5,8.8,25.0,0.197
18.0,18.0,2024-01-18,,Stony Brook,REG (Conf),W,71.0,68.0,,23.0,52.0,0.442,6.0,15.0,0.4,17.0,37.0,0.459,0.5,19.0,22.0,0.864,6.0,23.0,29.0,14.0,5.0,2.0,7.0,17.0,28.0,63.0,0.444,3.0,19.0,0.158,25.0,44.0,0.568,0.468,9.0,12.0,0.75,10.0,20.0,30.0,12.0,3.0,2.0,9.0,21.0,108.3,103.7,65.6,0.423,0.288,0.568,49.2,60.9,7.6,4.5,0.5,10.1,23.1,0.365,0.468,11.6,30.3,0.143
19.0,19.0,2024-01-20,@,Drexel,REG (Conf),L,67.0,86.0,,26.0,60.0,0.433,7.0,18.0,0.389,19.0,42.0,0.452,0.492,8.0,12.0,0.667,7.0,14.0,21.0,14.0,5.0,2.0,6.0,11.0,33.0,55.0,0.6,10.0,20.0,0.5,23.0,35.0,0.657,0.691,10.0,15.0,0.667,8.0,27.0,35.0,19.0,3.0,6.0,10.0,14.0,104.0,133.5,64.4,0.2,0.3,0.51,37.5,53.8,7.8,5.7,0.492,8.4,20.6,0.133,0.691,13.9,36.4,0.182
20.0,20.0,2024-01-25,,North Carolina A&T,REG (Conf),W,90.0,71.0,,34.0,67.0,0.507,11.0,25.0,0.44,23.0,42.0,0.548,0.59,11.0,17.0,0.647,11.0,27.0,38.0,22.0,5.0,2.0,8.0,18.0,22.0,60.0,0.367,9.0,23.0,0.391,13.0,37.0,0.351,0.442,18.0,23.0,0.783,6.0,22.0,28.0,9.0,7.0,5.0,8.0,16.0,124.1,97.9,72.5,0.254,0.373,0.599,57.6,64.7,6.9,5.4,0.59,9.6,33.3,0.164,0.442,10.1,18.2,0.3
21.0,21.0,2024-01-27,,Towson,REG (Conf),L,56.0,67.0,,18.0,46.0,0.391,5.0,19.0,0.263,13.0,27.0,0.481,0.446,15.0,21.0,0.714,2.0,24.0,26.0,8.0,3.0,3.0,14.0,18.0,22.0,59.0,0.373,4.0,18.0,0.222,18.0,41.0,0.439,0.407,19.0,26.0,0.731,9.0,29.0,38.0,6.0,9.0,1.0,8.0,19.0,81.0,96.9,69.2,0.457,0.413,0.5,40.6,44.4,4.3,7.3,0.446,20.0,6.5,0.326,0.407,10.1,27.3,0.322
22.0,22.0,2024-02-01,@,William & Mary,REG (Conf),W,81.0,53.0,,34.0,57.0,0.596,8.0,20.0,0.4,26.0,37.0,0.703,0.667,5.0,10.0,0.5,6.0,33.0,39.0,17.0,6.0,6.0,8.0,11.0,21.0,65.0,0.323,6.0,27.0,0.222,15.0,38.0,0.395,0.369,5.0,12.0,0.417,14.0,21.0,35.0,9.0,5.0,1.0,10.0,11.0,124.2,81.3,65.2,0.175,0.351,0.656,52.7,50.0,9.2,15.8,0.667,11.5,22.2,0.088,0.369,12.4,29.8,0.077
23.0,23.0,2024-02-03,,Monmouth,REG (Conf),W,84.0,80.0,,28.0,55.0,0.509,10.0,21.0,0.476,18.0,34.0,0.529,0.6,18.0,28.0,0.643,8.0,26.0,34.0,15.0,3.0,7.0,11.0,17.0,29.0,67.0,0.433,7.0,21.0,0.333,22.0,46.0,0.478,0.485,15.0,23.0,0.652,11.0,24.0,35.0,19.0,6.0,2.0,6.0,21.0,116.5,110.9,72.1,0.509,0.382,0.615,49.3,53.6,4.2,15.2,0.6,13.9,25.0,0.327,0.485,7.1,29.7,0.224
24.0,24.0,2024-02-08,@,Towson,REG (Conf),W,74.0,62.0,,26.0,47.0,0.553,11.0,19.0,0.579,15.0,28.0,0.536,0.67,11.0,18.0,0.611,5.0,28.0,33.0,15.0,2.0,5.0,11.0,12.0,26.0,65.0,0.4,4.0,17.0,0.235,22.0,48.0,0.458,0.431,6.0,11.0,0.545,14.0,18.0,32.0,10.0,7.0,2.0,6.0,17.0,119.6,100.2,61.9,0.383,0.404,0.666,50.8,57.7,3.2,10.4,0.67,16.5,21.7,0.234,0.431,7.9,33.3,0.092
25.0,25.0,2024-02-10,,William & Mary,REG (Conf),W,69.0,58.0,,26.0,60.0,0.433,2.0,15.0,0.133,24.0,45.0,0.533,0.45,15.0,18.0,0.833,13.0,21.0,34.0,5.0,6.0,2.0,6.0,15.0,22.0,56.0,0.393,6.0,24.0,0.25,16.0,32.0,0.5,0.446,8.0,10.0,0.8,6.0,21.0,27.0,8.0,3.0,4.0,8.0,16.0,111.0,93.3,62.2,0.3,0.25,0.503,55.7,19.2,9.7,6.3,0.45,8.0,38.2,0.25,0.446,11.6,22.2,0.143
26.0,26.0,2024-02-15,@,Elon,REG (Conf),L,67.0,73.0,,27.0,59.0,0.458,7.0,24.0,0.292,20.0,35.0,0.571,0.517,6.0,14.0,0.429,11.0,22.0,33.0,15.0,5.0,3.0,15.0,16.0,25.0,55.0,0.455,8.0,28.0,0.286,17.0,27.0,0.63,0.527,15.0,22.0,0.682,5.0,19.0,24.0,9.0,13.0,3.0,7.0,13.0,97.7,106.5,68.6,0.237,0.407,0.51,57.9,55.6,7.3,11.1,0.517,18.6,36.7,0.102,0.527,9.7,18.5,0.273
27.0,27.0,2024-02-17,@,North Carolina A&T,REG (Conf),W,62.0,54.0,,23.0,51.0,0.451,5.0,23.0,0.217,18.0,28.0,0.643,0.5,11.0,16.0,0.688,7.0,21.0,28.0,9.0,2.0,4.0,9.0,13.0,21.0,55.0,0.382,2.0,11.0,0.182,19.0,44.0,0.432,0.4,10.0,13.0,0.769,7.0,21.0,28.0,13.0,5.0,0.0,7.0,14.0,101.8,88.7,60.9,0.314,0.451,0.529,50.0,39.1,3.3,9.1,0.5,13.3,25.0,0.216,0.4,10.3,25.0,0.182
28.0,28.0,2024-02-22,,College of Charleston,REG (Conf),L,71.0,90.0,,24.0,61.0,0.393,5.0,23.0,0.217,19.0,38.0,0.5,0.434,18.0,22.0,0.818,7.0,21.0,28.0,10.0,5.0,1.0,11.0,14.0,36.0,70.0,0.514,9.0,22.0,0.409,27.0,48.0,0.563,0.579,9.0,15.0,0.6,10.0,25.0,35.0,20.0,11.0,6.0,7.0,18.0,94.9,120.3,74.8,0.361,0.377,0.497,44.4,41.7,6.7,2.1,0.434,13.3,21.9,0.295,0.579,8.3,32.3,0.129
29.0,29.0,2024-02-26,,Drexel,REG (Conf),L,60.0,70.0,,24.0,54.0,0.444,2.0,15.0,0.133,22.0,39.0,0.564,0.463,10.0,18.0,0.556,9.0,22.0,31.0,10.0,7.0,3.0,8.0,14.0,29.0,58.0,0.5,6.0,17.0,0.353,23.0,41.0,0.561,0.552,6.0,13.0,0.462,10.0,24.0,34.0,11.0,6.0,3.0,11.0,19.0,94.7,110.5,63.4,0.333,0.278,0.48,47.7,41.7,11.0,7.3,0.463,11.3,27.3,0.185,0.552,14.6,31.3,0.103
30.0,30.0,2024-02-29,,Northeastern,REG (Conf),W,73.0,67.0,,23.0,52.0,0.442,6.0,19.0,0.316,17.0,33.0,0.515,0.5,21.0,26.0,0.808,4.0,28.0,32.0,14.0,3.0,2.0,12.0,15.0,27.0,68.0,0.397,5.0,20.0,0.25,22.0,48.0,0.458,0.434,8.0,9.0,0.889,9.0,21.0,30.0,10.0,6.0,8.0,9.0,18.0,101.0,92.7,72.3,0.5,0.365,0.567,51.6,60.9,4.1,4.2,0.5,15.7,16.0,0.404,0.434,11.1,24.3,0.118
31.0,31.0,2024-03-02,@,Stony Brook,REG (Conf),L,56.0,79.0,,25.0,58.0,0.431,2.0,16.0,0.125,23.0,42.0,0.548,0.448,4.0,9.0,0.444,8.0,25.0,33.0,9.0,5.0,4.0,14.0,10.0,30.0,60.0,0.5,10.0,19.0,0.526,20.0,41.0,0.488,0.583,9.0,13.0,0.692,6.0,25.0,31.0,11.0,7.0,6.0,6.0,14.0,83.3,117.5,67.2,0.155,0.276,0.45,51.6,36.0,7.4,9.8,0.448,18.4,24.2,0.069,0.583,8.3,19.4,0.15
