Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,UC San Diego,REG (Non-Conf),L,87.0,95.0,,28.0,71.0,0.394,6.0,18.0,0.333,22.0,53.0,0.415,0.437,25.0,33.0,0.758,17.0,22.0,39.0,13.0,2.0,4.0,11.0,21.0,35.0,65.0,0.538,7.0,17.0,0.412,28.0,48.0,0.583,0.592,18.0,25.0,0.72,11.0,20.0,31.0,20.0,7.0,8.0,8.0,24.0,112.6,122.9,77.3,0.465,0.254,0.502,55.7,46.4,2.6,8.3,0.437,11.3,45.9,0.352,0.592,9.4,33.3,0.277
2.0,2.0,2023-11-09,,Cal Poly,REG (Non-Conf),W,97.0,76.0,,27.0,49.0,0.551,10.0,21.0,0.476,17.0,28.0,0.607,0.653,33.0,39.0,0.846,7.0,28.0,35.0,19.0,4.0,3.0,14.0,16.0,32.0,74.0,0.432,5.0,21.0,0.238,27.0,53.0,0.509,0.466,7.0,12.0,0.583,11.0,15.0,26.0,11.0,10.0,1.0,6.0,24.0,130.0,101.9,74.6,0.796,0.429,0.718,57.4,70.4,5.4,5.7,0.653,17.2,31.8,0.673,0.466,7.0,28.2,0.095
3.0,3.0,2023-11-15,N,Nicholls State,REG (Non-Conf),W,91.0,85.0,,28.0,61.0,0.459,11.0,29.0,0.379,17.0,32.0,0.531,0.549,24.0,30.0,0.8,7.0,30.0,37.0,14.0,5.0,7.0,11.0,13.0,29.0,70.0,0.414,11.0,27.0,0.407,18.0,43.0,0.419,0.493,16.0,20.0,0.8,10.0,24.0,34.0,13.0,9.0,9.0,9.0,23.0,115.4,107.8,78.9,0.492,0.475,0.605,52.1,50.0,6.3,16.3,0.549,12.8,22.6,0.393,0.493,10.2,25.0,0.229
4.0,4.0,2023-11-16,N,SIU Edwardsville,REG (Non-Conf),L,74.0,77.0,,27.0,68.0,0.397,9.0,29.0,0.31,18.0,39.0,0.462,0.463,11.0,18.0,0.611,11.0,22.0,33.0,11.0,5.0,5.0,5.0,14.0,30.0,60.0,0.5,6.0,15.0,0.4,24.0,45.0,0.533,0.55,11.0,17.0,0.647,6.0,27.0,33.0,9.0,1.0,5.0,7.0,14.0,106.0,110.3,69.8,0.265,0.426,0.483,50.0,40.7,7.2,11.1,0.463,6.1,28.9,0.162,0.55,9.3,21.4,0.183
5.0,5.0,2023-11-17,@,South Alabama,REG (Non-Conf),L,75.0,82.0,,26.0,68.0,0.382,8.0,24.0,0.333,18.0,44.0,0.409,0.441,15.0,27.0,0.556,15.0,17.0,32.0,9.0,6.0,4.0,1.0,17.0,31.0,55.0,0.564,8.0,19.0,0.421,23.0,36.0,0.639,0.636,12.0,18.0,0.667,4.0,29.0,33.0,13.0,0.0,2.0,8.0,17.0,111.6,122.0,67.2,0.397,0.353,0.464,49.2,34.6,8.9,11.1,0.441,1.2,34.1,0.221,0.636,11.2,19.0,0.218
6.0,6.0,2023-11-22,,Colo. Christian,REG (Non-Conf),W,100.0,68.0,,34.0,63.0,0.54,9.0,20.0,0.45,25.0,43.0,0.581,0.611,23.0,37.0,0.622,10.0,26.0,36.0,20.0,12.0,1.0,8.0,15.0,23.0,63.0,0.365,5.0,30.0,0.167,18.0,33.0,0.545,0.405,17.0,21.0,0.81,11.0,21.0,32.0,5.0,4.0,4.0,17.0,26.0,126.9,86.3,78.8,0.587,0.317,0.621,52.9,58.8,15.2,3.0,0.611,9.0,32.3,0.365,0.405,18.9,29.7,0.27
7.0,7.0,2023-11-26,@,Texas A&M–Commerce,REG (Non-Conf),W,71.0,61.0,,23.0,57.0,0.404,5.0,16.0,0.313,18.0,41.0,0.439,0.447,20.0,27.0,0.741,9.0,25.0,34.0,6.0,7.0,3.0,12.0,19.0,22.0,56.0,0.393,5.0,21.0,0.238,17.0,35.0,0.486,0.438,12.0,21.0,0.571,8.0,22.0,30.0,10.0,3.0,8.0,13.0,20.0,98.7,84.8,71.9,0.474,0.281,0.508,53.1,26.1,9.7,8.6,0.447,14.7,29.0,0.351,0.438,16.5,24.2,0.214
8.0,8.0,2023-11-29,@,Idaho,REG (Non-Conf),W,67.0,65.0,,22.0,61.0,0.361,11.0,26.0,0.423,11.0,35.0,0.314,0.451,12.0,15.0,0.8,10.0,28.0,38.0,13.0,6.0,7.0,7.0,10.0,27.0,65.0,0.415,11.0,27.0,0.407,16.0,38.0,0.421,0.5,0.0,1.0,0.0,6.0,26.0,32.0,14.0,4.0,7.0,7.0,14.0,101.8,98.8,65.8,0.246,0.426,0.492,54.3,59.1,9.1,18.4,0.451,9.3,27.8,0.197,0.5,9.7,17.6,0.0
9.0,9.0,2023-12-02,,Colorado Col.,REG (Non-Conf),W,90.0,66.0,,29.0,61.0,0.475,5.0,16.0,0.313,24.0,45.0,0.533,0.516,27.0,33.0,0.818,12.0,27.0,39.0,19.0,8.0,11.0,12.0,12.0,25.0,72.0,0.347,5.0,22.0,0.227,20.0,50.0,0.4,0.382,11.0,12.0,0.917,12.0,21.0,33.0,10.0,9.0,4.0,12.0,20.0,116.6,85.5,77.2,0.541,0.262,0.587,54.2,65.5,10.4,22.0,0.516,13.5,36.4,0.443,0.382,13.4,30.8,0.153
10.0,10.0,2023-12-06,@,Colorado State,REG (Non-Conf),L,80.0,90.0,,29.0,57.0,0.509,10.0,21.0,0.476,19.0,36.0,0.528,0.596,12.0,16.0,0.75,5.0,15.0,20.0,13.0,4.0,1.0,7.0,18.0,32.0,53.0,0.604,8.0,17.0,0.471,24.0,36.0,0.667,0.679,18.0,27.0,0.667,5.0,22.0,27.0,24.0,3.0,6.0,8.0,14.0,118.1,132.9,67.7,0.281,0.368,0.619,42.6,44.8,5.9,2.8,0.596,9.8,18.5,0.211,0.679,10.8,25.0,0.34
