Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Toledo,REG (Non-Conf),L,60.0,94.0,,25.0,47.0,0.532,6.0,20.0,0.3,19.0,27.0,0.704,0.596,4.0,10.0,0.4,3.0,22.0,25.0,13.0,6.0,1.0,23.0,19.0,31.0,61.0,0.508,12.0,20.0,0.6,19.0,41.0,0.463,0.607,20.0,25.0,0.8,9.0,21.0,30.0,18.0,12.0,0.0,9.0,10.0,83.0,130.0,72.3,0.213,0.426,0.58,45.5,52.0,8.3,2.4,0.596,30.8,12.5,0.085,0.607,11.0,29.0,0.328
2.0,2.0,2023-11-10,@,Cincinnati,REG (Non-Conf),L,61.0,93.0,,21.0,56.0,0.375,9.0,23.0,0.391,12.0,33.0,0.364,0.455,10.0,17.0,0.588,4.0,21.0,25.0,10.0,8.0,3.0,14.0,18.0,35.0,71.0,0.493,16.0,34.0,0.471,19.0,37.0,0.514,0.606,7.0,15.0,0.467,17.0,32.0,49.0,23.0,5.0,2.0,13.0,13.0,82.3,125.5,74.1,0.304,0.411,0.476,33.8,47.6,10.8,8.1,0.455,17.9,11.1,0.179,0.606,14.3,44.7,0.099
3.0,3.0,2023-11-14,@,Ole Miss,REG (Non-Conf),L,69.0,70.0,,25.0,52.0,0.481,6.0,15.0,0.4,19.0,37.0,0.514,0.538,13.0,18.0,0.722,8.0,23.0,31.0,15.0,5.0,1.0,11.0,14.0,28.0,62.0,0.452,9.0,18.0,0.5,19.0,44.0,0.432,0.524,5.0,6.0,0.833,10.0,17.0,27.0,22.0,9.0,4.0,8.0,16.0,109.2,110.8,63.2,0.346,0.288,0.57,53.4,60.0,7.9,2.3,0.538,15.4,32.0,0.25,0.524,11.0,30.3,0.081
4.0,4.0,2023-11-18,@,Ohio,REG (Non-Conf),L,52.0,71.0,,20.0,63.0,0.317,4.0,23.0,0.174,16.0,40.0,0.4,0.349,8.0,10.0,0.8,9.0,27.0,36.0,8.0,5.0,3.0,14.0,13.0,25.0,63.0,0.397,10.0,33.0,0.303,15.0,30.0,0.5,0.476,11.0,12.0,0.917,10.0,28.0,38.0,17.0,6.0,5.0,9.0,13.0,74.0,101.1,70.2,0.159,0.365,0.384,48.6,40.0,7.1,10.0,0.349,17.1,24.3,0.127,0.476,11.6,27.0,0.175
5.0,5.0,2023-11-21,,Eastern Michigan,REG (Non-Conf),L,72.0,76.0,,28.0,50.0,0.56,4.0,14.0,0.286,24.0,36.0,0.667,0.6,12.0,14.0,0.857,5.0,13.0,18.0,11.0,8.0,1.0,8.0,14.0,28.0,44.0,0.636,7.0,14.0,0.5,21.0,30.0,0.7,0.716,13.0,14.0,0.929,4.0,16.0,20.0,16.0,5.0,1.0,13.0,13.0,120.7,127.4,59.7,0.28,0.28,0.635,47.4,39.3,13.4,3.3,0.6,12.4,23.8,0.24,0.716,20.4,23.5,0.295
6.0,6.0,2023-11-25,@,SIU Edwardsville,REG (Non-Conf),L,67.0,81.0,,26.0,56.0,0.464,4.0,19.0,0.211,22.0,37.0,0.595,0.5,11.0,17.0,0.647,11.0,17.0,28.0,13.0,1.0,0.0,9.0,14.0,29.0,52.0,0.558,8.0,21.0,0.381,21.0,31.0,0.677,0.635,15.0,19.0,0.789,6.0,17.0,23.0,13.0,5.0,4.0,7.0,15.0,108.0,130.5,62.1,0.304,0.339,0.523,54.9,50.0,1.6,0.0,0.5,12.3,39.3,0.196,0.635,10.3,26.1,0.288
7.0,7.0,2023-11-29,,Oakland,REG (Conf),L,50.0,65.0,,20.0,55.0,0.364,4.0,17.0,0.235,16.0,38.0,0.421,0.4,6.0,9.0,0.667,9.0,21.0,30.0,13.0,11.0,6.0,17.0,15.0,24.0,57.0,0.421,6.0,15.0,0.4,18.0,42.0,0.429,0.474,11.0,15.0,0.733,9.0,25.0,34.0,13.0,5.0,1.0,14.0,14.0,73.3,95.3,68.2,0.164,0.309,0.422,46.9,65.0,16.1,14.3,0.4,22.3,26.5,0.109,0.474,17.9,30.0,0.193
8.0,8.0,2023-12-02,@,Cleveland State,REG (Conf),L,58.0,69.0,,22.0,52.0,0.423,8.0,20.0,0.4,14.0,32.0,0.438,0.5,6.0,14.0,0.429,9.0,25.0,34.0,10.0,2.0,2.0,13.0,20.0,20.0,57.0,0.351,5.0,15.0,0.333,15.0,42.0,0.357,0.395,24.0,32.0,0.75,13.0,26.0,39.0,8.0,7.0,5.0,7.0,18.0,90.0,107.1,64.4,0.269,0.385,0.494,46.6,45.5,3.1,4.8,0.5,18.1,25.7,0.115,0.395,8.8,34.2,0.421
9.0,9.0,2023-12-06,,Ball State,REG (Non-Conf),L,65.0,68.0,,24.0,66.0,0.364,5.0,21.0,0.238,19.0,45.0,0.422,0.402,12.0,16.0,0.75,10.0,17.0,27.0,7.0,12.0,2.0,8.0,23.0,19.0,44.0,0.432,6.0,20.0,0.3,13.0,24.0,0.542,0.5,24.0,29.0,0.828,9.0,30.0,39.0,8.0,2.0,6.0,21.0,14.0,92.0,96.2,70.7,0.242,0.318,0.442,40.9,29.2,17.0,8.3,0.402,9.8,25.0,0.182,0.5,26.7,34.6,0.545
10.0,10.0,2023-12-10,@,Northwestern,REG (Non-Conf),L,59.0,91.0,,20.0,57.0,0.351,5.0,22.0,0.227,15.0,35.0,0.429,0.395,14.0,20.0,0.7,10.0,20.0,30.0,9.0,4.0,0.0,13.0,19.0,34.0,61.0,0.557,10.0,24.0,0.417,24.0,37.0,0.649,0.639,13.0,20.0,0.65,8.0,26.0,34.0,29.0,9.0,6.0,6.0,18.0,85.5,131.9,69.0,0.351,0.386,0.444,46.9,45.0,5.8,0.0,0.395,16.4,27.8,0.246,0.639,7.8,28.6,0.213
