Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-08,,Lipscomb,REG (Non-Conf),W,85.0,70.0,,32.0,62.0,0.516,9.0,25.0,0.36,23.0,37.0,0.622,0.589,12.0,16.0,0.75,8.0,25.0,33.0,13.0,5.0,2.0,12.0,15.0,27.0,57.0,0.474,7.0,21.0,0.333,20.0,36.0,0.556,0.535,9.0,12.0,0.75,5.0,18.0,23.0,8.0,6.0,2.0,13.0,16.0,117.8,97.0,72.2,0.258,0.403,0.611,58.9,40.6,6.9,5.6,0.589,14.7,30.8,0.194,0.535,17.2,16.7,0.158
2.0,2.0,2023-11-14,,SW Minn. St.,REG (Non-Conf),W,87.0,67.0,,29.0,54.0,0.537,11.0,25.0,0.44,18.0,29.0,0.621,0.639,18.0,26.0,0.692,8.0,22.0,30.0,17.0,8.0,1.0,7.0,13.0,26.0,61.0,0.426,6.0,21.0,0.286,20.0,40.0,0.5,0.475,9.0,12.0,0.75,12.0,19.0,31.0,9.0,6.0,4.0,12.0,18.0,131.8,101.5,66.0,0.481,0.463,0.656,49.2,58.6,12.1,2.5,0.639,9.5,29.6,0.333,0.475,15.2,35.3,0.148
3.0,3.0,2023-11-19,N,Oakland,REG (Non-Conf),W,85.0,77.0,,30.0,65.0,0.462,12.0,32.0,0.375,18.0,33.0,0.545,0.554,13.0,15.0,0.867,5.0,21.0,26.0,22.0,9.0,1.0,7.0,12.0,30.0,58.0,0.517,7.0,23.0,0.304,23.0,35.0,0.657,0.578,10.0,15.0,0.667,6.0,31.0,37.0,11.0,5.0,1.0,17.0,14.0,113.1,102.5,75.1,0.231,0.492,0.589,41.3,73.3,12.0,2.9,0.554,8.8,13.9,0.2,0.578,20.7,22.2,0.172
4.0,4.0,2023-11-20,N,Stephen F. Austin,REG (Non-Conf),L,68.0,92.0,,21.0,54.0,0.389,7.0,19.0,0.368,14.0,35.0,0.4,0.454,19.0,25.0,0.76,8.0,13.0,21.0,13.0,6.0,1.0,13.0,17.0,34.0,54.0,0.63,14.0,23.0,0.609,20.0,31.0,0.645,0.759,10.0,13.0,0.769,2.0,24.0,26.0,14.0,8.0,0.0,17.0,25.0,93.1,126.0,73.0,0.463,0.352,0.516,44.7,61.9,8.2,3.2,0.454,16.5,25.0,0.352,0.759,22.0,13.3,0.185
5.0,5.0,2023-11-21,N,Akron,REG (Non-Conf),W,79.0,59.0,,29.0,52.0,0.558,9.0,26.0,0.346,20.0,26.0,0.769,0.644,12.0,14.0,0.857,6.0,24.0,30.0,18.0,6.0,0.0,7.0,16.0,21.0,48.0,0.438,5.0,21.0,0.238,16.0,27.0,0.593,0.49,12.0,21.0,0.571,6.0,16.0,22.0,10.0,2.0,1.0,12.0,17.0,127.8,95.4,61.8,0.269,0.5,0.673,57.7,62.1,9.7,0.0,0.644,10.7,27.3,0.231,0.49,17.1,20.0,0.25
6.0,6.0,2023-11-25,,Texas Southern,REG (Non-Conf),W,77.0,71.0,,29.0,55.0,0.527,1.0,12.0,0.083,28.0,43.0,0.651,0.536,18.0,23.0,0.783,12.0,23.0,35.0,13.0,4.0,1.0,11.0,15.0,27.0,62.0,0.435,9.0,29.0,0.31,18.0,33.0,0.545,0.508,8.0,13.0,0.615,11.0,16.0,27.0,13.0,8.0,2.0,9.0,18.0,117.5,108.3,65.6,0.418,0.218,0.584,56.5,44.8,6.1,3.0,0.536,14.3,42.9,0.327,0.508,11.7,32.4,0.129
7.0,7.0,2023-11-29,@,Valparaiso,REG (Conf),W,83.0,65.0,,29.0,58.0,0.5,6.0,23.0,0.261,23.0,35.0,0.657,0.552,19.0,26.0,0.731,6.0,29.0,35.0,17.0,5.0,2.0,6.0,20.0,24.0,59.0,0.407,9.0,22.0,0.409,15.0,37.0,0.405,0.483,8.0,17.0,0.471,9.0,24.0,33.0,13.0,4.0,2.0,10.0,21.0,119.9,93.9,69.2,0.448,0.397,0.59,51.5,58.6,7.2,5.4,0.552,7.9,20.0,0.328,0.483,13.0,23.7,0.136
8.0,8.0,2023-12-02,,Missouri State,REG (Conf),W,74.0,57.0,,32.0,74.0,0.432,6.0,27.0,0.222,26.0,47.0,0.553,0.473,4.0,5.0,0.8,8.0,24.0,32.0,15.0,9.0,3.0,3.0,9.0,22.0,62.0,0.355,5.0,22.0,0.227,17.0,40.0,0.425,0.395,8.0,11.0,0.727,12.0,28.0,40.0,6.0,2.0,4.0,14.0,6.0,105.3,81.1,70.3,0.068,0.365,0.484,44.4,46.9,12.8,7.5,0.473,3.8,22.2,0.054,0.395,17.2,33.3,0.129
9.0,9.0,2023-12-06,,Saint Louis,REG (Non-Conf),W,75.0,69.0,,22.0,54.0,0.407,8.0,24.0,0.333,14.0,30.0,0.467,0.481,23.0,30.0,0.767,8.0,21.0,29.0,15.0,7.0,4.0,10.0,16.0,23.0,52.0,0.442,5.0,14.0,0.357,18.0,38.0,0.474,0.49,18.0,22.0,0.818,8.0,23.0,31.0,6.0,8.0,2.0,14.0,22.0,108.1,99.5,69.4,0.556,0.444,0.549,48.3,68.2,10.1,10.5,0.481,12.8,25.8,0.426,0.49,18.3,27.6,0.346
10.0,10.0,2023-12-09,N,Nevada,REG (Non-Conf),W,72.0,53.0,,27.0,62.0,0.435,10.0,30.0,0.333,17.0,32.0,0.531,0.516,8.0,10.0,0.8,6.0,29.0,35.0,19.0,11.0,1.0,10.0,21.0,19.0,51.0,0.373,6.0,25.0,0.24,13.0,26.0,0.5,0.431,9.0,18.0,0.5,6.0,30.0,36.0,9.0,2.0,3.0,18.0,15.0,101.2,74.5,71.2,0.161,0.484,0.539,49.3,70.4,15.5,3.8,0.516,13.0,16.7,0.129,0.431,23.2,17.1,0.176
11.0,11.0,2023-12-14,,Grambling State,REG (Non-Conf),W,68.0,56.0,,21.0,55.0,0.382,10.0,26.0,0.385,11.0,29.0,0.379,0.473,16.0,20.0,0.8,8.0,20.0,28.0,13.0,9.0,3.0,9.0,14.0,21.0,48.0,0.438,2.0,15.0,0.133,19.0,33.0,0.576,0.458,12.0,15.0,0.8,6.0,24.0,30.0,8.0,4.0,4.0,15.0,12.0,104.9,86.4,64.8,0.364,0.473,0.527,48.3,61.9,13.9,9.1,0.473,12.2,25.0,0.291,0.458,21.4,23.1,0.25
12.0,12.0,2023-12-19,,Alcorn State,REG (Non-Conf),W,92.0,55.0,,30.0,65.0,0.462,12.0,35.0,0.343,18.0,30.0,0.6,0.554,20.0,24.0,0.833,8.0,38.0,46.0,21.0,6.0,7.0,11.0,22.0,19.0,61.0,0.311,4.0,15.0,0.267,15.0,46.0,0.326,0.344,13.0,22.0,0.591,4.0,26.0,30.0,5.0,6.0,3.0,13.0,21.0,115.1,68.8,79.9,0.369,0.538,0.602,60.5,70.0,7.5,15.2,0.554,12.6,23.5,0.308,0.344,15.4,9.5,0.213
13.0,13.0,2023-12-22,@,UAB,REG (Non-Conf),L,78.0,79.0,OT,30.0,63.0,0.476,6.0,19.0,0.316,24.0,44.0,0.545,0.524,12.0,12.0,1.0,15.0,18.0,33.0,15.0,5.0,0.0,14.0,19.0,27.0,53.0,0.509,8.0,20.0,0.4,19.0,33.0,0.576,0.585,17.0,26.0,0.654,11.0,17.0,28.0,14.0,9.0,5.0,11.0,13.0,117.2,118.8,59.1,0.19,0.302,0.568,54.1,50.0,7.5,0.0,0.524,16.9,46.9,0.19,0.585,14.4,37.9,0.321
14.0,14.0,2024-01-02,,Illinois State,REG (Conf),W,88.0,71.0,,32.0,56.0,0.571,12.0,25.0,0.48,20.0,31.0,0.645,0.679,12.0,22.0,0.545,7.0,25.0,32.0,16.0,3.0,0.0,7.0,17.0,26.0,54.0,0.481,9.0,21.0,0.429,17.0,33.0,0.515,0.565,10.0,15.0,0.667,5.0,19.0,24.0,9.0,6.0,0.0,12.0,19.0,130.8,105.5,67.3,0.393,0.446,0.662,57.1,50.0,4.5,0.0,0.679,9.5,26.9,0.214,0.565,16.4,16.7,0.185
15.0,15.0,2024-01-07,@,Belmont,REG (Conf),L,65.0,87.0,,26.0,52.0,0.5,5.0,23.0,0.217,21.0,29.0,0.724,0.548,8.0,13.0,0.615,5.0,16.0,21.0,13.0,7.0,2.0,14.0,20.0,28.0,49.0,0.571,12.0,22.0,0.545,16.0,27.0,0.593,0.694,19.0,24.0,0.792,7.0,20.0,27.0,13.0,8.0,1.0,13.0,11.0,97.3,130.3,66.8,0.25,0.442,0.559,43.8,50.0,10.5,7.4,0.548,19.4,20.0,0.154,0.694,17.7,30.4,0.388
16.0,16.0,2024-01-10,,Indiana State,REG (Conf),W,89.0,78.0,,30.0,64.0,0.469,10.0,25.0,0.4,20.0,39.0,0.513,0.547,19.0,21.0,0.905,4.0,23.0,27.0,15.0,7.0,2.0,3.0,17.0,22.0,51.0,0.431,11.0,30.0,0.367,11.0,21.0,0.524,0.539,23.0,25.0,0.92,3.0,26.0,29.0,13.0,2.0,2.0,14.0,19.0,121.2,106.2,73.4,0.328,0.391,0.602,48.2,50.0,9.5,9.5,0.547,3.9,13.3,0.297,0.539,18.2,11.5,0.451
17.0,17.0,2024-01-13,@,Southern Illinois,REG (Conf),W,76.0,58.0,,31.0,55.0,0.564,5.0,16.0,0.313,26.0,39.0,0.667,0.609,9.0,16.0,0.563,4.0,29.0,33.0,18.0,7.0,0.0,6.0,14.0,19.0,52.0,0.365,7.0,29.0,0.241,12.0,23.0,0.522,0.433,13.0,17.0,0.765,4.0,22.0,26.0,12.0,5.0,2.0,9.0,14.0,117.2,89.5,64.8,0.291,0.291,0.607,55.9,58.1,10.8,0.0,0.609,8.7,15.4,0.164,0.433,13.0,12.1,0.25
18.0,18.0,2024-01-17,@,Illinois State,REG (Conf),W,77.0,56.0,,33.0,59.0,0.559,8.0,19.0,0.421,25.0,40.0,0.625,0.627,3.0,6.0,0.5,3.0,24.0,27.0,19.0,4.0,2.0,2.0,18.0,18.0,47.0,0.383,5.0,18.0,0.278,13.0,29.0,0.448,0.436,15.0,20.0,0.75,4.0,21.0,25.0,11.0,2.0,0.0,8.0,10.0,126.9,92.3,60.7,0.102,0.322,0.622,51.9,57.6,6.6,6.9,0.627,3.1,12.5,0.051,0.436,12.4,14.3,0.319
19.0,19.0,2024-01-20,,Evansville,REG (Conf),W,97.0,48.0,,39.0,61.0,0.639,12.0,27.0,0.444,27.0,34.0,0.794,0.738,7.0,13.0,0.538,3.0,36.0,39.0,22.0,9.0,3.0,11.0,13.0,21.0,59.0,0.356,4.0,22.0,0.182,17.0,37.0,0.459,0.39,2.0,6.0,0.333,1.0,22.0,23.0,7.0,8.0,0.0,15.0,16.0,128.5,63.6,75.5,0.213,0.443,0.722,62.9,56.4,11.9,8.1,0.738,14.1,12.0,0.115,0.39,19.5,2.7,0.034
20.0,20.0,2024-01-24,@,Missouri State,REG (Conf),L,80.0,83.0,2OT,30.0,71.0,0.423,8.0,23.0,0.348,22.0,48.0,0.458,0.479,12.0,18.0,0.667,9.0,28.0,37.0,13.0,7.0,4.0,11.0,12.0,33.0,83.0,0.398,11.0,28.0,0.393,22.0,55.0,0.4,0.464,6.0,12.0,0.5,20.0,27.0,47.0,12.0,6.0,9.0,11.0,15.0,99.2,102.9,64.5,0.254,0.324,0.503,44.0,43.3,8.7,7.3,0.479,12.1,25.0,0.169,0.464,11.0,41.7,0.072
21.0,21.0,2024-01-27,,Northern Iowa,REG (Conf),W,77.0,63.0,,24.0,57.0,0.421,11.0,27.0,0.407,13.0,30.0,0.433,0.518,18.0,23.0,0.783,9.0,28.0,37.0,13.0,8.0,2.0,7.0,18.0,22.0,52.0,0.423,5.0,18.0,0.278,17.0,34.0,0.5,0.471,14.0,18.0,0.778,5.0,23.0,28.0,6.0,3.0,2.0,9.0,21.0,118.0,96.6,65.2,0.404,0.474,0.567,56.9,54.2,12.3,5.9,0.518,9.3,28.1,0.316,0.471,12.9,15.2,0.269
22.0,22.0,2024-01-31,,Valparaiso,REG (Conf),W,81.0,70.0,,25.0,62.0,0.403,9.0,25.0,0.36,16.0,37.0,0.432,0.476,22.0,27.0,0.815,9.0,35.0,44.0,17.0,2.0,0.0,11.0,12.0,27.0,61.0,0.443,8.0,22.0,0.364,19.0,39.0,0.487,0.508,8.0,13.0,0.615,2.0,27.0,29.0,10.0,8.0,4.0,7.0,22.0,108.7,94.0,74.5,0.435,0.403,0.541,60.3,68.0,2.7,0.0,0.476,12.8,25.0,0.355,0.508,9.4,5.4,0.131
23.0,23.0,2024-02-03,@,Indiana State,REG (Conf),L,67.0,75.0,,24.0,61.0,0.393,7.0,22.0,0.318,17.0,39.0,0.436,0.451,12.0,23.0,0.522,5.0,31.0,36.0,11.0,7.0,1.0,9.0,19.0,25.0,59.0,0.424,7.0,30.0,0.233,18.0,29.0,0.621,0.483,18.0,24.0,0.75,4.0,39.0,43.0,10.0,5.0,4.0,10.0,19.0,88.0,98.5,76.2,0.377,0.361,0.466,45.6,45.8,9.2,3.4,0.451,11.1,11.4,0.197,0.483,12.4,11.4,0.305
24.0,24.0,2024-02-07,,Southern Illinois,REG (Conf),W,92.0,88.0,OT,29.0,51.0,0.569,2.0,10.0,0.2,27.0,41.0,0.659,0.588,32.0,40.0,0.8,5.0,24.0,29.0,6.0,7.0,1.0,11.0,18.0,29.0,68.0,0.426,10.0,36.0,0.278,19.0,32.0,0.594,0.5,20.0,22.0,0.909,11.0,20.0,31.0,14.0,5.0,2.0,10.0,28.0,119.9,114.7,68.2,0.784,0.196,0.657,48.3,20.7,9.1,3.1,0.588,13.6,20.0,0.627,0.5,11.3,31.4,0.294
