Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,La Salle,REG (Non-Conf),L,61.0,67.0,,24.0,58.0,0.414,4.0,17.0,0.235,20.0,41.0,0.488,0.448,9.0,16.0,0.563,11.0,25.0,36.0,16.0,6.0,2.0,12.0,16.0,25.0,57.0,0.439,6.0,15.0,0.4,19.0,42.0,0.452,0.491,11.0,18.0,0.611,8.0,20.0,28.0,11.0,6.0,4.0,11.0,13.0,90.3,99.1,67.6,0.276,0.293,0.465,56.3,66.7,8.9,4.8,0.448,15.5,35.5,0.155,0.491,14.4,24.2,0.193
2.0,2.0,2023-11-11,@,Winthrop,REG (Non-Conf),W,74.0,72.0,,26.0,59.0,0.441,5.0,20.0,0.25,21.0,39.0,0.538,0.483,17.0,22.0,0.773,11.0,21.0,32.0,11.0,4.0,5.0,5.0,28.0,22.0,47.0,0.468,3.0,13.0,0.231,19.0,34.0,0.559,0.5,25.0,36.0,0.694,8.0,20.0,28.0,5.0,2.0,2.0,8.0,19.0,116.0,112.9,63.8,0.373,0.339,0.533,53.3,42.3,6.3,14.7,0.483,6.7,35.5,0.288,0.5,11.1,27.6,0.532
3.0,3.0,2023-11-14,,Temple,REG (Non-Conf),L,64.0,66.0,,22.0,58.0,0.379,7.0,20.0,0.35,15.0,38.0,0.395,0.44,13.0,16.0,0.813,8.0,31.0,39.0,13.0,3.0,5.0,13.0,19.0,18.0,58.0,0.31,8.0,26.0,0.308,10.0,32.0,0.313,0.379,22.0,25.0,0.88,5.0,24.0,29.0,8.0,10.0,4.0,5.0,16.0,91.1,94.0,70.2,0.276,0.345,0.488,57.4,59.1,4.3,15.6,0.44,16.5,25.0,0.224,0.379,6.7,13.9,0.379
4.0,4.0,2023-11-17,,Fairfield,REG (Non-Conf),W,65.0,47.0,,26.0,53.0,0.491,4.0,17.0,0.235,22.0,36.0,0.611,0.528,9.0,15.0,0.6,8.0,29.0,37.0,11.0,6.0,5.0,13.0,12.0,19.0,57.0,0.333,6.0,21.0,0.286,13.0,36.0,0.361,0.386,3.0,4.0,0.75,3.0,15.0,18.0,8.0,7.0,1.0,12.0,16.0,97.7,70.7,66.5,0.283,0.321,0.541,67.3,42.3,9.0,13.9,0.528,17.8,34.8,0.17,0.386,16.9,9.4,0.053
5.0,5.0,2023-11-19,,Queens (NC),REG (Non-Conf),W,62.0,52.0,,26.0,55.0,0.473,2.0,16.0,0.125,24.0,39.0,0.615,0.491,8.0,14.0,0.571,10.0,27.0,37.0,10.0,4.0,7.0,12.0,13.0,19.0,58.0,0.328,6.0,20.0,0.3,13.0,38.0,0.342,0.379,8.0,14.0,0.571,11.0,19.0,30.0,9.0,4.0,0.0,9.0,17.0,98.2,82.3,63.2,0.255,0.291,0.503,55.2,38.5,6.3,18.4,0.491,16.3,34.5,0.145,0.379,12.2,28.9,0.138
6.0,6.0,2023-11-26,@,Old Dominion,REG (Non-Conf),L,61.0,68.0,OT,18.0,54.0,0.333,3.0,21.0,0.143,15.0,33.0,0.455,0.361,22.0,30.0,0.733,15.0,30.0,45.0,8.0,5.0,7.0,17.0,18.0,25.0,64.0,0.391,3.0,14.0,0.214,22.0,50.0,0.44,0.414,15.0,19.0,0.789,7.0,25.0,32.0,14.0,13.0,4.0,9.0,22.0,84.0,93.6,64.6,0.556,0.389,0.447,58.4,44.4,6.9,14.0,0.361,19.9,37.5,0.407,0.414,11.0,18.9,0.234
7.0,7.0,2023-11-29,@,Lafayette,REG (Non-Conf),W,69.0,48.0,,26.0,56.0,0.464,6.0,19.0,0.316,20.0,37.0,0.541,0.518,11.0,15.0,0.733,10.0,32.0,42.0,10.0,4.0,5.0,12.0,11.0,18.0,60.0,0.3,5.0,19.0,0.263,13.0,41.0,0.317,0.342,7.0,12.0,0.583,9.0,20.0,29.0,11.0,3.0,3.0,4.0,15.0,109.7,76.3,62.9,0.268,0.339,0.547,59.2,38.5,6.4,12.2,0.518,16.0,33.3,0.196,0.342,5.7,22.0,0.117
8.0,8.0,2023-12-02,N,Villanova,REG (Non-Conf),W,57.0,55.0,,24.0,49.0,0.49,8.0,16.0,0.5,16.0,33.0,0.485,0.571,1.0,3.0,0.333,4.0,23.0,27.0,9.0,4.0,8.0,12.0,13.0,20.0,61.0,0.328,5.0,27.0,0.185,15.0,34.0,0.441,0.369,10.0,14.0,0.714,15.0,20.0,35.0,11.0,6.0,1.0,6.0,7.0,97.4,94.0,58.5,0.061,0.327,0.565,43.5,37.5,6.8,23.5,0.571,19.2,16.7,0.02,0.369,8.1,39.5,0.164
9.0,9.0,2023-12-05,@,Princeton,REG (Non-Conf),L,70.0,81.0,,23.0,64.0,0.359,4.0,18.0,0.222,19.0,46.0,0.413,0.391,20.0,24.0,0.833,16.0,21.0,37.0,5.0,4.0,1.0,7.0,15.0,34.0,59.0,0.576,8.0,25.0,0.32,26.0,34.0,0.765,0.644,5.0,7.0,0.714,3.0,23.0,26.0,18.0,4.0,3.0,7.0,17.0,105.5,122.1,66.4,0.375,0.281,0.464,58.7,21.7,6.0,2.9,0.391,8.5,41.0,0.313,0.644,10.1,12.5,0.085
10.0,10.0,2023-12-09,@,West Virginia,REG (Non-Conf),L,60.0,66.0,,26.0,62.0,0.419,5.0,22.0,0.227,21.0,40.0,0.525,0.46,3.0,4.0,0.75,12.0,23.0,35.0,9.0,6.0,1.0,16.0,11.0,28.0,58.0,0.483,7.0,17.0,0.412,21.0,41.0,0.512,0.543,3.0,5.0,0.6,9.0,19.0,28.0,17.0,6.0,5.0,12.0,10.0,91.4,100.6,65.6,0.065,0.355,0.469,55.6,34.6,9.1,2.4,0.46,20.0,38.7,0.048,0.543,16.6,28.1,0.052
11.0,11.0,2023-12-16,,Albany (NY),REG (Non-Conf),W,71.0,52.0,,29.0,66.0,0.439,6.0,17.0,0.353,23.0,49.0,0.469,0.485,7.0,11.0,0.636,19.0,31.0,50.0,12.0,4.0,6.0,18.0,11.0,21.0,67.0,0.313,4.0,22.0,0.182,17.0,45.0,0.378,0.343,6.0,7.0,0.857,8.0,14.0,22.0,10.0,10.0,2.0,9.0,16.0,100.3,73.5,70.8,0.167,0.258,0.498,69.4,41.4,5.7,13.3,0.485,20.2,57.6,0.106,0.343,11.3,20.5,0.09
12.0,12.0,2023-12-18,,Penn St. Allegheny,REG (Non-Conf),W,117.0,49.0,,46.0,71.0,0.648,11.0,26.0,0.423,35.0,45.0,0.778,0.725,14.0,21.0,0.667,11.0,35.0,46.0,30.0,14.0,7.0,8.0,12.0,16.0,55.0,0.291,7.0,18.0,0.389,9.0,37.0,0.243,0.355,10.0,15.0,0.667,5.0,11.0,16.0,8.0,4.0,1.0,21.0,16.0,149.9,62.8,78.1,0.296,0.366,0.722,74.2,65.2,17.9,18.9,0.725,9.0,50.0,0.197,0.355,25.3,12.5,0.182
13.0,13.0,2023-12-22,@,Bryant,REG (Non-Conf),L,86.0,104.0,,32.0,75.0,0.427,7.0,20.0,0.35,25.0,55.0,0.455,0.473,15.0,21.0,0.714,14.0,21.0,35.0,10.0,9.0,3.0,10.0,17.0,39.0,62.0,0.629,15.0,22.0,0.682,24.0,40.0,0.6,0.75,11.0,16.0,0.688,4.0,29.0,33.0,22.0,7.0,6.0,11.0,17.0,109.2,132.0,78.8,0.28,0.267,0.506,51.5,31.3,11.4,7.5,0.473,10.5,32.6,0.2,0.75,13.6,16.0,0.177
14.0,14.0,2024-01-01,,Hampton,REG (Conf),W,99.0,65.0,,34.0,65.0,0.523,11.0,24.0,0.458,23.0,41.0,0.561,0.608,20.0,24.0,0.833,11.0,21.0,32.0,19.0,11.0,0.0,7.0,15.0,21.0,59.0,0.356,7.0,29.0,0.241,14.0,30.0,0.467,0.415,16.0,19.0,0.842,14.0,18.0,32.0,11.0,4.0,3.0,16.0,20.0,139.0,91.3,71.2,0.369,0.369,0.648,50.0,55.9,15.4,0.0,0.608,8.4,37.9,0.308,0.415,19.0,40.0,0.271
15.0,15.0,2024-01-04,,UNC Wilmington,REG (Conf),W,78.0,63.0,,25.0,49.0,0.51,9.0,19.0,0.474,16.0,30.0,0.533,0.602,19.0,29.0,0.655,3.0,28.0,31.0,12.0,5.0,1.0,11.0,19.0,18.0,58.0,0.31,6.0,30.0,0.2,12.0,28.0,0.429,0.362,21.0,24.0,0.875,8.0,22.0,30.0,6.0,6.0,1.0,10.0,26.0,109.7,88.6,71.1,0.592,0.388,0.621,50.8,48.0,7.0,3.6,0.602,14.9,12.0,0.388,0.362,12.6,22.2,0.362
16.0,16.0,2024-01-06,@,William & Mary,REG (Conf),W,77.0,55.0,,28.0,56.0,0.5,6.0,11.0,0.545,22.0,45.0,0.489,0.554,15.0,21.0,0.714,12.0,31.0,43.0,12.0,3.0,5.0,9.0,15.0,21.0,56.0,0.375,8.0,26.0,0.308,13.0,30.0,0.433,0.446,5.0,15.0,0.333,2.0,21.0,23.0,9.0,5.0,2.0,4.0,16.0,120.2,85.9,64.1,0.375,0.196,0.584,65.2,42.9,4.7,16.7,0.554,12.0,36.4,0.268,0.446,6.0,6.1,0.089
17.0,17.0,2024-01-11,@,North Carolina A&T,REG (Conf),W,67.0,63.0,,29.0,60.0,0.483,2.0,12.0,0.167,27.0,48.0,0.563,0.5,7.0,10.0,0.7,11.0,31.0,42.0,10.0,2.0,6.0,11.0,18.0,23.0,60.0,0.383,4.0,16.0,0.25,19.0,44.0,0.432,0.417,13.0,19.0,0.684,6.0,19.0,25.0,7.0,4.0,4.0,6.0,13.0,100.2,94.2,66.9,0.167,0.2,0.517,62.7,34.5,3.0,13.6,0.5,14.5,36.7,0.117,0.417,8.0,16.2,0.217
18.0,18.0,2024-01-13,@,Elon,REG (Conf),W,89.0,69.0,,31.0,53.0,0.585,11.0,23.0,0.478,20.0,30.0,0.667,0.689,16.0,18.0,0.889,7.0,21.0,28.0,17.0,4.0,1.0,9.0,13.0,24.0,56.0,0.429,11.0,29.0,0.379,13.0,27.0,0.481,0.527,10.0,13.0,0.769,9.0,13.0,22.0,15.0,5.0,3.0,10.0,19.0,140.5,108.9,63.4,0.34,0.434,0.723,56.0,54.8,6.3,3.7,0.689,12.8,35.0,0.302,0.527,13.9,30.0,0.179
