Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Dartmouth,REG (Non-Conf),W,92.0,54.0,,38.0,59.0,0.644,7.0,17.0,0.412,31.0,42.0,0.738,0.703,9.0,12.0,0.75,5.0,26.0,31.0,18.0,6.0,6.0,9.0,18.0,19.0,56.0,0.339,4.0,18.0,0.222,15.0,38.0,0.395,0.375,12.0,17.0,0.706,8.0,18.0,26.0,11.0,5.0,1.0,12.0,16.0,134.5,79.0,68.4,0.203,0.288,0.711,54.4,47.4,8.8,15.8,0.703,12.2,21.7,0.153,0.375,15.8,23.5,0.214
2.0,2.0,2023-11-10,,Arizona,REG (Non-Conf),L,73.0,78.0,,28.0,65.0,0.431,8.0,23.0,0.348,20.0,42.0,0.476,0.492,9.0,12.0,0.75,5.0,22.0,27.0,14.0,9.0,3.0,11.0,17.0,30.0,65.0,0.462,6.0,17.0,0.353,24.0,48.0,0.5,0.508,12.0,18.0,0.667,12.0,29.0,41.0,17.0,8.0,5.0,17.0,17.0,94.0,100.5,77.6,0.185,0.354,0.516,39.7,50.0,11.6,6.3,0.492,13.5,14.7,0.138,0.508,18.8,35.3,0.185
3.0,3.0,2023-11-14,N,Michigan State,REG (Non-Conf),W,74.0,65.0,,22.0,49.0,0.449,6.0,22.0,0.273,16.0,27.0,0.593,0.51,24.0,30.0,0.8,8.0,25.0,33.0,17.0,6.0,5.0,13.0,16.0,26.0,63.0,0.413,6.0,19.0,0.316,20.0,44.0,0.455,0.46,7.0,12.0,0.583,10.0,19.0,29.0,12.0,5.0,6.0,12.0,23.0,106.5,93.6,69.5,0.612,0.449,0.585,53.2,77.3,8.6,11.4,0.51,17.0,29.6,0.49,0.46,14.9,28.6,0.111
4.0,4.0,2023-11-17,,Bucknell,REG (Non-Conf),W,90.0,60.0,,32.0,65.0,0.492,13.0,34.0,0.382,19.0,31.0,0.613,0.592,13.0,16.0,0.813,12.0,33.0,45.0,23.0,9.0,2.0,7.0,15.0,20.0,54.0,0.37,9.0,29.0,0.31,11.0,25.0,0.44,0.454,11.0,15.0,0.733,4.0,20.0,24.0,13.0,3.0,3.0,12.0,14.0,131.7,87.8,68.4,0.246,0.523,0.62,65.2,71.9,13.2,8.0,0.592,8.8,37.5,0.2,0.454,16.4,10.8,0.204
5.0,5.0,2023-11-21,,La Salle,REG (Non-Conf),W,95.0,66.0,,36.0,67.0,0.537,9.0,22.0,0.409,27.0,45.0,0.6,0.604,14.0,20.0,0.7,9.0,30.0,39.0,21.0,4.0,3.0,5.0,18.0,24.0,58.0,0.414,6.0,24.0,0.25,18.0,34.0,0.529,0.466,12.0,17.0,0.706,3.0,20.0,23.0,11.0,3.0,1.0,9.0,16.0,131.4,91.3,72.3,0.299,0.328,0.621,62.9,58.3,5.5,8.8,0.604,6.1,31.0,0.209,0.466,12.0,9.1,0.207
6.0,6.0,2023-11-24,,Southern Indiana,REG (Non-Conf),W,80.0,62.0,,29.0,60.0,0.483,5.0,18.0,0.278,24.0,42.0,0.571,0.525,17.0,28.0,0.607,12.0,21.0,33.0,13.0,4.0,4.0,7.0,9.0,24.0,58.0,0.414,9.0,21.0,0.429,15.0,37.0,0.405,0.491,5.0,6.0,0.833,8.0,24.0,32.0,15.0,4.0,4.0,10.0,19.0,122.0,94.5,65.6,0.467,0.3,0.546,50.8,44.8,6.1,10.8,0.525,8.7,33.3,0.283,0.491,14.1,27.6,0.086
7.0,7.0,2023-11-29,@,Arkansas,REG (Non-Conf),L,75.0,80.0,,24.0,67.0,0.358,6.0,22.0,0.273,18.0,45.0,0.4,0.403,21.0,31.0,0.677,11.0,20.0,31.0,10.0,7.0,3.0,7.0,24.0,26.0,53.0,0.491,9.0,22.0,0.409,17.0,31.0,0.548,0.575,19.0,30.0,0.633,5.0,32.0,37.0,17.0,6.0,10.0,11.0,21.0,99.4,106.0,75.5,0.463,0.328,0.459,45.6,41.7,9.3,9.7,0.403,7.9,25.6,0.313,0.575,14.1,20.0,0.358
8.0,8.0,2023-12-02,@,Georgia Tech,REG (Conf),L,68.0,72.0,,26.0,62.0,0.419,4.0,16.0,0.25,22.0,46.0,0.478,0.452,12.0,20.0,0.6,11.0,19.0,30.0,12.0,8.0,6.0,6.0,15.0,27.0,53.0,0.509,7.0,23.0,0.304,20.0,30.0,0.667,0.575,11.0,13.0,0.846,4.0,27.0,31.0,19.0,1.0,8.0,11.0,12.0,102.5,108.5,66.3,0.323,0.258,0.476,49.2,46.2,12.1,20.0,0.452,7.7,28.9,0.194,0.575,15.7,17.4,0.208
9.0,9.0,2023-12-09,,Charlotte,REG (Non-Conf),W,80.0,56.0,,24.0,48.0,0.5,10.0,18.0,0.556,14.0,30.0,0.467,0.604,22.0,28.0,0.786,8.0,26.0,34.0,15.0,7.0,2.0,9.0,14.0,21.0,52.0,0.404,4.0,20.0,0.2,17.0,32.0,0.531,0.442,10.0,16.0,0.625,7.0,17.0,24.0,9.0,4.0,6.0,11.0,19.0,127.1,89.0,63.0,0.583,0.375,0.653,58.6,62.5,11.1,6.3,0.604,12.8,32.0,0.458,0.442,15.6,21.2,0.192
10.0,10.0,2023-12-12,,Hofstra,REG (Non-Conf),W,89.0,68.0,,33.0,60.0,0.55,11.0,22.0,0.5,22.0,38.0,0.579,0.642,12.0,14.0,0.857,8.0,23.0,31.0,22.0,6.0,3.0,10.0,11.0,25.0,50.0,0.5,10.0,24.0,0.417,15.0,26.0,0.577,0.6,8.0,10.0,0.8,2.0,20.0,22.0,13.0,3.0,6.0,14.0,12.0,131.5,100.4,67.7,0.233,0.367,0.668,58.5,66.7,8.9,11.5,0.642,13.0,28.6,0.2,0.6,20.4,8.0,0.16
11.0,11.0,2023-12-20,N,Baylor,REG (Non-Conf),W,78.0,70.0,,25.0,51.0,0.49,4.0,12.0,0.333,21.0,39.0,0.538,0.529,24.0,29.0,0.828,6.0,20.0,26.0,14.0,7.0,0.0,8.0,13.0,25.0,58.0,0.431,8.0,18.0,0.444,17.0,40.0,0.425,0.5,12.0,16.0,0.75,11.0,19.0,30.0,10.0,3.0,7.0,12.0,20.0,117.0,105.0,66.7,0.569,0.235,0.602,46.4,56.0,10.5,0.0,0.529,11.0,24.0,0.471,0.5,15.5,35.5,0.207
12.0,12.0,2023-12-30,,Queens (NC),REG (Non-Conf),W,106.0,69.0,,40.0,69.0,0.58,9.0,26.0,0.346,31.0,43.0,0.721,0.645,17.0,23.0,0.739,9.0,26.0,35.0,24.0,11.0,11.0,9.0,18.0,25.0,59.0,0.424,7.0,22.0,0.318,18.0,37.0,0.486,0.483,12.0,19.0,0.632,9.0,20.0,29.0,11.0,7.0,2.0,19.0,20.0,134.2,87.4,79.0,0.333,0.377,0.663,54.7,60.0,13.9,29.7,0.645,10.1,31.0,0.246,0.483,21.8,25.7,0.203
13.0,13.0,2024-01-02,,Syracuse,REG (Conf),W,86.0,66.0,,31.0,59.0,0.525,8.0,17.0,0.471,23.0,42.0,0.548,0.593,16.0,18.0,0.889,3.0,23.0,26.0,19.0,11.0,5.0,10.0,13.0,24.0,55.0,0.436,4.0,16.0,0.25,20.0,39.0,0.513,0.473,14.0,17.0,0.824,5.0,25.0,30.0,14.0,7.0,3.0,17.0,18.0,115.0,88.2,74.8,0.305,0.288,0.637,46.4,61.3,14.7,12.8,0.593,12.9,10.7,0.271,0.473,21.2,17.9,0.255
