Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Cleveland State,REG (Non-Conf),W,79.0,77.0,,26.0,62.0,0.419,9.0,27.0,0.333,17.0,35.0,0.486,0.492,18.0,33.0,0.545,15.0,26.0,41.0,17.0,5.0,2.0,11.0,20.0,28.0,64.0,0.438,9.0,20.0,0.45,19.0,44.0,0.432,0.508,12.0,19.0,0.632,14.0,25.0,39.0,10.0,7.0,6.0,12.0,25.0,109.2,106.4,72.4,0.532,0.435,0.509,51.3,65.4,6.9,4.5,0.492,12.4,37.5,0.29,0.508,14.1,35.0,0.188
2.0,2.0,2023-11-10,N,College of Charleston,REG (Non-Conf),W,90.0,72.0,,33.0,67.0,0.493,11.0,34.0,0.324,22.0,33.0,0.667,0.575,13.0,13.0,1.0,5.0,25.0,30.0,17.0,10.0,6.0,13.0,23.0,23.0,58.0,0.397,7.0,27.0,0.259,16.0,31.0,0.516,0.457,19.0,30.0,0.633,10.0,24.0,34.0,15.0,8.0,1.0,16.0,17.0,112.9,90.3,79.7,0.194,0.507,0.615,46.9,51.5,12.5,19.4,0.575,15.1,17.2,0.194,0.457,18.1,28.6,0.328
3.0,3.0,2023-11-13,,Stony Brook,REG (Non-Conf),W,85.0,63.0,,32.0,64.0,0.5,13.0,28.0,0.464,19.0,36.0,0.528,0.602,8.0,11.0,0.727,14.0,29.0,43.0,15.0,8.0,5.0,12.0,14.0,22.0,66.0,0.333,12.0,29.0,0.414,10.0,37.0,0.27,0.424,7.0,12.0,0.583,12.0,17.0,29.0,9.0,5.0,5.0,9.0,11.0,125.1,92.7,68.0,0.172,0.438,0.614,59.7,46.9,11.8,13.5,0.602,14.8,45.2,0.125,0.424,11.2,29.3,0.106
4.0,4.0,2023-11-15,,Princeton,REG (Non-Conf),L,67.0,70.0,,23.0,53.0,0.434,7.0,21.0,0.333,16.0,32.0,0.5,0.5,14.0,17.0,0.824,8.0,16.0,24.0,11.0,7.0,4.0,13.0,15.0,27.0,50.0,0.54,7.0,20.0,0.35,20.0,30.0,0.667,0.61,9.0,10.0,0.9,4.0,19.0,23.0,12.0,6.0,1.0,12.0,17.0,104.0,108.7,64.4,0.321,0.396,0.549,51.1,47.8,10.9,13.3,0.5,17.5,29.6,0.264,0.61,18.0,20.0,0.18
5.0,5.0,2023-11-17,,Rider,REG (Non-Conf),W,77.0,58.0,,26.0,57.0,0.456,12.0,31.0,0.387,14.0,26.0,0.538,0.561,13.0,21.0,0.619,7.0,31.0,38.0,15.0,6.0,14.0,11.0,20.0,21.0,66.0,0.318,4.0,15.0,0.267,17.0,51.0,0.333,0.348,12.0,22.0,0.545,12.0,24.0,36.0,8.0,6.0,3.0,10.0,16.0,105.9,79.8,72.7,0.368,0.544,0.575,51.4,57.7,8.3,27.5,0.561,14.1,22.6,0.228,0.348,11.6,27.9,0.182
6.0,6.0,2023-11-22,@,Nebraska,REG (Non-Conf),L,79.0,89.0,,28.0,63.0,0.444,8.0,29.0,0.276,20.0,34.0,0.588,0.508,15.0,17.0,0.882,13.0,23.0,36.0,8.0,1.0,4.0,6.0,24.0,26.0,53.0,0.491,9.0,24.0,0.375,17.0,29.0,0.586,0.575,28.0,31.0,0.903,7.0,20.0,27.0,18.0,1.0,2.0,2.0,13.0,124.6,140.4,63.4,0.27,0.46,0.556,57.1,28.6,1.6,13.8,0.508,7.8,39.4,0.238,0.575,2.9,23.3,0.528
7.0,7.0,2023-11-29,,UC Irvine,REG (Non-Conf),W,66.0,62.0,,24.0,58.0,0.414,9.0,18.0,0.5,15.0,40.0,0.375,0.491,9.0,15.0,0.6,10.0,18.0,28.0,16.0,10.0,6.0,11.0,11.0,22.0,54.0,0.407,7.0,18.0,0.389,15.0,36.0,0.417,0.472,11.0,11.0,1.0,7.0,27.0,34.0,13.0,5.0,3.0,19.0,20.0,96.1,90.3,68.7,0.259,0.31,0.507,45.2,66.7,14.6,16.7,0.491,14.4,27.0,0.155,0.472,24.3,28.0,0.204
8.0,8.0,2023-12-06,@,Marshall,REG (Non-Conf),W,85.0,72.0,,24.0,54.0,0.444,7.0,20.0,0.35,17.0,34.0,0.5,0.509,30.0,41.0,0.732,9.0,29.0,38.0,10.0,7.0,3.0,14.0,18.0,26.0,70.0,0.371,4.0,25.0,0.16,22.0,45.0,0.489,0.4,16.0,24.0,0.667,14.0,26.0,40.0,7.0,7.0,1.0,12.0,26.0,107.7,91.2,78.9,0.759,0.37,0.578,48.7,41.7,8.9,6.7,0.509,16.0,25.7,0.556,0.4,12.8,32.6,0.229
9.0,9.0,2023-12-08,,Saint Peter's,REG (Non-Conf),W,68.0,59.0,,20.0,51.0,0.392,6.0,25.0,0.24,14.0,26.0,0.538,0.451,22.0,28.0,0.786,8.0,23.0,31.0,10.0,9.0,7.0,9.0,15.0,21.0,50.0,0.42,8.0,20.0,0.4,13.0,30.0,0.433,0.5,9.0,14.0,0.643,5.0,18.0,23.0,13.0,5.0,7.0,13.0,23.0,104.7,90.8,65.0,0.549,0.49,0.529,57.4,50.0,13.9,23.3,0.451,12.3,30.8,0.431,0.5,18.7,17.9,0.18
10.0,10.0,2023-12-18,N,Bradley,REG (Non-Conf),W,69.0,67.0,,25.0,59.0,0.424,5.0,19.0,0.263,20.0,40.0,0.5,0.466,14.0,20.0,0.7,12.0,14.0,26.0,8.0,12.0,1.0,9.0,12.0,26.0,54.0,0.481,8.0,18.0,0.444,18.0,36.0,0.5,0.556,7.0,12.0,0.583,13.0,21.0,34.0,10.0,6.0,8.0,16.0,16.0,107.6,104.5,64.1,0.339,0.322,0.504,43.3,32.0,18.7,2.8,0.466,11.6,36.4,0.237,0.556,21.1,48.1,0.13
