Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Illinois,REG (Non-Conf),L,52.0,80.0,,20.0,69.0,0.29,4.0,11.0,0.364,16.0,58.0,0.276,0.319,8.0,16.0,0.5,10.0,24.0,34.0,7.0,4.0,2.0,7.0,22.0,29.0,58.0,0.5,10.0,31.0,0.323,19.0,27.0,0.704,0.586,12.0,23.0,0.522,8.0,38.0,46.0,15.0,4.0,5.0,12.0,13.0,71.0,109.2,73.3,0.232,0.159,0.339,42.5,35.0,5.5,7.4,0.319,8.4,20.8,0.116,0.586,14.8,25.0,0.207
2.0,2.0,2023-11-08,,Monmouth (IL),REG (Non-Conf),W,91.0,45.0,,35.0,71.0,0.493,9.0,24.0,0.375,26.0,47.0,0.553,0.556,12.0,16.0,0.75,17.0,26.0,43.0,20.0,13.0,2.0,10.0,13.0,18.0,49.0,0.367,6.0,18.0,0.333,12.0,31.0,0.387,0.429,3.0,3.0,1.0,4.0,16.0,20.0,12.0,5.0,5.0,22.0,16.0,130.0,64.3,70.0,0.225,0.338,0.579,68.3,57.1,18.6,6.5,0.556,11.3,51.5,0.169,0.429,30.4,13.3,0.061
3.0,3.0,2023-11-11,@,Loyola Chicago,REG (Non-Conf),L,65.0,89.0,,24.0,69.0,0.348,6.0,16.0,0.375,18.0,53.0,0.34,0.391,11.0,15.0,0.733,11.0,19.0,30.0,9.0,6.0,1.0,10.0,11.0,32.0,54.0,0.593,12.0,31.0,0.387,20.0,23.0,0.87,0.704,13.0,17.0,0.765,2.0,28.0,30.0,23.0,4.0,9.0,10.0,14.0,89.5,122.6,72.6,0.217,0.232,0.427,50.0,37.5,8.3,4.3,0.391,11.6,28.2,0.159,0.704,13.9,9.5,0.241
4.0,4.0,2023-11-15,@,Illinois State,REG (Non-Conf),L,61.0,69.0,,22.0,57.0,0.386,6.0,20.0,0.3,16.0,37.0,0.432,0.439,11.0,13.0,0.846,12.0,18.0,30.0,9.0,3.0,5.0,11.0,23.0,23.0,56.0,0.411,6.0,19.0,0.316,17.0,37.0,0.459,0.464,17.0,26.0,0.654,13.0,23.0,36.0,11.0,5.0,2.0,6.0,14.0,98.8,111.7,61.8,0.228,0.351,0.483,45.5,40.9,4.9,13.5,0.439,14.8,34.3,0.193,0.464,8.1,41.9,0.304
5.0,5.0,2023-11-18,N,Coppin State,REG (Non-Conf),W,48.0,46.0,,18.0,40.0,0.45,5.0,14.0,0.357,13.0,26.0,0.5,0.513,7.0,10.0,0.7,5.0,24.0,29.0,11.0,7.0,3.0,17.0,13.0,16.0,49.0,0.327,4.0,19.0,0.211,12.0,30.0,0.4,0.367,10.0,14.0,0.714,10.0,17.0,27.0,8.0,13.0,3.0,14.0,14.0,82.5,79.0,58.2,0.25,0.35,0.536,51.8,61.1,12.0,10.0,0.513,27.5,22.7,0.175,0.367,20.1,29.4,0.204
6.0,6.0,2023-11-19,@,Miami (OH),REG (Non-Conf),L,64.0,76.0,,25.0,62.0,0.403,4.0,18.0,0.222,21.0,44.0,0.477,0.435,10.0,11.0,0.909,10.0,20.0,30.0,8.0,7.0,3.0,16.0,29.0,19.0,41.0,0.463,7.0,17.0,0.412,12.0,24.0,0.5,0.549,31.0,39.0,0.795,4.0,23.0,27.0,9.0,8.0,5.0,13.0,13.0,90.3,107.2,70.9,0.177,0.29,0.476,52.6,32.0,9.9,12.5,0.435,19.2,30.3,0.161,0.549,17.9,16.7,0.756
7.0,7.0,2023-11-25,,Eureka,REG (Non-Conf),W,85.0,39.0,,34.0,67.0,0.507,3.0,16.0,0.188,31.0,51.0,0.608,0.53,14.0,20.0,0.7,6.0,33.0,39.0,21.0,11.0,3.0,4.0,19.0,13.0,53.0,0.245,2.0,19.0,0.105,11.0,34.0,0.324,0.264,11.0,18.0,0.611,4.0,25.0,29.0,6.0,2.0,1.0,14.0,18.0,116.4,53.4,73.0,0.299,0.239,0.556,57.4,61.8,15.1,8.8,0.53,5.0,19.4,0.209,0.264,18.5,10.8,0.208
8.0,8.0,2023-11-28,@,Kansas,REG (Non-Conf),L,63.0,71.0,,23.0,59.0,0.39,9.0,22.0,0.409,14.0,37.0,0.378,0.466,8.0,10.0,0.8,10.0,21.0,31.0,12.0,5.0,4.0,14.0,20.0,28.0,56.0,0.5,3.0,14.0,0.214,25.0,42.0,0.595,0.527,12.0,18.0,0.667,9.0,22.0,31.0,24.0,11.0,11.0,10.0,11.0,94.5,106.5,66.7,0.169,0.373,0.494,50.0,52.2,7.5,9.5,0.466,18.0,31.3,0.136,0.527,13.4,30.0,0.214
9.0,9.0,2023-12-02,,Stl Pharmacy,REG (Non-Conf),W,112.0,50.0,,46.0,81.0,0.568,7.0,19.0,0.368,39.0,62.0,0.629,0.611,13.0,17.0,0.765,19.0,34.0,53.0,30.0,14.0,3.0,8.0,10.0,17.0,55.0,0.309,7.0,19.0,0.368,10.0,36.0,0.278,0.373,9.0,11.0,0.818,5.0,16.0,21.0,11.0,7.0,3.0,21.0,11.0,145.2,64.8,77.2,0.21,0.235,0.629,71.6,65.2,18.1,8.3,0.611,8.2,54.3,0.16,0.373,25.9,12.8,0.164
10.0,10.0,2023-12-07,,IUPUI,REG (Non-Conf),W,75.0,58.0,,29.0,56.0,0.518,3.0,11.0,0.273,26.0,45.0,0.578,0.545,14.0,18.0,0.778,12.0,26.0,38.0,17.0,8.0,4.0,18.0,14.0,23.0,53.0,0.434,2.0,13.0,0.154,21.0,40.0,0.525,0.453,10.0,14.0,0.714,4.0,16.0,20.0,10.0,14.0,1.0,15.0,14.0,106.2,82.2,70.6,0.321,0.196,0.581,65.5,58.6,11.3,10.0,0.545,21.8,42.9,0.25,0.453,20.1,13.3,0.189
