Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,West Va. Tech,REG (Non-Conf),W,108.0,72.0,,45.0,86.0,0.523,11.0,32.0,0.344,34.0,54.0,0.63,0.587,7.0,13.0,0.538,22.0,24.0,46.0,26.0,14.0,8.0,11.0,10.0,27.0,64.0,0.422,11.0,30.0,0.367,16.0,34.0,0.471,0.508,7.0,10.0,0.7,8.0,18.0,26.0,11.0,7.0,5.0,24.0,16.0,130.2,86.8,83.0,0.151,0.372,0.586,63.9,57.8,16.9,23.5,0.587,10.7,55.0,0.081,0.508,25.9,25.0,0.109
2.0,2.0,2023-11-10,,Wilbeforce,REG (Non-Conf),W,133.0,75.0,,47.0,81.0,0.58,11.0,33.0,0.333,36.0,48.0,0.75,0.648,28.0,44.0,0.636,18.0,41.0,59.0,35.0,11.0,9.0,14.0,22.0,29.0,76.0,0.382,3.0,21.0,0.143,26.0,55.0,0.473,0.401,14.0,28.0,0.5,12.0,20.0,32.0,15.0,10.0,1.0,21.0,28.0,135.6,76.5,98.1,0.543,0.407,0.653,64.8,74.5,11.2,16.4,0.648,12.1,47.4,0.346,0.401,19.0,22.6,0.184
3.0,3.0,2023-11-17,,UT Martin,REG (Non-Conf),L,74.0,80.0,,29.0,79.0,0.367,9.0,32.0,0.281,20.0,47.0,0.426,0.424,7.0,11.0,0.636,15.0,25.0,40.0,12.0,6.0,5.0,12.0,10.0,34.0,74.0,0.459,11.0,26.0,0.423,23.0,48.0,0.479,0.534,1.0,3.0,0.333,10.0,31.0,41.0,13.0,8.0,3.0,12.0,13.0,93.3,100.9,79.3,0.139,0.405,0.439,49.4,41.4,7.6,10.4,0.424,12.5,32.6,0.089,0.534,13.7,28.6,0.014
4.0,4.0,2023-11-21,,Prairie View A&M,REG (Non-Conf),L,64.0,76.0,,23.0,67.0,0.343,7.0,25.0,0.28,16.0,42.0,0.381,0.396,11.0,26.0,0.423,18.0,30.0,48.0,8.0,3.0,8.0,13.0,20.0,25.0,65.0,0.385,10.0,24.0,0.417,15.0,41.0,0.366,0.462,16.0,21.0,0.762,10.0,29.0,39.0,12.0,10.0,3.0,7.0,21.0,87.5,103.9,73.2,0.388,0.373,0.403,55.2,34.8,4.1,19.5,0.396,14.1,38.3,0.164,0.462,8.5,25.0,0.246
5.0,5.0,2023-11-27,,Troy,REG (Non-Conf),W,77.0,76.0,,29.0,65.0,0.446,9.0,21.0,0.429,20.0,44.0,0.455,0.515,10.0,11.0,0.909,8.0,23.0,31.0,19.0,8.0,13.0,8.0,13.0,25.0,69.0,0.362,13.0,28.0,0.464,12.0,41.0,0.293,0.457,13.0,18.0,0.722,16.0,26.0,42.0,13.0,7.0,2.0,11.0,13.0,107.9,106.5,71.4,0.169,0.323,0.548,42.5,65.5,11.2,31.7,0.515,10.2,23.5,0.154,0.457,12.4,41.0,0.188
6.0,6.0,2023-12-03,@,Western Kentucky,REG (Non-Conf),L,69.0,79.0,,26.0,62.0,0.419,6.0,24.0,0.25,20.0,38.0,0.526,0.468,11.0,19.0,0.579,12.0,26.0,38.0,7.0,5.0,9.0,18.0,20.0,28.0,69.0,0.406,11.0,25.0,0.44,17.0,44.0,0.386,0.486,12.0,16.0,0.75,10.0,23.0,33.0,17.0,10.0,1.0,11.0,17.0,89.2,102.2,77.3,0.306,0.387,0.486,53.5,26.9,6.5,20.5,0.468,20.2,34.3,0.177,0.486,12.6,27.8,0.174
7.0,7.0,2023-12-07,@,UNC Greensboro,REG (Non-Conf),L,85.0,87.0,OT,32.0,70.0,0.457,9.0,20.0,0.45,23.0,50.0,0.46,0.521,12.0,21.0,0.571,13.0,19.0,32.0,11.0,10.0,5.0,9.0,20.0,30.0,63.0,0.476,13.0,24.0,0.542,17.0,39.0,0.436,0.579,14.0,17.0,0.824,13.0,23.0,36.0,16.0,4.0,3.0,13.0,20.0,115.6,118.3,65.4,0.3,0.286,0.531,47.1,34.4,13.6,12.8,0.521,10.1,36.1,0.171,0.579,15.5,40.6,0.222
8.0,8.0,2023-12-10,,Bethany (WV),REG (Non-Conf),W,121.0,56.0,,50.0,86.0,0.581,10.0,29.0,0.345,40.0,57.0,0.702,0.64,11.0,14.0,0.786,19.0,30.0,49.0,27.0,22.0,4.0,13.0,14.0,21.0,64.0,0.328,9.0,32.0,0.281,12.0,32.0,0.375,0.398,5.0,9.0,0.556,10.0,16.0,26.0,13.0,8.0,1.0,29.0,13.0,139.1,64.4,87.0,0.163,0.337,0.653,65.3,54.0,25.3,12.5,0.64,12.3,54.3,0.128,0.398,29.8,25.0,0.078
9.0,9.0,2023-12-13,@,Louisiana,REG (Non-Conf),L,62.0,73.0,,22.0,55.0,0.4,5.0,17.0,0.294,17.0,38.0,0.447,0.445,13.0,21.0,0.619,11.0,24.0,35.0,13.0,7.0,6.0,19.0,16.0,28.0,65.0,0.431,6.0,18.0,0.333,22.0,47.0,0.468,0.477,11.0,15.0,0.733,12.0,21.0,33.0,8.0,10.0,3.0,10.0,15.0,86.7,102.0,71.6,0.382,0.309,0.477,51.5,59.1,9.8,12.8,0.445,22.6,34.4,0.236,0.477,12.2,33.3,0.169
10.0,10.0,2023-12-17,,Northern Kentucky,REG (Non-Conf),L,75.0,85.0,,28.0,72.0,0.389,6.0,24.0,0.25,22.0,48.0,0.458,0.431,13.0,16.0,0.813,16.0,22.0,38.0,17.0,6.0,10.0,12.0,22.0,30.0,58.0,0.517,8.0,16.0,0.5,22.0,42.0,0.524,0.586,17.0,22.0,0.773,5.0,24.0,29.0,18.0,9.0,1.0,11.0,15.0,100.0,113.3,75.0,0.222,0.333,0.471,56.7,60.7,8.0,23.8,0.431,13.1,40.0,0.181,0.586,13.8,18.5,0.293
