Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Butler,REG (Non-Conf),L,55.0,94.0,,19.0,59.0,0.322,8.0,24.0,0.333,11.0,35.0,0.314,0.39,9.0,15.0,0.6,11.0,20.0,31.0,11.0,4.0,0.0,18.0,20.0,36.0,63.0,0.571,6.0,22.0,0.273,30.0,41.0,0.732,0.619,16.0,19.0,0.842,6.0,29.0,35.0,20.0,9.0,2.0,10.0,14.0,73.8,126.0,74.6,0.254,0.407,0.416,47.0,57.9,5.4,0.0,0.39,21.4,27.5,0.153,0.619,12.2,23.1,0.254
2.0,2.0,2023-11-11,,Georgia Southern,REG (Non-Conf),W,70.0,60.0,,25.0,52.0,0.481,7.0,22.0,0.318,18.0,30.0,0.6,0.548,13.0,18.0,0.722,8.0,27.0,35.0,14.0,3.0,2.0,15.0,19.0,19.0,60.0,0.317,9.0,36.0,0.25,10.0,24.0,0.417,0.392,13.0,20.0,0.65,13.0,21.0,34.0,8.0,5.0,1.0,9.0,17.0,105.2,90.2,66.5,0.346,0.423,0.578,50.7,56.0,4.5,8.3,0.548,19.9,27.6,0.25,0.392,11.5,32.5,0.217
3.0,3.0,2023-11-14,@,Florida Atlantic,REG (Non-Conf),L,57.0,100.0,,23.0,54.0,0.426,2.0,15.0,0.133,21.0,39.0,0.538,0.444,9.0,14.0,0.643,7.0,14.0,21.0,7.0,5.0,0.0,11.0,14.0,40.0,64.0,0.625,13.0,25.0,0.52,27.0,39.0,0.692,0.727,7.0,12.0,0.583,11.0,27.0,38.0,25.0,6.0,2.0,7.0,15.0,87.5,153.4,65.2,0.259,0.278,0.47,35.6,30.4,7.7,0.0,0.444,15.4,20.6,0.167,0.727,9.1,44.0,0.109
4.0,4.0,2023-11-18,,Cleveland State,REG (Non-Conf),W,69.0,62.0,,25.0,53.0,0.472,5.0,15.0,0.333,20.0,38.0,0.526,0.519,14.0,25.0,0.56,8.0,29.0,37.0,8.0,3.0,3.0,12.0,13.0,23.0,67.0,0.343,5.0,21.0,0.238,18.0,46.0,0.391,0.381,11.0,18.0,0.611,15.0,22.0,37.0,7.0,8.0,8.0,11.0,21.0,98.3,88.3,70.2,0.472,0.283,0.532,50.0,32.0,4.3,6.5,0.519,15.6,26.7,0.264,0.381,12.7,34.1,0.164
5.0,5.0,2023-11-21,@,Detroit Mercy,REG (Non-Conf),W,76.0,72.0,,28.0,44.0,0.636,7.0,14.0,0.5,21.0,30.0,0.7,0.716,13.0,14.0,0.929,4.0,16.0,20.0,16.0,5.0,1.0,13.0,13.0,28.0,50.0,0.56,4.0,14.0,0.286,24.0,36.0,0.667,0.6,12.0,14.0,0.857,5.0,13.0,18.0,11.0,8.0,1.0,8.0,14.0,127.4,120.7,59.7,0.318,0.318,0.75,52.6,57.1,8.4,2.8,0.716,20.4,23.5,0.295,0.6,12.4,23.8,0.24
6.0,6.0,2023-11-25,@,Central Arkansas,REG (Non-Conf),W,74.0,71.0,,24.0,53.0,0.453,11.0,23.0,0.478,13.0,30.0,0.433,0.557,15.0,23.0,0.652,8.0,24.0,32.0,12.0,8.0,3.0,7.0,16.0,24.0,57.0,0.421,8.0,20.0,0.4,16.0,37.0,0.432,0.491,15.0,22.0,0.682,7.0,25.0,32.0,18.0,7.0,2.0,11.0,16.0,110.1,105.7,67.2,0.434,0.434,0.579,50.0,50.0,11.9,8.1,0.557,9.9,24.2,0.283,0.491,14.0,22.6,0.263
7.0,7.0,2023-11-26,N,North Dakota,REG (Non-Conf),L,70.0,72.0,,27.0,55.0,0.491,8.0,15.0,0.533,19.0,40.0,0.475,0.564,8.0,14.0,0.571,4.0,17.0,21.0,6.0,5.0,3.0,8.0,21.0,22.0,52.0,0.423,7.0,22.0,0.318,15.0,30.0,0.5,0.49,21.0,29.0,0.724,11.0,21.0,32.0,9.0,6.0,2.0,10.0,14.0,107.3,110.4,65.2,0.255,0.273,0.568,39.6,22.2,7.7,10.0,0.564,11.5,16.0,0.145,0.49,13.2,39.3,0.404
8.0,8.0,2023-12-01,,Lake Superior St.,REG (Non-Conf),W,68.0,53.0,,28.0,63.0,0.444,6.0,19.0,0.316,22.0,44.0,0.5,0.492,6.0,12.0,0.5,11.0,28.0,39.0,12.0,8.0,5.0,12.0,13.0,18.0,55.0,0.327,8.0,24.0,0.333,10.0,31.0,0.323,0.4,9.0,13.0,0.692,3.0,26.0,29.0,10.0,6.0,3.0,13.0,15.0,96.5,75.2,70.4,0.19,0.302,0.495,57.4,42.9,11.4,16.1,0.492,14.9,29.7,0.095,0.4,17.5,9.7,0.164
9.0,9.0,2023-12-08,,Oakland,REG (Non-Conf),L,63.0,77.0,,22.0,51.0,0.431,6.0,20.0,0.3,16.0,31.0,0.516,0.49,13.0,15.0,0.867,3.0,23.0,26.0,16.0,4.0,2.0,14.0,16.0,30.0,58.0,0.517,7.0,23.0,0.304,23.0,35.0,0.657,0.578,10.0,16.0,0.625,8.0,24.0,32.0,13.0,11.0,1.0,9.0,15.0,92.8,113.5,67.9,0.294,0.392,0.542,44.8,72.7,5.9,5.7,0.49,19.4,11.1,0.255,0.578,12.1,25.8,0.172
10.0,10.0,2023-12-16,@,Michigan,REG (Non-Conf),L,66.0,83.0,,26.0,65.0,0.4,2.0,15.0,0.133,24.0,50.0,0.48,0.415,12.0,16.0,0.75,8.0,18.0,26.0,7.0,6.0,1.0,5.0,19.0,31.0,57.0,0.544,12.0,27.0,0.444,19.0,30.0,0.633,0.649,9.0,15.0,0.6,7.0,27.0,34.0,18.0,2.0,5.0,11.0,17.0,95.8,120.5,68.9,0.246,0.231,0.455,43.3,26.9,8.7,3.3,0.415,6.4,22.9,0.185,0.649,14.6,28.0,0.158
