Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Utah,REG (Non-Conf),L,66.0,101.0,,25.0,66.0,0.379,9.0,30.0,0.3,16.0,36.0,0.444,0.447,7.0,11.0,0.636,6.0,17.0,23.0,18.0,8.0,0.0,15.0,28.0,32.0,58.0,0.552,11.0,25.0,0.44,21.0,33.0,0.636,0.647,26.0,38.0,0.684,12.0,34.0,46.0,18.0,10.0,6.0,16.0,13.0,82.4,126.0,80.1,0.167,0.455,0.463,33.3,72.0,10.0,0.0,0.447,17.4,15.0,0.106,0.647,17.4,41.4,0.448
2.0,2.0,2023-11-10,@,Ole Miss,REG (Non-Conf),L,64.0,75.0,,25.0,58.0,0.431,4.0,22.0,0.182,21.0,36.0,0.583,0.466,10.0,13.0,0.769,8.0,27.0,35.0,15.0,5.0,1.0,17.0,19.0,29.0,61.0,0.475,3.0,12.0,0.25,26.0,49.0,0.531,0.5,14.0,19.0,0.737,4.0,19.0,23.0,15.0,14.0,3.0,8.0,12.0,87.0,101.9,73.6,0.224,0.379,0.499,60.3,60.0,6.8,2.0,0.466,20.9,29.6,0.172,0.5,10.3,12.9,0.23
3.0,3.0,2023-11-12,@,Cincinnati,REG (Non-Conf),L,73.0,85.0,,26.0,58.0,0.448,5.0,23.0,0.217,21.0,35.0,0.6,0.491,16.0,23.0,0.696,2.0,25.0,27.0,16.0,4.0,2.0,10.0,24.0,28.0,60.0,0.467,8.0,21.0,0.381,20.0,39.0,0.513,0.533,21.0,31.0,0.677,7.0,29.0,36.0,14.0,6.0,2.0,7.0,19.0,96.3,112.1,75.8,0.397,0.397,0.53,42.9,61.5,5.3,5.1,0.491,12.7,6.5,0.276,0.533,8.6,21.9,0.35
4.0,4.0,2023-11-17,@,Stanford,REG (Non-Conf),L,70.0,95.0,,23.0,55.0,0.418,13.0,29.0,0.448,10.0,26.0,0.385,0.536,11.0,22.0,0.5,6.0,21.0,27.0,15.0,5.0,2.0,16.0,22.0,34.0,62.0,0.548,12.0,25.0,0.48,22.0,37.0,0.595,0.645,15.0,23.0,0.652,9.0,29.0,38.0,23.0,7.0,4.0,11.0,25.0,93.1,126.4,75.2,0.4,0.527,0.535,41.5,65.2,6.7,5.4,0.536,19.6,17.1,0.2,0.645,13.1,30.0,0.242
5.0,5.0,2023-11-22,,Walla Walla,REG (Non-Conf),W,97.0,46.0,,37.0,67.0,0.552,12.0,35.0,0.343,25.0,32.0,0.781,0.642,11.0,14.0,0.786,8.0,33.0,41.0,27.0,13.0,3.0,11.0,13.0,17.0,62.0,0.274,3.0,20.0,0.15,14.0,42.0,0.333,0.298,9.0,12.0,0.75,10.0,20.0,30.0,7.0,5.0,1.0,19.0,12.0,126.5,60.0,76.7,0.209,0.522,0.659,57.7,73.0,17.0,7.1,0.642,13.0,28.6,0.164,0.298,21.9,23.3,0.145
6.0,6.0,2023-11-27,@,Washington State,REG (Non-Conf),L,72.0,82.0,,22.0,45.0,0.489,10.0,24.0,0.417,12.0,21.0,0.571,0.6,18.0,23.0,0.783,5.0,20.0,25.0,13.0,3.0,1.0,16.0,21.0,29.0,64.0,0.453,8.0,26.0,0.308,21.0,38.0,0.553,0.516,16.0,22.0,0.727,14.0,20.0,34.0,10.0,3.0,0.0,7.0,21.0,107.2,122.0,67.2,0.511,0.533,0.644,42.4,59.1,4.5,2.6,0.6,22.2,20.0,0.4,0.516,8.6,41.2,0.25
7.0,7.0,2023-11-29,@,Southern California,REG (Non-Conf),L,78.0,106.0,,28.0,63.0,0.444,13.0,34.0,0.382,15.0,29.0,0.517,0.548,9.0,15.0,0.6,9.0,18.0,27.0,23.0,2.0,3.0,13.0,21.0,36.0,63.0,0.571,12.0,24.0,0.5,24.0,39.0,0.615,0.667,22.0,28.0,0.786,9.0,24.0,33.0,24.0,6.0,5.0,7.0,19.0,105.1,142.8,74.2,0.238,0.54,0.556,45.0,82.1,2.7,7.7,0.548,15.6,27.3,0.143,0.667,8.4,33.3,0.349
8.0,8.0,2023-12-09,@,Air Force,REG (Non-Conf),W,73.0,68.0,,24.0,46.0,0.522,10.0,18.0,0.556,14.0,28.0,0.5,0.63,15.0,18.0,0.833,5.0,25.0,30.0,16.0,8.0,9.0,20.0,21.0,22.0,57.0,0.386,11.0,29.0,0.379,11.0,28.0,0.393,0.482,13.0,17.0,0.765,9.0,16.0,25.0,14.0,11.0,4.0,15.0,20.0,103.8,96.7,70.3,0.391,0.391,0.669,54.5,66.7,11.4,32.1,0.63,26.8,23.8,0.326,0.482,18.7,26.5,0.228
9.0,9.0,2023-12-13,,Portland Bible,REG (Non-Conf),W,103.0,34.0,,42.0,69.0,0.609,7.0,23.0,0.304,35.0,46.0,0.761,0.659,12.0,14.0,0.857,10.0,34.0,44.0,27.0,8.0,10.0,6.0,7.0,15.0,67.0,0.224,3.0,15.0,0.2,12.0,52.0,0.231,0.246,1.0,2.0,0.5,7.0,16.0,23.0,9.0,3.0,2.0,14.0,9.0,140.5,46.4,73.3,0.203,0.333,0.681,65.7,64.3,10.9,19.2,0.659,7.3,38.5,0.174,0.246,17.1,17.1,0.015
10.0,10.0,2023-12-18,@,Cal Poly,REG (Non-Conf),W,62.0,53.0,,20.0,50.0,0.4,7.0,22.0,0.318,13.0,28.0,0.464,0.47,15.0,18.0,0.833,10.0,19.0,29.0,14.0,11.0,3.0,13.0,14.0,21.0,52.0,0.404,2.0,12.0,0.167,19.0,40.0,0.475,0.423,9.0,11.0,0.818,10.0,22.0,32.0,7.0,6.0,4.0,19.0,20.0,97.0,83.0,63.9,0.36,0.44,0.529,47.5,70.0,17.2,7.5,0.47,18.2,31.3,0.3,0.423,24.9,34.5,0.173
