Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,King (TN),REG (Non-Conf),W,73.0,56.0,,25.0,68.0,0.368,7.0,30.0,0.233,18.0,38.0,0.474,0.419,16.0,23.0,0.696,12.0,31.0,43.0,11.0,9.0,10.0,12.0,17.0,20.0,68.0,0.294,3.0,19.0,0.158,17.0,49.0,0.347,0.316,13.0,20.0,0.65,15.0,32.0,47.0,7.0,7.0,4.0,21.0,22.0,89.9,69.0,81.2,0.338,0.441,0.462,47.8,44.0,11.1,20.4,0.419,13.2,27.3,0.235,0.316,21.3,32.6,0.191
2.0,2.0,2023-11-09,@,Elon,REG (Non-Conf),L,76.0,79.0,,29.0,67.0,0.433,9.0,27.0,0.333,20.0,40.0,0.5,0.5,9.0,11.0,0.818,10.0,20.0,30.0,10.0,6.0,4.0,12.0,19.0,30.0,59.0,0.508,9.0,19.0,0.474,21.0,40.0,0.525,0.585,10.0,16.0,0.625,7.0,25.0,32.0,12.0,6.0,4.0,14.0,12.0,102.8,106.9,73.9,0.164,0.403,0.526,48.4,34.5,8.1,10.0,0.5,14.2,28.6,0.134,0.585,17.4,25.9,0.169
3.0,3.0,2023-11-13,@,Butler,REG (Non-Conf),L,47.0,81.0,,18.0,58.0,0.31,4.0,24.0,0.167,14.0,34.0,0.412,0.345,7.0,14.0,0.5,8.0,25.0,33.0,8.0,6.0,5.0,18.0,17.0,31.0,69.0,0.449,11.0,31.0,0.355,20.0,38.0,0.526,0.529,8.0,11.0,0.727,8.0,27.0,35.0,15.0,7.0,6.0,8.0,12.0,63.1,108.8,74.4,0.241,0.414,0.363,48.5,44.4,8.1,13.2,0.345,21.8,22.9,0.121,0.529,9.7,24.2,0.116
4.0,4.0,2023-11-17,,Davidson,REG (Non-Conf),W,70.0,68.0,,23.0,58.0,0.397,9.0,27.0,0.333,14.0,31.0,0.452,0.474,15.0,22.0,0.682,14.0,27.0,41.0,10.0,8.0,2.0,14.0,24.0,20.0,50.0,0.4,6.0,19.0,0.316,14.0,31.0,0.452,0.46,22.0,28.0,0.786,5.0,25.0,30.0,8.0,7.0,4.0,11.0,22.0,101.6,98.7,68.9,0.379,0.466,0.511,57.7,43.5,11.6,6.5,0.474,17.0,35.9,0.259,0.46,14.8,15.6,0.44
5.0,5.0,2023-11-22,@,Cleveland State,REG (Non-Conf),L,70.0,72.0,,26.0,56.0,0.464,9.0,23.0,0.391,17.0,33.0,0.515,0.545,9.0,12.0,0.75,12.0,20.0,32.0,15.0,8.0,4.0,18.0,19.0,29.0,66.0,0.439,5.0,14.0,0.357,24.0,52.0,0.462,0.477,9.0,20.0,0.45,17.0,20.0,37.0,11.0,14.0,4.0,10.0,14.0,102.8,105.7,68.1,0.214,0.411,0.567,46.4,57.7,11.7,7.7,0.545,22.6,37.5,0.161,0.477,11.7,45.9,0.136
6.0,6.0,2023-11-24,N,Alabama A&M,REG (Non-Conf),W,82.0,71.0,,25.0,56.0,0.446,13.0,31.0,0.419,12.0,25.0,0.48,0.563,19.0,29.0,0.655,9.0,22.0,31.0,15.0,7.0,2.0,11.0,22.0,22.0,51.0,0.431,6.0,13.0,0.462,16.0,38.0,0.421,0.49,21.0,25.0,0.84,7.0,22.0,29.0,11.0,5.0,2.0,14.0,26.0,115.8,100.2,70.8,0.518,0.554,0.588,51.7,60.0,9.9,5.3,0.563,13.6,29.0,0.339,0.49,18.2,24.1,0.412
7.0,7.0,2023-11-29,@,Appalachian State,REG (Non-Conf),L,61.0,72.0,,23.0,67.0,0.343,7.0,23.0,0.304,16.0,44.0,0.364,0.396,8.0,16.0,0.5,11.0,18.0,29.0,7.0,8.0,2.0,5.0,22.0,23.0,44.0,0.523,6.0,20.0,0.3,17.0,24.0,0.708,0.591,20.0,26.0,0.769,4.0,28.0,32.0,14.0,2.0,9.0,11.0,17.0,92.5,109.1,66.0,0.239,0.343,0.409,47.5,30.4,12.1,8.3,0.396,6.3,28.2,0.119,0.591,16.3,18.2,0.455
8.0,8.0,2023-12-03,@,Jacksonville State,REG (Non-Conf),W,61.0,59.0,,22.0,54.0,0.407,8.0,22.0,0.364,14.0,32.0,0.438,0.481,9.0,17.0,0.529,11.0,19.0,30.0,8.0,5.0,0.0,9.0,19.0,23.0,51.0,0.451,4.0,18.0,0.222,19.0,33.0,0.576,0.49,9.0,17.0,0.529,12.0,21.0,33.0,10.0,7.0,4.0,12.0,15.0,102.4,99.0,59.6,0.315,0.407,0.491,47.6,36.4,8.4,0.0,0.481,12.7,34.4,0.167,0.49,16.9,38.7,0.176
9.0,9.0,2023-12-10,,Tennessee Tech,REG (Non-Conf),W,73.0,72.0,,24.0,61.0,0.393,7.0,24.0,0.292,17.0,37.0,0.459,0.451,18.0,21.0,0.857,10.0,23.0,33.0,12.0,7.0,11.0,11.0,19.0,24.0,54.0,0.444,6.0,20.0,0.3,18.0,34.0,0.529,0.5,18.0,22.0,0.818,7.0,22.0,29.0,10.0,5.0,1.0,11.0,17.0,104.0,102.5,70.2,0.344,0.393,0.514,53.2,50.0,10.0,32.4,0.451,13.4,31.3,0.295,0.5,14.6,23.3,0.333
10.0,10.0,2023-12-15,,Tusculum,REG (Non-Conf),W,105.0,43.0,,33.0,71.0,0.465,11.0,31.0,0.355,22.0,40.0,0.55,0.542,28.0,31.0,0.903,18.0,35.0,53.0,20.0,14.0,1.0,11.0,15.0,14.0,58.0,0.241,4.0,23.0,0.174,10.0,35.0,0.286,0.276,11.0,19.0,0.579,7.0,18.0,25.0,7.0,6.0,0.0,21.0,19.0,131.5,53.8,79.9,0.437,0.437,0.612,67.9,60.6,17.5,2.9,0.542,11.4,50.0,0.394,0.276,23.9,16.7,0.19
11.0,11.0,2023-12-20,,Kansas City,REG (Non-Conf),W,70.0,57.0,,22.0,65.0,0.338,6.0,26.0,0.231,16.0,39.0,0.41,0.385,20.0,26.0,0.769,12.0,26.0,38.0,11.0,9.0,9.0,6.0,17.0,16.0,56.0,0.286,8.0,24.0,0.333,8.0,32.0,0.25,0.357,17.0,21.0,0.81,13.0,31.0,44.0,6.0,3.0,4.0,17.0,19.0,99.1,80.7,70.7,0.4,0.4,0.452,46.3,50.0,12.7,28.1,0.385,7.2,27.9,0.308,0.357,20.5,33.3,0.304
