Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Ferrum,REG (Non-Conf),W,91.0,61.0,,27.0,52.0,0.519,7.0,21.0,0.333,20.0,31.0,0.645,0.587,30.0,39.0,0.769,11.0,23.0,34.0,16.0,12.0,1.0,14.0,10.0,27.0,60.0,0.45,4.0,20.0,0.2,23.0,40.0,0.575,0.483,3.0,6.0,0.5,9.0,17.0,26.0,11.0,8.0,1.0,19.0,24.0,124.3,83.3,73.2,0.75,0.404,0.645,56.7,59.3,16.4,2.5,0.587,16.6,39.3,0.577,0.483,23.2,28.1,0.05
2.0,2.0,2023-11-11,,Campbell,REG (Non-Conf),W,77.0,63.0,,30.0,63.0,0.476,9.0,29.0,0.31,21.0,34.0,0.618,0.548,8.0,11.0,0.727,12.0,22.0,34.0,17.0,14.0,2.0,11.0,25.0,19.0,41.0,0.463,4.0,14.0,0.286,15.0,27.0,0.556,0.512,21.0,28.0,0.75,2.0,21.0,23.0,7.0,4.0,1.0,16.0,14.0,113.6,93.0,67.8,0.175,0.46,0.564,59.6,56.7,20.7,7.4,0.548,13.9,36.4,0.127,0.512,22.8,8.3,0.512
3.0,3.0,2023-11-15,,USC Upstate,REG (Non-Conf),L,81.0,83.0,,28.0,59.0,0.475,6.0,17.0,0.353,22.0,42.0,0.524,0.525,19.0,31.0,0.613,19.0,19.0,38.0,11.0,4.0,4.0,14.0,16.0,29.0,61.0,0.475,9.0,21.0,0.429,20.0,40.0,0.5,0.549,16.0,19.0,0.842,10.0,17.0,27.0,14.0,6.0,1.0,12.0,23.0,115.1,117.9,70.4,0.525,0.288,0.549,58.5,39.3,5.7,10.0,0.525,16.0,52.8,0.322,0.549,14.6,34.5,0.262
4.0,4.0,2023-11-19,,Northeastern,REG (Non-Conf),L,76.0,82.0,,28.0,58.0,0.483,6.0,23.0,0.261,22.0,35.0,0.629,0.534,14.0,20.0,0.7,8.0,15.0,23.0,14.0,4.0,1.0,8.0,17.0,31.0,56.0,0.554,8.0,23.0,0.348,23.0,33.0,0.697,0.625,12.0,18.0,0.667,10.0,22.0,32.0,20.0,3.0,6.0,12.0,19.0,113.4,122.3,67.0,0.345,0.397,0.563,41.8,50.0,6.0,3.0,0.534,10.6,26.7,0.241,0.625,15.7,40.0,0.214
5.0,5.0,2023-11-20,,Georgia Southern,REG (Non-Conf),W,82.0,64.0,,28.0,50.0,0.56,12.0,26.0,0.462,16.0,24.0,0.667,0.68,14.0,20.0,0.7,7.0,26.0,33.0,20.0,9.0,1.0,14.0,13.0,21.0,52.0,0.404,11.0,32.0,0.344,10.0,20.0,0.5,0.51,11.0,13.0,0.846,3.0,18.0,21.0,9.0,9.0,0.0,16.0,17.0,119.1,93.0,68.8,0.4,0.52,0.689,61.1,71.4,13.1,5.0,0.68,19.0,28.0,0.28,0.51,21.6,10.3,0.212
6.0,6.0,2023-11-21,,Kennesaw State,REG (Non-Conf),W,85.0,84.0,,26.0,63.0,0.413,5.0,18.0,0.278,21.0,45.0,0.467,0.452,28.0,40.0,0.7,14.0,28.0,42.0,12.0,8.0,8.0,11.0,17.0,31.0,69.0,0.449,14.0,38.0,0.368,17.0,31.0,0.548,0.551,8.0,16.0,0.5,9.0,21.0,30.0,18.0,8.0,2.0,11.0,29.0,107.9,106.6,78.8,0.635,0.286,0.518,58.3,46.2,10.2,25.8,0.452,11.8,40.0,0.444,0.551,12.6,24.3,0.116
7.0,7.0,2023-11-25,@,George Mason,REG (Non-Conf),L,59.0,81.0,,20.0,58.0,0.345,6.0,20.0,0.3,14.0,38.0,0.368,0.397,13.0,21.0,0.619,10.0,17.0,27.0,9.0,3.0,3.0,6.0,14.0,32.0,55.0,0.582,9.0,24.0,0.375,23.0,31.0,0.742,0.664,8.0,11.0,0.727,6.0,25.0,31.0,18.0,6.0,7.0,6.0,15.0,95.0,130.4,62.1,0.362,0.345,0.434,46.6,45.0,4.8,9.7,0.397,8.1,28.6,0.224,0.664,9.1,26.1,0.145
8.0,8.0,2023-11-30,,UNC Wilmington,REG (Non-Conf),W,74.0,66.0,,23.0,52.0,0.442,8.0,25.0,0.32,15.0,27.0,0.556,0.519,20.0,32.0,0.625,12.0,27.0,39.0,8.0,5.0,0.0,10.0,23.0,22.0,56.0,0.393,3.0,23.0,0.13,19.0,33.0,0.576,0.42,19.0,30.0,0.633,9.0,18.0,27.0,6.0,4.0,0.0,6.0,23.0,111.7,99.7,66.2,0.615,0.481,0.551,59.1,34.8,7.6,0.0,0.519,13.0,40.0,0.385,0.42,7.9,25.0,0.339
9.0,9.0,2023-12-04,,Maryland Eastern Shore,REG (Non-Conf),W,63.0,52.0,,21.0,61.0,0.344,4.0,18.0,0.222,17.0,43.0,0.395,0.377,17.0,21.0,0.81,11.0,24.0,35.0,12.0,12.0,4.0,8.0,14.0,15.0,52.0,0.288,8.0,24.0,0.333,7.0,28.0,0.25,0.365,14.0,16.0,0.875,10.0,23.0,33.0,11.0,3.0,8.0,17.0,18.0,93.6,77.3,67.3,0.344,0.295,0.444,51.5,57.1,17.8,14.3,0.377,10.1,32.4,0.279,0.365,22.2,29.4,0.269
10.0,10.0,2023-12-09,,South Carolina,REG (Non-Conf),L,62.0,68.0,,21.0,53.0,0.396,5.0,17.0,0.294,16.0,36.0,0.444,0.443,15.0,23.0,0.652,6.0,23.0,29.0,8.0,6.0,2.0,7.0,18.0,21.0,48.0,0.438,9.0,26.0,0.346,12.0,22.0,0.545,0.531,17.0,24.0,0.708,5.0,26.0,31.0,13.0,2.0,4.0,9.0,17.0,96.6,106.0,64.2,0.434,0.321,0.485,48.3,38.1,9.4,9.1,0.443,9.9,18.8,0.283,0.531,13.2,17.9,0.354
11.0,11.0,2023-12-14,N,Florida,REG (Non-Conf),L,65.0,70.0,,25.0,63.0,0.397,7.0,22.0,0.318,18.0,41.0,0.439,0.452,8.0,12.0,0.667,8.0,21.0,29.0,11.0,12.0,3.0,12.0,21.0,25.0,61.0,0.41,5.0,20.0,0.25,20.0,41.0,0.488,0.451,15.0,28.0,0.536,20.0,29.0,49.0,13.0,7.0,7.0,17.0,12.0,90.3,97.2,72.0,0.19,0.349,0.473,37.2,44.0,16.7,7.3,0.452,14.9,21.6,0.127,0.451,18.6,48.8,0.246
12.0,12.0,2023-12-20,,Delaware State,REG (Non-Conf),W,79.0,50.0,,30.0,61.0,0.492,8.0,21.0,0.381,22.0,40.0,0.55,0.557,11.0,12.0,0.917,11.0,29.0,40.0,16.0,9.0,2.0,10.0,14.0,18.0,57.0,0.316,3.0,20.0,0.15,15.0,37.0,0.405,0.342,11.0,15.0,0.733,11.0,19.0,30.0,9.0,8.0,2.0,15.0,12.0,118.1,74.7,66.9,0.197,0.344,0.592,57.1,53.3,13.5,5.4,0.557,13.0,36.7,0.18,0.342,19.0,27.5,0.193
13.0,13.0,2023-12-29,,East Tennessee State,REG (Non-Conf),L,70.0,86.0,,22.0,63.0,0.349,5.0,30.0,0.167,17.0,33.0,0.515,0.389,21.0,32.0,0.656,20.0,13.0,33.0,8.0,11.0,2.0,14.0,17.0,28.0,59.0,0.475,8.0,24.0,0.333,20.0,35.0,0.571,0.542,22.0,23.0,0.957,14.0,23.0,37.0,10.0,8.0,3.0,17.0,25.0,96.5,118.5,72.6,0.508,0.476,0.448,47.1,36.4,15.2,5.7,0.389,15.2,46.5,0.333,0.542,19.6,51.9,0.373
14.0,14.0,2024-01-02,@,Florida Atlantic,REG (Conf),L,64.0,79.0,,24.0,55.0,0.436,6.0,14.0,0.429,18.0,41.0,0.439,0.491,10.0,16.0,0.625,11.0,18.0,29.0,6.0,6.0,2.0,10.0,13.0,29.0,60.0,0.483,11.0,26.0,0.423,18.0,34.0,0.529,0.575,10.0,14.0,0.714,11.0,20.0,31.0,21.0,7.0,1.0,8.0,9.0,102.2,126.1,62.6,0.291,0.255,0.511,48.3,25.0,9.6,5.9,0.491,13.8,35.5,0.182,0.575,10.7,37.9,0.167
