Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Wake Forest,REG (Non-Conf),L,78.0,101.0,,28.0,59.0,0.475,10.0,23.0,0.435,18.0,36.0,0.5,0.559,12.0,16.0,0.75,3.0,17.0,20.0,10.0,6.0,1.0,11.0,19.0,37.0,65.0,0.569,8.0,26.0,0.308,29.0,39.0,0.744,0.631,19.0,21.0,0.905,8.0,26.0,34.0,10.0,5.0,6.0,11.0,14.0,102.2,132.4,76.3,0.271,0.39,0.586,37.0,35.7,7.9,2.6,0.559,14.2,10.3,0.203,0.631,12.8,32.0,0.292
2.0,2.0,2023-11-09,,East Tennessee State,REG (Non-Conf),W,79.0,76.0,,30.0,59.0,0.508,9.0,19.0,0.474,21.0,40.0,0.525,0.585,10.0,16.0,0.625,7.0,25.0,32.0,12.0,6.0,4.0,14.0,12.0,29.0,67.0,0.433,9.0,27.0,0.333,20.0,40.0,0.5,0.5,9.0,11.0,0.818,10.0,20.0,30.0,10.0,6.0,4.0,12.0,19.0,106.9,102.8,73.9,0.271,0.322,0.593,51.6,40.0,8.1,10.0,0.585,17.4,25.9,0.169,0.5,14.2,28.6,0.134
3.0,3.0,2023-11-12,@,North Dakota,REG (Non-Conf),L,68.0,85.0,,21.0,56.0,0.375,9.0,21.0,0.429,12.0,35.0,0.343,0.455,17.0,24.0,0.708,9.0,23.0,32.0,11.0,4.0,2.0,17.0,22.0,30.0,62.0,0.484,8.0,24.0,0.333,22.0,38.0,0.579,0.548,17.0,23.0,0.739,12.0,24.0,36.0,13.0,10.0,6.0,7.0,18.0,94.9,118.6,71.7,0.429,0.375,0.504,47.1,52.4,5.6,5.3,0.455,20.1,27.3,0.304,0.548,8.8,34.3,0.274
4.0,4.0,2023-11-17,N,IUPUI,REG (Non-Conf),W,86.0,72.0,,27.0,58.0,0.466,14.0,28.0,0.5,13.0,30.0,0.433,0.586,18.0,26.0,0.692,8.0,19.0,27.0,18.0,5.0,1.0,8.0,11.0,29.0,58.0,0.5,4.0,12.0,0.333,25.0,46.0,0.543,0.534,10.0,11.0,0.909,11.0,17.0,28.0,11.0,4.0,3.0,11.0,16.0,128.8,107.8,66.8,0.448,0.483,0.611,49.1,66.7,7.5,2.2,0.586,10.2,32.0,0.31,0.534,14.8,36.7,0.172
5.0,5.0,2023-11-18,N,Holy Cross,REG (Non-Conf),W,83.0,69.0,,33.0,59.0,0.559,11.0,27.0,0.407,22.0,32.0,0.688,0.653,6.0,11.0,0.545,6.0,27.0,33.0,18.0,5.0,5.0,7.0,10.0,28.0,63.0,0.444,9.0,22.0,0.409,19.0,41.0,0.463,0.516,4.0,6.0,0.667,5.0,18.0,23.0,16.0,4.0,1.0,8.0,10.0,123.8,102.9,67.0,0.186,0.458,0.646,58.9,54.5,7.5,12.2,0.653,9.8,25.0,0.102,0.516,10.8,15.6,0.063
6.0,6.0,2023-11-19,@,Winthrop,REG (Non-Conf),L,70.0,78.0,,20.0,51.0,0.392,8.0,29.0,0.276,12.0,22.0,0.545,0.471,22.0,28.0,0.786,11.0,20.0,31.0,14.0,3.0,1.0,13.0,27.0,23.0,54.0,0.426,5.0,20.0,0.25,18.0,34.0,0.529,0.472,27.0,35.0,0.771,10.0,18.0,28.0,12.0,7.0,2.0,6.0,22.0,105.3,117.4,66.5,0.549,0.569,0.544,52.5,70.0,4.5,2.9,0.471,16.8,37.9,0.431,0.472,7.8,33.3,0.5
7.0,7.0,2023-11-27,,Presbyterian,REG (Non-Conf),W,82.0,79.0,,25.0,61.0,0.41,12.0,27.0,0.444,13.0,34.0,0.382,0.508,20.0,23.0,0.87,12.0,25.0,37.0,15.0,9.0,9.0,19.0,16.0,34.0,69.0,0.493,5.0,18.0,0.278,29.0,51.0,0.569,0.529,6.0,18.0,0.333,11.0,21.0,32.0,19.0,11.0,1.0,14.0,17.0,102.8,99.1,79.7,0.377,0.443,0.57,53.6,60.0,11.3,17.6,0.508,20.9,36.4,0.328,0.529,15.3,30.6,0.087
8.0,8.0,2023-11-30,,Warren Wilson,REG (Non-Conf),W,127.0,56.0,,52.0,82.0,0.634,4.0,23.0,0.174,48.0,59.0,0.814,0.659,19.0,25.0,0.76,18.0,37.0,55.0,20.0,14.0,4.0,6.0,10.0,22.0,68.0,0.324,9.0,35.0,0.257,13.0,33.0,0.394,0.39,3.0,8.0,0.375,9.0,13.0,22.0,12.0,3.0,0.0,20.0,14.0,154.2,68.0,82.3,0.305,0.28,0.676,71.4,38.5,17.0,12.1,0.659,6.0,58.1,0.232,0.39,21.8,19.6,0.044
9.0,9.0,2023-12-03,@,Radford,REG (Non-Conf),L,72.0,82.0,,23.0,49.0,0.469,5.0,21.0,0.238,18.0,28.0,0.643,0.52,21.0,31.0,0.677,11.0,18.0,29.0,7.0,4.0,3.0,12.0,26.0,27.0,53.0,0.509,7.0,15.0,0.467,20.0,38.0,0.526,0.575,21.0,30.0,0.7,11.0,20.0,31.0,11.0,5.0,2.0,9.0,22.0,110.8,126.2,65.0,0.633,0.429,0.565,48.3,30.4,6.2,7.9,0.52,15.8,35.5,0.429,0.575,11.8,37.9,0.396
10.0,10.0,2023-12-10,@,UNC Greensboro,REG (Non-Conf),L,73.0,82.0,,25.0,69.0,0.362,8.0,26.0,0.308,17.0,43.0,0.395,0.42,15.0,20.0,0.75,6.0,24.0,30.0,12.0,7.0,1.0,7.0,16.0,28.0,61.0,0.459,10.0,28.0,0.357,18.0,33.0,0.545,0.541,16.0,20.0,0.8,8.0,30.0,38.0,17.0,4.0,5.0,10.0,18.0,96.1,107.9,76.0,0.29,0.377,0.465,44.1,48.0,9.2,3.0,0.42,8.2,16.7,0.217,0.541,12.4,25.0,0.262
