Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Miami (OH),REG (Non-Conf),W,72.0,64.0,,23.0,51.0,0.451,5.0,15.0,0.333,18.0,36.0,0.5,0.5,21.0,30.0,0.7,5.0,25.0,30.0,10.0,11.0,4.0,13.0,16.0,25.0,52.0,0.481,10.0,20.0,0.5,15.0,32.0,0.469,0.577,4.0,11.0,0.364,5.0,28.0,33.0,15.0,7.0,1.0,19.0,25.0,99.7,88.6,72.2,0.588,0.294,0.552,47.6,43.5,15.2,12.5,0.5,16.6,15.2,0.412,0.577,24.9,16.7,0.077
2.0,2.0,2023-11-09,,Stl Pharmacy,REG (Non-Conf),W,116.0,46.0,,48.0,81.0,0.593,7.0,20.0,0.35,41.0,61.0,0.672,0.636,13.0,21.0,0.619,21.0,41.0,62.0,19.0,7.0,5.0,10.0,8.0,16.0,71.0,0.225,9.0,38.0,0.237,7.0,33.0,0.212,0.289,5.0,8.0,0.625,11.0,13.0,24.0,8.0,2.0,0.0,13.0,15.0,148.0,58.7,78.4,0.259,0.247,0.638,72.1,39.6,8.9,15.2,0.636,9.9,61.8,0.16,0.289,14.8,21.2,0.07
3.0,3.0,2023-11-15,@,Southeast Missouri State,REG (Non-Conf),W,76.0,57.0,,32.0,60.0,0.533,4.0,12.0,0.333,28.0,48.0,0.583,0.567,8.0,12.0,0.667,3.0,27.0,30.0,17.0,11.0,4.0,10.0,17.0,23.0,53.0,0.434,7.0,22.0,0.318,16.0,31.0,0.516,0.5,4.0,13.0,0.308,7.0,24.0,31.0,10.0,5.0,3.0,18.0,13.0,106.4,79.8,71.4,0.2,0.2,0.578,49.2,53.1,15.4,12.9,0.567,13.2,11.1,0.133,0.5,23.3,20.6,0.075
4.0,4.0,2023-11-18,,Ball State,REG (Non-Conf),W,74.0,50.0,,27.0,59.0,0.458,5.0,15.0,0.333,22.0,44.0,0.5,0.5,15.0,20.0,0.75,7.0,27.0,34.0,18.0,9.0,5.0,8.0,17.0,16.0,51.0,0.314,5.0,14.0,0.357,11.0,37.0,0.297,0.363,13.0,18.0,0.722,7.0,23.0,30.0,6.0,4.0,3.0,17.0,16.0,106.4,71.9,69.5,0.339,0.254,0.54,53.1,66.7,12.9,13.5,0.5,10.5,23.3,0.254,0.363,22.2,20.6,0.255
5.0,5.0,2023-11-24,@,Chattanooga,REG (Non-Conf),W,85.0,77.0,OT,29.0,68.0,0.426,12.0,33.0,0.364,17.0,35.0,0.486,0.515,15.0,18.0,0.833,10.0,28.0,38.0,16.0,5.0,3.0,12.0,11.0,28.0,69.0,0.406,14.0,41.0,0.341,14.0,28.0,0.5,0.507,7.0,11.0,0.636,8.0,27.0,35.0,12.0,10.0,3.0,14.0,18.0,107.1,97.0,70.6,0.265,0.485,0.555,52.1,55.2,6.3,10.7,0.515,13.6,27.0,0.221,0.507,15.9,22.2,0.101
6.0,6.0,2023-11-25,N,Southeast Missouri State,REG (Non-Conf),W,93.0,74.0,,35.0,62.0,0.565,4.0,12.0,0.333,31.0,50.0,0.62,0.597,19.0,29.0,0.655,8.0,26.0,34.0,17.0,9.0,4.0,6.0,18.0,26.0,58.0,0.448,9.0,26.0,0.346,17.0,32.0,0.531,0.526,13.0,17.0,0.765,8.0,20.0,28.0,14.0,1.0,4.0,14.0,20.0,127.5,101.5,72.9,0.468,0.194,0.614,54.8,48.6,12.3,12.5,0.597,7.3,28.6,0.306,0.526,17.5,23.5,0.224
7.0,7.0,2023-11-29,@,Missouri State,REG (Conf),L,78.0,90.0,,29.0,68.0,0.426,10.0,30.0,0.333,19.0,38.0,0.5,0.5,10.0,14.0,0.714,9.0,21.0,30.0,16.0,9.0,3.0,13.0,20.0,28.0,59.0,0.475,9.0,23.0,0.391,19.0,36.0,0.528,0.551,25.0,32.0,0.781,11.0,29.0,40.0,15.0,9.0,6.0,14.0,14.0,100.1,115.5,77.9,0.206,0.441,0.522,42.9,55.2,11.5,8.3,0.5,14.8,23.7,0.147,0.551,15.9,34.4,0.424
8.0,8.0,2023-12-02,,Northern Iowa,REG (Conf),W,91.0,89.0,OT,30.0,55.0,0.545,9.0,18.0,0.5,21.0,37.0,0.568,0.627,22.0,28.0,0.786,6.0,28.0,34.0,17.0,8.0,6.0,13.0,18.0,32.0,64.0,0.5,10.0,22.0,0.455,22.0,42.0,0.524,0.578,15.0,21.0,0.714,5.0,24.0,29.0,18.0,8.0,1.0,9.0,24.0,118.7,116.1,68.1,0.509,0.327,0.666,54.0,56.7,10.4,14.3,0.627,16.0,20.0,0.4,0.578,10.8,15.2,0.234
9.0,9.0,2023-12-05,@,Brigham Young,REG (Non-Conf),L,55.0,96.0,,22.0,66.0,0.333,5.0,29.0,0.172,17.0,37.0,0.459,0.371,6.0,10.0,0.6,8.0,20.0,28.0,16.0,4.0,3.0,7.0,14.0,36.0,68.0,0.529,14.0,32.0,0.438,22.0,36.0,0.611,0.632,10.0,17.0,0.588,11.0,32.0,43.0,26.0,5.0,5.0,7.0,15.0,77.6,135.4,70.9,0.152,0.439,0.389,39.4,72.7,5.6,8.3,0.371,9.0,20.0,0.091,0.632,8.4,35.5,0.147
10.0,10.0,2023-12-16,@,Bellarmine,REG (Non-Conf),W,70.0,61.0,,27.0,57.0,0.474,4.0,16.0,0.25,23.0,41.0,0.561,0.509,12.0,15.0,0.8,8.0,31.0,39.0,9.0,2.0,4.0,10.0,10.0,24.0,70.0,0.343,5.0,31.0,0.161,19.0,39.0,0.487,0.379,8.0,8.0,1.0,13.0,22.0,35.0,10.0,3.0,3.0,5.0,16.0,106.1,92.5,66.0,0.263,0.281,0.546,52.7,33.3,3.0,10.3,0.509,13.5,26.7,0.211,0.379,6.3,29.5,0.114
