Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-08,N,Loyola Chicago,REG (Non-Conf),W,75.0,62.0,,26.0,56.0,0.464,8.0,23.0,0.348,18.0,33.0,0.545,0.536,15.0,21.0,0.714,7.0,23.0,30.0,16.0,11.0,5.0,12.0,19.0,22.0,51.0,0.431,6.0,17.0,0.353,16.0,34.0,0.471,0.49,12.0,19.0,0.632,7.0,19.0,26.0,9.0,6.0,4.0,18.0,18.0,105.6,87.3,71.0,0.375,0.411,0.568,53.6,61.5,15.5,14.7,0.536,15.4,26.9,0.268,0.49,23.1,23.3,0.235
2.0,2.0,2023-11-14,,Eastern Michigan,REG (Non-Conf),W,100.0,57.0,,40.0,64.0,0.625,13.0,25.0,0.52,27.0,39.0,0.692,0.727,7.0,12.0,0.583,11.0,27.0,38.0,25.0,6.0,2.0,7.0,15.0,23.0,54.0,0.426,2.0,15.0,0.133,21.0,39.0,0.538,0.444,9.0,14.0,0.643,7.0,14.0,21.0,7.0,5.0,0.0,11.0,14.0,153.4,87.5,65.2,0.188,0.391,0.717,64.4,62.5,9.2,5.1,0.727,9.1,44.0,0.109,0.444,15.4,20.6,0.167
3.0,3.0,2023-11-18,,Bryant,REG (Non-Conf),L,52.0,61.0,,17.0,65.0,0.262,5.0,30.0,0.167,12.0,35.0,0.343,0.3,13.0,20.0,0.65,9.0,31.0,40.0,7.0,7.0,3.0,12.0,17.0,22.0,63.0,0.349,8.0,29.0,0.276,14.0,34.0,0.412,0.413,9.0,13.0,0.692,11.0,33.0,44.0,8.0,5.0,6.0,13.0,17.0,70.0,82.1,74.3,0.308,0.462,0.349,47.6,41.2,9.4,8.8,0.3,13.9,21.4,0.2,0.413,15.8,26.2,0.143
4.0,4.0,2023-11-23,N,Butler,REG (Non-Conf),W,91.0,86.0,,33.0,63.0,0.524,7.0,22.0,0.318,26.0,41.0,0.634,0.579,18.0,27.0,0.667,14.0,22.0,36.0,10.0,10.0,2.0,9.0,19.0,30.0,60.0,0.5,9.0,19.0,0.474,21.0,41.0,0.512,0.575,17.0,22.0,0.773,8.0,19.0,27.0,12.0,5.0,2.0,10.0,20.0,127.0,120.0,71.6,0.429,0.349,0.6,57.1,30.3,14.0,4.9,0.579,10.6,42.4,0.286,0.575,12.4,26.7,0.283
5.0,5.0,2023-11-24,N,Texas A&M,REG (Non-Conf),W,96.0,89.0,,30.0,56.0,0.536,16.0,30.0,0.533,14.0,26.0,0.538,0.679,20.0,23.0,0.87,7.0,15.0,22.0,18.0,4.0,3.0,7.0,20.0,32.0,67.0,0.478,10.0,22.0,0.455,22.0,45.0,0.489,0.552,15.0,20.0,0.75,20.0,18.0,38.0,8.0,6.0,3.0,12.0,21.0,141.8,131.4,67.7,0.411,0.536,0.717,36.7,60.0,5.9,6.7,0.679,9.5,28.0,0.357,0.552,13.6,57.1,0.224
6.0,6.0,2023-11-26,N,Virginia Tech,REG (Non-Conf),W,84.0,50.0,,33.0,58.0,0.569,9.0,22.0,0.409,24.0,36.0,0.667,0.647,9.0,11.0,0.818,5.0,34.0,39.0,16.0,10.0,5.0,15.0,15.0,20.0,60.0,0.333,2.0,17.0,0.118,18.0,43.0,0.419,0.35,8.0,13.0,0.615,4.0,19.0,23.0,8.0,6.0,0.0,14.0,10.0,112.4,66.9,74.7,0.19,0.379,0.664,62.9,48.5,13.4,11.6,0.647,19.2,20.8,0.155,0.35,17.5,10.5,0.133
7.0,7.0,2023-11-30,,Liberty,REG (Non-Conf),W,83.0,58.0,,30.0,55.0,0.545,7.0,14.0,0.5,23.0,41.0,0.561,0.609,16.0,21.0,0.762,11.0,24.0,35.0,10.0,11.0,5.0,11.0,17.0,21.0,56.0,0.375,8.0,25.0,0.32,13.0,31.0,0.419,0.446,8.0,14.0,0.571,10.0,16.0,26.0,9.0,3.0,2.0,12.0,17.0,128.1,89.5,64.8,0.382,0.255,0.639,57.4,33.3,17.0,16.1,0.609,14.5,40.7,0.291,0.446,16.1,29.4,0.143
8.0,8.0,2023-12-02,,College of Charleston,REG (Non-Conf),W,90.0,74.0,,33.0,60.0,0.55,6.0,19.0,0.316,27.0,41.0,0.659,0.6,18.0,29.0,0.621,10.0,34.0,44.0,14.0,4.0,2.0,9.0,19.0,24.0,67.0,0.358,11.0,31.0,0.355,13.0,36.0,0.361,0.44,15.0,21.0,0.714,11.0,19.0,30.0,10.0,2.0,0.0,7.0,23.0,123.5,101.5,72.9,0.483,0.317,0.61,59.5,42.4,5.5,5.6,0.6,10.9,34.5,0.3,0.44,8.3,24.4,0.224
9.0,9.0,2023-12-05,N,Illinois,REG (Non-Conf),L,89.0,98.0,,31.0,64.0,0.484,9.0,23.0,0.391,22.0,41.0,0.537,0.555,18.0,22.0,0.818,10.0,16.0,26.0,23.0,7.0,1.0,13.0,16.0,36.0,57.0,0.632,8.0,20.0,0.4,28.0,37.0,0.757,0.702,18.0,20.0,0.9,4.0,19.0,23.0,10.0,4.0,3.0,13.0,18.0,116.4,128.1,76.5,0.344,0.359,0.598,53.1,74.2,9.2,2.7,0.555,14.9,34.5,0.281,0.702,16.4,20.0,0.316
10.0,10.0,2023-12-13,,Florida International,REG (Non-Conf),W,94.0,60.0,,36.0,56.0,0.643,11.0,22.0,0.5,25.0,34.0,0.735,0.741,11.0,23.0,0.478,8.0,30.0,38.0,24.0,10.0,4.0,17.0,15.0,23.0,65.0,0.354,11.0,31.0,0.355,12.0,34.0,0.353,0.438,3.0,5.0,0.6,8.0,13.0,21.0,11.0,7.0,2.0,16.0,17.0,124.3,79.3,75.7,0.411,0.393,0.702,64.4,66.7,13.2,11.8,0.741,20.3,38.1,0.196,0.438,19.2,21.1,0.046
11.0,11.0,2023-12-16,N,St. Bonaventure,REG (Non-Conf),W,64.0,54.0,,23.0,56.0,0.411,5.0,20.0,0.25,18.0,36.0,0.5,0.455,13.0,23.0,0.565,9.0,26.0,35.0,12.0,9.0,1.0,12.0,14.0,20.0,48.0,0.417,7.0,18.0,0.389,13.0,30.0,0.433,0.49,7.0,11.0,0.636,2.0,26.0,28.0,13.0,8.0,4.0,20.0,17.0,90.7,76.5,70.6,0.411,0.357,0.478,55.6,52.2,12.8,3.3,0.455,15.2,25.7,0.232,0.49,27.3,7.1,0.146
12.0,12.0,2023-12-23,N,Arizona,REG (Non-Conf),W,96.0,95.0,2OT,36.0,72.0,0.5,8.0,24.0,0.333,28.0,48.0,0.583,0.556,16.0,20.0,0.8,6.0,26.0,32.0,11.0,9.0,1.0,16.0,24.0,33.0,85.0,0.388,7.0,25.0,0.28,26.0,60.0,0.433,0.429,22.0,26.0,0.846,22.0,28.0,50.0,18.0,12.0,1.0,12.0,20.0,107.4,106.2,71.5,0.278,0.333,0.589,39.0,30.6,10.1,1.7,0.556,16.4,17.6,0.222,0.429,11.0,45.8,0.259
13.0,13.0,2023-12-30,@,Florida Gulf Coast,REG (Non-Conf),L,68.0,72.0,,24.0,58.0,0.414,4.0,20.0,0.2,20.0,38.0,0.526,0.448,16.0,27.0,0.593,15.0,23.0,38.0,8.0,3.0,1.0,11.0,9.0,29.0,60.0,0.483,9.0,21.0,0.429,20.0,39.0,0.513,0.558,5.0,8.0,0.625,7.0,22.0,29.0,13.0,7.0,4.0,8.0,19.0,103.3,109.4,65.8,0.466,0.345,0.48,56.7,33.3,4.6,2.6,0.448,13.4,40.5,0.276,0.558,11.1,23.3,0.083
14.0,14.0,2024-01-02,,East Carolina,REG (Conf),W,79.0,64.0,,29.0,60.0,0.483,11.0,26.0,0.423,18.0,34.0,0.529,0.575,10.0,14.0,0.714,11.0,20.0,31.0,21.0,7.0,1.0,8.0,9.0,24.0,55.0,0.436,6.0,14.0,0.429,18.0,41.0,0.439,0.491,10.0,16.0,0.625,11.0,18.0,29.0,6.0,6.0,2.0,10.0,13.0,126.1,102.2,62.6,0.233,0.433,0.593,51.7,72.4,11.2,2.4,0.575,10.7,37.9,0.167,0.491,13.8,35.5,0.182
15.0,15.0,2024-01-06,@,Charlotte,REG (Conf),L,68.0,70.0,,23.0,53.0,0.434,5.0,19.0,0.263,18.0,34.0,0.529,0.481,17.0,20.0,0.85,7.0,18.0,25.0,5.0,6.0,0.0,9.0,15.0,26.0,58.0,0.448,6.0,23.0,0.261,20.0,35.0,0.571,0.5,12.0,13.0,0.923,11.0,19.0,30.0,12.0,5.0,4.0,9.0,19.0,107.4,110.5,63.3,0.377,0.358,0.544,45.5,21.7,9.5,0.0,0.481,12.6,26.9,0.321,0.5,12.3,37.9,0.207
16.0,16.0,2024-01-11,@,Tulane,REG (Conf),W,85.0,84.0,,32.0,73.0,0.438,14.0,37.0,0.378,18.0,36.0,0.5,0.534,7.0,12.0,0.583,15.0,23.0,38.0,21.0,6.0,3.0,12.0,13.0,32.0,62.0,0.516,10.0,22.0,0.455,22.0,40.0,0.55,0.597,10.0,16.0,0.625,7.0,23.0,30.0,14.0,7.0,4.0,10.0,15.0,114.6,113.3,74.2,0.164,0.507,0.54,55.9,65.6,8.1,7.5,0.534,13.2,39.5,0.096,0.597,12.6,23.3,0.161
17.0,17.0,2024-01-14,,UAB,REG (Conf),W,86.0,73.0,,33.0,68.0,0.485,8.0,27.0,0.296,25.0,41.0,0.61,0.544,12.0,14.0,0.857,12.0,31.0,43.0,16.0,4.0,5.0,10.0,17.0,28.0,71.0,0.394,5.0,26.0,0.192,23.0,45.0,0.511,0.43,12.0,15.0,0.8,10.0,22.0,32.0,8.0,5.0,2.0,8.0,18.0,115.6,98.1,74.4,0.206,0.397,0.576,57.3,48.5,5.4,11.1,0.544,11.8,35.3,0.176,0.43,9.3,24.4,0.169
18.0,18.0,2024-01-18,,Wichita State,REG (Conf),W,86.0,77.0,,31.0,66.0,0.47,9.0,27.0,0.333,22.0,39.0,0.564,0.538,15.0,22.0,0.682,13.0,22.0,35.0,16.0,10.0,5.0,8.0,12.0,31.0,55.0,0.564,8.0,18.0,0.444,23.0,37.0,0.622,0.636,7.0,14.0,0.5,5.0,24.0,29.0,9.0,6.0,1.0,14.0,18.0,121.0,108.4,71.1,0.333,0.409,0.562,54.7,51.6,14.1,13.5,0.538,9.5,35.1,0.227,0.636,18.5,18.5,0.127
19.0,19.0,2024-01-21,@,UTSA,REG (Conf),W,112.0,103.0,OT,38.0,73.0,0.521,17.0,35.0,0.486,21.0,38.0,0.553,0.637,19.0,29.0,0.655,10.0,25.0,35.0,21.0,7.0,4.0,7.0,25.0,33.0,67.0,0.493,12.0,27.0,0.444,21.0,40.0,0.525,0.582,25.0,32.0,0.781,10.0,27.0,37.0,18.0,3.0,1.0,13.0,26.0,132.6,121.9,75.1,0.397,0.479,0.645,48.6,55.3,8.3,10.0,0.637,7.5,27.0,0.26,0.582,13.7,28.6,0.373
20.0,20.0,2024-01-24,@,Rice,REG (Conf),W,69.0,56.0,,24.0,55.0,0.436,6.0,17.0,0.353,18.0,38.0,0.474,0.491,15.0,17.0,0.882,8.0,31.0,39.0,14.0,7.0,4.0,12.0,12.0,22.0,63.0,0.349,7.0,24.0,0.292,15.0,39.0,0.385,0.405,5.0,11.0,0.455,13.0,20.0,33.0,12.0,8.0,4.0,10.0,15.0,104.3,84.7,66.2,0.309,0.309,0.547,54.2,58.3,10.6,10.3,0.491,16.0,28.6,0.273,0.405,12.8,29.5,0.079
