Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Buffalo,REG (Non-Conf),W,92.0,86.0,,30.0,63.0,0.476,9.0,23.0,0.391,21.0,40.0,0.525,0.548,23.0,36.0,0.639,8.0,30.0,38.0,18.0,7.0,2.0,6.0,20.0,30.0,72.0,0.417,11.0,31.0,0.355,19.0,41.0,0.463,0.493,15.0,20.0,0.75,13.0,30.0,43.0,15.0,2.0,4.0,13.0,25.0,115.3,107.8,79.8,0.571,0.365,0.574,46.9,60.0,8.8,4.9,0.548,7.0,21.1,0.365,0.493,13.8,30.2,0.208
2.0,2.0,2023-11-08,,Penn St. Brandywine,REG (Non-Conf),W,107.0,63.0,,36.0,71.0,0.507,19.0,44.0,0.432,17.0,27.0,0.63,0.641,16.0,19.0,0.842,7.0,33.0,40.0,25.0,12.0,3.0,11.0,15.0,21.0,57.0,0.368,7.0,17.0,0.412,14.0,40.0,0.35,0.43,14.0,16.0,0.875,5.0,24.0,29.0,14.0,7.0,0.0,20.0,18.0,130.8,77.0,81.8,0.268,0.62,0.669,58.0,69.4,14.7,7.5,0.641,12.1,22.6,0.225,0.43,23.6,13.2,0.246
3.0,3.0,2023-11-11,@,Seton Hall,REG (Non-Conf),L,55.0,85.0,,17.0,60.0,0.283,5.0,31.0,0.161,12.0,29.0,0.414,0.325,16.0,25.0,0.64,5.0,20.0,25.0,11.0,14.0,1.0,18.0,18.0,32.0,68.0,0.471,5.0,23.0,0.217,27.0,45.0,0.6,0.507,16.0,23.0,0.696,18.0,41.0,59.0,14.0,11.0,4.0,18.0,18.0,67.2,103.8,81.9,0.417,0.517,0.383,29.8,64.7,17.1,2.2,0.325,20.0,10.9,0.267,0.507,18.6,47.4,0.235
4.0,4.0,2023-11-15,,Saint Peter's,REG (Non-Conf),W,71.0,70.0,,22.0,50.0,0.44,8.0,22.0,0.364,14.0,28.0,0.5,0.52,19.0,25.0,0.76,4.0,23.0,27.0,12.0,5.0,1.0,9.0,17.0,26.0,65.0,0.4,9.0,24.0,0.375,17.0,41.0,0.415,0.469,9.0,11.0,0.818,15.0,22.0,37.0,16.0,4.0,5.0,8.0,21.0,109.1,107.6,65.1,0.5,0.44,0.574,42.2,54.5,7.7,2.4,0.52,12.7,15.4,0.38,0.469,10.2,39.5,0.138
5.0,5.0,2023-11-18,,Penn St. Schuylkill,REG (Non-Conf),W,124.0,66.0,,49.0,83.0,0.59,17.0,37.0,0.459,32.0,46.0,0.696,0.693,9.0,13.0,0.692,19.0,39.0,58.0,28.0,14.0,4.0,17.0,18.0,24.0,69.0,0.348,4.0,18.0,0.222,20.0,51.0,0.392,0.377,14.0,20.0,0.7,8.0,17.0,25.0,17.0,13.0,2.0,19.0,14.0,140.4,74.7,88.3,0.157,0.446,0.695,69.9,57.1,15.8,7.8,0.693,16.0,52.8,0.108,0.377,19.5,17.0,0.203
6.0,6.0,2023-11-22,@,Queens (NC),REG (Non-Conf),L,84.0,97.0,,28.0,66.0,0.424,9.0,31.0,0.29,19.0,35.0,0.543,0.492,19.0,25.0,0.76,11.0,20.0,31.0,12.0,7.0,3.0,13.0,21.0,33.0,68.0,0.485,9.0,28.0,0.321,24.0,40.0,0.6,0.551,22.0,28.0,0.786,8.0,26.0,34.0,17.0,5.0,6.0,11.0,20.0,102.3,118.2,82.1,0.379,0.47,0.539,47.7,42.9,8.5,7.5,0.492,14.3,29.7,0.288,0.551,11.9,28.6,0.324
7.0,7.0,2023-11-25,N,Jacksonville,REG (Non-Conf),L,90.0,91.0,,31.0,58.0,0.534,11.0,21.0,0.524,20.0,37.0,0.541,0.629,17.0,23.0,0.739,5.0,22.0,27.0,20.0,6.0,0.0,10.0,22.0,29.0,52.0,0.558,12.0,26.0,0.462,17.0,26.0,0.654,0.673,21.0,31.0,0.677,7.0,25.0,32.0,16.0,4.0,0.0,11.0,21.0,124.4,125.8,72.3,0.397,0.362,0.653,45.8,64.5,8.3,0.0,0.629,12.7,16.7,0.293,0.673,14.2,24.1,0.404
8.0,8.0,2023-11-26,@,Robert Morris,REG (Non-Conf),L,86.0,97.0,,28.0,67.0,0.418,10.0,28.0,0.357,18.0,39.0,0.462,0.493,20.0,30.0,0.667,17.0,19.0,36.0,18.0,9.0,2.0,10.0,23.0,28.0,55.0,0.509,11.0,28.0,0.393,17.0,27.0,0.63,0.609,30.0,32.0,0.938,10.0,23.0,33.0,10.0,3.0,2.0,14.0,23.0,115.9,130.7,74.2,0.448,0.418,0.529,52.2,64.3,12.1,7.4,0.493,11.0,42.5,0.299,0.609,16.6,34.5,0.545
9.0,9.0,2023-11-30,@,Fordham,REG (Non-Conf),L,52.0,80.0,,18.0,55.0,0.327,2.0,18.0,0.111,16.0,37.0,0.432,0.345,14.0,27.0,0.519,8.0,25.0,33.0,8.0,8.0,2.0,23.0,26.0,27.0,61.0,0.443,5.0,22.0,0.227,22.0,39.0,0.564,0.484,21.0,37.0,0.568,9.0,31.0,40.0,20.0,18.0,2.0,13.0,22.0,62.9,96.7,82.7,0.491,0.327,0.383,45.2,44.4,9.7,5.1,0.345,25.3,20.5,0.255,0.484,14.2,26.5,0.344
10.0,10.0,2023-12-02,@,NJIT,REG (Non-Conf),W,71.0,68.0,,25.0,61.0,0.41,8.0,22.0,0.364,17.0,39.0,0.436,0.475,13.0,17.0,0.765,9.0,26.0,35.0,12.0,11.0,3.0,14.0,14.0,25.0,62.0,0.403,11.0,29.0,0.379,14.0,33.0,0.424,0.492,7.0,10.0,0.7,12.0,26.0,38.0,16.0,8.0,5.0,17.0,19.0,97.4,93.3,72.9,0.279,0.361,0.514,47.9,48.0,15.1,9.1,0.475,16.9,25.7,0.213,0.492,20.3,31.6,0.113
