Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,Indiana,REG (Non-Conf),L,63.0,69.0,,24.0,62.0,0.387,13.0,34.0,0.382,11.0,28.0,0.393,0.492,2.0,6.0,0.333,8.0,18.0,26.0,13.0,8.0,3.0,13.0,25.0,23.0,45.0,0.511,4.0,13.0,0.308,19.0,32.0,0.594,0.556,19.0,30.0,0.633,6.0,25.0,31.0,11.0,6.0,5.0,11.0,9.0,94.0,102.9,67.1,0.097,0.548,0.486,45.6,54.2,11.9,9.4,0.492,16.7,24.2,0.032,0.556,15.7,25.0,0.422
2.0,2.0,2023-11-10,,Ave Maria,REG (Non-Conf),W,80.0,71.0,,29.0,63.0,0.46,6.0,31.0,0.194,23.0,32.0,0.719,0.508,16.0,22.0,0.727,8.0,30.0,38.0,15.0,6.0,4.0,5.0,11.0,25.0,70.0,0.357,15.0,50.0,0.3,10.0,20.0,0.5,0.464,6.0,8.0,0.75,5.0,27.0,32.0,16.0,4.0,0.0,9.0,18.0,107.9,95.8,74.1,0.349,0.492,0.545,54.3,51.7,8.1,20.0,0.508,6.4,22.9,0.254,0.464,10.9,14.3,0.086
3.0,3.0,2023-11-13,@,Pittsburgh,REG (Non-Conf),L,74.0,86.0,,28.0,58.0,0.483,7.0,24.0,0.292,21.0,34.0,0.618,0.543,11.0,17.0,0.647,6.0,22.0,28.0,12.0,3.0,2.0,9.0,18.0,30.0,61.0,0.492,8.0,28.0,0.286,22.0,33.0,0.667,0.557,18.0,32.0,0.563,11.0,27.0,38.0,15.0,6.0,5.0,6.0,16.0,105.5,122.6,70.1,0.293,0.414,0.56,42.4,42.9,4.3,6.1,0.543,12.0,18.2,0.19,0.557,7.3,33.3,0.295
4.0,4.0,2023-11-17,N,Missouri State,REG (Non-Conf),L,61.0,70.0,,23.0,55.0,0.418,4.0,19.0,0.211,19.0,36.0,0.528,0.455,11.0,17.0,0.647,11.0,13.0,24.0,7.0,5.0,0.0,10.0,9.0,25.0,46.0,0.543,12.0,25.0,0.48,13.0,21.0,0.619,0.674,8.0,11.0,0.727,5.0,18.0,23.0,11.0,3.0,0.0,14.0,18.0,99.8,114.5,61.2,0.309,0.345,0.484,51.1,30.4,8.2,0.0,0.455,13.7,37.9,0.2,0.674,21.5,27.8,0.174
5.0,5.0,2023-11-18,N,Hampton,REG (Non-Conf),L,85.0,92.0,,26.0,64.0,0.406,6.0,20.0,0.3,20.0,44.0,0.455,0.453,27.0,31.0,0.871,15.0,25.0,40.0,9.0,5.0,2.0,11.0,24.0,28.0,58.0,0.483,12.0,23.0,0.522,16.0,35.0,0.457,0.586,24.0,32.0,0.75,5.0,22.0,27.0,15.0,8.0,2.0,9.0,24.0,111.9,121.1,76.0,0.484,0.313,0.54,59.7,34.6,6.6,5.7,0.453,12.3,40.5,0.422,0.586,10.9,16.7,0.414
6.0,6.0,2023-11-20,N,Norfolk State,REG (Non-Conf),L,66.0,69.0,,23.0,52.0,0.442,9.0,24.0,0.375,14.0,28.0,0.5,0.529,11.0,18.0,0.611,15.0,21.0,36.0,11.0,3.0,4.0,17.0,19.0,20.0,54.0,0.37,8.0,15.0,0.533,12.0,39.0,0.308,0.444,21.0,26.0,0.808,11.0,13.0,24.0,8.0,12.0,3.0,7.0,20.0,105.7,110.5,62.5,0.346,0.462,0.545,60.0,47.8,4.8,10.3,0.529,21.9,53.6,0.212,0.444,9.5,34.4,0.389
7.0,7.0,2023-11-25,,UNC Wilmington,REG (Non-Conf),L,55.0,71.0,,18.0,51.0,0.353,5.0,16.0,0.313,13.0,35.0,0.371,0.402,14.0,21.0,0.667,8.0,17.0,25.0,6.0,6.0,3.0,13.0,16.0,25.0,53.0,0.472,8.0,21.0,0.381,17.0,32.0,0.531,0.547,13.0,15.0,0.867,6.0,24.0,30.0,11.0,5.0,4.0,10.0,20.0,84.6,109.1,65.1,0.412,0.314,0.451,45.5,33.3,9.2,9.4,0.402,17.6,25.0,0.275,0.547,14.3,26.1,0.245
8.0,8.0,2023-11-29,@,Florida International,REG (Non-Conf),W,68.0,65.0,,20.0,43.0,0.465,8.0,21.0,0.381,12.0,22.0,0.545,0.558,20.0,27.0,0.741,6.0,24.0,30.0,13.0,5.0,8.0,20.0,12.0,26.0,56.0,0.464,8.0,23.0,0.348,18.0,33.0,0.545,0.536,5.0,12.0,0.417,4.0,18.0,22.0,14.0,15.0,1.0,14.0,22.0,96.1,91.9,70.8,0.628,0.488,0.609,57.7,65.0,7.1,24.2,0.558,26.4,25.0,0.465,0.536,18.5,14.3,0.089
9.0,9.0,2023-12-03,@,Cincinnati,REG (Non-Conf),L,62.0,99.0,,28.0,68.0,0.412,5.0,17.0,0.294,23.0,51.0,0.451,0.449,1.0,3.0,0.333,8.0,14.0,22.0,14.0,6.0,4.0,9.0,10.0,39.0,69.0,0.565,11.0,19.0,0.579,28.0,50.0,0.56,0.645,10.0,13.0,0.769,14.0,29.0,43.0,23.0,8.0,4.0,10.0,11.0,87.6,139.8,70.8,0.044,0.25,0.447,33.8,50.0,8.5,8.0,0.449,11.5,21.6,0.015,0.645,11.7,50.0,0.145
10.0,10.0,2023-12-05,,New College (FL),REG (Non-Conf),W,87.0,54.0,,35.0,68.0,0.515,13.0,33.0,0.394,22.0,35.0,0.629,0.61,4.0,9.0,0.444,16.0,31.0,47.0,20.0,7.0,6.0,8.0,9.0,22.0,64.0,0.344,7.0,26.0,0.269,15.0,38.0,0.395,0.398,3.0,4.0,0.75,9.0,16.0,25.0,12.0,5.0,1.0,7.0,11.0,135.8,84.3,64.1,0.132,0.485,0.602,65.3,57.1,10.9,15.8,0.61,10.0,50.0,0.059,0.398,9.6,22.5,0.047
