Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,UCF,REG (Non-Conf),L,62.0,85.0,,17.0,47.0,0.362,4.0,18.0,0.222,13.0,29.0,0.448,0.404,24.0,32.0,0.75,6.0,19.0,25.0,10.0,11.0,2.0,24.0,18.0,31.0,62.0,0.5,7.0,24.0,0.292,24.0,38.0,0.632,0.556,16.0,23.0,0.696,12.0,22.0,34.0,16.0,16.0,5.0,17.0,21.0,78.4,107.5,79.1,0.681,0.383,0.498,42.4,58.8,13.9,5.3,0.404,27.8,21.4,0.511,0.556,18.9,38.7,0.258
2.0,2.0,2023-11-09,,Tarleton State,REG (Non-Conf),L,65.0,82.0,,23.0,58.0,0.397,8.0,32.0,0.25,15.0,26.0,0.577,0.466,11.0,17.0,0.647,8.0,13.0,21.0,14.0,17.0,6.0,20.0,13.0,31.0,60.0,0.517,8.0,19.0,0.421,23.0,41.0,0.561,0.583,12.0,18.0,0.667,17.0,26.0,43.0,15.0,13.0,6.0,23.0,17.0,85.2,107.5,76.3,0.293,0.552,0.492,32.8,60.9,22.3,14.6,0.466,23.2,23.5,0.19,0.583,25.1,56.7,0.2
3.0,3.0,2023-11-13,@,Miami (FL),REG (Non-Conf),L,80.0,86.0,,32.0,71.0,0.451,11.0,33.0,0.333,21.0,38.0,0.553,0.528,5.0,8.0,0.625,15.0,16.0,31.0,17.0,7.0,4.0,9.0,15.0,31.0,53.0,0.585,13.0,21.0,0.619,18.0,32.0,0.563,0.708,11.0,14.0,0.786,6.0,25.0,31.0,20.0,8.0,5.0,14.0,9.0,117.3,126.1,68.2,0.113,0.465,0.535,50.0,53.1,10.3,12.5,0.528,10.7,37.5,0.07,0.708,19.0,27.3,0.208
4.0,4.0,2023-11-15,@,Houston Christian,REG (Non-Conf),W,83.0,74.0,,30.0,64.0,0.469,12.0,31.0,0.387,18.0,33.0,0.545,0.563,11.0,18.0,0.611,13.0,16.0,29.0,20.0,15.0,1.0,19.0,26.0,27.0,50.0,0.54,2.0,14.0,0.143,25.0,36.0,0.694,0.56,18.0,30.0,0.6,10.0,21.0,31.0,14.0,3.0,5.0,26.0,17.0,104.5,93.2,79.4,0.281,0.484,0.572,48.3,66.7,18.9,2.8,0.563,20.8,38.2,0.172,0.56,28.8,38.5,0.36
5.0,5.0,2023-11-19,N,Akron,REG (Non-Conf),L,71.0,77.0,,23.0,53.0,0.434,8.0,20.0,0.4,15.0,33.0,0.455,0.509,17.0,23.0,0.739,4.0,16.0,20.0,15.0,14.0,4.0,17.0,24.0,26.0,54.0,0.481,10.0,25.0,0.4,16.0,29.0,0.552,0.574,15.0,25.0,0.6,8.0,22.0,30.0,16.0,6.0,2.0,19.0,21.0,92.3,100.1,76.9,0.434,0.377,0.555,40.0,65.2,18.2,13.8,0.509,21.0,15.4,0.321,0.574,22.4,33.3,0.278
6.0,6.0,2023-11-20,N,Marshall,REG (Non-Conf),L,69.0,80.0,,28.0,69.0,0.406,7.0,29.0,0.241,21.0,40.0,0.525,0.457,6.0,12.0,0.5,14.0,17.0,31.0,13.0,15.0,1.0,15.0,21.0,26.0,52.0,0.5,7.0,24.0,0.292,19.0,28.0,0.679,0.567,21.0,22.0,0.955,6.0,25.0,31.0,19.0,6.0,4.0,19.0,13.0,91.3,105.9,75.6,0.174,0.42,0.462,50.0,46.4,19.8,3.6,0.457,16.7,35.9,0.087,0.567,23.3,26.1,0.404
7.0,7.0,2023-11-21,N,Loyola Marymount,REG (Non-Conf),L,60.0,61.0,,27.0,64.0,0.422,3.0,16.0,0.188,24.0,48.0,0.5,0.445,3.0,6.0,0.5,9.0,15.0,24.0,12.0,11.0,2.0,11.0,18.0,19.0,48.0,0.396,4.0,19.0,0.211,15.0,29.0,0.517,0.438,19.0,22.0,0.864,10.0,22.0,32.0,7.0,5.0,4.0,19.0,12.0,88.0,89.5,68.2,0.094,0.25,0.449,42.9,44.4,16.1,6.9,0.445,14.1,29.0,0.047,0.438,24.5,40.0,0.396
8.0,8.0,2023-11-26,,Kennesaw State,REG (Non-Conf),W,91.0,84.0,,32.0,57.0,0.561,7.0,19.0,0.368,25.0,38.0,0.658,0.623,20.0,28.0,0.714,7.0,26.0,33.0,15.0,8.0,6.0,18.0,22.0,28.0,71.0,0.394,10.0,35.0,0.286,18.0,36.0,0.5,0.465,18.0,28.0,0.643,15.0,21.0,36.0,14.0,12.0,5.0,11.0,20.0,112.6,104.0,80.8,0.491,0.333,0.647,47.8,46.9,9.9,16.7,0.623,20.4,25.0,0.351,0.465,11.5,36.6,0.254
9.0,9.0,2023-11-29,,Florida Gulf Coast,REG (Non-Conf),L,65.0,68.0,,26.0,56.0,0.464,8.0,23.0,0.348,18.0,33.0,0.545,0.536,5.0,12.0,0.417,4.0,18.0,22.0,14.0,15.0,1.0,14.0,22.0,20.0,43.0,0.465,8.0,21.0,0.381,12.0,22.0,0.545,0.558,20.0,27.0,0.741,6.0,24.0,30.0,13.0,5.0,8.0,20.0,12.0,91.9,96.1,70.8,0.214,0.411,0.527,42.3,53.8,21.2,4.5,0.536,18.5,14.3,0.089,0.558,26.4,25.0,0.465
10.0,10.0,2023-12-02,,LIU,REG (Non-Conf),W,74.0,59.0,,28.0,65.0,0.431,4.0,20.0,0.2,24.0,45.0,0.533,0.462,14.0,22.0,0.636,9.0,20.0,29.0,15.0,19.0,5.0,9.0,16.0,22.0,49.0,0.449,4.0,15.0,0.267,18.0,34.0,0.529,0.49,11.0,19.0,0.579,6.0,30.0,36.0,4.0,4.0,3.0,27.0,16.0,95.8,76.4,77.2,0.338,0.308,0.49,44.6,53.6,24.6,14.7,0.462,10.7,23.1,0.215,0.49,31.8,23.1,0.224
