Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Boston College,REG (Non-Conf),L,70.0,89.0,,26.0,68.0,0.382,10.0,27.0,0.37,16.0,41.0,0.39,0.456,8.0,13.0,0.615,11.0,21.0,32.0,9.0,8.0,2.0,14.0,16.0,33.0,67.0,0.493,11.0,27.0,0.407,22.0,40.0,0.55,0.575,12.0,15.0,0.8,10.0,29.0,39.0,15.0,6.0,7.0,13.0,17.0,90.7,115.4,77.2,0.191,0.397,0.472,45.1,34.6,10.4,5.0,0.456,15.9,27.5,0.118,0.575,14.9,32.3,0.179
2.0,2.0,2023-11-09,@,Rhode Island,REG (Non-Conf),L,80.0,93.0,,25.0,68.0,0.368,13.0,36.0,0.361,12.0,32.0,0.375,0.463,17.0,21.0,0.81,13.0,20.0,33.0,15.0,8.0,3.0,14.0,20.0,34.0,65.0,0.523,9.0,21.0,0.429,25.0,44.0,0.568,0.592,16.0,29.0,0.552,14.0,30.0,44.0,21.0,11.0,2.0,18.0,21.0,98.9,115.0,80.9,0.309,0.529,0.513,42.9,60.0,9.9,6.8,0.463,15.2,30.2,0.25,0.592,18.6,41.2,0.246
3.0,3.0,2023-11-13,,Mt. St. Mary (NY),REG (Non-Conf),W,92.0,45.0,,35.0,68.0,0.515,15.0,39.0,0.385,20.0,29.0,0.69,0.625,7.0,8.0,0.875,13.0,35.0,48.0,25.0,10.0,8.0,10.0,10.0,17.0,59.0,0.288,6.0,20.0,0.3,11.0,39.0,0.282,0.339,5.0,8.0,0.625,5.0,15.0,20.0,11.0,5.0,1.0,11.0,11.0,133.7,65.4,68.8,0.118,0.574,0.641,70.6,71.4,14.5,20.5,0.625,12.2,46.4,0.103,0.339,14.9,12.5,0.085
4.0,4.0,2023-11-17,@,Drexel,REG (Non-Conf),L,47.0,65.0,,19.0,57.0,0.333,6.0,21.0,0.286,13.0,36.0,0.361,0.386,3.0,4.0,0.75,3.0,15.0,18.0,8.0,7.0,1.0,12.0,16.0,26.0,53.0,0.491,4.0,17.0,0.235,22.0,36.0,0.611,0.528,9.0,15.0,0.6,8.0,29.0,37.0,11.0,6.0,5.0,13.0,12.0,70.7,97.7,66.5,0.07,0.368,0.399,32.7,42.1,10.5,2.8,0.386,16.9,9.4,0.053,0.528,17.8,34.8,0.17
5.0,5.0,2023-11-18,N,Queens (NC),REG (Non-Conf),L,63.0,69.0,,22.0,52.0,0.423,6.0,23.0,0.261,16.0,29.0,0.552,0.481,13.0,17.0,0.765,3.0,23.0,26.0,10.0,4.0,2.0,15.0,18.0,24.0,58.0,0.414,7.0,25.0,0.28,17.0,33.0,0.515,0.474,14.0,18.0,0.778,8.0,26.0,34.0,15.0,7.0,1.0,9.0,18.0,90.2,98.8,69.8,0.327,0.442,0.524,43.3,45.5,5.7,6.1,0.481,20.0,10.3,0.25,0.474,11.9,25.8,0.241
6.0,6.0,2023-11-24,,New Hampshire,REG (Non-Conf),L,80.0,83.0,,32.0,70.0,0.457,4.0,20.0,0.2,28.0,50.0,0.56,0.486,12.0,15.0,0.8,10.0,20.0,30.0,14.0,13.0,5.0,6.0,11.0,32.0,64.0,0.5,13.0,29.0,0.448,19.0,35.0,0.543,0.602,6.0,7.0,0.857,9.0,24.0,33.0,14.0,3.0,5.0,15.0,12.0,109.3,113.3,73.2,0.214,0.286,0.519,47.6,43.8,17.8,14.3,0.486,7.2,29.4,0.171,0.602,18.2,31.0,0.094
7.0,7.0,2023-12-01,,Iona,REG (Conf),L,67.0,78.0,,26.0,60.0,0.433,8.0,26.0,0.308,18.0,34.0,0.529,0.5,7.0,14.0,0.5,12.0,14.0,26.0,12.0,6.0,1.0,17.0,19.0,27.0,54.0,0.5,10.0,18.0,0.556,17.0,36.0,0.472,0.593,14.0,20.0,0.7,12.0,23.0,35.0,17.0,8.0,0.0,14.0,17.0,97.7,113.7,68.6,0.233,0.433,0.503,42.6,46.2,8.7,2.8,0.5,20.3,34.3,0.117,0.593,18.1,46.2,0.259
8.0,8.0,2023-12-03,@,Rider,REG (Conf),W,88.0,81.0,,26.0,50.0,0.52,9.0,19.0,0.474,17.0,31.0,0.548,0.61,27.0,32.0,0.844,7.0,24.0,31.0,12.0,8.0,5.0,11.0,20.0,31.0,76.0,0.408,1.0,12.0,0.083,30.0,64.0,0.469,0.414,18.0,24.0,0.75,22.0,20.0,42.0,8.0,10.0,1.0,11.0,21.0,120.9,111.3,72.8,0.64,0.38,0.675,42.5,46.2,11.0,7.8,0.61,14.4,25.9,0.54,0.414,11.2,47.8,0.237
9.0,9.0,2023-12-06,@,Yale,REG (Non-Conf),W,75.0,71.0,,27.0,59.0,0.458,8.0,24.0,0.333,19.0,35.0,0.543,0.525,13.0,18.0,0.722,5.0,24.0,29.0,10.0,11.0,3.0,10.0,14.0,28.0,57.0,0.491,6.0,20.0,0.3,22.0,37.0,0.595,0.544,9.0,13.0,0.692,6.0,26.0,32.0,14.0,6.0,6.0,14.0,17.0,104.4,98.8,71.9,0.305,0.407,0.555,47.5,37.0,15.3,8.1,0.525,12.9,16.1,0.22,0.544,18.1,20.0,0.158
10.0,10.0,2023-12-09,@,Sacred Heart,REG (Non-Conf),W,67.0,57.0,,20.0,50.0,0.4,8.0,20.0,0.4,12.0,30.0,0.4,0.48,19.0,22.0,0.864,7.0,27.0,34.0,12.0,6.0,2.0,15.0,15.0,19.0,54.0,0.352,5.0,21.0,0.238,14.0,33.0,0.424,0.398,14.0,18.0,0.778,7.0,19.0,26.0,11.0,10.0,5.0,12.0,17.0,98.5,83.8,68.0,0.44,0.4,0.554,56.7,60.0,8.8,6.1,0.48,19.9,26.9,0.38,0.398,16.1,20.6,0.259
