Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,Creighton,REG (Non-Conf),L,54.0,105.0,,23.0,64.0,0.359,1.0,7.0,0.143,22.0,57.0,0.386,0.367,7.0,9.0,0.778,5.0,15.0,20.0,7.0,6.0,5.0,6.0,14.0,38.0,67.0,0.567,18.0,38.0,0.474,20.0,29.0,0.69,0.701,11.0,16.0,0.688,16.0,35.0,51.0,21.0,2.0,4.0,9.0,9.0,78.9,153.4,68.4,0.141,0.109,0.395,28.2,30.4,8.8,17.2,0.367,8.1,12.5,0.109,0.701,10.8,51.6,0.164
2.0,2.0,2023-11-09,@,Nebraska,REG (Non-Conf),L,54.0,81.0,,20.0,66.0,0.303,4.0,20.0,0.2,16.0,46.0,0.348,0.333,10.0,17.0,0.588,10.0,23.0,33.0,10.0,8.0,3.0,13.0,26.0,23.0,56.0,0.411,10.0,28.0,0.357,13.0,28.0,0.464,0.5,25.0,36.0,0.694,12.0,34.0,46.0,15.0,7.0,5.0,18.0,17.0,69.2,103.7,78.1,0.258,0.303,0.364,41.8,50.0,10.2,10.7,0.333,14.9,22.7,0.152,0.5,19.8,34.3,0.446
3.0,3.0,2023-11-14,@,Florida,REG (Non-Conf),L,68.0,89.0,,29.0,68.0,0.426,5.0,13.0,0.385,24.0,55.0,0.436,0.463,5.0,6.0,0.833,12.0,15.0,27.0,10.0,10.0,1.0,15.0,22.0,30.0,63.0,0.476,6.0,19.0,0.316,24.0,44.0,0.545,0.524,23.0,35.0,0.657,20.0,24.0,44.0,12.0,8.0,8.0,12.0,12.0,93.5,122.4,72.7,0.088,0.191,0.48,38.0,34.5,13.7,2.3,0.463,17.5,33.3,0.074,0.524,13.1,57.1,0.365
4.0,4.0,2023-11-20,,Oregon,REG (Non-Conf),L,54.0,67.0,,20.0,53.0,0.377,4.0,10.0,0.4,16.0,43.0,0.372,0.415,10.0,13.0,0.769,6.0,25.0,31.0,11.0,4.0,2.0,9.0,24.0,19.0,43.0,0.442,7.0,18.0,0.389,12.0,25.0,0.48,0.523,22.0,36.0,0.611,4.0,28.0,32.0,5.0,7.0,4.0,8.0,15.0,85.5,106.1,63.1,0.245,0.189,0.456,49.2,55.0,6.3,8.0,0.415,13.2,17.6,0.189,0.523,11.7,13.8,0.512
6.0,5.0,2023-11-29,,Albany St. (GA),REG (Non-Conf),L,85.0,92.0,2OT,32.0,73.0,0.438,5.0,19.0,0.263,27.0,54.0,0.5,0.473,16.0,22.0,0.727,21.0,30.0,51.0,21.0,10.0,4.0,19.0,23.0,27.0,65.0,0.415,15.0,26.0,0.577,12.0,39.0,0.308,0.531,23.0,35.0,0.657,9.0,20.0,29.0,18.0,12.0,5.0,12.0,16.0,102.4,110.8,66.4,0.301,0.26,0.509,63.8,65.6,12.0,10.3,0.473,18.5,51.2,0.219,0.531,12.8,23.1,0.354
7.0,7.0,2023-12-06,@,Presbyterian,REG (Non-Conf),W,65.0,60.0,,23.0,47.0,0.489,4.0,12.0,0.333,19.0,35.0,0.543,0.532,15.0,18.0,0.833,3.0,20.0,23.0,12.0,9.0,5.0,14.0,21.0,19.0,47.0,0.404,5.0,21.0,0.238,14.0,26.0,0.538,0.457,17.0,23.0,0.739,4.0,21.0,25.0,11.0,8.0,0.0,17.0,16.0,94.6,87.3,68.7,0.383,0.255,0.585,47.9,52.2,13.1,19.2,0.532,20.1,12.5,0.319,0.457,22.7,16.7,0.362
8.0,8.0,2023-12-09,,LeMoyne-Owen,REG (Non-Conf),W,108.0,78.0,,44.0,72.0,0.611,9.0,18.0,0.5,35.0,54.0,0.648,0.674,11.0,12.0,0.917,10.0,36.0,46.0,27.0,3.0,1.0,13.0,20.0,28.0,74.0,0.378,5.0,17.0,0.294,23.0,57.0,0.404,0.412,17.0,26.0,0.654,15.0,18.0,33.0,8.0,7.0,2.0,11.0,12.0,132.5,95.7,81.5,0.167,0.25,0.695,58.2,61.4,3.7,1.8,0.674,14.3,35.7,0.153,0.412,11.3,29.4,0.23
9.0,9.0,2023-12-16,N,Iowa,REG (Non-Conf),L,52.0,88.0,,19.0,63.0,0.302,5.0,15.0,0.333,14.0,48.0,0.292,0.341,9.0,13.0,0.692,6.0,22.0,28.0,9.0,9.0,2.0,15.0,19.0,34.0,63.0,0.54,10.0,26.0,0.385,24.0,37.0,0.649,0.619,10.0,20.0,0.5,7.0,39.0,46.0,22.0,11.0,6.0,15.0,16.0,65.5,110.9,79.3,0.206,0.238,0.376,37.8,47.4,11.3,5.4,0.341,17.8,13.3,0.143,0.619,17.1,24.1,0.159
10.0,10.0,2023-12-17,@,Iowa State,REG (Non-Conf),L,58.0,96.0,,20.0,51.0,0.392,10.0,27.0,0.37,10.0,24.0,0.417,0.49,8.0,14.0,0.571,9.0,23.0,32.0,14.0,0.0,2.0,23.0,20.0,35.0,59.0,0.593,10.0,20.0,0.5,25.0,39.0,0.641,0.678,16.0,24.0,0.667,4.0,24.0,28.0,24.0,15.0,3.0,5.0,12.0,81.1,134.2,71.5,0.275,0.529,0.503,53.3,70.0,0.0,5.1,0.49,28.5,27.3,0.157,0.678,6.6,14.8,0.271
11.0,11.0,2023-12-21,@,UCF,REG (Non-Conf),L,56.0,69.0,,22.0,50.0,0.44,5.0,18.0,0.278,17.0,32.0,0.531,0.49,7.0,11.0,0.636,6.0,22.0,28.0,14.0,10.0,3.0,20.0,21.0,21.0,53.0,0.396,8.0,24.0,0.333,13.0,29.0,0.448,0.472,19.0,27.0,0.704,11.0,21.0,32.0,10.0,12.0,5.0,12.0,13.0,82.3,101.4,68.0,0.22,0.36,0.507,46.7,63.6,14.7,10.3,0.49,26.6,22.2,0.14,0.472,15.4,33.3,0.358
12.0,12.0,2023-12-30,@,South Carolina,REG (Non-Conf),L,62.0,94.0,,25.0,63.0,0.397,7.0,13.0,0.538,18.0,50.0,0.36,0.452,5.0,10.0,0.5,10.0,18.0,28.0,12.0,6.0,4.0,9.0,18.0,30.0,62.0,0.484,10.0,29.0,0.345,20.0,33.0,0.606,0.565,24.0,28.0,0.857,14.0,27.0,41.0,21.0,5.0,5.0,8.0,9.0,91.1,138.2,68.0,0.159,0.206,0.458,40.6,48.0,8.8,12.1,0.452,11.7,27.0,0.079,0.565,9.6,43.8,0.387
13.0,13.0,2024-01-06,@,Bethune-Cookman,REG (Conf),L,86.0,98.0,,32.0,61.0,0.525,8.0,18.0,0.444,24.0,43.0,0.558,0.59,14.0,21.0,0.667,8.0,23.0,31.0,25.0,6.0,1.0,15.0,17.0,38.0,65.0,0.585,8.0,18.0,0.444,30.0,47.0,0.638,0.646,14.0,22.0,0.636,6.0,22.0,28.0,24.0,14.0,4.0,10.0,20.0,109.3,124.5,78.7,0.344,0.295,0.606,52.5,78.1,7.6,2.1,0.59,17.4,26.7,0.23,0.646,11.7,20.7,0.215
14.0,14.0,2024-01-13,,Southern,REG (Conf),L,65.0,74.0,,23.0,51.0,0.451,12.0,29.0,0.414,11.0,22.0,0.5,0.569,7.0,15.0,0.467,11.0,25.0,36.0,12.0,2.0,2.0,16.0,20.0,27.0,59.0,0.458,12.0,30.0,0.4,15.0,29.0,0.517,0.559,8.0,16.0,0.5,6.0,17.0,23.0,9.0,8.0,2.0,7.0,15.0,99.4,113.2,65.4,0.294,0.569,0.559,61.0,52.2,3.1,6.9,0.569,21.6,39.3,0.137,0.559,9.5,19.4,0.136
15.0,15.0,2024-01-15,,Grambling State,REG (Conf),L,52.0,65.0,,19.0,49.0,0.388,5.0,18.0,0.278,14.0,31.0,0.452,0.439,9.0,15.0,0.6,8.0,20.0,28.0,12.0,3.0,1.0,12.0,13.0,25.0,56.0,0.446,8.0,22.0,0.364,17.0,34.0,0.5,0.518,7.0,13.0,0.538,9.0,24.0,33.0,11.0,9.0,1.0,9.0,12.0,85.0,106.3,61.2,0.306,0.367,0.463,45.9,63.2,4.9,2.9,0.439,17.6,25.0,0.184,0.518,12.6,31.0,0.125
16.0,16.0,2024-01-20,@,Arkansas–Pine Bluff,REG (Conf),L,97.0,99.0,,39.0,72.0,0.542,10.0,23.0,0.435,29.0,49.0,0.592,0.611,9.0,12.0,0.75,11.0,23.0,34.0,24.0,4.0,2.0,9.0,23.0,30.0,53.0,0.566,15.0,28.0,0.536,15.0,25.0,0.6,0.708,24.0,33.0,0.727,3.0,19.0,22.0,21.0,5.0,2.0,11.0,12.0,127.3,129.9,76.2,0.167,0.319,0.624,60.7,61.5,5.3,8.0,0.611,10.4,36.7,0.125,0.708,13.8,11.5,0.453
17.0,17.0,2024-01-22,@,Mississippi Valley State,REG (Conf),W,81.0,70.0,,28.0,62.0,0.452,6.0,19.0,0.316,22.0,43.0,0.512,0.5,19.0,24.0,0.792,13.0,31.0,44.0,14.0,2.0,5.0,11.0,19.0,24.0,59.0,0.407,5.0,20.0,0.25,19.0,39.0,0.487,0.449,17.0,28.0,0.607,8.0,24.0,32.0,10.0,6.0,7.0,6.0,20.0,114.3,98.8,70.9,0.387,0.306,0.552,57.9,50.0,2.8,12.8,0.5,13.0,35.1,0.306,0.449,7.7,20.5,0.288
18.0,18.0,2024-01-27,,Alcorn State,REG (Conf),L,67.0,76.0,,22.0,53.0,0.415,12.0,25.0,0.48,10.0,28.0,0.357,0.528,11.0,15.0,0.733,10.0,17.0,27.0,17.0,4.0,0.0,15.0,15.0,30.0,55.0,0.545,6.0,14.0,0.429,24.0,41.0,0.585,0.6,10.0,14.0,0.714,7.0,20.0,27.0,13.0,9.0,1.0,12.0,13.0,101.7,115.3,65.9,0.283,0.472,0.557,50.0,77.3,6.1,0.0,0.528,20.0,33.3,0.208,0.6,16.3,29.2,0.182
19.0,19.0,2024-01-29,,Jackson State,REG (Conf),W,88.0,86.0,,31.0,53.0,0.585,8.0,19.0,0.421,23.0,34.0,0.676,0.66,18.0,25.0,0.72,5.0,24.0,29.0,22.0,5.0,1.0,14.0,12.0,32.0,72.0,0.444,12.0,29.0,0.414,20.0,43.0,0.465,0.528,10.0,10.0,1.0,10.0,17.0,27.0,9.0,8.0,2.0,6.0,18.0,120.0,117.3,73.3,0.472,0.358,0.678,51.8,71.0,6.8,2.3,0.66,17.7,22.7,0.34,0.528,7.3,29.4,0.139
20.0,20.0,2024-02-03,@,Alabama A&M,REG (Conf),L,61.0,73.0,,24.0,60.0,0.4,4.0,16.0,0.25,20.0,44.0,0.455,0.433,9.0,14.0,0.643,8.0,27.0,35.0,15.0,7.0,1.0,15.0,20.0,21.0,48.0,0.438,5.0,16.0,0.313,16.0,32.0,0.5,0.49,26.0,34.0,0.765,5.0,25.0,30.0,11.0,13.0,3.0,13.0,15.0,83.7,100.1,72.9,0.233,0.267,0.458,53.8,62.5,9.6,3.1,0.433,18.4,24.2,0.15,0.49,16.9,15.6,0.542
21.0,21.0,2024-02-05,@,Alabama State,REG (Conf),L,53.0,62.0,,19.0,46.0,0.413,5.0,15.0,0.333,14.0,31.0,0.452,0.467,10.0,21.0,0.476,3.0,30.0,33.0,10.0,6.0,3.0,15.0,16.0,22.0,70.0,0.314,4.0,20.0,0.2,18.0,50.0,0.36,0.343,14.0,18.0,0.778,15.0,25.0,40.0,5.0,10.0,7.0,12.0,17.0,73.9,86.4,71.8,0.457,0.326,0.473,45.2,52.6,8.4,6.0,0.467,21.1,10.7,0.217,0.343,13.3,33.3,0.2
22.0,22.0,2024-02-10,,Texas Southern,REG (Conf),L,75.0,78.0,OT,29.0,59.0,0.492,6.0,20.0,0.3,23.0,39.0,0.59,0.542,11.0,15.0,0.733,7.0,29.0,36.0,20.0,4.0,4.0,17.0,22.0,28.0,68.0,0.412,8.0,30.0,0.267,20.0,38.0,0.526,0.471,14.0,26.0,0.538,13.0,20.0,33.0,9.0,8.0,1.0,13.0,18.0,95.9,99.7,69.5,0.254,0.339,0.567,52.2,69.0,5.1,10.5,0.542,20.5,25.9,0.186,0.471,13.9,31.0,0.206
23.0,23.0,2024-02-12,,Prairie View A&M,REG (Conf),L,58.0,61.0,,24.0,61.0,0.393,7.0,20.0,0.35,17.0,41.0,0.415,0.451,3.0,10.0,0.3,11.0,30.0,41.0,19.0,3.0,5.0,15.0,18.0,23.0,64.0,0.359,3.0,15.0,0.2,20.0,49.0,0.408,0.383,12.0,19.0,0.632,8.0,27.0,35.0,12.0,8.0,6.0,6.0,12.0,82.4,86.7,70.4,0.164,0.328,0.441,53.9,79.2,4.3,10.2,0.451,18.6,28.9,0.049,0.383,7.6,21.1,0.188
24.0,24.0,2024-02-17,@,Jackson State,REG (Conf),L,55.0,77.0,,22.0,60.0,0.367,4.0,22.0,0.182,18.0,38.0,0.474,0.4,7.0,12.0,0.583,5.0,15.0,20.0,8.0,7.0,3.0,11.0,19.0,26.0,58.0,0.448,7.0,16.0,0.438,19.0,42.0,0.452,0.509,18.0,22.0,0.818,12.0,30.0,42.0,11.0,5.0,4.0,12.0,12.0,78.5,109.9,70.1,0.2,0.367,0.419,32.3,36.4,10.0,7.1,0.4,14.3,14.3,0.117,0.509,14.9,44.4,0.31
