Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-10,,Kennesaw State,REG (Non-Conf),W,94.0,67.0,,34.0,73.0,0.466,11.0,33.0,0.333,23.0,40.0,0.575,0.541,15.0,25.0,0.6,11.0,34.0,45.0,23.0,9.0,9.0,15.0,21.0,22.0,69.0,0.319,4.0,25.0,0.16,18.0,44.0,0.409,0.348,19.0,26.0,0.731,13.0,29.0,42.0,7.0,9.0,3.0,17.0,19.0,107.9,76.9,87.1,0.342,0.452,0.554,51.7,67.6,10.3,20.5,0.541,15.0,27.5,0.205,0.348,17.3,27.7,0.275
2.0,2.0,2023-11-13,,Central Michigan,REG (Non-Conf),W,94.0,67.0,,35.0,63.0,0.556,12.0,28.0,0.429,23.0,35.0,0.657,0.651,12.0,15.0,0.8,9.0,19.0,28.0,23.0,13.0,1.0,14.0,21.0,23.0,44.0,0.523,4.0,19.0,0.211,19.0,25.0,0.76,0.568,17.0,31.0,0.548,8.0,17.0,25.0,11.0,6.0,0.0,21.0,15.0,128.0,91.2,73.4,0.238,0.444,0.67,52.8,65.7,17.7,4.0,0.651,16.6,34.6,0.19,0.568,26.3,29.6,0.386
3.0,3.0,2023-11-17,@,Florida,REG (Non-Conf),L,68.0,89.0,,24.0,66.0,0.364,2.0,13.0,0.154,22.0,53.0,0.415,0.379,18.0,31.0,0.581,15.0,16.0,31.0,9.0,12.0,5.0,10.0,26.0,30.0,58.0,0.517,7.0,18.0,0.389,23.0,40.0,0.575,0.578,22.0,36.0,0.611,17.0,26.0,43.0,17.0,3.0,4.0,19.0,24.0,89.0,116.5,76.4,0.47,0.197,0.421,41.9,37.5,15.7,12.5,0.379,11.0,36.6,0.273,0.578,20.2,51.5,0.379
4.0,4.0,2023-11-20,N,UNLV,REG (Non-Conf),W,83.0,75.0,,32.0,51.0,0.627,5.0,12.0,0.417,27.0,39.0,0.692,0.676,14.0,18.0,0.778,4.0,20.0,24.0,17.0,8.0,4.0,15.0,23.0,29.0,51.0,0.569,2.0,10.0,0.2,27.0,41.0,0.659,0.588,15.0,24.0,0.625,6.0,17.0,23.0,8.0,9.0,2.0,12.0,16.0,119.5,108.0,69.5,0.353,0.235,0.697,51.1,53.1,11.5,9.8,0.676,20.1,19.0,0.275,0.588,16.1,23.1,0.294
5.0,5.0,2023-11-21,N,Colorado,REG (Non-Conf),W,77.0,71.0,OT,27.0,57.0,0.474,8.0,24.0,0.333,19.0,33.0,0.576,0.544,15.0,22.0,0.682,4.0,28.0,32.0,12.0,17.0,5.0,17.0,20.0,25.0,72.0,0.347,5.0,20.0,0.25,20.0,52.0,0.385,0.382,16.0,21.0,0.762,18.0,26.0,44.0,14.0,9.0,1.0,20.0,19.0,93.7,86.4,73.1,0.386,0.421,0.571,42.1,44.4,20.7,9.6,0.544,20.1,13.3,0.263,0.382,19.6,39.1,0.222
6.0,6.0,2023-11-29,,Georgia,REG (Non-Conf),L,66.0,68.0,,22.0,64.0,0.344,8.0,22.0,0.364,14.0,42.0,0.333,0.406,14.0,18.0,0.778,12.0,26.0,38.0,10.0,2.0,2.0,9.0,24.0,22.0,55.0,0.4,8.0,25.0,0.32,14.0,30.0,0.467,0.473,16.0,26.0,0.615,9.0,27.0,36.0,11.0,4.0,1.0,9.0,20.0,96.4,99.3,68.5,0.281,0.344,0.455,51.4,45.5,2.9,6.7,0.406,11.0,30.8,0.219,0.473,11.8,25.7,0.291
7.0,7.0,2023-12-02,@,North Carolina,REG (Conf),L,70.0,78.0,,27.0,67.0,0.403,12.0,28.0,0.429,15.0,39.0,0.385,0.493,4.0,8.0,0.5,9.0,21.0,30.0,12.0,6.0,3.0,10.0,19.0,24.0,57.0,0.421,5.0,22.0,0.227,19.0,35.0,0.543,0.465,25.0,31.0,0.806,9.0,27.0,36.0,13.0,7.0,8.0,11.0,13.0,96.2,107.2,72.8,0.119,0.418,0.494,45.5,44.4,8.2,8.6,0.493,12.4,25.0,0.06,0.465,13.3,30.0,0.439
8.0,8.0,2023-12-09,N,South Florida,REG (Non-Conf),L,72.0,88.0,,23.0,59.0,0.39,8.0,22.0,0.364,15.0,37.0,0.405,0.458,18.0,35.0,0.514,8.0,27.0,35.0,15.0,10.0,5.0,14.0,20.0,26.0,61.0,0.426,12.0,23.0,0.522,14.0,38.0,0.368,0.525,24.0,32.0,0.75,9.0,25.0,34.0,12.0,10.0,5.0,13.0,24.0,89.0,108.8,80.9,0.593,0.373,0.476,50.7,65.2,12.4,13.2,0.458,15.6,24.2,0.305,0.525,14.6,25.0,0.393
9.0,9.0,2023-12-16,,SMU,REG (Non-Conf),L,57.0,68.0,,19.0,61.0,0.311,4.0,22.0,0.182,15.0,39.0,0.385,0.344,15.0,19.0,0.789,11.0,19.0,30.0,4.0,8.0,3.0,8.0,17.0,26.0,56.0,0.464,7.0,22.0,0.318,19.0,34.0,0.559,0.527,9.0,21.0,0.429,15.0,27.0,42.0,13.0,4.0,3.0,14.0,19.0,86.4,103.0,66.0,0.311,0.361,0.407,41.7,21.1,12.1,8.8,0.344,10.3,28.9,0.246,0.527,17.5,44.1,0.161
10.0,10.0,2023-12-19,,North Florida,REG (Non-Conf),W,91.0,75.0,,34.0,67.0,0.507,10.0,22.0,0.455,24.0,45.0,0.533,0.582,13.0,19.0,0.684,12.0,27.0,39.0,17.0,8.0,3.0,11.0,12.0,24.0,60.0,0.4,18.0,46.0,0.391,6.0,14.0,0.429,0.55,9.0,12.0,0.75,5.0,21.0,26.0,16.0,7.0,3.0,11.0,17.0,124.0,102.2,73.4,0.284,0.328,0.598,60.0,50.0,10.9,21.4,0.582,12.6,36.4,0.194,0.55,14.3,15.6,0.15
