Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Loyola (MD),REG (Non-Conf),W,93.0,73.0,,36.0,62.0,0.581,6.0,16.0,0.375,30.0,46.0,0.652,0.629,15.0,30.0,0.5,11.0,24.0,35.0,17.0,11.0,3.0,10.0,16.0,27.0,59.0,0.458,9.0,26.0,0.346,18.0,33.0,0.545,0.534,10.0,15.0,0.667,8.0,20.0,28.0,13.0,6.0,2.0,14.0,22.0,126.2,99.1,73.7,0.484,0.258,0.61,55.6,47.2,14.9,9.1,0.629,11.6,35.5,0.242,0.534,17.5,25.0,0.169
2.0,2.0,2023-11-10,N,Virginia,REG (Non-Conf),L,70.0,73.0,,26.0,65.0,0.4,7.0,25.0,0.28,19.0,40.0,0.475,0.454,11.0,15.0,0.733,17.0,26.0,43.0,16.0,4.0,4.0,16.0,19.0,26.0,58.0,0.448,7.0,18.0,0.389,19.0,40.0,0.475,0.509,14.0,24.0,0.583,9.0,18.0,27.0,15.0,15.0,2.0,5.0,14.0,102.5,106.9,68.3,0.231,0.385,0.485,61.4,61.5,5.9,10.0,0.454,18.2,48.6,0.169,0.509,6.7,25.7,0.241
3.0,3.0,2023-11-14,,Florida A&M,REG (Non-Conf),W,89.0,68.0,,30.0,63.0,0.476,6.0,19.0,0.316,24.0,44.0,0.545,0.524,23.0,35.0,0.657,20.0,24.0,44.0,12.0,8.0,8.0,12.0,12.0,29.0,68.0,0.426,5.0,13.0,0.385,24.0,55.0,0.436,0.463,5.0,6.0,0.833,12.0,15.0,27.0,10.0,10.0,1.0,15.0,22.0,122.4,93.5,72.7,0.556,0.302,0.559,62.0,40.0,11.0,14.5,0.524,13.1,57.1,0.365,0.463,17.5,33.3,0.074
4.0,4.0,2023-11-17,,Florida State,REG (Non-Conf),W,89.0,68.0,,30.0,58.0,0.517,7.0,18.0,0.389,23.0,40.0,0.575,0.578,22.0,36.0,0.611,17.0,26.0,43.0,17.0,3.0,4.0,19.0,24.0,24.0,66.0,0.364,2.0,13.0,0.154,22.0,53.0,0.415,0.379,18.0,31.0,0.581,15.0,16.0,31.0,9.0,12.0,5.0,10.0,26.0,116.5,89.0,76.4,0.621,0.31,0.593,58.1,56.7,3.9,7.5,0.578,20.2,51.5,0.379,0.379,11.0,36.6,0.273
5.0,5.0,2023-11-22,N,Pittsburgh,REG (Non-Conf),W,86.0,71.0,,31.0,66.0,0.47,8.0,24.0,0.333,23.0,42.0,0.548,0.53,16.0,24.0,0.667,6.0,29.0,35.0,24.0,11.0,6.0,8.0,19.0,24.0,68.0,0.353,10.0,34.0,0.294,14.0,34.0,0.412,0.426,13.0,21.0,0.619,13.0,29.0,42.0,17.0,5.0,5.0,14.0,17.0,108.6,89.7,79.2,0.364,0.364,0.556,45.5,77.4,13.9,17.6,0.53,9.4,17.1,0.242,0.426,15.2,31.0,0.191
6.0,6.0,2023-11-24,N,Baylor,REG (Non-Conf),L,91.0,95.0,,31.0,69.0,0.449,8.0,26.0,0.308,23.0,43.0,0.535,0.507,21.0,27.0,0.778,17.0,18.0,35.0,17.0,9.0,6.0,12.0,20.0,30.0,58.0,0.517,14.0,25.0,0.56,16.0,33.0,0.485,0.638,21.0,25.0,0.84,6.0,21.0,27.0,20.0,6.0,4.0,13.0,21.0,118.4,123.6,76.9,0.391,0.377,0.556,56.5,54.8,11.7,18.2,0.507,12.8,44.7,0.304,0.638,15.7,25.0,0.362
7.0,7.0,2023-11-29,@,Wake Forest,REG (Non-Conf),L,71.0,82.0,,24.0,60.0,0.4,8.0,24.0,0.333,16.0,36.0,0.444,0.467,15.0,19.0,0.789,7.0,26.0,33.0,11.0,9.0,4.0,15.0,23.0,28.0,57.0,0.491,6.0,16.0,0.375,22.0,41.0,0.537,0.544,20.0,29.0,0.69,5.0,23.0,28.0,12.0,8.0,3.0,11.0,17.0,92.3,106.6,76.9,0.317,0.4,0.514,54.1,45.8,11.7,9.8,0.467,17.9,23.3,0.25,0.544,13.5,16.1,0.351
8.0,8.0,2023-12-05,,Merrimack,REG (Non-Conf),W,77.0,57.0,,27.0,68.0,0.397,6.0,17.0,0.353,21.0,51.0,0.412,0.441,17.0,28.0,0.607,22.0,32.0,54.0,14.0,7.0,3.0,13.0,14.0,20.0,60.0,0.333,3.0,24.0,0.125,17.0,36.0,0.472,0.358,14.0,18.0,0.778,9.0,21.0,30.0,6.0,8.0,4.0,13.0,19.0,106.3,78.7,72.4,0.412,0.25,0.474,64.3,51.9,9.7,8.3,0.441,13.8,51.2,0.25,0.358,15.9,22.0,0.233
9.0,9.0,2023-12-09,N,Richmond,REG (Non-Conf),W,87.0,76.0,,29.0,65.0,0.446,9.0,29.0,0.31,20.0,36.0,0.556,0.515,20.0,25.0,0.8,13.0,35.0,48.0,14.0,4.0,5.0,12.0,16.0,27.0,63.0,0.429,11.0,22.0,0.5,16.0,41.0,0.39,0.516,11.0,19.0,0.579,4.0,25.0,29.0,17.0,9.0,1.0,8.0,20.0,114.5,100.1,76.0,0.385,0.446,0.566,62.3,48.3,5.3,12.2,0.515,13.5,34.2,0.308,0.516,10.0,10.3,0.175
10.0,10.0,2023-12-14,N,East Carolina,REG (Non-Conf),W,70.0,65.0,,25.0,61.0,0.41,5.0,20.0,0.25,20.0,41.0,0.488,0.451,15.0,28.0,0.536,20.0,29.0,49.0,13.0,7.0,7.0,17.0,12.0,25.0,63.0,0.397,7.0,22.0,0.318,18.0,41.0,0.439,0.452,8.0,12.0,0.667,8.0,21.0,29.0,11.0,12.0,3.0,12.0,21.0,97.2,90.3,72.0,0.459,0.328,0.471,62.8,52.0,9.7,17.1,0.451,18.6,48.8,0.246,0.452,14.9,21.6,0.127
11.0,11.0,2023-12-19,N,Michigan,REG (Non-Conf),W,106.0,101.0,2OT,40.0,86.0,0.465,8.0,29.0,0.276,32.0,57.0,0.561,0.512,18.0,29.0,0.621,19.0,31.0,50.0,14.0,10.0,10.0,15.0,23.0,34.0,76.0,0.447,10.0,22.0,0.455,24.0,54.0,0.444,0.513,23.0,29.0,0.793,11.0,27.0,38.0,9.0,8.0,7.0,16.0,21.0,111.3,106.0,76.2,0.337,0.337,0.531,56.8,35.0,10.5,18.5,0.512,13.1,41.3,0.209,0.513,15.1,26.2,0.303
12.0,12.0,2023-12-22,,Grambling State,REG (Non-Conf),W,96.0,57.0,,38.0,61.0,0.623,11.0,21.0,0.524,27.0,40.0,0.675,0.713,9.0,10.0,0.9,6.0,34.0,40.0,27.0,4.0,4.0,10.0,10.0,24.0,66.0,0.364,3.0,13.0,0.231,21.0,53.0,0.396,0.386,6.0,13.0,0.462,8.0,18.0,26.0,4.0,8.0,1.0,6.0,12.0,137.2,81.5,70.0,0.164,0.344,0.73,60.6,71.1,5.7,7.5,0.713,13.2,25.0,0.148,0.386,7.7,19.0,0.091
13.0,13.0,2023-12-30,,Quinnipiac,REG (Non-Conf),W,97.0,72.0,,35.0,68.0,0.515,10.0,26.0,0.385,25.0,42.0,0.595,0.588,17.0,29.0,0.586,15.0,32.0,47.0,22.0,6.0,8.0,13.0,17.0,25.0,75.0,0.333,5.0,22.0,0.227,20.0,53.0,0.377,0.367,17.0,23.0,0.739,17.0,23.0,40.0,6.0,7.0,3.0,13.0,21.0,120.0,89.1,80.9,0.426,0.382,0.593,54.0,62.9,7.4,15.1,0.588,13.7,39.5,0.25,0.367,13.1,34.7,0.227
14.0,14.0,2024-01-06,,Kentucky,REG (Conf),L,85.0,87.0,,29.0,68.0,0.426,9.0,31.0,0.29,20.0,37.0,0.541,0.493,18.0,29.0,0.621,10.0,30.0,40.0,11.0,8.0,3.0,11.0,23.0,31.0,68.0,0.456,5.0,20.0,0.25,26.0,48.0,0.542,0.493,20.0,28.0,0.714,5.0,30.0,35.0,6.0,6.0,2.0,9.0,17.0,101.1,103.5,84.0,0.426,0.456,0.52,53.3,37.9,9.5,6.3,0.493,11.9,25.0,0.265,0.493,10.0,14.3,0.294
15.0,15.0,2024-01-10,@,Ole Miss,REG (Conf),L,85.0,103.0,,31.0,75.0,0.413,5.0,17.0,0.294,26.0,58.0,0.448,0.447,18.0,26.0,0.692,23.0,17.0,40.0,15.0,4.0,2.0,12.0,17.0,39.0,66.0,0.591,8.0,20.0,0.4,31.0,46.0,0.674,0.652,17.0,20.0,0.85,9.0,20.0,29.0,17.0,9.0,16.0,8.0,21.0,112.7,136.6,75.4,0.347,0.227,0.487,58.0,48.4,5.3,4.3,0.447,12.1,53.5,0.24,0.652,9.6,34.6,0.258
16.0,16.0,2024-01-13,,Arkansas,REG (Conf),W,90.0,68.0,,33.0,67.0,0.493,9.0,25.0,0.36,24.0,42.0,0.571,0.56,15.0,20.0,0.75,12.0,32.0,44.0,13.0,8.0,7.0,12.0,15.0,23.0,61.0,0.377,5.0,15.0,0.333,18.0,46.0,0.391,0.418,17.0,25.0,0.68,7.0,20.0,27.0,8.0,8.0,8.0,9.0,16.0,118.9,89.8,75.7,0.299,0.373,0.588,62.0,39.4,10.6,15.2,0.56,13.6,37.5,0.224,0.418,11.0,17.9,0.279
17.0,17.0,2024-01-16,@,Tennessee,REG (Conf),L,66.0,85.0,,20.0,68.0,0.294,5.0,22.0,0.227,15.0,46.0,0.326,0.331,21.0,25.0,0.84,18.0,18.0,36.0,7.0,8.0,3.0,10.0,19.0,31.0,60.0,0.517,6.0,18.0,0.333,25.0,42.0,0.595,0.567,17.0,21.0,0.81,13.0,30.0,43.0,17.0,9.0,6.0,13.0,19.0,93.1,119.8,70.9,0.368,0.324,0.413,45.6,35.0,11.3,7.1,0.331,11.1,37.5,0.309,0.567,15.7,41.9,0.283
18.0,18.0,2024-01-20,@,Missouri,REG (Conf),W,79.0,67.0,,25.0,56.0,0.446,9.0,22.0,0.409,16.0,34.0,0.471,0.527,20.0,29.0,0.69,11.0,27.0,38.0,12.0,4.0,3.0,8.0,16.0,23.0,53.0,0.434,3.0,16.0,0.188,20.0,37.0,0.541,0.462,18.0,21.0,0.857,2.0,20.0,22.0,10.0,8.0,3.0,5.0,20.0,119.0,100.9,66.4,0.518,0.393,0.566,63.3,48.0,6.0,8.1,0.527,10.3,35.5,0.357,0.462,7.4,6.9,0.34
19.0,19.0,2024-01-24,,Mississippi State,REG (Conf),W,79.0,70.0,,27.0,64.0,0.422,8.0,25.0,0.32,19.0,39.0,0.487,0.484,17.0,20.0,0.85,14.0,25.0,39.0,10.0,4.0,5.0,6.0,12.0,29.0,75.0,0.387,8.0,33.0,0.242,21.0,42.0,0.5,0.44,4.0,9.0,0.444,17.0,23.0,40.0,9.0,4.0,2.0,9.0,20.0,115.5,102.4,68.4,0.313,0.391,0.537,49.4,37.0,5.8,11.9,0.484,7.5,37.8,0.266,0.44,10.2,40.5,0.053
20.0,20.0,2024-01-27,,Georgia,REG (Conf),W,102.0,98.0,OT,39.0,71.0,0.549,7.0,20.0,0.35,32.0,51.0,0.627,0.599,17.0,20.0,0.85,15.0,31.0,46.0,21.0,7.0,3.0,17.0,16.0,39.0,75.0,0.52,11.0,26.0,0.423,28.0,49.0,0.571,0.593,9.0,17.0,0.529,8.0,17.0,25.0,18.0,10.0,3.0,8.0,19.0,123.2,118.4,73.6,0.282,0.282,0.634,64.8,53.8,8.5,6.1,0.599,17.4,46.9,0.239,0.593,8.8,20.5,0.12
