Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Wagner,REG (Non-Conf),W,68.0,64.0,OT,26.0,61.0,0.426,8.0,27.0,0.296,18.0,34.0,0.529,0.492,8.0,19.0,0.421,13.0,24.0,37.0,14.0,5.0,7.0,10.0,15.0,24.0,62.0,0.387,4.0,17.0,0.235,20.0,45.0,0.444,0.419,12.0,17.0,0.706,12.0,24.0,36.0,5.0,7.0,5.0,11.0,20.0,99.9,94.0,60.5,0.311,0.443,0.486,50.7,53.8,7.3,15.6,0.492,12.5,35.1,0.131,0.419,13.6,33.3,0.194
2.0,2.0,2023-11-11,,Cornell,REG (Non-Conf),L,73.0,78.0,,25.0,56.0,0.446,9.0,28.0,0.321,16.0,28.0,0.571,0.527,14.0,25.0,0.56,10.0,15.0,25.0,10.0,9.0,0.0,14.0,23.0,27.0,50.0,0.54,7.0,18.0,0.389,20.0,32.0,0.625,0.61,17.0,27.0,0.63,8.0,22.0,30.0,12.0,9.0,4.0,20.0,23.0,99.5,106.3,73.4,0.446,0.5,0.538,45.5,40.0,12.3,0.0,0.527,17.1,31.3,0.25,0.61,24.1,34.8,0.34
3.0,3.0,2023-11-17,N,Norfolk State,REG (Non-Conf),W,77.0,64.0,,20.0,48.0,0.417,7.0,23.0,0.304,13.0,25.0,0.52,0.49,30.0,42.0,0.714,8.0,30.0,38.0,14.0,7.0,5.0,17.0,30.0,17.0,54.0,0.315,4.0,19.0,0.211,13.0,35.0,0.371,0.352,26.0,37.0,0.703,12.0,20.0,32.0,10.0,11.0,1.0,16.0,25.0,101.0,83.9,76.3,0.875,0.479,0.567,54.3,70.0,9.2,14.3,0.49,20.0,28.6,0.625,0.352,18.3,28.6,0.481
4.0,4.0,2023-11-19,N,Abilene Christian,REG (Non-Conf),L,45.0,59.0,,16.0,54.0,0.296,1.0,12.0,0.083,15.0,42.0,0.357,0.306,12.0,21.0,0.571,16.0,25.0,41.0,3.0,5.0,3.0,19.0,16.0,22.0,55.0,0.4,3.0,12.0,0.25,19.0,43.0,0.442,0.427,12.0,17.0,0.706,6.0,23.0,29.0,9.0,11.0,1.0,9.0,19.0,67.6,88.7,66.5,0.389,0.222,0.352,58.6,18.8,7.5,7.0,0.306,22.9,41.0,0.222,0.427,12.5,19.4,0.218
5.0,5.0,2023-11-20,N,Kent State,REG (Non-Conf),L,72.0,79.0,,21.0,58.0,0.362,9.0,27.0,0.333,12.0,31.0,0.387,0.44,21.0,35.0,0.6,15.0,16.0,31.0,9.0,10.0,2.0,19.0,25.0,22.0,51.0,0.431,6.0,18.0,0.333,16.0,33.0,0.485,0.49,29.0,35.0,0.829,9.0,23.0,32.0,12.0,12.0,3.0,20.0,27.0,91.6,100.5,78.6,0.603,0.466,0.482,49.2,42.9,12.7,6.1,0.44,20.3,39.5,0.362,0.49,22.8,36.0,0.569
6.0,6.0,2023-11-27,,Manhattan,REG (Non-Conf),W,93.0,61.0,,34.0,69.0,0.493,9.0,26.0,0.346,25.0,43.0,0.581,0.558,16.0,20.0,0.8,10.0,30.0,40.0,16.0,16.0,6.0,10.0,13.0,25.0,59.0,0.424,6.0,16.0,0.375,19.0,43.0,0.442,0.475,5.0,9.0,0.556,5.0,22.0,27.0,13.0,9.0,1.0,20.0,13.0,118.6,77.8,78.4,0.29,0.377,0.592,59.7,47.1,20.4,14.0,0.558,11.3,31.3,0.232,0.475,24.0,14.3,0.085
7.0,7.0,2023-11-30,,FDU,REG (Non-Conf),W,80.0,52.0,,27.0,61.0,0.443,5.0,22.0,0.227,22.0,39.0,0.564,0.484,21.0,37.0,0.568,9.0,31.0,40.0,20.0,18.0,2.0,13.0,22.0,18.0,55.0,0.327,2.0,18.0,0.111,16.0,37.0,0.432,0.345,14.0,27.0,0.519,8.0,25.0,33.0,8.0,8.0,2.0,23.0,26.0,96.7,62.9,82.7,0.607,0.361,0.509,54.8,74.1,21.8,5.4,0.484,14.2,26.5,0.344,0.345,25.3,20.5,0.255
8.0,8.0,2023-12-03,,Tulane,REG (Non-Conf),L,81.0,89.0,,31.0,73.0,0.425,11.0,32.0,0.344,20.0,41.0,0.488,0.5,8.0,10.0,0.8,15.0,19.0,34.0,23.0,8.0,5.0,14.0,30.0,26.0,48.0,0.542,5.0,10.0,0.5,21.0,38.0,0.553,0.594,32.0,42.0,0.762,4.0,24.0,28.0,8.0,8.0,3.0,13.0,14.0,105.4,115.8,76.9,0.137,0.438,0.521,54.8,74.2,10.4,13.2,0.5,15.3,38.5,0.11,0.594,16.1,17.4,0.667
9.0,9.0,2023-12-06,,NJIT,REG (Non-Conf),L,77.0,80.0,,27.0,56.0,0.482,6.0,18.0,0.333,21.0,38.0,0.553,0.536,17.0,31.0,0.548,12.0,23.0,35.0,16.0,6.0,11.0,10.0,23.0,25.0,55.0,0.455,12.0,25.0,0.48,13.0,30.0,0.433,0.564,18.0,25.0,0.72,4.0,21.0,25.0,12.0,5.0,1.0,12.0,23.0,107.2,111.4,71.8,0.554,0.321,0.544,58.3,59.3,8.4,36.7,0.536,12.4,36.4,0.304,0.564,15.2,14.8,0.327
10.0,10.0,2023-12-10,N,North Texas,REG (Non-Conf),W,60.0,59.0,,23.0,60.0,0.383,8.0,21.0,0.381,15.0,39.0,0.385,0.45,6.0,12.0,0.5,11.0,25.0,36.0,14.0,6.0,5.0,12.0,12.0,23.0,60.0,0.383,5.0,13.0,0.385,18.0,47.0,0.383,0.425,8.0,11.0,0.727,11.0,26.0,37.0,9.0,8.0,11.0,13.0,16.0,89.6,88.1,67.0,0.2,0.35,0.457,49.3,60.9,9.0,10.6,0.45,15.4,29.7,0.1,0.425,16.6,30.6,0.133
11.0,11.0,2023-12-16,@,St. John's (NY),REG (Non-Conf),L,55.0,77.0,,15.0,59.0,0.254,2.0,18.0,0.111,13.0,41.0,0.317,0.271,23.0,26.0,0.885,9.0,28.0,37.0,8.0,5.0,5.0,20.0,18.0,30.0,69.0,0.435,6.0,18.0,0.333,24.0,51.0,0.471,0.478,11.0,19.0,0.579,10.0,29.0,39.0,20.0,9.0,7.0,14.0,22.0,66.9,93.7,82.2,0.441,0.305,0.385,48.7,53.3,6.1,9.8,0.271,21.9,23.7,0.39,0.478,15.2,26.3,0.159
12.0,12.0,2023-12-21,,Central Connecticut State,REG (Non-Conf),L,80.0,82.0,,28.0,60.0,0.467,11.0,28.0,0.393,17.0,32.0,0.531,0.558,13.0,17.0,0.765,11.0,13.0,24.0,15.0,11.0,2.0,15.0,21.0,27.0,49.0,0.551,4.0,11.0,0.364,23.0,38.0,0.605,0.592,24.0,31.0,0.774,7.0,19.0,26.0,14.0,7.0,4.0,15.0,14.0,111.3,114.0,71.9,0.283,0.467,0.588,48.0,53.6,15.3,5.3,0.558,18.1,36.7,0.217,0.592,19.1,35.0,0.49
13.0,13.0,2023-12-30,,Columbia,REG (Non-Conf),W,87.0,78.0,,28.0,66.0,0.424,11.0,33.0,0.333,17.0,33.0,0.515,0.508,20.0,26.0,0.769,12.0,29.0,41.0,13.0,7.0,9.0,7.0,17.0,26.0,63.0,0.413,9.0,22.0,0.409,17.0,41.0,0.415,0.484,17.0,23.0,0.739,6.0,29.0,35.0,18.0,4.0,2.0,9.0,19.0,115.8,103.8,75.1,0.394,0.5,0.555,53.9,46.4,9.3,22.0,0.508,8.2,29.3,0.303,0.484,10.9,17.1,0.27
