Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Fresno Pacific,REG (Non-Conf),W,77.0,66.0,,26.0,52.0,0.5,6.0,19.0,0.316,20.0,33.0,0.606,0.558,19.0,25.0,0.76,6.0,22.0,28.0,15.0,10.0,5.0,12.0,14.0,26.0,60.0,0.433,9.0,17.0,0.529,17.0,43.0,0.395,0.508,5.0,8.0,0.625,10.0,22.0,32.0,11.0,7.0,2.0,17.0,20.0,109.5,93.8,70.3,0.481,0.365,0.603,46.7,57.7,14.2,11.6,0.558,15.8,21.4,0.365,0.508,21.0,31.3,0.083
2.0,2.0,2023-11-11,@,Kent State,REG (Non-Conf),L,69.0,79.0,,27.0,45.0,0.6,7.0,16.0,0.438,20.0,29.0,0.69,0.678,8.0,13.0,0.615,5.0,22.0,27.0,15.0,10.0,2.0,19.0,17.0,28.0,58.0,0.483,11.0,27.0,0.407,17.0,31.0,0.548,0.578,12.0,16.0,0.75,7.0,12.0,19.0,13.0,10.0,2.0,12.0,15.0,101.6,116.4,67.9,0.289,0.356,0.674,58.7,55.6,14.7,6.5,0.678,27.1,29.4,0.178,0.578,15.5,24.1,0.207
3.0,3.0,2023-11-15,,Morgan State,REG (Non-Conf),W,87.0,68.0,,35.0,65.0,0.538,9.0,20.0,0.45,26.0,45.0,0.578,0.608,8.0,16.0,0.5,10.0,32.0,42.0,14.0,6.0,3.0,14.0,14.0,25.0,67.0,0.373,6.0,18.0,0.333,19.0,49.0,0.388,0.418,12.0,17.0,0.706,8.0,22.0,30.0,4.0,6.0,3.0,9.0,13.0,114.0,89.1,76.3,0.246,0.308,0.599,58.3,40.0,7.9,6.1,0.608,16.2,31.3,0.123,0.418,10.7,20.0,0.179
4.0,4.0,2023-11-21,N,New Mexico State,REG (Non-Conf),W,81.0,76.0,OT,23.0,53.0,0.434,12.0,27.0,0.444,11.0,26.0,0.423,0.547,23.0,31.0,0.742,7.0,22.0,29.0,13.0,7.0,1.0,14.0,20.0,26.0,59.0,0.441,8.0,25.0,0.32,18.0,34.0,0.529,0.508,16.0,23.0,0.696,5.0,22.0,27.0,20.0,9.0,4.0,12.0,24.0,106.8,100.2,67.4,0.585,0.509,0.598,51.8,56.5,9.2,2.9,0.547,17.1,24.1,0.434,0.508,14.6,18.5,0.271
5.0,5.0,2023-11-22,N,James Madison,REG (Non-Conf),L,64.0,95.0,,26.0,63.0,0.413,3.0,14.0,0.214,23.0,49.0,0.469,0.437,9.0,16.0,0.563,12.0,18.0,30.0,9.0,7.0,2.0,18.0,13.0,36.0,64.0,0.563,10.0,23.0,0.435,26.0,41.0,0.634,0.641,13.0,16.0,0.813,9.0,20.0,29.0,16.0,7.0,4.0,10.0,16.0,85.8,127.3,74.6,0.254,0.222,0.453,50.8,34.6,9.4,4.9,0.437,20.3,37.5,0.143,0.641,12.3,33.3,0.203
6.0,6.0,2023-11-27,,UC Santa Barbara,REG (Non-Conf),L,65.0,69.0,,25.0,69.0,0.362,7.0,31.0,0.226,18.0,38.0,0.474,0.413,8.0,12.0,0.667,12.0,24.0,36.0,12.0,7.0,1.0,10.0,18.0,26.0,55.0,0.473,1.0,5.0,0.2,25.0,50.0,0.5,0.482,16.0,19.0,0.842,3.0,28.0,31.0,7.0,2.0,5.0,11.0,14.0,89.8,95.4,72.4,0.174,0.449,0.435,53.7,48.0,9.7,2.0,0.413,11.8,30.0,0.116,0.482,14.7,11.1,0.291
7.0,7.0,2023-12-01,N,Brigham Young,REG (Non-Conf),L,56.0,85.0,,22.0,47.0,0.468,4.0,12.0,0.333,18.0,35.0,0.514,0.511,8.0,9.0,0.889,2.0,20.0,22.0,12.0,4.0,0.0,21.0,8.0,34.0,69.0,0.493,11.0,29.0,0.379,23.0,40.0,0.575,0.572,6.0,9.0,0.667,10.0,21.0,31.0,23.0,13.0,2.0,7.0,14.0,79.7,121.0,70.3,0.191,0.255,0.546,41.5,54.5,5.7,0.0,0.511,29.1,8.7,0.17,0.572,8.7,33.3,0.087
8.0,8.0,2023-12-05,,Idaho State,REG (Non-Conf),W,79.0,67.0,,29.0,55.0,0.527,3.0,11.0,0.273,26.0,44.0,0.591,0.555,18.0,23.0,0.783,6.0,21.0,27.0,17.0,8.0,0.0,13.0,19.0,26.0,58.0,0.448,7.0,26.0,0.269,19.0,32.0,0.594,0.509,8.0,15.0,0.533,8.0,17.0,25.0,11.0,6.0,5.0,12.0,21.0,111.2,94.3,71.0,0.418,0.2,0.599,51.9,58.6,11.3,0.0,0.555,16.5,26.1,0.327,0.509,15.6,27.6,0.138
9.0,9.0,2023-12-09,,Pacific,REG (Non-Conf),W,89.0,56.0,,33.0,51.0,0.647,16.0,28.0,0.571,17.0,23.0,0.739,0.804,7.0,14.0,0.5,5.0,30.0,35.0,22.0,5.0,3.0,8.0,10.0,22.0,58.0,0.379,7.0,25.0,0.28,15.0,33.0,0.455,0.44,5.0,12.0,0.417,6.0,12.0,18.0,6.0,4.0,1.0,7.0,10.0,142.0,89.3,62.7,0.275,0.549,0.772,66.0,66.7,8.0,9.1,0.804,12.2,29.4,0.137,0.44,9.9,16.7,0.086
10.0,10.0,2023-12-15,,Cal State Bakersfield,REG (Non-Conf),W,61.0,58.0,,24.0,49.0,0.49,5.0,21.0,0.238,19.0,28.0,0.679,0.541,8.0,15.0,0.533,4.0,19.0,23.0,15.0,5.0,2.0,10.0,15.0,23.0,56.0,0.411,2.0,9.0,0.222,21.0,47.0,0.447,0.429,10.0,19.0,0.526,15.0,22.0,37.0,8.0,5.0,2.0,12.0,17.0,98.3,93.4,62.1,0.306,0.429,0.543,38.3,62.5,8.1,4.3,0.541,15.1,15.4,0.163,0.429,15.6,44.1,0.179
11.0,11.0,2023-12-18,,Portland State,REG (Non-Conf),L,72.0,75.0,OT,26.0,57.0,0.456,5.0,17.0,0.294,21.0,40.0,0.525,0.5,15.0,24.0,0.625,7.0,25.0,32.0,11.0,7.0,6.0,12.0,20.0,26.0,67.0,0.388,9.0,25.0,0.36,17.0,42.0,0.405,0.455,14.0,22.0,0.636,16.0,24.0,40.0,13.0,7.0,3.0,12.0,22.0,98.1,102.1,65.3,0.421,0.298,0.526,44.4,42.3,9.5,14.3,0.5,14.9,22.6,0.263,0.455,13.4,39.0,0.209
12.0,12.0,2023-12-22,@,San Francisco,REG (Non-Conf),L,57.0,77.0,,20.0,45.0,0.444,3.0,18.0,0.167,17.0,27.0,0.63,0.478,14.0,21.0,0.667,6.0,22.0,28.0,6.0,6.0,4.0,18.0,7.0,29.0,60.0,0.483,15.0,29.0,0.517,14.0,31.0,0.452,0.608,4.0,7.0,0.571,10.0,20.0,30.0,15.0,11.0,3.0,13.0,20.0,85.5,115.5,66.7,0.467,0.4,0.518,48.3,30.0,9.0,12.9,0.478,24.7,23.1,0.311,0.608,17.0,31.3,0.067
