Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,North Greenville,REG (Non-Conf),W,84.0,68.0,,27.0,59.0,0.458,3.0,21.0,0.143,24.0,38.0,0.632,0.483,27.0,39.0,0.692,9.0,35.0,44.0,10.0,14.0,6.0,18.0,20.0,24.0,66.0,0.364,8.0,21.0,0.381,16.0,45.0,0.356,0.424,12.0,19.0,0.632,5.0,27.0,32.0,7.0,10.0,3.0,20.0,27.0,95.2,77.0,88.3,0.661,0.356,0.542,57.9,37.0,15.9,13.3,0.483,18.8,25.0,0.458,0.424,21.0,12.5,0.182
2.0,2.0,2023-11-10,,Belmont,REG (Non-Conf),W,99.0,76.0,,38.0,73.0,0.521,12.0,29.0,0.414,26.0,44.0,0.591,0.603,11.0,18.0,0.611,12.0,36.0,48.0,25.0,6.0,5.0,14.0,16.0,30.0,69.0,0.435,3.0,21.0,0.143,27.0,48.0,0.563,0.457,13.0,20.0,0.65,5.0,27.0,32.0,9.0,10.0,5.0,8.0,14.0,120.0,92.1,82.5,0.247,0.397,0.607,60.0,65.8,7.3,10.4,0.603,14.7,30.8,0.151,0.457,9.2,12.2,0.188
3.0,3.0,2023-11-16,N,Liberty,REG (Non-Conf),L,74.0,88.0,,22.0,53.0,0.415,6.0,24.0,0.25,16.0,29.0,0.552,0.472,24.0,31.0,0.774,8.0,26.0,34.0,12.0,6.0,0.0,12.0,18.0,31.0,57.0,0.544,9.0,24.0,0.375,22.0,33.0,0.667,0.623,17.0,27.0,0.63,4.0,27.0,31.0,17.0,8.0,0.0,8.0,22.0,101.7,120.9,72.8,0.585,0.453,0.546,52.3,54.5,8.2,0.0,0.472,15.1,22.9,0.453,0.623,10.3,13.3,0.298
4.0,4.0,2023-11-17,@,Coastal Carolina,REG (Non-Conf),W,89.0,80.0,,32.0,63.0,0.508,12.0,36.0,0.333,20.0,27.0,0.741,0.603,13.0,17.0,0.765,7.0,22.0,29.0,27.0,12.0,4.0,13.0,10.0,33.0,69.0,0.478,10.0,23.0,0.435,23.0,46.0,0.5,0.551,4.0,7.0,0.571,13.0,23.0,36.0,15.0,6.0,2.0,17.0,16.0,116.0,104.3,76.7,0.27,0.571,0.626,44.6,84.4,15.6,8.7,0.603,15.5,23.3,0.206,0.551,19.0,37.1,0.058
5.0,5.0,2023-11-19,N,Wyoming,REG (Non-Conf),L,71.0,78.0,,27.0,65.0,0.415,8.0,34.0,0.235,19.0,31.0,0.613,0.477,9.0,10.0,0.9,12.0,21.0,33.0,17.0,10.0,3.0,13.0,16.0,28.0,59.0,0.475,12.0,25.0,0.48,16.0,34.0,0.471,0.576,10.0,12.0,0.833,6.0,23.0,29.0,18.0,4.0,5.0,13.0,14.0,99.7,109.5,71.2,0.154,0.523,0.509,53.2,63.0,14.0,8.8,0.477,15.7,34.3,0.138,0.576,16.7,22.2,0.169
6.0,6.0,2023-11-25,@,UAB,REG (Non-Conf),L,86.0,92.0,,30.0,59.0,0.508,11.0,25.0,0.44,19.0,34.0,0.559,0.602,15.0,23.0,0.652,7.0,16.0,23.0,17.0,7.0,0.0,12.0,21.0,34.0,58.0,0.586,5.0,13.0,0.385,29.0,45.0,0.644,0.629,19.0,23.0,0.826,9.0,19.0,28.0,17.0,5.0,5.0,9.0,15.0,119.6,127.9,71.9,0.39,0.424,0.615,45.1,56.7,9.7,0.0,0.602,14.6,26.9,0.254,0.629,11.5,36.0,0.328
7.0,7.0,2023-11-28,,South Carolina State,REG (Non-Conf),W,86.0,78.0,,33.0,64.0,0.516,10.0,31.0,0.323,23.0,33.0,0.697,0.594,10.0,14.0,0.714,8.0,26.0,34.0,24.0,8.0,5.0,14.0,16.0,30.0,66.0,0.455,7.0,17.0,0.412,23.0,49.0,0.469,0.508,11.0,18.0,0.611,11.0,22.0,33.0,16.0,11.0,2.0,13.0,18.0,112.3,101.8,76.6,0.219,0.484,0.609,50.7,72.7,10.4,10.2,0.594,16.5,26.7,0.156,0.508,14.8,29.7,0.167
8.0,8.0,2023-12-02,@,Princeton,REG (Non-Conf),L,69.0,70.0,,25.0,51.0,0.49,8.0,23.0,0.348,17.0,28.0,0.607,0.569,11.0,19.0,0.579,5.0,30.0,35.0,13.0,2.0,1.0,19.0,20.0,24.0,67.0,0.358,4.0,31.0,0.129,20.0,36.0,0.556,0.388,18.0,25.0,0.72,11.0,20.0,31.0,11.0,12.0,1.0,6.0,14.0,93.3,94.7,74.0,0.373,0.451,0.575,53.0,52.0,2.7,2.8,0.569,24.0,20.0,0.216,0.388,7.1,26.8,0.269
9.0,9.0,2023-12-04,@,Arkansas,REG (Non-Conf),L,83.0,97.0,,28.0,73.0,0.384,12.0,32.0,0.375,16.0,41.0,0.39,0.466,15.0,20.0,0.75,10.0,18.0,28.0,15.0,7.0,1.0,11.0,20.0,37.0,61.0,0.607,8.0,19.0,0.421,29.0,42.0,0.69,0.672,15.0,21.0,0.714,6.0,28.0,34.0,21.0,7.0,10.0,11.0,19.0,104.1,121.6,79.7,0.274,0.438,0.503,45.2,53.6,8.8,2.4,0.466,11.8,26.3,0.205,0.672,13.4,25.0,0.246
10.0,10.0,2023-12-09,,Bob Jones,REG (Non-Conf),W,100.0,58.0,,38.0,77.0,0.494,17.0,49.0,0.347,21.0,28.0,0.75,0.604,7.0,8.0,0.875,19.0,33.0,52.0,33.0,7.0,6.0,14.0,3.0,24.0,61.0,0.393,8.0,22.0,0.364,16.0,39.0,0.41,0.459,2.0,2.0,1.0,4.0,18.0,22.0,10.0,5.0,2.0,18.0,12.0,131.8,76.4,75.9,0.104,0.636,0.619,70.3,86.8,9.2,15.4,0.604,14.8,51.4,0.091,0.459,22.5,10.8,0.033
11.0,11.0,2023-12-14,@,Tulane,REG (Non-Conf),L,110.0,117.0,2OT,37.0,77.0,0.481,18.0,42.0,0.429,19.0,35.0,0.543,0.597,18.0,25.0,0.72,9.0,34.0,43.0,19.0,7.0,2.0,22.0,28.0,38.0,68.0,0.559,12.0,22.0,0.545,26.0,46.0,0.565,0.647,29.0,44.0,0.659,2.0,30.0,32.0,23.0,17.0,5.0,14.0,18.0,108.5,115.4,81.1,0.325,0.545,0.619,57.3,51.4,6.9,4.3,0.597,19.8,23.1,0.234,0.647,13.6,5.6,0.426
12.0,12.0,2023-12-19,,Presbyterian,REG (Non-Conf),W,76.0,61.0,,27.0,60.0,0.45,5.0,27.0,0.185,22.0,33.0,0.667,0.492,17.0,25.0,0.68,11.0,26.0,37.0,11.0,5.0,5.0,8.0,11.0,25.0,63.0,0.397,4.0,21.0,0.19,21.0,42.0,0.5,0.429,7.0,12.0,0.583,7.0,23.0,30.0,14.0,4.0,1.0,9.0,17.0,108.9,87.4,69.8,0.417,0.45,0.529,55.2,40.7,7.2,11.9,0.492,10.0,32.4,0.283,0.429,11.6,21.2,0.111
13.0,13.0,2023-12-30,,Anderson (SC),REG (Non-Conf),L,74.0,79.0,,25.0,56.0,0.446,2.0,20.0,0.1,23.0,36.0,0.639,0.464,22.0,36.0,0.611,11.0,29.0,40.0,13.0,6.0,3.0,16.0,17.0,31.0,76.0,0.408,8.0,24.0,0.333,23.0,52.0,0.442,0.461,9.0,18.0,0.5,17.0,27.0,44.0,18.0,13.0,2.0,9.0,25.0,95.7,102.2,77.3,0.643,0.357,0.506,47.6,52.0,7.8,5.8,0.464,18.0,28.9,0.393,0.461,9.6,37.0,0.118
14.0,14.0,2024-01-03,@,UNC Greensboro,REG (Conf),L,68.0,79.0,,21.0,65.0,0.323,7.0,31.0,0.226,14.0,34.0,0.412,0.377,19.0,23.0,0.826,16.0,19.0,35.0,10.0,8.0,5.0,12.0,12.0,31.0,64.0,0.484,11.0,22.0,0.5,20.0,42.0,0.476,0.57,6.0,8.0,0.75,10.0,24.0,34.0,17.0,10.0,2.0,11.0,15.0,96.6,112.3,70.4,0.354,0.477,0.448,50.7,47.6,11.4,11.9,0.377,13.6,40.0,0.292,0.57,14.0,34.5,0.094
15.0,15.0,2024-01-06,@,Chattanooga,REG (Conf),L,58.0,73.0,,19.0,69.0,0.275,4.0,33.0,0.121,15.0,36.0,0.417,0.304,16.0,21.0,0.762,12.0,24.0,36.0,6.0,11.0,1.0,9.0,13.0,29.0,60.0,0.483,7.0,24.0,0.292,22.0,36.0,0.611,0.542,8.0,11.0,0.727,5.0,33.0,38.0,17.0,5.0,5.0,16.0,18.0,76.2,95.9,76.1,0.304,0.478,0.367,48.6,31.6,14.5,2.8,0.304,10.2,26.7,0.232,0.542,19.7,17.2,0.133
16.0,16.0,2024-01-10,,The Citadel,REG (Conf),W,82.0,68.0,,33.0,60.0,0.55,13.0,31.0,0.419,20.0,29.0,0.69,0.658,3.0,8.0,0.375,5.0,22.0,27.0,28.0,8.0,2.0,11.0,13.0,28.0,60.0,0.467,3.0,16.0,0.188,25.0,44.0,0.568,0.492,9.0,13.0,0.692,7.0,21.0,28.0,10.0,7.0,2.0,11.0,9.0,117.2,97.2,70.0,0.133,0.517,0.643,49.1,84.8,11.4,4.5,0.658,14.7,19.2,0.05,0.492,14.3,24.1,0.15
17.0,17.0,2024-01-13,,East Tennessee State,REG (Conf),W,82.0,73.0,,26.0,59.0,0.441,7.0,20.0,0.35,19.0,39.0,0.487,0.5,23.0,26.0,0.885,11.0,25.0,36.0,15.0,4.0,4.0,9.0,14.0,29.0,66.0,0.439,8.0,25.0,0.32,21.0,41.0,0.512,0.5,7.0,11.0,0.636,12.0,21.0,33.0,15.0,4.0,7.0,10.0,17.0,118.3,105.4,69.3,0.441,0.339,0.575,52.2,57.7,5.8,9.8,0.5,11.2,34.4,0.39,0.5,12.3,32.4,0.106
18.0,18.0,2024-01-17,@,VMI,REG (Conf),W,100.0,60.0,,36.0,75.0,0.48,18.0,37.0,0.486,18.0,38.0,0.474,0.6,10.0,15.0,0.667,12.0,30.0,42.0,22.0,9.0,3.0,7.0,12.0,24.0,62.0,0.387,5.0,25.0,0.2,19.0,37.0,0.514,0.427,7.0,11.0,0.636,6.0,25.0,31.0,11.0,6.0,2.0,14.0,12.0,131.3,78.8,76.2,0.2,0.493,0.609,57.5,61.1,11.8,8.1,0.6,7.9,32.4,0.133,0.427,17.2,16.7,0.113
19.0,19.0,2024-01-20,,Western Carolina,REG (Conf),W,65.0,62.0,,26.0,63.0,0.413,7.0,19.0,0.368,19.0,44.0,0.432,0.468,6.0,12.0,0.5,11.0,28.0,39.0,11.0,10.0,1.0,9.0,13.0,24.0,60.0,0.4,6.0,22.0,0.273,18.0,38.0,0.474,0.45,8.0,11.0,0.727,10.0,27.0,37.0,11.0,1.0,8.0,11.0,15.0,97.8,93.3,66.5,0.19,0.302,0.473,51.3,42.3,15.0,2.6,0.468,11.6,28.9,0.095,0.45,14.4,26.3,0.133
20.0,20.0,2024-01-24,,Samford,REG (Conf),W,78.0,68.0,,28.0,61.0,0.459,12.0,28.0,0.429,16.0,33.0,0.485,0.557,10.0,13.0,0.769,9.0,27.0,36.0,19.0,9.0,4.0,17.0,14.0,28.0,64.0,0.438,9.0,27.0,0.333,19.0,37.0,0.514,0.508,3.0,10.0,0.3,10.0,23.0,33.0,14.0,12.0,3.0,16.0,15.0,104.1,90.7,75.0,0.213,0.459,0.581,52.2,67.9,12.0,10.8,0.557,20.2,28.1,0.164,0.508,18.9,27.0,0.047
21.0,21.0,2024-01-27,@,Wofford,REG (Conf),L,67.0,77.0,,18.0,58.0,0.31,11.0,35.0,0.314,7.0,23.0,0.304,0.405,20.0,27.0,0.741,12.0,21.0,33.0,10.0,7.0,0.0,7.0,19.0,29.0,62.0,0.468,6.0,23.0,0.261,23.0,39.0,0.59,0.516,13.0,20.0,0.65,14.0,29.0,43.0,16.0,5.0,3.0,9.0,22.0,101.3,116.4,66.2,0.466,0.603,0.473,43.4,55.6,10.6,0.0,0.405,9.0,29.3,0.345,0.516,11.2,40.0,0.21
22.0,22.0,2024-01-31,@,The Citadel,REG (Conf),W,82.0,79.0,OT,31.0,66.0,0.47,11.0,33.0,0.333,20.0,33.0,0.606,0.553,9.0,11.0,0.818,5.0,25.0,30.0,19.0,8.0,4.0,9.0,19.0,30.0,63.0,0.476,7.0,19.0,0.368,23.0,44.0,0.523,0.532,12.0,16.0,0.75,6.0,26.0,32.0,13.0,4.0,0.0,11.0,13.0,108.7,104.8,67.0,0.167,0.5,0.576,48.4,61.3,10.6,9.1,0.553,11.2,16.1,0.136,0.532,13.5,19.4,0.19
23.0,23.0,2024-02-04,,UNC Greensboro,REG (Conf),L,87.0,89.0,,26.0,54.0,0.481,12.0,30.0,0.4,14.0,24.0,0.583,0.593,23.0,27.0,0.852,6.0,16.0,22.0,18.0,5.0,1.0,7.0,17.0,29.0,54.0,0.537,13.0,22.0,0.591,16.0,32.0,0.5,0.657,18.0,19.0,0.947,8.0,20.0,28.0,19.0,6.0,6.0,11.0,21.0,130.0,133.0,66.9,0.5,0.556,0.651,44.0,69.2,7.5,3.1,0.593,9.5,23.1,0.426,0.657,14.9,33.3,0.333
24.0,24.0,2024-02-07,@,Mercer,REG (Conf),L,69.0,78.0,,22.0,52.0,0.423,6.0,22.0,0.273,16.0,30.0,0.533,0.481,19.0,23.0,0.826,5.0,24.0,29.0,12.0,6.0,2.0,14.0,15.0,33.0,64.0,0.516,2.0,9.0,0.222,31.0,55.0,0.564,0.531,10.0,15.0,0.667,8.0,25.0,33.0,9.0,10.0,3.0,10.0,17.0,95.1,107.5,72.5,0.442,0.423,0.548,46.8,54.5,8.3,3.6,0.481,18.2,16.7,0.365,0.531,12.3,25.0,0.156
25.0,25.0,2024-02-10,@,East Tennessee State,REG (Conf),W,65.0,63.0,,24.0,48.0,0.5,5.0,16.0,0.313,19.0,32.0,0.594,0.552,12.0,19.0,0.632,6.0,23.0,29.0,13.0,5.0,3.0,11.0,17.0,23.0,58.0,0.397,4.0,19.0,0.211,19.0,39.0,0.487,0.431,13.0,22.0,0.591,13.0,19.0,32.0,6.0,7.0,6.0,8.0,17.0,103.6,100.4,62.7,0.396,0.333,0.57,47.5,54.2,8.0,7.7,0.552,16.2,24.0,0.25,0.431,10.5,36.1,0.224
26.0,26.0,2024-02-14,,VMI,REG (Conf),W,75.0,62.0,,28.0,66.0,0.424,9.0,31.0,0.29,19.0,35.0,0.543,0.492,10.0,16.0,0.625,13.0,35.0,48.0,18.0,5.0,2.0,14.0,15.0,24.0,68.0,0.353,4.0,18.0,0.222,20.0,50.0,0.4,0.382,10.0,15.0,0.667,9.0,27.0,36.0,6.0,10.0,3.0,6.0,13.0,102.2,84.5,73.4,0.242,0.47,0.51,57.1,64.3,6.8,4.0,0.492,16.0,32.5,0.152,0.382,7.4,20.5,0.147
27.0,27.0,2024-02-18,,Chattanooga,REG (Conf),W,82.0,65.0,,29.0,60.0,0.483,11.0,27.0,0.407,18.0,33.0,0.545,0.575,13.0,15.0,0.867,8.0,30.0,38.0,20.0,3.0,4.0,9.0,18.0,19.0,56.0,0.339,8.0,28.0,0.286,11.0,28.0,0.393,0.411,19.0,23.0,0.826,10.0,23.0,33.0,13.0,6.0,4.0,12.0,18.0,119.7,94.9,68.5,0.25,0.45,0.611,53.5,69.0,4.4,14.3,0.575,11.8,25.8,0.217,0.411,15.2,25.0,0.339
28.0,28.0,2024-02-21,@,Samford,REG (Conf),L,72.0,74.0,,24.0,55.0,0.436,9.0,32.0,0.281,15.0,23.0,0.652,0.518,15.0,20.0,0.75,7.0,22.0,29.0,14.0,6.0,0.0,13.0,23.0,25.0,52.0,0.481,9.0,25.0,0.36,16.0,27.0,0.593,0.567,15.0,19.0,0.789,5.0,23.0,28.0,18.0,5.0,3.0,14.0,20.0,102.5,105.3,70.3,0.364,0.582,0.558,50.9,58.3,8.5,0.0,0.518,16.8,23.3,0.273,0.567,18.7,18.5,0.288
29.0,29.0,2024-02-24,,Wofford,REG (Conf),W,82.0,67.0,,28.0,60.0,0.467,12.0,33.0,0.364,16.0,27.0,0.593,0.567,14.0,20.0,0.7,10.0,18.0,28.0,14.0,9.0,3.0,3.0,13.0,25.0,57.0,0.439,12.0,28.0,0.429,13.0,29.0,0.448,0.544,5.0,12.0,0.417,10.0,25.0,35.0,16.0,2.0,2.0,12.0,14.0,128.9,105.3,63.6,0.333,0.55,0.59,44.4,50.0,14.2,10.3,0.567,4.1,28.6,0.233,0.544,16.1,35.7,0.088
30.0,30.0,2024-02-28,@,Western Carolina,REG (Conf),L,77.0,85.0,,25.0,61.0,0.41,11.0,35.0,0.314,14.0,26.0,0.538,0.5,16.0,20.0,0.8,7.0,22.0,29.0,11.0,5.0,4.0,7.0,20.0,30.0,55.0,0.545,8.0,19.0,0.421,22.0,36.0,0.611,0.618,17.0,23.0,0.739,5.0,26.0,31.0,15.0,2.0,4.0,7.0,18.0,111.3,122.8,69.2,0.328,0.574,0.546,48.3,44.0,7.2,11.1,0.5,9.0,21.2,0.262,0.618,9.6,18.5,0.309
31.0,31.0,2024-03-02,,Mercer,REG (Conf),L,75.0,82.0,,28.0,68.0,0.412,9.0,35.0,0.257,19.0,33.0,0.576,0.478,10.0,13.0,0.769,18.0,20.0,38.0,13.0,3.0,3.0,11.0,12.0,32.0,58.0,0.552,9.0,15.0,0.6,23.0,43.0,0.535,0.629,9.0,12.0,0.75,4.0,21.0,25.0,16.0,6.0,7.0,7.0,14.0,112.0,122.5,66.9,0.191,0.515,0.506,60.3,46.4,4.5,7.0,0.478,12.9,46.2,0.147,0.629,9.9,16.7,0.155
32.0,32.0,2024-03-09,N,Western Carolina,CTOURN,W,79.0,76.0,OT,29.0,63.0,0.46,11.0,29.0,0.379,18.0,34.0,0.529,0.548,10.0,16.0,0.625,5.0,24.0,29.0,14.0,9.0,3.0,5.0,10.0,31.0,62.0,0.5,8.0,19.0,0.421,23.0,43.0,0.535,0.565,6.0,11.0,0.545,7.0,28.0,35.0,12.0,2.0,0.0,12.0,14.0,110.6,106.4,63.5,0.254,0.46,0.559,45.3,48.3,12.6,7.0,0.548,6.6,15.2,0.159,0.565,15.1,22.6,0.097
33.0,33.0,2024-03-10,N,Samford,CTOURN,L,77.0,84.0,,21.0,61.0,0.344,11.0,38.0,0.289,10.0,23.0,0.435,0.434,24.0,31.0,0.774,11.0,20.0,31.0,12.0,8.0,5.0,9.0,23.0,28.0,51.0,0.549,6.0,21.0,0.286,22.0,30.0,0.733,0.608,22.0,32.0,0.688,6.0,29.0,35.0,15.0,8.0,5.0,14.0,21.0,104.1,113.6,74.0,0.508,0.623,0.508,47.0,57.1,10.8,16.7,0.434,10.6,27.5,0.393,0.608,17.5,23.1,0.431
1.0,1.0,2024-11-04,,Columbia Intl,REG (Non-Conf),W,104.0,46.0,,40.0,63.0,0.635,13.0,21.0,0.619,27.0,42.0,0.643,0.738,11.0,18.0,0.611,8.0,32.0,40.0,18.0,11.0,3.0,10.0,14.0,16.0,56.0,0.286,2.0,21.0,0.095,14.0,35.0,0.4,0.304,12.0,17.0,0.706,7.0,16.0,23.0,7.0,5.0,3.0,17.0,16.0,140.9,62.3,73.8,0.286,0.333,0.727,63.5,45.0,14.9,8.6,0.738,12.3,33.3,0.175,0.304,21.0,17.9,0.214
2.0,2.0,2024-11-08,@,Belmont,REG (Non-Conf),W,76.0,74.0,,28.0,59.0,0.475,16.0,35.0,0.457,12.0,24.0,0.5,0.61,4.0,5.0,0.8,6.0,26.0,32.0,18.0,6.0,5.0,15.0,17.0,32.0,59.0,0.542,5.0,16.0,0.313,27.0,43.0,0.628,0.585,5.0,10.0,0.5,4.0,21.0,25.0,14.0,9.0,1.0,10.0,11.0,108.5,105.6,70.1,0.085,0.593,0.619,56.1,64.3,8.6,11.6,0.61,19.6,22.2,0.068,0.585,13.6,13.3,0.085
3.0,3.0,2024-11-11,,Jacksonville,REG (Non-Conf),W,78.0,69.0,,26.0,57.0,0.456,9.0,26.0,0.346,17.0,31.0,0.548,0.535,17.0,24.0,0.708,7.0,28.0,35.0,16.0,10.0,4.0,14.0,18.0,24.0,65.0,0.369,6.0,25.0,0.24,18.0,40.0,0.45,0.415,15.0,20.0,0.75,14.0,24.0,38.0,11.0,9.0,7.0,14.0,21.0,104.1,92.1,75.0,0.421,0.456,0.57,47.9,61.5,13.3,10.0,0.535,17.0,22.6,0.298,0.415,15.8,33.3,0.231
4.0,4.0,2024-11-15,,Tulane,REG (Non-Conf),W,75.0,67.0,,22.0,58.0,0.379,13.0,36.0,0.361,9.0,22.0,0.409,0.491,18.0,22.0,0.818,7.0,23.0,30.0,19.0,6.0,4.0,6.0,13.0,23.0,54.0,0.426,6.0,18.0,0.333,17.0,36.0,0.472,0.481,15.0,19.0,0.789,7.0,26.0,33.0,13.0,4.0,5.0,12.0,19.0,110.7,98.9,67.7,0.379,0.621,0.548,47.6,86.4,8.9,11.1,0.491,8.1,21.2,0.31,0.481,16.0,23.3,0.278
5.0,5.0,2024-11-20,,Oglethorpe,REG (Non-Conf),W,124.0,48.0,,49.0,85.0,0.576,17.0,42.0,0.405,32.0,43.0,0.744,0.676,9.0,15.0,0.6,19.0,43.0,62.0,34.0,14.0,1.0,8.0,12.0,17.0,61.0,0.279,6.0,32.0,0.188,11.0,29.0,0.379,0.328,8.0,14.0,0.571,1.0,16.0,17.0,8.0,7.0,1.0,14.0,9.0,153.3,59.3,80.9,0.176,0.494,0.673,78.5,69.4,17.3,3.4,0.676,8.0,54.3,0.106,0.328,17.1,2.3,0.131
6.0,6.0,2024-11-23,@,Charleston Southern,REG (Non-Conf),W,67.0,46.0,,28.0,57.0,0.491,7.0,19.0,0.368,21.0,38.0,0.553,0.553,4.0,14.0,0.286,5.0,25.0,30.0,18.0,6.0,4.0,9.0,18.0,17.0,54.0,0.315,4.0,23.0,0.174,13.0,31.0,0.419,0.352,8.0,14.0,0.571,8.0,24.0,32.0,7.0,3.0,5.0,14.0,15.0,99.8,68.5,67.2,0.246,0.333,0.526,48.4,64.3,8.9,12.9,0.553,12.4,17.2,0.07,0.352,18.8,24.2,0.148
