Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Georgia Tech,REG (Non-Conf),L,62.0,84.0,,23.0,57.0,0.404,6.0,22.0,0.273,17.0,35.0,0.486,0.456,10.0,13.0,0.769,7.0,20.0,27.0,6.0,5.0,2.0,18.0,23.0,27.0,60.0,0.45,13.0,29.0,0.448,14.0,31.0,0.452,0.558,17.0,27.0,0.63,14.0,19.0,33.0,17.0,10.0,4.0,11.0,16.0,86.1,116.7,72.0,0.228,0.386,0.491,45.0,26.1,6.9,6.5,0.456,22.2,26.9,0.175,0.558,13.1,41.2,0.283
2.0,2.0,2023-11-11,@,Eastern Michigan,REG (Non-Conf),L,60.0,70.0,,19.0,60.0,0.317,9.0,36.0,0.25,10.0,24.0,0.417,0.392,13.0,20.0,0.65,13.0,21.0,34.0,8.0,5.0,1.0,9.0,17.0,25.0,52.0,0.481,7.0,22.0,0.318,18.0,30.0,0.6,0.548,13.0,18.0,0.722,8.0,27.0,35.0,14.0,3.0,2.0,15.0,19.0,90.2,105.2,66.5,0.333,0.6,0.432,49.3,42.1,7.5,3.3,0.392,11.5,32.5,0.217,0.548,19.9,27.6,0.25
3.0,3.0,2023-11-14,@,Jacksonville,REG (Non-Conf),L,68.0,85.0,,21.0,60.0,0.35,7.0,26.0,0.269,14.0,34.0,0.412,0.408,19.0,27.0,0.704,10.0,12.0,22.0,7.0,10.0,4.0,10.0,20.0,29.0,52.0,0.558,9.0,18.0,0.5,20.0,34.0,0.588,0.644,18.0,25.0,0.72,8.0,25.0,33.0,13.0,9.0,7.0,15.0,22.0,94.6,118.3,71.9,0.45,0.433,0.467,40.0,33.3,13.9,11.8,0.408,12.1,28.6,0.317,0.644,19.0,40.0,0.346
4.0,4.0,2023-11-19,N,Kennesaw State,REG (Non-Conf),L,92.0,96.0,,28.0,65.0,0.431,13.0,31.0,0.419,15.0,34.0,0.441,0.531,23.0,25.0,0.92,14.0,27.0,41.0,11.0,4.0,8.0,19.0,33.0,28.0,69.0,0.406,8.0,23.0,0.348,20.0,46.0,0.435,0.464,32.0,41.0,0.78,15.0,21.0,36.0,14.0,11.0,9.0,11.0,20.0,110.6,115.4,83.2,0.385,0.477,0.598,53.2,39.3,4.8,17.4,0.531,19.8,40.0,0.354,0.464,11.1,35.7,0.464
5.0,5.0,2023-11-20,@,East Carolina,REG (Non-Conf),L,64.0,82.0,,21.0,52.0,0.404,11.0,32.0,0.344,10.0,20.0,0.5,0.51,11.0,13.0,0.846,3.0,18.0,21.0,9.0,9.0,0.0,16.0,17.0,28.0,50.0,0.56,12.0,26.0,0.462,16.0,24.0,0.667,0.68,14.0,20.0,0.7,7.0,26.0,33.0,20.0,9.0,1.0,14.0,13.0,93.0,119.1,68.8,0.25,0.615,0.55,38.9,42.9,13.1,0.0,0.51,21.6,10.3,0.212,0.68,19.0,28.0,0.28
6.0,6.0,2023-11-21,N,Northeastern,REG (Non-Conf),L,76.0,93.0,,28.0,61.0,0.459,12.0,31.0,0.387,16.0,30.0,0.533,0.557,8.0,12.0,0.667,9.0,15.0,24.0,10.0,4.0,1.0,13.0,20.0,31.0,53.0,0.585,11.0,25.0,0.44,20.0,28.0,0.714,0.689,20.0,27.0,0.741,9.0,21.0,30.0,22.0,11.0,4.0,13.0,13.0,108.2,132.4,70.3,0.197,0.508,0.57,44.4,35.7,5.7,3.6,0.557,16.3,30.0,0.131,0.689,16.5,37.5,0.377
7.0,7.0,2023-11-28,@,Michigan State,REG (Non-Conf),L,55.0,86.0,,22.0,55.0,0.4,6.0,25.0,0.24,16.0,30.0,0.533,0.455,5.0,9.0,0.556,3.0,20.0,23.0,8.0,10.0,5.0,20.0,24.0,31.0,60.0,0.517,5.0,18.0,0.278,26.0,42.0,0.619,0.558,19.0,30.0,0.633,14.0,30.0,44.0,23.0,8.0,4.0,15.0,12.0,72.6,113.5,75.8,0.164,0.455,0.464,34.3,36.4,13.2,11.9,0.455,25.2,9.1,0.091,0.558,16.8,41.2,0.317
8.0,8.0,2023-12-02,,Jacksonville,REG (Non-Conf),L,79.0,81.0,,28.0,54.0,0.519,13.0,23.0,0.565,15.0,31.0,0.484,0.639,10.0,12.0,0.833,6.0,15.0,21.0,15.0,5.0,2.0,10.0,13.0,31.0,60.0,0.517,10.0,21.0,0.476,21.0,39.0,0.538,0.6,9.0,14.0,0.643,13.0,21.0,34.0,13.0,5.0,4.0,8.0,19.0,126.0,129.2,62.7,0.222,0.426,0.662,38.2,53.6,8.0,5.1,0.639,14.3,22.2,0.185,0.6,10.7,46.4,0.15
9.0,9.0,2023-12-09,@,North Florida,REG (Non-Conf),L,56.0,64.0,,22.0,58.0,0.379,9.0,27.0,0.333,13.0,31.0,0.419,0.457,3.0,11.0,0.273,8.0,28.0,36.0,10.0,7.0,6.0,17.0,18.0,20.0,64.0,0.313,8.0,35.0,0.229,12.0,29.0,0.414,0.375,16.0,22.0,0.727,13.0,31.0,44.0,9.0,10.0,4.0,9.0,10.0,78.5,89.7,71.3,0.19,0.466,0.443,45.0,45.5,9.8,20.7,0.457,21.2,20.5,0.052,0.375,10.8,31.7,0.25
10.0,10.0,2023-12-12,@,Tennessee,REG (Non-Conf),L,56.0,74.0,,19.0,70.0,0.271,8.0,32.0,0.25,11.0,38.0,0.289,0.329,10.0,12.0,0.833,18.0,18.0,36.0,8.0,15.0,3.0,15.0,16.0,26.0,58.0,0.448,5.0,20.0,0.25,21.0,38.0,0.553,0.491,17.0,22.0,0.773,15.0,33.0,48.0,17.0,12.0,7.0,19.0,7.0,77.2,102.0,72.6,0.171,0.457,0.37,42.9,42.1,20.7,7.9,0.329,16.5,35.3,0.143,0.491,21.7,45.5,0.293
11.0,11.0,2023-12-16,,UNC Wilmington,REG (Non-Conf),L,77.0,82.0,,28.0,57.0,0.491,10.0,22.0,0.455,18.0,35.0,0.514,0.579,11.0,12.0,0.917,5.0,22.0,27.0,8.0,2.0,5.0,8.0,23.0,27.0,60.0,0.45,10.0,25.0,0.4,17.0,35.0,0.486,0.533,18.0,22.0,0.818,7.0,20.0,27.0,15.0,4.0,4.0,5.0,15.0,114.8,122.3,67.1,0.211,0.386,0.614,50.0,28.6,3.0,14.3,0.579,11.3,20.0,0.193,0.533,6.6,24.1,0.3
12.0,12.0,2023-12-19,N,Florida Gulf Coast,REG (Non-Conf),L,42.0,53.0,,16.0,52.0,0.308,6.0,27.0,0.222,10.0,25.0,0.4,0.365,4.0,11.0,0.364,4.0,19.0,23.0,8.0,10.0,2.0,12.0,10.0,21.0,54.0,0.389,5.0,16.0,0.313,16.0,38.0,0.421,0.435,6.0,10.0,0.6,10.0,31.0,41.0,11.0,9.0,3.0,13.0,11.0,66.2,83.5,63.5,0.212,0.519,0.367,35.9,50.0,15.8,5.3,0.365,17.3,11.4,0.077,0.435,18.1,34.5,0.111
