Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Georgia Southern,REG (Non-Conf),W,84.0,62.0,,27.0,60.0,0.45,13.0,29.0,0.448,14.0,31.0,0.452,0.558,17.0,27.0,0.63,14.0,19.0,33.0,17.0,10.0,4.0,11.0,16.0,23.0,57.0,0.404,6.0,22.0,0.273,17.0,35.0,0.486,0.456,10.0,13.0,0.769,7.0,20.0,27.0,6.0,5.0,2.0,18.0,23.0,116.7,86.1,72.0,0.45,0.483,0.577,55.0,63.0,13.9,11.4,0.558,13.1,41.2,0.283,0.456,22.2,26.9,0.175
2.0,2.0,2023-11-09,,Howard,REG (Non-Conf),W,88.0,85.0,,34.0,77.0,0.442,4.0,18.0,0.222,30.0,59.0,0.508,0.468,16.0,27.0,0.593,15.0,20.0,35.0,12.0,6.0,3.0,6.0,19.0,30.0,60.0,0.5,6.0,21.0,0.286,24.0,39.0,0.615,0.55,19.0,28.0,0.679,11.0,25.0,36.0,11.0,5.0,6.0,13.0,19.0,112.7,108.9,78.1,0.351,0.234,0.49,49.3,35.3,7.7,7.7,0.468,6.3,37.5,0.208,0.55,15.1,35.5,0.317
3.0,3.0,2023-11-14,,UMass Lowell,REG (Non-Conf),L,71.0,74.0,,26.0,70.0,0.371,6.0,30.0,0.2,20.0,40.0,0.5,0.414,13.0,23.0,0.565,14.0,25.0,39.0,11.0,5.0,6.0,11.0,22.0,28.0,67.0,0.418,2.0,15.0,0.133,26.0,52.0,0.5,0.433,16.0,19.0,0.842,11.0,29.0,40.0,12.0,7.0,6.0,9.0,19.0,93.5,97.4,76.0,0.329,0.429,0.439,49.4,42.3,6.6,11.5,0.414,12.0,32.6,0.186,0.433,10.6,30.6,0.239
4.0,4.0,2023-11-22,@,Cincinnati,REG (Non-Conf),L,54.0,89.0,,17.0,49.0,0.347,5.0,17.0,0.294,12.0,32.0,0.375,0.398,15.0,19.0,0.789,5.0,25.0,30.0,8.0,4.0,10.0,16.0,16.0,29.0,62.0,0.468,14.0,35.0,0.4,15.0,27.0,0.556,0.581,17.0,24.0,0.708,7.0,25.0,32.0,17.0,7.0,4.0,6.0,15.0,76.4,125.9,70.7,0.388,0.347,0.465,48.4,47.1,5.7,37.0,0.398,21.6,16.7,0.306,0.581,7.6,21.9,0.274
5.0,5.0,2023-11-28,,Mississippi State,REG (Non-Conf),W,67.0,59.0,,21.0,61.0,0.344,8.0,27.0,0.296,13.0,34.0,0.382,0.41,17.0,23.0,0.739,11.0,31.0,42.0,8.0,7.0,5.0,11.0,20.0,20.0,65.0,0.308,7.0,30.0,0.233,13.0,35.0,0.371,0.362,12.0,16.0,0.75,13.0,26.0,39.0,5.0,8.0,2.0,11.0,19.0,94.0,82.8,71.3,0.377,0.443,0.466,51.9,38.1,9.8,14.3,0.41,13.3,29.7,0.279,0.362,13.2,29.5,0.185
6.0,6.0,2023-12-02,,Duke,REG (Conf),W,72.0,68.0,,27.0,53.0,0.509,7.0,23.0,0.304,20.0,30.0,0.667,0.575,11.0,13.0,0.846,4.0,27.0,31.0,19.0,1.0,8.0,11.0,12.0,26.0,62.0,0.419,4.0,16.0,0.25,22.0,46.0,0.478,0.452,12.0,20.0,0.6,11.0,19.0,30.0,12.0,8.0,6.0,6.0,15.0,108.5,102.5,66.3,0.245,0.434,0.608,50.8,70.4,1.5,17.4,0.575,15.7,17.4,0.208,0.452,7.7,28.9,0.194
7.0,7.0,2023-12-05,@,Georgia,REG (Non-Conf),L,62.0,76.0,,24.0,75.0,0.32,8.0,27.0,0.296,16.0,48.0,0.333,0.373,6.0,13.0,0.462,15.0,25.0,40.0,15.0,7.0,5.0,8.0,18.0,26.0,65.0,0.4,10.0,33.0,0.303,16.0,32.0,0.5,0.477,14.0,21.0,0.667,9.0,36.0,45.0,14.0,4.0,4.0,9.0,14.0,83.1,101.9,74.6,0.173,0.36,0.382,47.1,62.5,9.4,15.6,0.373,9.0,29.4,0.08,0.477,10.7,26.5,0.215
8.0,8.0,2023-12-09,,Alabama A&M,REG (Non-Conf),W,70.0,49.0,,24.0,56.0,0.429,8.0,28.0,0.286,16.0,28.0,0.571,0.5,14.0,22.0,0.636,19.0,32.0,51.0,15.0,3.0,2.0,19.0,14.0,16.0,58.0,0.276,2.0,20.0,0.1,14.0,38.0,0.368,0.293,15.0,20.0,0.75,7.0,16.0,23.0,4.0,12.0,4.0,7.0,20.0,104.5,73.2,67.0,0.393,0.5,0.527,68.9,62.5,4.5,5.3,0.5,22.2,54.3,0.25,0.293,9.4,17.9,0.259
9.0,9.0,2023-12-16,N,Penn State,REG (Non-Conf),W,82.0,81.0,OT,32.0,71.0,0.451,5.0,22.0,0.227,27.0,49.0,0.551,0.486,13.0,19.0,0.684,17.0,31.0,48.0,25.0,3.0,5.0,17.0,16.0,29.0,74.0,0.392,12.0,33.0,0.364,17.0,41.0,0.415,0.473,11.0,17.0,0.647,10.0,17.0,27.0,15.0,13.0,3.0,6.0,18.0,103.7,102.5,70.3,0.268,0.31,0.512,64.0,78.1,3.8,12.2,0.486,17.5,50.0,0.183,0.473,6.8,24.4,0.149
10.0,10.0,2023-12-21,N,Massachusetts,REG (Non-Conf),W,73.0,70.0,,25.0,51.0,0.49,5.0,17.0,0.294,20.0,34.0,0.588,0.539,18.0,21.0,0.857,9.0,28.0,37.0,7.0,6.0,5.0,21.0,16.0,26.0,67.0,0.388,10.0,31.0,0.323,16.0,36.0,0.444,0.463,8.0,19.0,0.421,12.0,15.0,27.0,11.0,16.0,3.0,11.0,20.0,98.6,94.6,74.0,0.412,0.333,0.599,57.8,28.0,8.1,13.9,0.539,25.6,37.5,0.353,0.463,12.6,30.0,0.119
11.0,11.0,2023-12-22,@,Hawaii,REG (Non-Conf),W,73.0,68.0,,29.0,63.0,0.46,5.0,17.0,0.294,24.0,46.0,0.522,0.5,10.0,15.0,0.667,14.0,29.0,43.0,11.0,2.0,4.0,8.0,17.0,22.0,58.0,0.379,6.0,26.0,0.231,16.0,32.0,0.5,0.431,18.0,25.0,0.72,6.0,19.0,25.0,12.0,4.0,2.0,4.0,16.0,110.6,103.0,66.0,0.238,0.27,0.52,63.2,37.9,3.0,12.5,0.5,10.2,42.4,0.159,0.431,5.4,17.1,0.31
12.0,12.0,2023-12-24,N,Nevada,REG (Non-Conf),L,64.0,72.0,,22.0,57.0,0.386,6.0,26.0,0.231,16.0,31.0,0.516,0.439,14.0,21.0,0.667,8.0,21.0,29.0,9.0,4.0,1.0,9.0,16.0,26.0,53.0,0.491,7.0,22.0,0.318,19.0,31.0,0.613,0.557,13.0,20.0,0.65,7.0,21.0,28.0,9.0,4.0,5.0,12.0,18.0,94.5,106.3,67.7,0.368,0.456,0.478,50.9,40.9,5.9,3.2,0.439,11.8,27.6,0.246,0.557,16.1,25.0,0.245
13.0,13.0,2024-01-03,@,Florida State,REG (Conf),L,71.0,82.0,,25.0,59.0,0.424,7.0,26.0,0.269,18.0,33.0,0.545,0.483,14.0,26.0,0.538,7.0,21.0,28.0,11.0,4.0,2.0,10.0,18.0,31.0,60.0,0.517,7.0,17.0,0.412,24.0,43.0,0.558,0.575,13.0,17.0,0.765,9.0,24.0,33.0,12.0,7.0,1.0,13.0,21.0,97.0,112.0,73.2,0.441,0.441,0.498,45.9,44.0,5.5,4.7,0.483,12.3,22.6,0.237,0.575,16.0,30.0,0.217
