Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Erskine,REG (Non-Conf),W,98.0,58.0,,31.0,67.0,0.463,14.0,36.0,0.389,17.0,31.0,0.548,0.567,22.0,31.0,0.71,23.0,31.0,54.0,18.0,3.0,6.0,13.0,19.0,20.0,56.0,0.357,6.0,16.0,0.375,14.0,40.0,0.35,0.411,12.0,22.0,0.545,9.0,16.0,25.0,7.0,8.0,0.0,9.0,20.0,141.8,84.0,69.1,0.463,0.537,0.6,68.4,58.1,4.3,15.0,0.567,13.7,59.0,0.328,0.411,11.9,22.5,0.214
2.0,2.0,2023-11-10,@,Arkansas,REG (Non-Conf),L,68.0,86.0,,25.0,72.0,0.347,6.0,23.0,0.261,19.0,49.0,0.388,0.389,12.0,21.0,0.571,7.0,27.0,34.0,14.0,9.0,0.0,10.0,19.0,30.0,60.0,0.5,7.0,18.0,0.389,23.0,42.0,0.548,0.558,19.0,31.0,0.613,6.0,37.0,43.0,11.0,4.0,15.0,10.0,20.0,83.1,105.1,81.9,0.292,0.319,0.415,44.2,56.0,11.0,0.0,0.389,10.9,15.9,0.167,0.558,11.8,18.2,0.317
3.0,3.0,2023-11-12,@,Baylor,REG (Non-Conf),L,62.0,77.0,,25.0,67.0,0.373,2.0,17.0,0.118,23.0,50.0,0.46,0.388,10.0,15.0,0.667,8.0,18.0,26.0,10.0,6.0,3.0,9.0,24.0,26.0,58.0,0.448,0.0,9.0,0.0,26.0,49.0,0.531,0.448,25.0,32.0,0.781,15.0,30.0,45.0,7.0,6.0,7.0,13.0,16.0,84.7,105.2,73.2,0.224,0.254,0.418,36.6,40.0,8.2,6.1,0.388,10.8,21.1,0.149,0.448,15.1,45.5,0.431
4.0,4.0,2023-11-17,N,Weber State,REG (Non-Conf),W,62.0,61.0,,26.0,49.0,0.531,6.0,19.0,0.316,20.0,30.0,0.667,0.592,4.0,14.0,0.286,10.0,25.0,35.0,12.0,2.0,4.0,11.0,24.0,17.0,43.0,0.395,3.0,20.0,0.15,14.0,23.0,0.609,0.43,24.0,29.0,0.828,4.0,18.0,22.0,8.0,4.0,1.0,10.0,16.0,103.8,102.2,58.5,0.286,0.388,0.557,61.4,46.2,3.3,17.4,0.592,16.5,35.7,0.082,0.43,15.0,13.8,0.558
5.0,5.0,2023-11-18,N,Colgate,REG (Non-Conf),L,52.0,59.0,,18.0,54.0,0.333,6.0,22.0,0.273,12.0,32.0,0.375,0.389,10.0,12.0,0.833,9.0,24.0,33.0,7.0,4.0,2.0,12.0,15.0,21.0,53.0,0.396,7.0,20.0,0.35,14.0,33.0,0.424,0.462,10.0,12.0,0.833,5.0,26.0,31.0,11.0,6.0,1.0,13.0,10.0,80.4,91.2,64.7,0.222,0.407,0.436,51.6,38.9,6.2,6.1,0.389,16.7,25.7,0.185,0.462,18.1,17.2,0.189
6.0,6.0,2023-11-19,N,Yale,REG (Non-Conf),L,70.0,71.0,OT,24.0,60.0,0.4,5.0,14.0,0.357,19.0,46.0,0.413,0.442,17.0,24.0,0.708,7.0,23.0,30.0,14.0,9.0,2.0,14.0,19.0,24.0,58.0,0.414,7.0,20.0,0.35,17.0,38.0,0.447,0.474,16.0,23.0,0.696,10.0,27.0,37.0,14.0,8.0,2.0,18.0,16.0,90.1,91.4,69.0,0.4,0.233,0.49,44.8,58.3,11.6,5.3,0.442,16.4,20.6,0.283,0.474,20.7,30.3,0.276
7.0,7.0,2023-11-25,,Limestone,REG (Non-Conf),W,92.0,51.0,,38.0,70.0,0.543,11.0,28.0,0.393,27.0,42.0,0.643,0.621,5.0,9.0,0.556,11.0,33.0,44.0,17.0,11.0,0.0,16.0,13.0,20.0,64.0,0.313,6.0,30.0,0.2,14.0,34.0,0.412,0.359,5.0,7.0,0.714,9.0,20.0,29.0,7.0,9.0,3.0,18.0,13.0,118.3,65.6,77.8,0.129,0.4,0.619,60.3,44.7,14.1,0.0,0.621,17.7,35.5,0.071,0.359,21.1,21.4,0.078
8.0,8.0,2023-11-29,@,Queens (NC),REG (Non-Conf),L,80.0,83.0,,26.0,66.0,0.394,3.0,17.0,0.176,23.0,49.0,0.469,0.417,25.0,31.0,0.806,13.0,23.0,36.0,11.0,7.0,5.0,9.0,22.0,27.0,68.0,0.397,11.0,27.0,0.407,16.0,41.0,0.39,0.478,18.0,26.0,0.692,16.0,24.0,40.0,16.0,5.0,3.0,13.0,23.0,103.8,107.7,77.0,0.47,0.258,0.496,47.4,42.3,9.1,12.2,0.417,10.0,35.1,0.379,0.478,13.9,41.0,0.265
9.0,9.0,2023-12-02,,Western Carolina,REG (Non-Conf),W,82.0,77.0,,24.0,58.0,0.414,5.0,15.0,0.333,19.0,43.0,0.442,0.457,29.0,48.0,0.604,11.0,26.0,37.0,9.0,4.0,3.0,5.0,21.0,25.0,55.0,0.455,4.0,17.0,0.235,21.0,38.0,0.553,0.491,23.0,29.0,0.793,4.0,30.0,34.0,6.0,0.0,2.0,9.0,30.0,110.4,103.7,74.3,0.828,0.259,0.507,52.1,37.5,5.4,7.9,0.457,5.8,26.8,0.5,0.491,11.6,13.3,0.418
10.0,10.0,2023-12-06,,Wofford,REG (Non-Conf),L,66.0,81.0,,23.0,69.0,0.333,10.0,32.0,0.313,13.0,37.0,0.351,0.406,10.0,14.0,0.714,9.0,22.0,31.0,11.0,11.0,2.0,7.0,16.0,30.0,55.0,0.545,11.0,26.0,0.423,19.0,29.0,0.655,0.645,10.0,20.0,0.5,5.0,33.0,38.0,19.0,3.0,4.0,11.0,13.0,91.6,112.4,72.1,0.203,0.464,0.436,44.9,47.8,15.3,6.9,0.406,8.5,21.4,0.145,0.645,14.6,18.5,0.182
