Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Monmouth,REG (Non-Conf),W,72.0,61.0,,23.0,49.0,0.469,9.0,20.0,0.45,14.0,29.0,0.483,0.561,17.0,25.0,0.68,8.0,32.0,40.0,13.0,5.0,7.0,16.0,14.0,22.0,65.0,0.338,9.0,25.0,0.36,13.0,40.0,0.325,0.408,8.0,12.0,0.667,10.0,18.0,28.0,10.0,9.0,4.0,12.0,21.0,101.7,86.2,70.8,0.51,0.408,0.591,58.8,56.5,7.1,17.5,0.561,20.8,30.8,0.347,0.408,14.5,23.8,0.123
2.0,2.0,2023-11-10,,Austin Peay,REG (Non-Conf),W,67.0,45.0,,21.0,53.0,0.396,7.0,25.0,0.28,14.0,28.0,0.5,0.462,18.0,25.0,0.72,10.0,30.0,40.0,10.0,4.0,1.0,11.0,15.0,17.0,59.0,0.288,3.0,19.0,0.158,14.0,40.0,0.35,0.314,8.0,10.0,0.8,10.0,22.0,32.0,6.0,10.0,3.0,9.0,23.0,104.2,70.0,64.3,0.472,0.472,0.516,55.6,47.6,6.2,2.5,0.462,14.5,31.3,0.34,0.314,12.4,25.0,0.136
3.0,3.0,2023-11-15,,Cornell,REG (Non-Conf),W,90.0,83.0,,31.0,62.0,0.5,9.0,22.0,0.409,22.0,40.0,0.55,0.573,19.0,25.0,0.76,13.0,21.0,34.0,13.0,8.0,5.0,11.0,18.0,28.0,60.0,0.467,14.0,29.0,0.483,14.0,31.0,0.452,0.583,13.0,17.0,0.765,10.0,19.0,29.0,16.0,8.0,2.0,13.0,22.0,125.9,116.1,71.5,0.403,0.355,0.609,54.0,41.9,11.2,16.1,0.573,13.0,40.6,0.306,0.583,16.0,32.3,0.217
4.0,4.0,2023-11-19,N,Charlotte,REG (Non-Conf),L,49.0,54.0,,16.0,48.0,0.333,5.0,18.0,0.278,11.0,30.0,0.367,0.385,12.0,15.0,0.8,4.0,20.0,24.0,8.0,6.0,0.0,12.0,19.0,17.0,46.0,0.37,4.0,14.0,0.286,13.0,32.0,0.406,0.413,16.0,20.0,0.8,5.0,26.0,31.0,8.0,6.0,6.0,9.0,15.0,79.9,88.1,61.3,0.313,0.375,0.444,43.6,50.0,9.8,0.0,0.385,17.9,13.3,0.25,0.413,14.0,20.0,0.348
5.0,5.0,2023-11-20,N,South Dakota State,REG (Non-Conf),W,73.0,71.0,,27.0,59.0,0.458,10.0,26.0,0.385,17.0,33.0,0.515,0.542,9.0,10.0,0.9,11.0,28.0,39.0,12.0,3.0,5.0,11.0,13.0,29.0,60.0,0.483,8.0,21.0,0.381,21.0,39.0,0.538,0.55,5.0,12.0,0.417,5.0,20.0,25.0,10.0,4.0,1.0,6.0,13.0,111.9,108.9,65.2,0.169,0.441,0.573,60.9,44.4,4.6,12.8,0.542,14.7,35.5,0.153,0.55,8.4,15.2,0.083
6.0,6.0,2023-11-25,,East Carolina,REG (Non-Conf),W,81.0,59.0,,32.0,55.0,0.582,9.0,24.0,0.375,23.0,31.0,0.742,0.664,8.0,11.0,0.727,6.0,25.0,31.0,18.0,6.0,7.0,6.0,15.0,20.0,58.0,0.345,6.0,20.0,0.3,14.0,38.0,0.368,0.397,13.0,21.0,0.619,10.0,17.0,27.0,9.0,3.0,3.0,6.0,14.0,130.4,95.0,62.1,0.2,0.436,0.672,53.4,56.3,9.7,18.4,0.664,9.1,26.1,0.145,0.397,8.1,28.6,0.224
7.0,7.0,2023-11-29,,NJIT,REG (Non-Conf),W,86.0,68.0,,30.0,60.0,0.5,9.0,16.0,0.563,21.0,44.0,0.477,0.575,17.0,29.0,0.586,13.0,28.0,41.0,16.0,7.0,1.0,9.0,16.0,20.0,60.0,0.333,12.0,30.0,0.4,8.0,30.0,0.267,0.433,16.0,20.0,0.8,9.0,24.0,33.0,11.0,4.0,3.0,10.0,25.0,122.6,97.0,70.1,0.483,0.267,0.583,55.4,53.3,10.0,3.3,0.575,10.9,35.1,0.283,0.433,12.6,24.3,0.267
8.0,8.0,2023-12-02,@,Toledo,REG (Non-Conf),W,86.0,77.0,,31.0,60.0,0.517,8.0,15.0,0.533,23.0,45.0,0.511,0.583,16.0,18.0,0.889,12.0,24.0,36.0,12.0,6.0,5.0,13.0,24.0,24.0,57.0,0.421,5.0,14.0,0.357,19.0,43.0,0.442,0.465,24.0,30.0,0.8,10.0,17.0,27.0,9.0,8.0,7.0,9.0,19.0,123.0,110.2,69.9,0.3,0.25,0.627,57.1,38.7,8.6,11.6,0.583,15.9,41.4,0.267,0.465,11.2,29.4,0.421
9.0,9.0,2023-12-05,@,Tennessee,REG (Non-Conf),L,66.0,87.0,,24.0,56.0,0.429,11.0,25.0,0.44,13.0,31.0,0.419,0.527,7.0,11.0,0.636,4.0,21.0,25.0,11.0,6.0,4.0,13.0,15.0,32.0,65.0,0.492,9.0,26.0,0.346,23.0,39.0,0.59,0.562,14.0,22.0,0.636,11.0,29.0,40.0,27.0,8.0,4.0,9.0,12.0,91.9,121.1,71.8,0.196,0.446,0.539,38.5,45.8,8.4,10.3,0.527,17.5,12.1,0.125,0.562,10.7,34.4,0.215
10.0,10.0,2023-12-16,,Loyola (MD),REG (Non-Conf),W,62.0,54.0,,19.0,49.0,0.388,4.0,20.0,0.2,15.0,29.0,0.517,0.429,20.0,29.0,0.69,11.0,30.0,41.0,8.0,1.0,5.0,8.0,14.0,18.0,58.0,0.31,6.0,23.0,0.261,12.0,35.0,0.343,0.362,12.0,17.0,0.706,10.0,23.0,33.0,10.0,6.0,1.0,7.0,19.0,100.9,87.9,61.4,0.592,0.408,0.494,55.4,42.1,1.6,14.3,0.429,11.3,32.4,0.408,0.362,9.6,25.0,0.207
