Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Stonehill,REG (Non-Conf),W,89.0,44.0,,33.0,65.0,0.508,15.0,36.0,0.417,18.0,29.0,0.621,0.623,8.0,14.0,0.571,7.0,39.0,46.0,17.0,9.0,5.0,13.0,10.0,15.0,70.0,0.214,5.0,33.0,0.152,10.0,37.0,0.27,0.25,9.0,12.0,0.75,9.0,25.0,34.0,10.0,4.0,1.0,14.0,12.0,112.4,55.6,79.2,0.215,0.554,0.621,57.5,51.5,11.4,13.5,0.623,15.4,21.9,0.123,0.25,15.6,18.8,0.129
2.0,2.0,2023-11-11,,William & Mary,REG (Non-Conf),W,95.0,89.0,,28.0,56.0,0.5,6.0,17.0,0.353,22.0,39.0,0.564,0.554,33.0,38.0,0.868,3.0,29.0,32.0,9.0,6.0,8.0,11.0,13.0,31.0,77.0,0.403,18.0,44.0,0.409,13.0,33.0,0.394,0.519,9.0,9.0,1.0,9.0,25.0,34.0,23.0,6.0,3.0,11.0,24.0,114.9,107.7,82.7,0.679,0.304,0.641,48.5,32.1,7.3,24.2,0.554,12.9,10.7,0.589,0.519,11.9,23.7,0.117
3.0,3.0,2023-11-14,,Hofstra,REG (Non-Conf),W,71.0,60.0,,27.0,66.0,0.409,8.0,23.0,0.348,19.0,43.0,0.442,0.47,9.0,9.0,1.0,5.0,34.0,39.0,12.0,11.0,5.0,13.0,14.0,25.0,67.0,0.373,7.0,27.0,0.259,18.0,40.0,0.45,0.425,3.0,3.0,1.0,3.0,29.0,32.0,12.0,6.0,6.0,15.0,13.0,89.5,75.6,79.4,0.136,0.348,0.505,54.9,44.4,13.9,12.5,0.47,15.6,14.7,0.136,0.425,18.0,8.1,0.045
4.0,4.0,2023-11-18,,New Hampshire,REG (Non-Conf),W,79.0,67.0,,25.0,56.0,0.446,9.0,23.0,0.391,16.0,33.0,0.485,0.527,20.0,25.0,0.8,7.0,35.0,42.0,15.0,5.0,10.0,16.0,15.0,26.0,72.0,0.361,4.0,31.0,0.129,22.0,41.0,0.537,0.389,11.0,17.0,0.647,9.0,24.0,33.0,8.0,9.0,0.0,7.0,15.0,102.0,86.5,77.5,0.446,0.411,0.582,56.0,60.0,6.5,24.4,0.527,19.1,22.6,0.357,0.389,8.0,20.5,0.153
5.0,5.0,2023-11-24,N,Ohio,REG (Non-Conf),W,99.0,94.0,2OT,33.0,70.0,0.471,12.0,29.0,0.414,21.0,41.0,0.512,0.557,21.0,27.0,0.778,4.0,32.0,36.0,14.0,8.0,1.0,19.0,19.0,35.0,79.0,0.443,9.0,33.0,0.273,26.0,46.0,0.565,0.5,15.0,25.0,0.6,11.0,29.0,40.0,8.0,8.0,7.0,18.0,19.0,101.2,96.1,78.3,0.386,0.414,0.598,47.4,42.4,8.2,2.2,0.557,18.7,12.1,0.3,0.5,16.5,25.6,0.19
6.0,6.0,2023-11-25,N,Illinois–Chicago,REG (Non-Conf),L,79.0,89.0,,27.0,66.0,0.409,8.0,26.0,0.308,19.0,40.0,0.475,0.47,17.0,23.0,0.739,7.0,25.0,32.0,11.0,5.0,1.0,11.0,18.0,32.0,63.0,0.508,13.0,32.0,0.406,19.0,31.0,0.613,0.611,12.0,21.0,0.571,8.0,26.0,34.0,14.0,5.0,7.0,11.0,19.0,100.7,113.4,78.5,0.348,0.394,0.513,48.5,40.7,6.4,3.2,0.47,12.5,21.2,0.258,0.611,13.1,24.2,0.19
7.0,7.0,2023-11-26,N,Delaware,REG (Non-Conf),W,81.0,71.0,,30.0,57.0,0.526,5.0,17.0,0.294,25.0,40.0,0.625,0.57,16.0,19.0,0.842,5.0,27.0,32.0,8.0,7.0,5.0,13.0,12.0,30.0,68.0,0.441,4.0,24.0,0.167,26.0,44.0,0.591,0.471,7.0,10.0,0.7,7.0,18.0,25.0,15.0,6.0,3.0,11.0,14.0,107.4,94.2,75.4,0.333,0.298,0.613,56.1,26.7,9.3,11.4,0.57,16.5,21.7,0.281,0.471,13.1,20.6,0.103
8.0,8.0,2023-12-01,@,South Carolina,REG (Non-Conf),L,67.0,89.0,,25.0,60.0,0.417,11.0,22.0,0.5,14.0,38.0,0.368,0.508,6.0,8.0,0.75,9.0,24.0,33.0,15.0,3.0,4.0,10.0,9.0,33.0,66.0,0.5,18.0,35.0,0.514,15.0,31.0,0.484,0.636,5.0,7.0,0.714,9.0,22.0,31.0,19.0,7.0,6.0,3.0,9.0,104.6,138.9,64.1,0.133,0.367,0.525,51.6,60.0,4.7,12.9,0.508,13.6,29.0,0.1,0.636,4.1,27.3,0.076
9.0,9.0,2023-12-05,,Navy,REG (Non-Conf),W,79.0,77.0,OT,27.0,57.0,0.474,7.0,24.0,0.292,20.0,33.0,0.606,0.535,18.0,33.0,0.545,9.0,29.0,38.0,17.0,6.0,15.0,17.0,22.0,24.0,76.0,0.316,7.0,23.0,0.304,17.0,53.0,0.321,0.362,22.0,24.0,0.917,14.0,24.0,38.0,11.0,9.0,0.0,10.0,27.0,96.3,93.9,72.9,0.579,0.421,0.544,50.0,63.0,7.3,28.3,0.535,19.0,27.3,0.316,0.362,10.3,32.6,0.289
10.0,10.0,2023-12-09,,Coppin State,REG (Non-Conf),W,76.0,45.0,,28.0,61.0,0.459,9.0,25.0,0.36,19.0,36.0,0.528,0.533,11.0,14.0,0.786,9.0,35.0,44.0,20.0,6.0,8.0,17.0,7.0,20.0,77.0,0.26,2.0,22.0,0.091,18.0,55.0,0.327,0.273,3.0,4.0,0.75,14.0,19.0,33.0,8.0,9.0,6.0,9.0,12.0,101.6,60.2,74.8,0.23,0.41,0.562,57.1,71.4,8.0,14.5,0.533,20.1,32.1,0.18,0.273,10.2,28.6,0.039
