Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Le Moyne,REG (Non-Conf),W,94.0,57.0,,37.0,64.0,0.578,10.0,27.0,0.37,27.0,37.0,0.73,0.656,10.0,19.0,0.526,13.0,37.0,50.0,23.0,9.0,3.0,16.0,16.0,21.0,65.0,0.323,7.0,31.0,0.226,14.0,34.0,0.412,0.377,8.0,16.0,0.5,9.0,19.0,28.0,11.0,10.0,0.0,11.0,22.0,124.8,75.7,75.3,0.297,0.422,0.644,64.1,62.2,12.0,8.8,0.656,18.0,40.6,0.156,0.377,13.2,19.6,0.123
2.0,2.0,2023-11-11,,Holy Cross,REG (Non-Conf),L,67.0,68.0,,22.0,61.0,0.361,11.0,29.0,0.379,11.0,32.0,0.344,0.451,12.0,19.0,0.632,14.0,15.0,29.0,15.0,7.0,2.0,4.0,13.0,25.0,54.0,0.463,5.0,20.0,0.25,20.0,34.0,0.588,0.509,13.0,16.0,0.813,14.0,25.0,39.0,8.0,2.0,3.0,12.0,17.0,112.0,113.7,59.8,0.311,0.475,0.478,42.6,68.2,11.7,5.9,0.451,5.4,35.9,0.197,0.509,16.3,48.3,0.241
3.0,3.0,2023-11-15,@,Rutgers,REG (Non-Conf),L,60.0,71.0,,18.0,51.0,0.353,7.0,25.0,0.28,11.0,26.0,0.423,0.422,17.0,21.0,0.81,9.0,27.0,36.0,4.0,3.0,1.0,18.0,21.0,24.0,53.0,0.453,9.0,24.0,0.375,15.0,29.0,0.517,0.538,14.0,24.0,0.583,6.0,21.0,27.0,11.0,9.0,4.0,9.0,16.0,87.4,103.4,68.7,0.412,0.49,0.492,57.1,22.2,4.4,3.4,0.422,22.8,30.0,0.333,0.538,12.3,18.2,0.264
4.0,4.0,2023-11-18,,Mount St. Mary's,REG (Non-Conf),W,83.0,72.0,,30.0,59.0,0.508,8.0,22.0,0.364,22.0,37.0,0.595,0.576,15.0,22.0,0.682,9.0,30.0,39.0,17.0,7.0,4.0,19.0,12.0,30.0,69.0,0.435,3.0,15.0,0.2,27.0,54.0,0.5,0.457,9.0,16.0,0.563,9.0,15.0,24.0,14.0,13.0,5.0,10.0,16.0,105.7,91.7,78.5,0.373,0.373,0.598,61.9,56.7,8.9,7.4,0.576,21.5,37.5,0.254,0.457,11.5,23.1,0.13
5.0,5.0,2023-11-19,,American,REG (Non-Conf),W,88.0,83.0,OT,30.0,61.0,0.492,10.0,28.0,0.357,20.0,33.0,0.606,0.574,18.0,26.0,0.692,10.0,21.0,31.0,13.0,5.0,4.0,10.0,19.0,29.0,62.0,0.468,9.0,27.0,0.333,20.0,35.0,0.571,0.54,16.0,21.0,0.762,12.0,26.0,38.0,12.0,6.0,1.0,12.0,20.0,121.1,114.2,64.6,0.426,0.459,0.6,44.9,43.3,6.9,11.4,0.574,12.0,27.8,0.295,0.54,14.3,36.4,0.258
6.0,6.0,2023-11-25,,Jackson State,REG (Non-Conf),W,88.0,81.0,,29.0,54.0,0.537,13.0,26.0,0.5,16.0,28.0,0.571,0.657,17.0,25.0,0.68,8.0,23.0,31.0,19.0,3.0,6.0,9.0,17.0,30.0,72.0,0.417,6.0,21.0,0.286,24.0,51.0,0.471,0.458,15.0,21.0,0.714,18.0,21.0,39.0,17.0,4.0,2.0,7.0,20.0,127.7,117.5,68.9,0.463,0.481,0.668,44.3,65.5,4.4,11.8,0.657,12.0,27.6,0.315,0.458,7.9,43.9,0.208
7.0,7.0,2023-11-29,,Merrimack,REG (Non-Conf),W,69.0,67.0,,18.0,50.0,0.36,5.0,13.0,0.385,13.0,37.0,0.351,0.41,28.0,42.0,0.667,15.0,22.0,37.0,14.0,5.0,8.0,18.0,21.0,24.0,55.0,0.436,4.0,15.0,0.267,20.0,40.0,0.5,0.473,15.0,21.0,0.714,7.0,19.0,26.0,12.0,14.0,2.0,12.0,25.0,96.6,93.8,71.5,0.84,0.26,0.493,58.7,77.8,7.0,20.0,0.41,20.5,44.1,0.56,0.473,15.6,24.1,0.273
8.0,8.0,2023-12-02,,TCU,REG (Non-Conf),L,83.0,84.0,,24.0,53.0,0.453,12.0,25.0,0.48,12.0,28.0,0.429,0.566,23.0,31.0,0.742,10.0,18.0,28.0,11.0,5.0,4.0,13.0,15.0,34.0,65.0,0.523,7.0,20.0,0.35,27.0,45.0,0.6,0.577,9.0,17.0,0.529,13.0,18.0,31.0,17.0,8.0,4.0,12.0,18.0,116.2,117.6,71.4,0.585,0.472,0.613,47.5,45.8,7.0,8.9,0.566,16.1,35.7,0.434,0.577,14.1,41.9,0.138
9.0,9.0,2023-12-09,,Syracuse,REG (Non-Conf),L,68.0,80.0,,25.0,59.0,0.424,5.0,26.0,0.192,20.0,33.0,0.606,0.466,13.0,20.0,0.65,13.0,18.0,31.0,13.0,8.0,4.0,14.0,17.0,29.0,54.0,0.537,5.0,11.0,0.455,24.0,43.0,0.558,0.583,17.0,23.0,0.739,8.0,22.0,30.0,7.0,12.0,4.0,13.0,20.0,97.5,114.8,69.7,0.339,0.441,0.496,50.8,52.0,11.5,9.3,0.466,17.0,37.1,0.22,0.583,16.7,30.8,0.315
10.0,10.0,2023-12-12,,Coppin State,REG (Non-Conf),W,71.0,54.0,,25.0,65.0,0.385,8.0,24.0,0.333,17.0,41.0,0.415,0.446,13.0,16.0,0.813,9.0,28.0,37.0,18.0,13.0,5.0,10.0,6.0,23.0,59.0,0.39,4.0,10.0,0.4,19.0,49.0,0.388,0.424,4.0,5.0,0.8,6.0,27.0,33.0,13.0,6.0,5.0,18.0,12.0,96.6,73.5,73.5,0.246,0.369,0.489,52.9,72.0,17.7,10.2,0.446,12.1,25.0,0.2,0.424,22.7,17.6,0.068
