Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Belmont,REG (Non-Conf),L,87.0,89.0,,36.0,76.0,0.474,7.0,19.0,0.368,29.0,57.0,0.509,0.52,8.0,14.0,0.571,9.0,25.0,34.0,14.0,6.0,1.0,6.0,19.0,32.0,60.0,0.533,8.0,20.0,0.4,24.0,40.0,0.6,0.6,17.0,22.0,0.773,5.0,26.0,31.0,19.0,3.0,4.0,12.0,13.0,110.8,113.3,78.6,0.184,0.25,0.526,52.3,38.9,7.6,2.5,0.52,6.8,25.7,0.105,0.6,14.6,16.7,0.283
2.0,2.0,2023-11-11,@,Western Michigan,REG (Non-Conf),W,77.0,70.0,,25.0,55.0,0.455,6.0,19.0,0.316,19.0,36.0,0.528,0.509,21.0,29.0,0.724,15.0,15.0,30.0,5.0,8.0,3.0,15.0,29.0,21.0,50.0,0.42,7.0,18.0,0.389,14.0,32.0,0.438,0.49,21.0,33.0,0.636,14.0,17.0,31.0,6.0,5.0,1.0,16.0,23.0,112.9,102.6,68.2,0.527,0.345,0.56,49.2,20.0,11.7,9.4,0.509,17.9,46.9,0.382,0.49,19.6,48.3,0.42
3.0,3.0,2023-11-17,,Northern Illinois,REG (Non-Conf),L,64.0,70.0,,23.0,76.0,0.303,4.0,18.0,0.222,19.0,58.0,0.328,0.329,14.0,18.0,0.778,13.0,24.0,37.0,14.0,5.0,1.0,6.0,22.0,26.0,57.0,0.456,4.0,20.0,0.2,22.0,37.0,0.595,0.491,14.0,24.0,0.583,8.0,31.0,39.0,12.0,4.0,12.0,10.0,18.0,86.5,94.6,74.0,0.237,0.237,0.378,48.7,60.9,6.8,2.7,0.329,6.6,29.5,0.184,0.491,12.8,25.0,0.246
4.0,4.0,2023-11-19,,Little Rock,REG (Non-Conf),W,88.0,77.0,,28.0,60.0,0.467,9.0,30.0,0.3,19.0,30.0,0.633,0.542,23.0,30.0,0.767,11.0,23.0,34.0,16.0,6.0,2.0,6.0,22.0,24.0,62.0,0.387,5.0,24.0,0.208,19.0,38.0,0.5,0.427,24.0,31.0,0.774,11.0,17.0,28.0,13.0,6.0,1.0,7.0,21.0,124.0,108.5,71.0,0.5,0.5,0.593,54.8,57.1,8.5,5.3,0.542,7.5,39.3,0.383,0.427,8.4,32.4,0.387
5.0,5.0,2023-11-22,@,Little Rock,REG (Non-Conf),W,93.0,90.0,OT,29.0,64.0,0.453,6.0,18.0,0.333,23.0,46.0,0.5,0.5,29.0,34.0,0.853,6.0,24.0,30.0,11.0,2.0,1.0,11.0,27.0,27.0,62.0,0.435,4.0,16.0,0.25,23.0,46.0,0.5,0.468,32.0,39.0,0.821,7.0,26.0,33.0,12.0,6.0,5.0,17.0,26.0,105.9,102.5,78.1,0.531,0.281,0.58,47.6,37.9,2.3,2.2,0.5,12.1,18.8,0.453,0.468,17.4,22.6,0.516
6.0,6.0,2023-11-25,@,Charlotte,REG (Non-Conf),L,57.0,65.0,,21.0,56.0,0.375,5.0,20.0,0.25,16.0,36.0,0.444,0.42,10.0,10.0,1.0,11.0,21.0,32.0,12.0,4.0,2.0,14.0,24.0,21.0,45.0,0.467,2.0,11.0,0.182,19.0,34.0,0.559,0.489,21.0,28.0,0.75,2.0,21.0,23.0,6.0,7.0,2.0,7.0,15.0,89.7,102.3,63.5,0.179,0.357,0.469,58.2,57.1,6.3,5.9,0.42,18.7,34.4,0.179,0.489,10.7,8.7,0.467
7.0,7.0,2023-12-02,@,Kennesaw State,REG (Non-Conf),L,77.0,88.0,,27.0,67.0,0.403,10.0,31.0,0.323,17.0,36.0,0.472,0.478,13.0,18.0,0.722,10.0,20.0,30.0,11.0,5.0,2.0,12.0,20.0,31.0,60.0,0.517,6.0,22.0,0.273,25.0,38.0,0.658,0.567,20.0,31.0,0.645,10.0,26.0,36.0,16.0,9.0,3.0,7.0,16.0,103.2,117.9,74.6,0.269,0.463,0.51,45.5,40.7,6.7,5.3,0.478,13.7,27.8,0.194,0.567,8.6,33.3,0.333
8.0,8.0,2023-12-04,,Middle GA St,REG (Non-Conf),W,89.0,57.0,,32.0,64.0,0.5,12.0,32.0,0.375,20.0,32.0,0.625,0.594,13.0,17.0,0.765,11.0,23.0,34.0,20.0,12.0,6.0,12.0,13.0,24.0,56.0,0.429,3.0,14.0,0.214,21.0,42.0,0.5,0.455,6.0,8.0,0.75,6.0,18.0,24.0,13.0,6.0,4.0,21.0,16.0,120.4,77.1,73.9,0.266,0.5,0.617,58.6,62.5,16.2,14.3,0.594,14.3,37.9,0.203,0.455,26.0,20.7,0.107
9.0,9.0,2023-12-09,@,Mercer,REG (Non-Conf),L,60.0,64.0,,24.0,55.0,0.436,5.0,16.0,0.313,19.0,39.0,0.487,0.482,7.0,9.0,0.778,6.0,17.0,23.0,10.0,7.0,3.0,5.0,11.0,26.0,53.0,0.491,5.0,17.0,0.294,21.0,36.0,0.583,0.538,7.0,9.0,0.778,8.0,25.0,33.0,14.0,4.0,3.0,12.0,14.0,100.4,107.1,59.8,0.164,0.291,0.506,41.1,41.7,11.7,8.3,0.482,7.8,19.4,0.127,0.538,17.3,32.0,0.132
10.0,10.0,2023-12-16,@,Brigham Young,REG (Non-Conf),L,54.0,86.0,,20.0,54.0,0.37,6.0,21.0,0.286,14.0,33.0,0.424,0.426,8.0,8.0,1.0,6.0,25.0,31.0,7.0,2.0,6.0,16.0,15.0,32.0,70.0,0.457,15.0,38.0,0.395,17.0,32.0,0.531,0.564,7.0,11.0,0.636,10.0,28.0,38.0,23.0,9.0,1.0,4.0,13.0,78.8,125.5,68.5,0.148,0.389,0.467,44.9,35.0,2.9,18.8,0.426,21.7,17.6,0.148,0.564,5.0,28.6,0.1
11.0,11.0,2023-12-19,,Toccoa Falls,REG (Non-Conf),W,122.0,45.0,,45.0,82.0,0.549,15.0,43.0,0.349,30.0,39.0,0.769,0.64,17.0,22.0,0.773,15.0,45.0,60.0,26.0,9.0,7.0,5.0,10.0,17.0,70.0,0.243,5.0,30.0,0.167,12.0,40.0,0.3,0.279,6.0,8.0,0.75,4.0,23.0,27.0,7.0,3.0,3.0,13.0,16.0,147.7,54.5,82.6,0.268,0.524,0.66,69.0,57.8,10.9,17.5,0.64,5.1,39.5,0.207,0.279,15.0,8.2,0.086
12.0,12.0,2023-12-30,,Arkansas State,REG (Conf),W,91.0,90.0,,32.0,67.0,0.478,4.0,20.0,0.2,28.0,47.0,0.596,0.507,23.0,28.0,0.821,14.0,23.0,37.0,14.0,5.0,3.0,4.0,20.0,28.0,58.0,0.483,11.0,28.0,0.393,17.0,30.0,0.567,0.578,23.0,32.0,0.719,7.0,19.0,26.0,15.0,1.0,4.0,7.0,17.0,126.8,125.4,71.8,0.418,0.299,0.567,58.7,43.8,7.0,10.0,0.507,4.7,42.4,0.343,0.578,8.7,23.3,0.397
13.0,13.0,2024-01-04,@,Southern Mississippi,REG (Conf),L,73.0,79.0,,28.0,65.0,0.431,6.0,24.0,0.25,22.0,41.0,0.537,0.477,11.0,21.0,0.524,8.0,30.0,38.0,7.0,7.0,2.0,14.0,19.0,31.0,68.0,0.456,6.0,19.0,0.316,25.0,49.0,0.51,0.5,11.0,18.0,0.611,6.0,30.0,36.0,20.0,5.0,8.0,11.0,17.0,89.8,97.2,81.3,0.323,0.369,0.487,51.4,25.0,8.6,4.1,0.477,15.7,21.1,0.169,0.5,12.6,16.7,0.162
14.0,14.0,2024-01-06,@,South Alabama,REG (Conf),W,90.0,76.0,,33.0,60.0,0.55,10.0,21.0,0.476,23.0,39.0,0.59,0.633,14.0,19.0,0.737,8.0,26.0,34.0,9.0,9.0,3.0,11.0,15.0,28.0,66.0,0.424,7.0,22.0,0.318,21.0,44.0,0.477,0.477,13.0,19.0,0.684,13.0,19.0,32.0,6.0,10.0,3.0,11.0,12.0,124.1,104.8,72.5,0.317,0.35,0.652,51.5,27.3,12.4,6.8,0.633,13.7,29.6,0.233,0.477,12.8,33.3,0.197
15.0,15.0,2024-01-11,,Old Dominion,REG (Conf),W,77.0,70.0,,27.0,71.0,0.38,9.0,29.0,0.31,18.0,42.0,0.429,0.444,14.0,16.0,0.875,15.0,29.0,44.0,17.0,4.0,3.0,8.0,12.0,27.0,62.0,0.435,7.0,29.0,0.241,20.0,33.0,0.606,0.492,9.0,17.0,0.529,5.0,26.0,31.0,14.0,8.0,6.0,6.0,17.0,107.9,98.1,71.3,0.225,0.408,0.49,58.7,63.0,5.6,9.1,0.444,9.2,36.6,0.197,0.492,7.9,14.7,0.145
16.0,16.0,2024-01-13,,Georgia Southern,REG (Conf),W,90.0,62.0,,38.0,64.0,0.594,9.0,21.0,0.429,29.0,43.0,0.674,0.664,5.0,11.0,0.455,5.0,37.0,42.0,18.0,5.0,2.0,11.0,13.0,23.0,67.0,0.343,7.0,34.0,0.206,16.0,33.0,0.485,0.396,9.0,12.0,0.75,8.0,21.0,29.0,9.0,3.0,3.0,10.0,17.0,120.1,82.7,75.0,0.172,0.328,0.65,59.2,47.4,6.7,6.1,0.664,13.7,19.2,0.078,0.396,12.1,17.8,0.134
17.0,17.0,2024-01-17,@,Appalachian State,REG (Conf),L,68.0,76.0,,26.0,69.0,0.377,10.0,28.0,0.357,16.0,41.0,0.39,0.449,6.0,8.0,0.75,8.0,25.0,33.0,10.0,6.0,1.0,7.0,15.0,29.0,65.0,0.446,4.0,15.0,0.267,25.0,50.0,0.5,0.477,14.0,24.0,0.583,16.0,33.0,49.0,18.0,3.0,7.0,8.0,10.0,97.0,108.4,70.1,0.116,0.406,0.467,40.2,38.5,8.6,2.0,0.449,8.8,19.5,0.087,0.477,9.5,39.0,0.215
18.0,18.0,2024-01-20,@,Georgia Southern,REG (Conf),L,70.0,86.0,,25.0,59.0,0.424,6.0,23.0,0.261,19.0,36.0,0.528,0.475,14.0,19.0,0.737,6.0,22.0,28.0,6.0,6.0,2.0,10.0,19.0,27.0,55.0,0.491,17.0,32.0,0.531,10.0,23.0,0.435,0.645,15.0,22.0,0.682,9.0,24.0,33.0,19.0,5.0,3.0,10.0,18.0,101.1,124.2,69.2,0.322,0.39,0.515,45.9,24.0,8.7,8.7,0.475,12.8,20.0,0.237,0.645,13.3,29.0,0.273
19.0,19.0,2024-01-24,@,Marshall,REG (Conf),L,68.0,77.0,,25.0,57.0,0.439,6.0,20.0,0.3,19.0,37.0,0.514,0.491,12.0,14.0,0.857,5.0,29.0,34.0,8.0,6.0,1.0,12.0,18.0,26.0,65.0,0.4,7.0,28.0,0.25,19.0,37.0,0.514,0.454,18.0,25.0,0.72,11.0,27.0,38.0,16.0,8.0,1.0,9.0,13.0,93.5,105.8,72.8,0.246,0.351,0.534,47.2,32.0,8.2,2.7,0.491,15.9,15.6,0.211,0.454,10.5,27.5,0.277
20.0,20.0,2024-01-27,@,Coastal Carolina,REG (Conf),L,83.0,85.0,OT,30.0,70.0,0.429,7.0,23.0,0.304,23.0,47.0,0.489,0.479,16.0,23.0,0.696,4.0,33.0,37.0,8.0,2.0,3.0,6.0,20.0,30.0,74.0,0.405,6.0,29.0,0.207,24.0,45.0,0.533,0.446,19.0,26.0,0.731,12.0,36.0,48.0,11.0,3.0,3.0,7.0,17.0,101.1,103.5,73.0,0.329,0.329,0.513,43.5,26.7,2.4,6.7,0.479,6.9,10.0,0.229,0.446,7.5,26.7,0.257
21.0,21.0,2024-02-01,,Appalachian State,REG (Conf),L,71.0,81.0,,29.0,76.0,0.382,8.0,19.0,0.421,21.0,57.0,0.368,0.434,5.0,9.0,0.556,13.0,24.0,37.0,16.0,5.0,6.0,6.0,16.0,29.0,66.0,0.439,6.0,18.0,0.333,23.0,48.0,0.479,0.485,17.0,26.0,0.654,8.0,34.0,42.0,17.0,4.0,9.0,6.0,9.0,94.9,108.3,74.8,0.118,0.25,0.442,46.8,55.2,6.7,12.5,0.434,7.0,27.7,0.066,0.485,7.1,25.0,0.258
22.0,22.0,2024-02-03,,Troy,REG (Conf),L,74.0,78.0,,26.0,63.0,0.413,8.0,22.0,0.364,18.0,41.0,0.439,0.476,14.0,18.0,0.778,9.0,21.0,30.0,12.0,6.0,6.0,7.0,16.0,28.0,69.0,0.406,5.0,23.0,0.217,23.0,46.0,0.5,0.442,17.0,23.0,0.739,18.0,25.0,43.0,12.0,5.0,5.0,9.0,15.0,105.4,111.1,70.2,0.286,0.349,0.517,41.1,46.2,8.5,13.0,0.476,8.9,26.5,0.222,0.442,10.1,46.2,0.246
23.0,23.0,2024-02-07,@,Louisiana,REG (Conf),W,78.0,69.0,,25.0,56.0,0.446,4.0,18.0,0.222,21.0,38.0,0.553,0.482,24.0,31.0,0.774,6.0,26.0,32.0,7.0,2.0,5.0,6.0,19.0,22.0,59.0,0.373,8.0,28.0,0.286,14.0,31.0,0.452,0.441,17.0,25.0,0.68,8.0,26.0,34.0,10.0,4.0,4.0,8.0,20.0,110.2,97.5,70.8,0.554,0.321,0.551,48.5,28.0,2.8,16.1,0.482,7.8,18.8,0.429,0.441,10.1,23.5,0.288
