Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,N,Oregon,REG (Non-Conf),L,71.0,82.0,,22.0,65.0,0.338,10.0,30.0,0.333,12.0,35.0,0.343,0.415,17.0,30.0,0.567,8.0,29.0,37.0,11.0,8.0,4.0,16.0,26.0,31.0,73.0,0.425,6.0,15.0,0.4,25.0,58.0,0.431,0.466,14.0,29.0,0.483,17.0,36.0,53.0,13.0,9.0,2.0,15.0,23.0,82.5,95.3,86.0,0.462,0.462,0.448,41.1,50.0,9.3,6.9,0.415,16.8,18.2,0.262,0.466,14.7,37.0,0.192
2.0,2.0,2023-11-10,,Wake Forest,REG (Non-Conf),W,80.0,77.0,,31.0,66.0,0.47,6.0,21.0,0.286,25.0,45.0,0.556,0.515,12.0,18.0,0.667,9.0,25.0,34.0,11.0,7.0,2.0,7.0,15.0,25.0,64.0,0.391,11.0,30.0,0.367,14.0,34.0,0.412,0.477,16.0,18.0,0.889,9.0,26.0,35.0,14.0,3.0,4.0,12.0,18.0,108.0,104.0,74.1,0.273,0.318,0.537,49.3,35.5,9.5,5.9,0.515,8.6,25.7,0.182,0.477,14.2,26.5,0.25
3.0,3.0,2023-11-12,,North Carolina Central,REG (Non-Conf),W,64.0,54.0,,19.0,53.0,0.358,6.0,25.0,0.24,13.0,28.0,0.464,0.415,20.0,25.0,0.8,9.0,25.0,34.0,12.0,9.0,3.0,10.0,15.0,18.0,55.0,0.327,5.0,21.0,0.238,13.0,34.0,0.382,0.373,13.0,18.0,0.722,10.0,24.0,34.0,11.0,6.0,7.0,13.0,19.0,96.7,81.6,66.2,0.472,0.472,0.493,50.0,63.2,13.6,8.8,0.415,13.4,27.3,0.377,0.373,17.0,28.6,0.236
4.0,4.0,2023-11-17,N,Miami (FL),REG (Non-Conf),L,68.0,79.0,,22.0,60.0,0.367,9.0,31.0,0.29,13.0,29.0,0.448,0.442,15.0,22.0,0.682,9.0,24.0,33.0,12.0,4.0,2.0,15.0,20.0,27.0,60.0,0.45,7.0,24.0,0.292,20.0,36.0,0.556,0.508,18.0,19.0,0.947,7.0,28.0,35.0,11.0,5.0,1.0,12.0,19.0,90.4,105.0,75.2,0.367,0.517,0.483,48.5,54.5,5.3,5.6,0.442,17.6,24.3,0.25,0.508,14.8,22.6,0.3
5.0,5.0,2023-11-19,N,Providence,REG (Non-Conf),L,64.0,71.0,,24.0,63.0,0.381,6.0,19.0,0.316,18.0,44.0,0.409,0.429,10.0,12.0,0.833,7.0,18.0,25.0,7.0,7.0,1.0,11.0,15.0,26.0,56.0,0.464,7.0,26.0,0.269,19.0,30.0,0.633,0.527,12.0,14.0,0.857,8.0,27.0,35.0,11.0,3.0,6.0,15.0,15.0,89.9,99.8,71.2,0.19,0.302,0.466,41.7,29.2,9.8,3.3,0.429,13.8,20.6,0.159,0.527,19.3,30.8,0.214
6.0,6.0,2023-11-24,,Winthrop,REG (Non-Conf),W,78.0,69.0,,25.0,58.0,0.431,9.0,28.0,0.321,16.0,30.0,0.533,0.509,19.0,21.0,0.905,8.0,24.0,32.0,13.0,4.0,5.0,10.0,21.0,25.0,59.0,0.424,3.0,20.0,0.15,22.0,39.0,0.564,0.449,16.0,23.0,0.696,4.0,21.0,25.0,12.0,5.0,2.0,7.0,18.0,109.2,96.6,71.5,0.362,0.483,0.574,56.1,52.0,5.6,12.8,0.509,12.8,27.6,0.328,0.449,9.1,14.3,0.271
7.0,7.0,2023-11-29,@,Florida State,REG (Non-Conf),W,68.0,66.0,,22.0,55.0,0.4,8.0,25.0,0.32,14.0,30.0,0.467,0.473,16.0,26.0,0.615,9.0,27.0,36.0,11.0,4.0,1.0,9.0,20.0,22.0,64.0,0.344,8.0,22.0,0.364,14.0,42.0,0.333,0.406,14.0,18.0,0.778,12.0,26.0,38.0,10.0,2.0,2.0,9.0,24.0,99.3,96.4,68.5,0.473,0.455,0.505,48.6,50.0,5.8,2.4,0.473,11.8,25.7,0.291,0.406,11.0,30.8,0.219
8.0,8.0,2023-12-01,,Mercer,REG (Non-Conf),W,80.0,69.0,,21.0,40.0,0.525,8.0,15.0,0.533,13.0,25.0,0.52,0.625,30.0,42.0,0.714,4.0,30.0,34.0,10.0,4.0,5.0,14.0,14.0,27.0,67.0,0.403,10.0,23.0,0.435,17.0,44.0,0.386,0.478,5.0,10.0,0.5,5.0,18.0,23.0,20.0,8.0,1.0,7.0,28.0,111.3,96.0,71.9,1.05,0.375,0.667,59.6,47.6,5.6,11.4,0.625,18.9,18.2,0.75,0.478,8.9,14.3,0.075
9.0,9.0,2023-12-05,,Georgia Tech,REG (Non-Conf),W,76.0,62.0,,26.0,65.0,0.4,10.0,33.0,0.303,16.0,32.0,0.5,0.477,14.0,21.0,0.667,9.0,36.0,45.0,14.0,4.0,4.0,9.0,14.0,24.0,75.0,0.32,8.0,27.0,0.296,16.0,48.0,0.333,0.373,6.0,13.0,0.462,15.0,25.0,40.0,15.0,7.0,5.0,8.0,18.0,101.9,83.1,74.6,0.323,0.508,0.507,52.9,53.8,5.4,8.3,0.477,10.7,26.5,0.215,0.373,9.0,29.4,0.08
10.0,10.0,2023-12-16,,High Point,REG (Non-Conf),W,66.0,58.0,,23.0,52.0,0.442,4.0,12.0,0.333,19.0,40.0,0.475,0.481,16.0,23.0,0.696,6.0,33.0,39.0,9.0,5.0,7.0,9.0,15.0,17.0,73.0,0.233,9.0,36.0,0.25,8.0,37.0,0.216,0.295,15.0,19.0,0.789,16.0,24.0,40.0,10.0,6.0,4.0,7.0,17.0,95.0,83.5,69.5,0.442,0.231,0.524,49.4,39.1,7.2,18.9,0.481,12.5,20.0,0.308,0.295,7.9,32.7,0.205
