Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-10,,Yale,REG (Non-Conf),W,86.0,71.0,,32.0,64.0,0.5,7.0,19.0,0.368,25.0,45.0,0.556,0.555,15.0,21.0,0.714,12.0,26.0,38.0,13.0,9.0,0.0,9.0,16.0,24.0,59.0,0.407,9.0,24.0,0.375,15.0,35.0,0.429,0.483,14.0,14.0,1.0,6.0,18.0,24.0,15.0,8.0,1.0,11.0,20.0,121.4,100.3,70.8,0.328,0.297,0.581,61.3,40.6,12.7,0.0,0.555,10.8,40.0,0.234,0.483,14.4,18.8,0.237
2.0,2.0,2023-11-14,,Eastern Ore.,REG (Non-Conf),W,123.0,57.0,,52.0,82.0,0.634,7.0,22.0,0.318,45.0,60.0,0.75,0.677,12.0,21.0,0.571,19.0,39.0,58.0,23.0,7.0,7.0,11.0,15.0,22.0,76.0,0.289,6.0,30.0,0.2,16.0,46.0,0.348,0.329,7.0,13.0,0.538,12.0,16.0,28.0,5.0,7.0,2.0,12.0,19.0,148.1,68.6,83.1,0.256,0.268,0.669,67.4,44.2,8.4,15.2,0.677,10.7,54.3,0.146,0.329,12.7,23.5,0.092
3.0,3.0,2023-11-20,N,Purdue,REG (Non-Conf),L,63.0,73.0,,26.0,69.0,0.377,6.0,32.0,0.188,20.0,37.0,0.541,0.42,5.0,8.0,0.625,11.0,20.0,31.0,13.0,12.0,2.0,13.0,19.0,28.0,60.0,0.467,4.0,17.0,0.235,24.0,43.0,0.558,0.5,13.0,16.0,0.813,8.0,30.0,38.0,11.0,9.0,3.0,13.0,12.0,85.5,99.1,73.7,0.116,0.464,0.433,44.9,50.0,16.3,4.7,0.42,15.2,26.8,0.072,0.5,16.1,28.6,0.217
4.0,4.0,2023-11-21,N,Syracuse,REG (Non-Conf),W,76.0,57.0,,30.0,64.0,0.469,7.0,20.0,0.35,23.0,44.0,0.523,0.523,9.0,12.0,0.75,16.0,31.0,47.0,17.0,8.0,2.0,18.0,14.0,23.0,64.0,0.359,3.0,24.0,0.125,20.0,40.0,0.5,0.383,8.0,10.0,0.8,7.0,15.0,22.0,6.0,11.0,5.0,11.0,16.0,105.2,78.9,72.2,0.188,0.313,0.545,68.1,56.7,11.1,5.0,0.523,20.5,51.6,0.141,0.383,13.8,18.4,0.125
5.0,5.0,2023-11-23,N,UCLA,REG (Non-Conf),W,69.0,65.0,,23.0,53.0,0.434,6.0,16.0,0.375,17.0,37.0,0.459,0.491,17.0,29.0,0.586,11.0,23.0,34.0,11.0,3.0,4.0,10.0,25.0,19.0,54.0,0.352,4.0,14.0,0.286,15.0,40.0,0.375,0.389,23.0,31.0,0.742,13.0,20.0,33.0,9.0,5.0,3.0,9.0,26.0,105.7,99.6,65.3,0.547,0.302,0.517,50.7,47.8,4.6,10.0,0.491,13.0,35.5,0.321,0.389,11.6,36.1,0.426
6.0,6.0,2023-11-28,,Cal State Bakersfield,REG (Non-Conf),W,81.0,65.0,,30.0,57.0,0.526,5.0,14.0,0.357,25.0,43.0,0.581,0.57,16.0,20.0,0.8,8.0,24.0,32.0,10.0,4.0,3.0,9.0,10.0,25.0,62.0,0.403,6.0,19.0,0.316,19.0,43.0,0.442,0.452,9.0,9.0,1.0,5.0,18.0,23.0,8.0,4.0,4.0,10.0,18.0,116.7,93.7,69.4,0.351,0.246,0.609,58.2,33.3,5.8,7.0,0.57,11.9,30.8,0.281,0.452,13.1,17.2,0.145
7.0,7.0,2023-12-02,N,Southern California,REG (Non-Conf),W,89.0,76.0,,34.0,65.0,0.523,12.0,22.0,0.545,22.0,43.0,0.512,0.615,9.0,12.0,0.75,11.0,24.0,35.0,17.0,6.0,4.0,12.0,17.0,31.0,66.0,0.47,6.0,22.0,0.273,25.0,44.0,0.568,0.515,8.0,17.0,0.471,14.0,17.0,31.0,12.0,6.0,3.0,10.0,14.0,125.6,107.2,70.9,0.185,0.338,0.629,53.0,50.0,8.5,9.1,0.615,14.5,39.3,0.138,0.515,11.9,36.8,0.121
8.0,8.0,2023-12-05,,Arkansas–Pine Bluff,REG (Non-Conf),W,111.0,71.0,,45.0,79.0,0.57,10.0,24.0,0.417,35.0,55.0,0.636,0.633,11.0,14.0,0.786,16.0,41.0,57.0,28.0,5.0,6.0,15.0,17.0,19.0,71.0,0.268,15.0,44.0,0.341,4.0,27.0,0.148,0.373,18.0,24.0,0.75,7.0,21.0,28.0,15.0,5.0,3.0,8.0,17.0,132.1,84.5,84.0,0.177,0.304,0.648,67.1,62.2,6.0,22.2,0.633,14.9,43.2,0.139,0.373,8.8,14.6,0.254
9.0,9.0,2023-12-09,@,Washington,REG (Non-Conf),L,73.0,78.0,,26.0,61.0,0.426,5.0,18.0,0.278,21.0,43.0,0.488,0.467,16.0,20.0,0.8,8.0,19.0,27.0,11.0,9.0,4.0,12.0,22.0,25.0,55.0,0.455,7.0,20.0,0.35,18.0,35.0,0.514,0.518,21.0,25.0,0.84,7.0,25.0,32.0,11.0,3.0,6.0,18.0,13.0,95.8,102.4,76.2,0.328,0.295,0.518,45.8,42.3,11.8,11.4,0.467,14.5,24.2,0.262,0.518,21.2,26.9,0.382
10.0,10.0,2023-12-11,,Mississippi Valley State,REG (Non-Conf),W,78.0,40.0,,27.0,57.0,0.474,5.0,24.0,0.208,22.0,33.0,0.667,0.518,19.0,28.0,0.679,13.0,27.0,40.0,21.0,11.0,6.0,8.0,14.0,16.0,55.0,0.291,4.0,15.0,0.267,12.0,40.0,0.3,0.327,4.0,10.0,0.4,13.0,20.0,33.0,8.0,7.0,1.0,16.0,19.0,121.8,62.5,64.0,0.491,0.421,0.555,54.8,77.8,17.2,15.0,0.518,10.2,39.4,0.333,0.327,21.1,32.5,0.073
