Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,North Texas-Dallas,REG (Non-Conf),W,82.0,67.0,,26.0,64.0,0.406,3.0,14.0,0.214,23.0,50.0,0.46,0.43,27.0,40.0,0.675,19.0,28.0,47.0,9.0,5.0,5.0,5.0,16.0,22.0,63.0,0.349,9.0,27.0,0.333,13.0,36.0,0.361,0.421,14.0,20.0,0.7,10.0,23.0,33.0,12.0,4.0,4.0,9.0,27.0,116.7,95.4,70.3,0.625,0.219,0.494,58.8,34.6,7.1,13.9,0.43,5.7,45.2,0.422,0.421,11.0,26.3,0.222
2.0,2.0,2023-11-10,@,Colorado,REG (Non-Conf),L,63.0,95.0,,21.0,54.0,0.389,5.0,18.0,0.278,16.0,36.0,0.444,0.435,16.0,21.0,0.762,4.0,18.0,22.0,6.0,7.0,1.0,13.0,20.0,35.0,63.0,0.556,10.0,23.0,0.435,25.0,40.0,0.625,0.635,15.0,20.0,0.75,12.0,25.0,37.0,28.0,9.0,4.0,11.0,18.0,87.2,131.5,72.2,0.389,0.333,0.492,37.3,28.6,9.7,2.5,0.435,16.9,13.8,0.296,0.635,13.2,40.0,0.238
3.0,3.0,2023-11-14,,Champion Christian,REG (Non-Conf),W,113.0,73.0,,51.0,84.0,0.607,2.0,9.0,0.222,49.0,75.0,0.653,0.619,9.0,12.0,0.75,17.0,25.0,42.0,23.0,17.0,3.0,11.0,14.0,26.0,59.0,0.441,12.0,26.0,0.462,14.0,33.0,0.424,0.542,9.0,13.0,0.692,4.0,18.0,22.0,11.0,7.0,2.0,23.0,13.0,134.6,87.0,83.9,0.143,0.107,0.63,65.6,45.1,20.3,9.1,0.619,10.9,48.6,0.107,0.542,26.1,13.8,0.153
4.0,4.0,2023-11-17,N,Delaware State,REG (Non-Conf),L,63.0,71.0,,23.0,56.0,0.411,4.0,17.0,0.235,19.0,39.0,0.487,0.446,13.0,21.0,0.619,8.0,19.0,27.0,8.0,8.0,2.0,17.0,19.0,26.0,58.0,0.448,5.0,12.0,0.417,21.0,46.0,0.457,0.491,14.0,22.0,0.636,8.0,21.0,29.0,12.0,12.0,0.0,14.0,15.0,84.3,95.0,75.5,0.375,0.304,0.477,48.2,34.8,10.7,4.3,0.446,20.5,27.6,0.232,0.491,17.0,29.6,0.241
5.0,5.0,2023-11-19,@,Iowa State,REG (Non-Conf),L,37.0,92.0,,14.0,49.0,0.286,3.0,12.0,0.25,11.0,37.0,0.297,0.316,6.0,7.0,0.857,6.0,10.0,16.0,5.0,7.0,2.0,20.0,21.0,32.0,51.0,0.627,7.0,15.0,0.467,25.0,36.0,0.694,0.696,21.0,27.0,0.778,8.0,25.0,33.0,20.0,14.0,4.0,13.0,8.0,54.8,136.1,67.6,0.143,0.245,0.354,32.7,35.7,10.4,5.6,0.316,27.7,19.4,0.122,0.696,16.9,44.4,0.412
6.0,6.0,2023-11-22,N,Sam Houston State,REG (Non-Conf),L,68.0,86.0,,25.0,49.0,0.51,8.0,18.0,0.444,17.0,31.0,0.548,0.592,10.0,13.0,0.769,3.0,18.0,21.0,12.0,5.0,2.0,14.0,14.0,31.0,54.0,0.574,10.0,23.0,0.435,21.0,31.0,0.677,0.667,14.0,20.0,0.7,4.0,21.0,25.0,19.0,6.0,1.0,7.0,13.0,102.5,129.6,66.3,0.265,0.367,0.616,45.7,48.0,7.5,6.5,0.592,20.2,12.5,0.204,0.667,9.9,18.2,0.259
7.0,7.0,2023-11-24,@,Troy,REG (Non-Conf),L,67.0,80.0,,25.0,55.0,0.455,4.0,15.0,0.267,21.0,40.0,0.525,0.491,13.0,20.0,0.65,7.0,20.0,27.0,11.0,7.0,2.0,13.0,27.0,25.0,55.0,0.455,3.0,15.0,0.2,22.0,40.0,0.55,0.482,27.0,39.0,0.692,10.0,20.0,30.0,13.0,11.0,3.0,11.0,19.0,92.4,110.3,72.5,0.364,0.273,0.519,47.4,44.0,9.7,5.0,0.491,16.8,25.9,0.236,0.482,13.0,33.3,0.491
8.0,8.0,2023-12-02,@,Dayton,REG (Non-Conf),L,46.0,76.0,,18.0,59.0,0.305,2.0,19.0,0.105,16.0,40.0,0.4,0.322,8.0,10.0,0.8,11.0,14.0,25.0,9.0,7.0,2.0,8.0,13.0,28.0,56.0,0.5,14.0,28.0,0.5,14.0,28.0,0.5,0.625,6.0,10.0,0.6,11.0,24.0,35.0,21.0,4.0,8.0,12.0,11.0,75.1,124.1,61.3,0.169,0.322,0.361,41.7,50.0,11.4,7.1,0.322,11.1,31.4,0.136,0.625,16.5,44.0,0.107
9.0,9.0,2023-12-10,@,Washington State,REG (Non-Conf),L,65.0,83.0,,21.0,46.0,0.457,5.0,12.0,0.417,16.0,34.0,0.471,0.511,18.0,26.0,0.692,5.0,14.0,19.0,4.0,6.0,3.0,15.0,20.0,31.0,55.0,0.564,9.0,18.0,0.5,22.0,37.0,0.595,0.645,12.0,19.0,0.632,10.0,20.0,30.0,20.0,9.0,2.0,13.0,17.0,96.0,122.6,67.7,0.565,0.261,0.557,38.8,19.0,8.9,8.1,0.511,20.4,20.0,0.391,0.645,16.9,41.7,0.218
10.0,10.0,2023-12-14,@,Drake,REG (Non-Conf),L,56.0,68.0,,21.0,48.0,0.438,2.0,15.0,0.133,19.0,33.0,0.576,0.458,12.0,15.0,0.8,6.0,24.0,30.0,8.0,4.0,4.0,15.0,12.0,21.0,55.0,0.382,10.0,26.0,0.385,11.0,29.0,0.379,0.473,16.0,20.0,0.8,8.0,20.0,28.0,13.0,9.0,3.0,9.0,14.0,86.4,104.9,64.8,0.313,0.313,0.508,51.7,38.1,6.2,13.8,0.458,21.4,23.1,0.25,0.473,12.2,25.0,0.291
