Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Southeast Missouri State,REG (Non-Conf),W,88.0,67.0,,31.0,62.0,0.5,7.0,21.0,0.333,24.0,41.0,0.585,0.556,19.0,27.0,0.704,14.0,30.0,44.0,11.0,9.0,6.0,17.0,19.0,25.0,64.0,0.391,11.0,21.0,0.524,14.0,43.0,0.326,0.477,6.0,15.0,0.4,9.0,19.0,28.0,16.0,11.0,2.0,15.0,19.0,113.6,86.5,77.5,0.435,0.339,0.588,61.1,35.5,11.6,14.0,0.556,18.5,42.4,0.306,0.477,17.4,23.1,0.094
2.0,2.0,2023-11-12,,Northern Arizona,REG (Non-Conf),W,89.0,55.0,,31.0,55.0,0.564,6.0,17.0,0.353,25.0,38.0,0.658,0.618,21.0,28.0,0.75,9.0,27.0,36.0,10.0,10.0,5.0,13.0,15.0,22.0,56.0,0.393,5.0,18.0,0.278,17.0,38.0,0.447,0.438,6.0,11.0,0.545,4.0,18.0,22.0,13.0,6.0,2.0,16.0,21.0,122.3,75.6,72.8,0.509,0.309,0.652,62.1,32.3,13.7,13.2,0.618,16.0,33.3,0.382,0.438,20.7,12.9,0.107
3.0,3.0,2023-11-17,N,San Francisco,REG (Non-Conf),W,76.0,72.0,,21.0,53.0,0.396,6.0,24.0,0.25,15.0,29.0,0.517,0.453,28.0,38.0,0.737,11.0,25.0,36.0,8.0,10.0,5.0,15.0,19.0,26.0,65.0,0.4,7.0,23.0,0.304,19.0,42.0,0.452,0.454,13.0,17.0,0.765,9.0,19.0,28.0,14.0,11.0,2.0,14.0,24.0,99.3,94.0,76.6,0.717,0.453,0.535,56.3,38.1,13.1,11.9,0.453,17.4,36.7,0.528,0.454,16.1,26.5,0.2
4.0,4.0,2023-11-19,N,South Carolina,REG (Non-Conf),L,68.0,75.0,,20.0,51.0,0.392,5.0,16.0,0.313,15.0,35.0,0.429,0.441,23.0,27.0,0.852,9.0,18.0,27.0,7.0,3.0,1.0,13.0,21.0,27.0,50.0,0.54,7.0,17.0,0.412,20.0,33.0,0.606,0.61,14.0,16.0,0.875,3.0,17.0,20.0,18.0,3.0,1.0,8.0,24.0,104.3,115.0,65.2,0.529,0.314,0.533,57.4,35.0,4.6,3.0,0.441,16.9,34.6,0.451,0.61,12.2,14.3,0.28
5.0,5.0,2023-11-25,,North Dakota State,REG (Non-Conf),W,86.0,71.0,,34.0,69.0,0.493,5.0,12.0,0.417,29.0,57.0,0.509,0.529,13.0,20.0,0.65,13.0,21.0,34.0,12.0,6.0,7.0,4.0,15.0,25.0,54.0,0.463,5.0,16.0,0.313,20.0,38.0,0.526,0.509,16.0,22.0,0.727,7.0,23.0,30.0,6.0,2.0,3.0,15.0,16.0,121.2,100.0,71.0,0.29,0.174,0.548,53.1,35.3,8.5,18.4,0.529,4.8,36.1,0.188,0.509,18.9,25.0,0.296
6.0,6.0,2023-11-29,@,Texas–Rio Grande Valley,REG (Conf),W,79.0,69.0,,25.0,46.0,0.543,5.0,14.0,0.357,20.0,32.0,0.625,0.598,24.0,37.0,0.649,7.0,28.0,35.0,13.0,9.0,11.0,18.0,26.0,19.0,56.0,0.339,5.0,17.0,0.294,14.0,39.0,0.359,0.384,26.0,34.0,0.765,9.0,16.0,25.0,12.0,8.0,2.0,13.0,28.0,104.8,91.6,75.4,0.804,0.304,0.621,58.3,52.0,11.9,28.2,0.598,22.1,30.4,0.522,0.384,15.3,24.3,0.464
7.0,7.0,2023-12-02,,UT Arlington,REG (Conf),W,76.0,69.0,,21.0,56.0,0.375,6.0,23.0,0.261,15.0,33.0,0.455,0.429,28.0,36.0,0.778,16.0,20.0,36.0,8.0,12.0,2.0,13.0,15.0,24.0,52.0,0.462,6.0,15.0,0.4,18.0,37.0,0.486,0.519,15.0,18.0,0.833,8.0,17.0,25.0,9.0,6.0,2.0,18.0,30.0,108.1,98.1,70.3,0.643,0.411,0.52,59.0,38.1,17.1,5.4,0.429,15.1,48.5,0.5,0.519,22.9,28.6,0.288
8.0,8.0,2023-12-05,,San Diego State,REG (Non-Conf),W,79.0,73.0,,24.0,50.0,0.48,8.0,25.0,0.32,16.0,25.0,0.64,0.56,23.0,31.0,0.742,10.0,29.0,39.0,13.0,6.0,5.0,12.0,21.0,25.0,62.0,0.403,8.0,25.0,0.32,17.0,37.0,0.459,0.468,15.0,24.0,0.625,12.0,17.0,29.0,10.0,10.0,1.0,6.0,22.0,117.8,108.9,67.1,0.62,0.5,0.61,57.4,54.2,8.9,13.5,0.56,15.6,37.0,0.46,0.468,7.6,29.3,0.242
9.0,9.0,2023-12-09,@,Liberty,REG (Non-Conf),W,69.0,64.0,,22.0,49.0,0.449,4.0,15.0,0.267,18.0,34.0,0.529,0.49,21.0,27.0,0.778,10.0,26.0,36.0,8.0,6.0,7.0,14.0,17.0,24.0,63.0,0.381,6.0,25.0,0.24,18.0,38.0,0.474,0.429,10.0,16.0,0.625,13.0,19.0,32.0,12.0,6.0,2.0,8.0,19.0,105.0,97.4,65.7,0.551,0.306,0.558,52.9,36.4,9.1,18.4,0.49,18.5,34.5,0.429,0.429,10.2,33.3,0.159
10.0,10.0,2023-12-16,N,Portland,REG (Non-Conf),W,91.0,63.0,,35.0,72.0,0.486,13.0,36.0,0.361,22.0,36.0,0.611,0.576,8.0,15.0,0.533,15.0,32.0,47.0,18.0,7.0,4.0,7.0,20.0,19.0,59.0,0.322,9.0,26.0,0.346,10.0,33.0,0.303,0.398,16.0,21.0,0.762,9.0,22.0,31.0,9.0,4.0,3.0,9.0,15.0,129.9,89.9,70.1,0.208,0.5,0.575,60.3,51.4,10.0,12.1,0.576,8.1,40.5,0.111,0.398,11.5,22.0,0.271
11.0,11.0,2023-12-20,,Sam Houston State,REG (Non-Conf),W,76.0,64.0,,26.0,56.0,0.464,7.0,25.0,0.28,19.0,31.0,0.613,0.527,17.0,23.0,0.739,9.0,22.0,31.0,16.0,10.0,3.0,12.0,16.0,23.0,55.0,0.418,3.0,17.0,0.176,20.0,38.0,0.526,0.445,15.0,19.0,0.789,6.0,21.0,27.0,9.0,8.0,4.0,16.0,17.0,105.6,88.9,72.0,0.411,0.446,0.568,53.4,61.5,13.9,7.9,0.527,15.2,30.0,0.304,0.445,20.0,21.4,0.273
12.0,12.0,2023-12-27,N,Bethesda CA,REG (Non-Conf),W,124.0,74.0,,53.0,88.0,0.602,13.0,36.0,0.361,40.0,52.0,0.769,0.676,5.0,7.0,0.714,15.0,31.0,46.0,31.0,13.0,11.0,9.0,9.0,31.0,74.0,0.419,6.0,22.0,0.273,25.0,52.0,0.481,0.459,6.0,7.0,0.857,7.0,18.0,25.0,11.0,7.0,2.0,17.0,11.0,143.6,85.7,86.3,0.08,0.409,0.679,64.8,58.5,15.1,21.2,0.676,9.0,45.5,0.057,0.459,18.0,18.4,0.081
13.0,13.0,2023-12-30,,Louisiana Tech,REG (Non-Conf),W,73.0,70.0,,24.0,54.0,0.444,11.0,20.0,0.55,13.0,34.0,0.382,0.546,14.0,16.0,0.875,9.0,15.0,24.0,13.0,7.0,5.0,11.0,15.0,28.0,50.0,0.56,6.0,14.0,0.429,22.0,36.0,0.611,0.62,8.0,15.0,0.533,4.0,19.0,23.0,13.0,8.0,1.0,14.0,13.0,111.7,107.1,65.4,0.296,0.37,0.593,51.1,54.2,10.7,13.9,0.546,15.2,32.1,0.259,0.62,19.7,21.1,0.16
14.0,14.0,2024-01-04,@,Southern Utah,REG (Conf),W,96.0,75.0,,38.0,66.0,0.576,5.0,15.0,0.333,33.0,51.0,0.647,0.614,15.0,15.0,1.0,7.0,26.0,33.0,15.0,10.0,5.0,9.0,19.0,26.0,62.0,0.419,6.0,22.0,0.273,20.0,40.0,0.5,0.468,17.0,23.0,0.739,11.0,18.0,29.0,10.0,6.0,3.0,12.0,14.0,128.8,100.6,74.5,0.227,0.227,0.656,53.2,39.5,13.4,12.5,0.614,11.0,28.0,0.227,0.468,14.1,29.7,0.274
15.0,15.0,2024-01-06,@,Utah Tech,REG (Conf),W,75.0,65.0,,28.0,57.0,0.491,3.0,15.0,0.2,25.0,42.0,0.595,0.518,16.0,24.0,0.667,4.0,18.0,22.0,7.0,11.0,5.0,10.0,18.0,23.0,51.0,0.451,6.0,20.0,0.3,17.0,31.0,0.548,0.51,13.0,21.0,0.619,11.0,26.0,37.0,13.0,4.0,4.0,20.0,19.0,103.9,90.0,72.2,0.421,0.263,0.548,37.3,25.0,15.2,16.1,0.518,12.8,13.3,0.281,0.51,24.7,37.9,0.255
16.0,16.0,2024-01-11,,Abilene Christian,REG (Conf),W,74.0,64.0,,25.0,52.0,0.481,5.0,17.0,0.294,20.0,35.0,0.571,0.529,19.0,22.0,0.864,6.0,28.0,34.0,15.0,3.0,8.0,15.0,15.0,24.0,59.0,0.407,2.0,10.0,0.2,22.0,49.0,0.449,0.424,14.0,17.0,0.824,6.0,21.0,27.0,10.0,6.0,0.0,10.0,21.0,103.8,89.8,71.3,0.423,0.327,0.592,55.7,60.0,4.2,16.3,0.529,19.4,22.2,0.365,0.424,13.0,17.6,0.237
17.0,17.0,2024-01-13,,Tarleton State,REG (Conf),W,74.0,48.0,,27.0,53.0,0.509,8.0,15.0,0.533,19.0,38.0,0.5,0.585,12.0,17.0,0.706,11.0,32.0,43.0,12.0,3.0,6.0,10.0,13.0,20.0,63.0,0.317,5.0,18.0,0.278,15.0,45.0,0.333,0.357,3.0,6.0,0.5,8.0,14.0,22.0,9.0,7.0,3.0,7.0,18.0,118.5,76.8,62.5,0.321,0.283,0.606,66.2,44.4,4.8,13.3,0.585,14.1,44.0,0.226,0.357,9.6,20.0,0.048
18.0,18.0,2024-01-18,,Utah Valley,REG (Conf),W,78.0,65.0,,27.0,51.0,0.529,9.0,19.0,0.474,18.0,32.0,0.563,0.618,15.0,26.0,0.577,7.0,29.0,36.0,15.0,14.0,7.0,21.0,22.0,20.0,56.0,0.357,4.0,14.0,0.286,16.0,42.0,0.381,0.393,21.0,30.0,0.7,8.0,20.0,28.0,6.0,10.0,2.0,16.0,21.0,100.3,83.5,77.8,0.51,0.373,0.616,56.3,55.6,18.0,16.7,0.618,24.9,25.9,0.294,0.393,18.6,21.6,0.375
