Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Iowa State,REG (Non-Conf),L,44.0,85.0,,13.0,46.0,0.283,8.0,33.0,0.242,5.0,13.0,0.385,0.37,10.0,14.0,0.714,4.0,20.0,24.0,7.0,2.0,5.0,15.0,18.0,31.0,66.0,0.47,8.0,18.0,0.444,23.0,48.0,0.479,0.53,15.0,22.0,0.682,15.0,28.0,43.0,16.0,10.0,2.0,3.0,15.0,68.7,132.7,64.1,0.304,0.717,0.418,35.8,53.8,3.1,10.4,0.37,22.2,12.5,0.217,0.53,3.8,42.9,0.227
2.0,2.0,2023-11-09,,St. Francis (IL),REG (Non-Conf),W,72.0,56.0,,30.0,56.0,0.536,7.0,25.0,0.28,23.0,31.0,0.742,0.598,5.0,11.0,0.455,10.0,21.0,31.0,19.0,7.0,1.0,7.0,15.0,20.0,50.0,0.4,6.0,17.0,0.353,14.0,33.0,0.424,0.46,10.0,12.0,0.833,6.0,17.0,23.0,13.0,2.0,1.0,11.0,15.0,121.1,94.2,59.5,0.196,0.446,0.588,57.4,63.3,11.8,3.0,0.598,10.3,37.0,0.089,0.46,16.5,22.2,0.2
3.0,3.0,2023-11-14,@,Valparaiso,REG (Non-Conf),L,59.0,64.0,,26.0,61.0,0.426,2.0,18.0,0.111,24.0,43.0,0.558,0.443,5.0,11.0,0.455,9.0,31.0,40.0,5.0,3.0,2.0,10.0,17.0,21.0,58.0,0.362,4.0,18.0,0.222,17.0,40.0,0.425,0.397,18.0,25.0,0.72,7.0,24.0,31.0,10.0,6.0,9.0,5.0,13.0,87.3,94.7,67.6,0.18,0.295,0.445,56.3,19.2,4.4,5.0,0.443,13.1,27.3,0.082,0.397,6.7,18.4,0.31
4.0,4.0,2023-11-20,@,Montana State,REG (Non-Conf),W,54.0,53.0,OT,22.0,47.0,0.468,3.0,16.0,0.188,19.0,31.0,0.613,0.5,7.0,14.0,0.5,8.0,34.0,42.0,10.0,5.0,3.0,20.0,18.0,17.0,62.0,0.274,7.0,35.0,0.2,10.0,27.0,0.37,0.331,12.0,14.0,0.857,8.0,21.0,29.0,9.0,11.0,2.0,8.0,17.0,80.4,78.9,59.7,0.298,0.34,0.503,59.2,45.5,7.4,11.1,0.5,27.2,27.6,0.149,0.331,10.4,19.0,0.194
5.0,5.0,2023-11-21,N,UC Riverside,REG (Non-Conf),L,68.0,74.0,,25.0,52.0,0.481,13.0,24.0,0.542,12.0,28.0,0.429,0.606,5.0,8.0,0.625,3.0,23.0,26.0,16.0,3.0,2.0,13.0,11.0,28.0,60.0,0.467,8.0,23.0,0.348,20.0,37.0,0.541,0.533,10.0,12.0,0.833,6.0,24.0,30.0,14.0,7.0,1.0,5.0,13.0,104.2,113.4,65.3,0.154,0.462,0.609,46.4,64.0,4.6,5.4,0.606,18.9,11.1,0.096,0.533,7.1,20.7,0.167
6.0,6.0,2023-11-25,,St. Thomas,REG (Non-Conf),W,64.0,51.0,,20.0,46.0,0.435,5.0,14.0,0.357,15.0,32.0,0.469,0.489,19.0,24.0,0.792,4.0,33.0,37.0,12.0,1.0,4.0,11.0,14.0,19.0,60.0,0.317,5.0,22.0,0.227,14.0,38.0,0.368,0.358,8.0,11.0,0.727,4.0,18.0,22.0,9.0,7.0,2.0,5.0,23.0,98.0,78.1,65.3,0.522,0.304,0.557,62.7,60.0,1.5,10.5,0.489,16.1,18.2,0.413,0.358,7.1,10.8,0.133
7.0,7.0,2023-11-29,@,Purdue Fort Wayne,REG (Conf),L,71.0,75.0,,28.0,55.0,0.509,9.0,22.0,0.409,19.0,33.0,0.576,0.591,6.0,9.0,0.667,6.0,24.0,30.0,13.0,4.0,1.0,12.0,24.0,24.0,53.0,0.453,8.0,20.0,0.4,16.0,33.0,0.485,0.528,19.0,25.0,0.76,7.0,15.0,22.0,10.0,6.0,6.0,8.0,12.0,108.3,114.4,65.6,0.164,0.4,0.599,57.7,46.4,6.1,3.0,0.591,16.8,28.6,0.109,0.528,11.0,22.6,0.358
8.0,8.0,2023-12-02,,Milwaukee,REG (Conf),W,70.0,58.0,,23.0,49.0,0.469,12.0,26.0,0.462,11.0,23.0,0.478,0.592,12.0,15.0,0.8,7.0,21.0,28.0,16.0,5.0,2.0,13.0,16.0,22.0,49.0,0.449,5.0,19.0,0.263,17.0,30.0,0.567,0.5,9.0,18.0,0.5,10.0,19.0,29.0,5.0,8.0,6.0,13.0,17.0,114.1,94.6,61.3,0.306,0.531,0.624,49.1,69.6,8.2,6.7,0.592,18.8,26.9,0.245,0.5,18.4,32.3,0.184
9.0,9.0,2023-12-06,@,SIU Edwardsville,REG (Non-Conf),L,69.0,78.0,,26.0,55.0,0.473,9.0,23.0,0.391,17.0,32.0,0.531,0.555,8.0,14.0,0.571,7.0,19.0,26.0,14.0,4.0,2.0,14.0,25.0,22.0,51.0,0.431,6.0,19.0,0.316,16.0,32.0,0.5,0.49,28.0,39.0,0.718,12.0,26.0,38.0,11.0,10.0,6.0,8.0,18.0,102.9,116.3,67.1,0.255,0.418,0.56,40.6,53.8,6.0,6.3,0.555,18.5,21.2,0.145,0.49,10.3,38.7,0.549
10.0,10.0,2023-12-09,,Western Illinois,REG (Non-Conf),L,59.0,68.0,,21.0,60.0,0.35,7.0,36.0,0.194,14.0,24.0,0.583,0.408,10.0,13.0,0.769,13.0,13.0,26.0,6.0,7.0,1.0,5.0,15.0,28.0,50.0,0.56,5.0,10.0,0.5,23.0,40.0,0.575,0.61,7.0,11.0,0.636,9.0,24.0,33.0,23.0,0.0,6.0,11.0,12.0,102.3,117.9,57.7,0.217,0.6,0.446,44.1,28.6,12.1,2.5,0.408,7.0,35.1,0.167,0.61,16.6,40.9,0.14
