Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Howard,REG (Non-Conf),L,80.0,92.0,,28.0,56.0,0.5,9.0,28.0,0.321,19.0,28.0,0.679,0.58,15.0,21.0,0.714,2.0,14.0,16.0,11.0,12.0,0.0,17.0,28.0,27.0,48.0,0.563,9.0,18.0,0.5,18.0,30.0,0.6,0.656,29.0,36.0,0.806,4.0,25.0,29.0,12.0,9.0,1.0,20.0,20.0,98.7,113.5,81.0,0.375,0.5,0.606,35.6,39.3,14.8,0.0,0.58,20.5,7.4,0.268,0.656,23.5,22.2,0.604
2.0,2.0,2023-11-09,,Mid-Atl Christian,REG (Non-Conf),W,109.0,46.0,,46.0,77.0,0.597,9.0,26.0,0.346,37.0,51.0,0.725,0.656,8.0,13.0,0.615,18.0,37.0,55.0,25.0,7.0,5.0,12.0,10.0,19.0,67.0,0.284,5.0,32.0,0.156,14.0,35.0,0.4,0.321,3.0,4.0,0.75,6.0,14.0,20.0,9.0,5.0,0.0,12.0,13.0,143.4,60.5,76.0,0.169,0.338,0.655,73.3,54.3,9.2,14.3,0.656,12.6,56.3,0.104,0.321,14.8,14.0,0.045
3.0,3.0,2023-11-13,@,Norfolk State,REG (Non-Conf),L,68.0,75.0,,22.0,57.0,0.386,6.0,26.0,0.231,16.0,31.0,0.516,0.439,18.0,28.0,0.643,10.0,21.0,31.0,9.0,8.0,0.0,19.0,27.0,20.0,58.0,0.345,6.0,34.0,0.176,14.0,24.0,0.583,0.397,29.0,34.0,0.853,10.0,23.0,33.0,11.0,13.0,5.0,14.0,23.0,86.4,95.3,78.7,0.491,0.456,0.484,48.4,40.9,10.2,0.0,0.439,21.3,30.3,0.316,0.397,15.9,32.3,0.5
4.0,4.0,2023-11-17,N,Kent State,REG (Non-Conf),L,62.0,100.0,,19.0,52.0,0.365,9.0,25.0,0.36,10.0,27.0,0.37,0.452,15.0,20.0,0.75,7.0,15.0,22.0,14.0,6.0,0.0,15.0,18.0,35.0,65.0,0.538,12.0,26.0,0.462,23.0,39.0,0.59,0.631,18.0,23.0,0.783,12.0,26.0,38.0,19.0,8.0,1.0,9.0,17.0,87.1,140.4,71.2,0.385,0.481,0.504,36.7,73.7,8.4,0.0,0.452,19.6,21.2,0.288,0.631,10.6,44.4,0.277
5.0,5.0,2023-11-18,N,Florida Gulf Coast,REG (Non-Conf),W,92.0,85.0,,28.0,58.0,0.483,12.0,23.0,0.522,16.0,35.0,0.457,0.586,24.0,32.0,0.75,5.0,22.0,27.0,15.0,8.0,2.0,9.0,24.0,26.0,64.0,0.406,6.0,20.0,0.3,20.0,44.0,0.455,0.453,27.0,31.0,0.871,15.0,25.0,40.0,9.0,5.0,2.0,11.0,24.0,121.1,111.9,76.0,0.552,0.397,0.628,40.3,53.6,10.5,4.5,0.586,10.9,16.7,0.414,0.453,12.3,40.5,0.422
6.0,6.0,2023-11-20,N,San Jose State,REG (Non-Conf),L,52.0,71.0,,19.0,49.0,0.388,4.0,20.0,0.2,15.0,29.0,0.517,0.429,10.0,10.0,1.0,7.0,22.0,29.0,9.0,3.0,1.0,22.0,11.0,28.0,59.0,0.475,10.0,27.0,0.37,18.0,32.0,0.563,0.559,5.0,12.0,0.417,10.0,16.0,26.0,10.0,10.0,4.0,9.0,13.0,78.5,107.2,66.2,0.204,0.408,0.484,52.7,47.4,4.5,3.1,0.429,29.0,30.4,0.204,0.559,12.2,31.3,0.085
7.0,7.0,2023-11-27,,UMBC,REG (Non-Conf),L,76.0,80.0,,29.0,63.0,0.46,2.0,16.0,0.125,27.0,47.0,0.574,0.476,16.0,22.0,0.727,6.0,28.0,34.0,10.0,13.0,3.0,17.0,22.0,27.0,64.0,0.422,6.0,22.0,0.273,21.0,42.0,0.5,0.469,20.0,27.0,0.741,10.0,29.0,39.0,14.0,9.0,2.0,20.0,19.0,88.7,93.4,85.6,0.349,0.254,0.517,46.6,34.5,15.2,7.1,0.476,18.8,17.1,0.254,0.469,20.7,26.3,0.313
9.0,9.0,2023-12-03,,VU Lynchburg,REG (Non-Conf),W,121.0,66.0,,43.0,78.0,0.551,11.0,21.0,0.524,32.0,57.0,0.561,0.622,24.0,36.0,0.667,21.0,32.0,53.0,23.0,10.0,5.0,7.0,24.0,19.0,57.0,0.333,4.0,19.0,0.211,15.0,38.0,0.395,0.368,24.0,33.0,0.727,9.0,18.0,27.0,5.0,5.0,2.0,16.0,21.0,150.5,82.1,80.4,0.462,0.269,0.636,66.3,53.5,12.4,13.2,0.622,6.9,53.8,0.308,0.368,18.0,22.0,0.421
10.0,10.0,2023-12-11,,Mary Baldwin,REG (Non-Conf),W,100.0,53.0,,38.0,73.0,0.521,8.0,23.0,0.348,30.0,50.0,0.6,0.575,16.0,18.0,0.889,16.0,43.0,59.0,22.0,9.0,5.0,15.0,14.0,21.0,70.0,0.3,6.0,40.0,0.15,15.0,30.0,0.5,0.343,5.0,10.0,0.5,9.0,17.0,26.0,10.0,9.0,0.0,15.0,14.0,124.0,65.7,80.7,0.247,0.315,0.613,69.4,57.9,11.2,16.7,0.575,15.5,48.5,0.219,0.343,16.7,17.3,0.071
11.0,11.0,2023-12-16,,James Madison,REG (Non-Conf),L,71.0,88.0,,25.0,58.0,0.431,8.0,20.0,0.4,17.0,38.0,0.447,0.5,13.0,19.0,0.684,10.0,27.0,37.0,16.0,2.0,6.0,16.0,15.0,36.0,76.0,0.474,12.0,32.0,0.375,24.0,44.0,0.545,0.553,4.0,9.0,0.444,11.0,27.0,38.0,22.0,7.0,3.0,8.0,19.0,94.5,117.1,75.2,0.328,0.345,0.53,49.3,64.0,2.7,13.6,0.5,19.3,27.0,0.224,0.553,9.1,28.9,0.053
