Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Mass.-Boston,REG (Non-Conf),W,78.0,50.0,,33.0,64.0,0.516,7.0,24.0,0.292,26.0,40.0,0.65,0.57,5.0,9.0,0.556,10.0,31.0,41.0,20.0,3.0,8.0,11.0,6.0,20.0,68.0,0.294,10.0,32.0,0.313,10.0,36.0,0.278,0.368,0.0,0.0,,7.0,18.0,25.0,7.0,6.0,1.0,11.0,10.0,110.4,70.8,70.6,0.141,0.375,0.571,62.1,60.6,4.2,22.2,0.57,13.9,35.7,0.078,0.368,13.9,18.4,0.0
2.0,2.0,2023-11-10,@,Rice,REG (Non-Conf),W,89.0,76.0,,32.0,60.0,0.533,7.0,20.0,0.35,25.0,40.0,0.625,0.592,18.0,23.0,0.783,6.0,26.0,32.0,17.0,8.0,5.0,10.0,20.0,25.0,60.0,0.417,8.0,24.0,0.333,17.0,36.0,0.472,0.483,18.0,28.0,0.643,9.0,20.0,29.0,14.0,6.0,3.0,9.0,19.0,120.1,102.5,74.1,0.383,0.333,0.627,52.5,53.1,10.8,13.9,0.592,12.4,23.1,0.3,0.483,10.9,25.7,0.3
3.0,3.0,2023-11-14,,Northeastern,REG (Non-Conf),W,80.0,56.0,,31.0,64.0,0.484,10.0,22.0,0.455,21.0,42.0,0.5,0.563,8.0,12.0,0.667,12.0,28.0,40.0,14.0,7.0,8.0,10.0,13.0,20.0,54.0,0.37,6.0,21.0,0.286,14.0,33.0,0.424,0.426,10.0,17.0,0.588,7.0,20.0,27.0,10.0,6.0,5.0,12.0,11.0,118.7,83.1,67.4,0.188,0.344,0.574,59.7,45.2,10.4,24.2,0.563,12.5,37.5,0.125,0.426,16.2,20.0,0.185
4.0,4.0,2023-11-17,@,Massachusetts,REG (Non-Conf),W,78.0,75.0,OT,27.0,61.0,0.443,11.0,24.0,0.458,16.0,37.0,0.432,0.533,13.0,18.0,0.722,10.0,30.0,40.0,17.0,6.0,7.0,16.0,21.0,29.0,78.0,0.372,7.0,28.0,0.25,22.0,50.0,0.44,0.417,10.0,25.0,0.4,20.0,25.0,45.0,14.0,10.0,4.0,12.0,19.0,99.1,95.3,70.0,0.295,0.393,0.561,47.1,63.0,7.6,14.0,0.533,18.7,28.6,0.213,0.417,11.8,40.0,0.128
5.0,5.0,2023-11-18,@,Boston College,REG (Non-Conf),L,64.0,73.0,,24.0,61.0,0.393,8.0,22.0,0.364,16.0,39.0,0.41,0.459,8.0,9.0,0.889,7.0,26.0,33.0,13.0,4.0,9.0,14.0,15.0,28.0,73.0,0.384,6.0,24.0,0.25,22.0,49.0,0.449,0.425,11.0,15.0,0.733,16.0,28.0,44.0,12.0,9.0,8.0,8.0,13.0,88.6,101.1,72.2,0.148,0.361,0.49,42.9,54.2,5.5,18.4,0.459,17.7,20.0,0.131,0.425,9.1,38.1,0.151
6.0,6.0,2023-11-22,@,Colgate,REG (Non-Conf),W,76.0,70.0,,27.0,56.0,0.482,9.0,22.0,0.409,18.0,34.0,0.529,0.563,13.0,20.0,0.65,7.0,25.0,32.0,18.0,5.0,3.0,6.0,13.0,25.0,68.0,0.368,11.0,34.0,0.324,14.0,34.0,0.412,0.449,9.0,12.0,0.75,16.0,23.0,39.0,17.0,6.0,1.0,8.0,17.0,116.7,107.5,65.1,0.357,0.393,0.58,45.1,66.7,7.7,8.8,0.563,8.4,23.3,0.232,0.449,9.8,39.0,0.132
7.0,7.0,2023-11-26,@,Indiana,REG (Non-Conf),L,76.0,89.0,,26.0,60.0,0.433,9.0,26.0,0.346,17.0,34.0,0.5,0.508,15.0,18.0,0.833,8.0,16.0,24.0,13.0,6.0,1.0,13.0,16.0,36.0,63.0,0.571,4.0,15.0,0.267,32.0,48.0,0.667,0.603,13.0,17.0,0.765,11.0,23.0,34.0,20.0,8.0,4.0,12.0,13.0,104.4,122.2,72.8,0.3,0.433,0.554,41.4,50.0,8.2,2.1,0.508,15.9,25.8,0.25,0.603,14.4,40.7,0.206
8.0,8.0,2023-11-29,,American,REG (Non-Conf),W,80.0,75.0,,28.0,53.0,0.528,10.0,19.0,0.526,18.0,34.0,0.529,0.623,14.0,22.0,0.636,3.0,19.0,22.0,12.0,6.0,3.0,7.0,15.0,27.0,61.0,0.443,9.0,27.0,0.333,18.0,34.0,0.529,0.516,12.0,16.0,0.75,9.0,24.0,33.0,13.0,2.0,1.0,13.0,17.0,114.2,107.1,70.0,0.415,0.358,0.63,40.0,42.9,8.6,8.8,0.623,9.9,11.1,0.264,0.516,15.9,32.1,0.197
9.0,9.0,2023-12-02,@,Loyola Chicago,REG (Non-Conf),L,53.0,75.0,,13.0,53.0,0.245,4.0,21.0,0.19,9.0,32.0,0.281,0.283,23.0,35.0,0.657,7.0,27.0,34.0,8.0,5.0,3.0,11.0,13.0,30.0,68.0,0.441,9.0,28.0,0.321,21.0,40.0,0.525,0.507,6.0,13.0,0.462,8.0,36.0,44.0,23.0,7.0,6.0,9.0,25.0,71.2,100.8,74.4,0.66,0.396,0.381,43.6,61.5,6.7,7.5,0.283,13.6,16.3,0.434,0.507,10.8,22.9,0.088
10.0,10.0,2023-12-08,,Army,REG (Non-Conf),W,70.0,64.0,,20.0,45.0,0.444,9.0,24.0,0.375,11.0,21.0,0.524,0.544,21.0,28.0,0.75,2.0,26.0,28.0,8.0,4.0,3.0,10.0,17.0,22.0,66.0,0.333,9.0,32.0,0.281,13.0,34.0,0.382,0.402,11.0,16.0,0.688,17.0,25.0,42.0,9.0,4.0,4.0,8.0,23.0,107.0,97.8,65.5,0.622,0.533,0.6,40.0,40.0,6.1,8.8,0.544,14.6,7.4,0.467,0.402,9.8,39.5,0.167
