Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-15,,Hawaii Hilo,REG (Non-Conf),W,82.0,66.0,,30.0,60.0,0.5,9.0,25.0,0.36,21.0,35.0,0.6,0.575,13.0,21.0,0.619,12.0,27.0,39.0,15.0,7.0,3.0,11.0,17.0,25.0,57.0,0.439,6.0,21.0,0.286,19.0,36.0,0.528,0.491,10.0,16.0,0.625,6.0,19.0,25.0,3.0,7.0,0.0,13.0,20.0,116.7,93.9,70.3,0.35,0.417,0.586,60.9,50.0,10.0,8.3,0.575,13.6,38.7,0.217,0.491,16.8,18.2,0.175
2.0,2.0,2023-11-17,,Niagara,REG (Non-Conf),W,92.0,73.0,,31.0,52.0,0.596,9.0,18.0,0.5,22.0,34.0,0.647,0.683,21.0,28.0,0.75,5.0,30.0,35.0,14.0,1.0,5.0,14.0,26.0,26.0,56.0,0.464,4.0,11.0,0.364,22.0,45.0,0.489,0.5,17.0,28.0,0.607,4.0,16.0,20.0,9.0,4.0,2.0,10.0,26.0,123.0,97.6,74.8,0.538,0.346,0.704,63.6,45.2,1.3,11.1,0.683,17.7,23.8,0.404,0.5,12.6,11.8,0.304
3.0,3.0,2023-11-22,,Northern Arizona,REG (Non-Conf),W,70.0,61.0,,22.0,56.0,0.393,5.0,24.0,0.208,17.0,32.0,0.531,0.438,21.0,27.0,0.778,6.0,22.0,28.0,8.0,5.0,2.0,14.0,15.0,23.0,55.0,0.418,6.0,17.0,0.353,17.0,38.0,0.447,0.473,9.0,18.0,0.5,10.0,19.0,29.0,12.0,10.0,4.0,17.0,21.0,95.0,82.8,73.7,0.482,0.429,0.509,49.1,36.4,6.8,5.3,0.438,16.9,24.0,0.375,0.473,21.1,31.3,0.164
4.0,4.0,2023-11-24,N,Texas–Rio Grande Valley,REG (Non-Conf),W,76.0,57.0,,27.0,58.0,0.466,11.0,24.0,0.458,16.0,34.0,0.471,0.56,11.0,13.0,0.846,5.0,33.0,38.0,14.0,9.0,2.0,14.0,16.0,21.0,63.0,0.333,1.0,12.0,0.083,20.0,51.0,0.392,0.341,14.0,20.0,0.7,8.0,24.0,32.0,4.0,6.0,2.0,12.0,11.0,101.6,76.2,74.8,0.224,0.414,0.592,54.3,51.9,12.0,3.9,0.56,17.9,17.2,0.19,0.341,14.2,19.5,0.222
5.0,5.0,2023-11-25,N,San Diego,REG (Non-Conf),W,77.0,66.0,,27.0,56.0,0.482,7.0,17.0,0.412,20.0,39.0,0.513,0.545,16.0,24.0,0.667,5.0,27.0,32.0,13.0,8.0,3.0,13.0,12.0,23.0,60.0,0.383,4.0,15.0,0.267,19.0,45.0,0.422,0.417,16.0,18.0,0.889,7.0,26.0,33.0,6.0,7.0,3.0,11.0,21.0,104.1,89.2,74.0,0.429,0.304,0.571,49.2,48.1,10.8,6.7,0.545,16.2,16.1,0.286,0.417,13.8,20.6,0.267
6.0,6.0,2023-11-30,N,Utah,REG (Non-Conf),L,66.0,79.0,,24.0,57.0,0.421,9.0,30.0,0.3,15.0,27.0,0.556,0.5,9.0,15.0,0.6,9.0,18.0,27.0,14.0,5.0,2.0,10.0,16.0,30.0,57.0,0.526,5.0,14.0,0.357,25.0,43.0,0.581,0.57,14.0,17.0,0.824,8.0,25.0,33.0,11.0,7.0,2.0,12.0,18.0,98.4,117.7,67.1,0.263,0.526,0.515,45.0,58.3,7.5,4.7,0.5,13.5,26.5,0.158,0.57,15.6,30.8,0.246
7.0,7.0,2023-12-03,,Central Arkansas,REG (Non-Conf),W,95.0,76.0,,33.0,58.0,0.569,14.0,27.0,0.519,19.0,31.0,0.613,0.69,15.0,18.0,0.833,7.0,20.0,27.0,18.0,3.0,4.0,8.0,17.0,27.0,59.0,0.458,9.0,23.0,0.391,18.0,36.0,0.5,0.534,13.0,16.0,0.813,9.0,15.0,24.0,11.0,7.0,1.0,9.0,18.0,141.6,113.3,67.1,0.31,0.466,0.714,52.9,54.5,4.5,11.1,0.69,10.7,31.8,0.259,0.534,11.9,31.0,0.22
8.0,8.0,2023-12-10,,Hawaii Pacific,REG (Non-Conf),W,78.0,53.0,,32.0,61.0,0.525,8.0,21.0,0.381,24.0,40.0,0.6,0.59,6.0,15.0,0.4,9.0,28.0,37.0,19.0,5.0,3.0,7.0,13.0,21.0,52.0,0.404,5.0,11.0,0.455,16.0,41.0,0.39,0.452,6.0,9.0,0.667,2.0,20.0,22.0,10.0,3.0,3.0,14.0,14.0,116.1,78.9,67.2,0.246,0.344,0.572,62.7,59.4,7.4,7.3,0.59,9.3,31.0,0.098,0.452,19.9,6.7,0.115
9.0,9.0,2023-12-17,,Nevada,REG (Non-Conf),L,66.0,72.0,,19.0,47.0,0.404,3.0,17.0,0.176,16.0,30.0,0.533,0.436,25.0,36.0,0.694,6.0,28.0,34.0,9.0,2.0,4.0,12.0,22.0,25.0,59.0,0.424,3.0,14.0,0.214,22.0,45.0,0.489,0.449,19.0,23.0,0.826,5.0,27.0,32.0,9.0,6.0,5.0,6.0,20.0,93.6,102.1,70.5,0.766,0.362,0.515,51.5,47.4,2.8,8.9,0.436,15.8,18.2,0.532,0.449,7.9,15.2,0.322
10.0,10.0,2023-12-21,,Portland,REG (Non-Conf),W,69.0,56.0,,27.0,61.0,0.443,11.0,31.0,0.355,16.0,30.0,0.533,0.533,4.0,6.0,0.667,9.0,23.0,32.0,17.0,8.0,2.0,11.0,14.0,21.0,51.0,0.412,4.0,19.0,0.211,17.0,32.0,0.531,0.451,10.0,15.0,0.667,6.0,22.0,28.0,7.0,5.0,2.0,17.0,15.0,102.2,83.0,67.5,0.098,0.508,0.54,53.3,63.0,11.9,6.3,0.533,14.7,29.0,0.066,0.451,22.6,20.7,0.196
