Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,St. Andrews,REG (Non-Conf),W,105.0,51.0,,34.0,72.0,0.472,21.0,47.0,0.447,13.0,25.0,0.52,0.618,16.0,25.0,0.64,21.0,36.0,57.0,28.0,10.0,2.0,13.0,13.0,18.0,62.0,0.29,3.0,15.0,0.2,15.0,47.0,0.319,0.315,12.0,14.0,0.857,5.0,19.0,24.0,5.0,7.0,1.0,15.0,18.0,135.9,66.0,77.3,0.347,0.653,0.626,70.4,82.4,12.9,4.3,0.618,13.4,52.5,0.222,0.315,17.9,12.2,0.194
2.0,2.0,2023-11-11,@,Wofford,REG (Non-Conf),L,98.0,99.0,,28.0,57.0,0.491,3.0,15.0,0.2,25.0,42.0,0.595,0.518,39.0,48.0,0.813,11.0,28.0,39.0,7.0,4.0,2.0,11.0,27.0,32.0,65.0,0.492,12.0,30.0,0.4,20.0,35.0,0.571,0.585,23.0,36.0,0.639,10.0,21.0,31.0,19.0,4.0,4.0,6.0,31.0,124.1,125.4,79.0,0.842,0.263,0.614,55.7,25.0,5.1,5.7,0.518,12.1,34.4,0.684,0.585,6.8,26.3,0.354
3.0,3.0,2023-11-14,@,Queens (NC),REG (Non-Conf),L,72.0,74.0,,29.0,65.0,0.446,8.0,22.0,0.364,21.0,43.0,0.488,0.508,6.0,12.0,0.5,16.0,30.0,46.0,8.0,4.0,11.0,12.0,16.0,24.0,65.0,0.369,11.0,28.0,0.393,13.0,37.0,0.351,0.454,15.0,21.0,0.714,5.0,21.0,26.0,13.0,6.0,1.0,5.0,16.0,101.6,104.5,70.8,0.185,0.338,0.509,63.9,27.6,5.6,29.7,0.508,14.5,43.2,0.092,0.454,6.3,14.3,0.231
4.0,4.0,2023-11-20,N,Iona,REG (Non-Conf),W,82.0,68.0,,22.0,49.0,0.449,12.0,28.0,0.429,10.0,21.0,0.476,0.571,26.0,30.0,0.867,5.0,28.0,33.0,9.0,4.0,5.0,11.0,18.0,22.0,58.0,0.379,9.0,26.0,0.346,13.0,32.0,0.406,0.457,15.0,21.0,0.714,4.0,16.0,20.0,13.0,5.0,3.0,8.0,23.0,116.1,96.3,70.6,0.612,0.571,0.648,62.3,40.9,5.7,15.6,0.571,14.8,23.8,0.531,0.457,10.5,12.5,0.259
5.0,5.0,2023-11-21,N,Illinois State,REG (Non-Conf),W,74.0,72.0,,26.0,50.0,0.52,9.0,22.0,0.409,17.0,28.0,0.607,0.61,13.0,15.0,0.867,7.0,26.0,33.0,11.0,0.0,1.0,15.0,20.0,24.0,57.0,0.421,5.0,18.0,0.278,19.0,39.0,0.487,0.465,19.0,21.0,0.905,7.0,16.0,23.0,3.0,6.0,0.0,6.0,17.0,112.9,109.8,58.0,0.3,0.44,0.648,58.9,42.3,0.0,2.6,0.61,20.8,30.4,0.26,0.465,8.2,21.2,0.333
6.0,6.0,2023-11-22,N,Hofstra,REG (Non-Conf),L,92.0,97.0,OT,27.0,73.0,0.37,8.0,28.0,0.286,19.0,45.0,0.422,0.425,30.0,43.0,0.698,19.0,26.0,45.0,9.0,3.0,2.0,4.0,22.0,31.0,62.0,0.5,10.0,27.0,0.37,21.0,35.0,0.6,0.581,25.0,30.0,0.833,5.0,26.0,31.0,15.0,2.0,6.0,9.0,31.0,116.0,122.3,70.5,0.589,0.384,0.492,59.2,33.3,3.8,5.7,0.425,4.1,42.2,0.411,0.581,10.6,16.1,0.403
7.0,7.0,2023-11-26,,Mount Olive,REG (Non-Conf),W,122.0,73.0,,41.0,71.0,0.577,16.0,36.0,0.444,25.0,35.0,0.714,0.69,24.0,31.0,0.774,11.0,32.0,43.0,24.0,8.0,5.0,6.0,8.0,31.0,73.0,0.425,10.0,27.0,0.37,21.0,46.0,0.457,0.493,1.0,5.0,0.2,10.0,15.0,25.0,19.0,5.0,2.0,13.0,23.0,153.4,91.8,79.6,0.437,0.507,0.712,63.2,58.5,10.1,10.9,0.69,6.5,42.3,0.338,0.493,14.7,23.8,0.014
8.0,8.0,2023-11-29,,Morgan State,REG (Non-Conf),W,77.0,59.0,,26.0,54.0,0.481,10.0,30.0,0.333,16.0,24.0,0.667,0.574,15.0,23.0,0.652,8.0,28.0,36.0,15.0,8.0,3.0,12.0,14.0,24.0,62.0,0.387,5.0,19.0,0.263,19.0,43.0,0.442,0.427,6.0,10.0,0.6,10.0,22.0,32.0,12.0,6.0,2.0,14.0,19.0,110.3,84.5,69.8,0.426,0.556,0.593,52.9,57.7,11.5,7.0,0.574,15.6,26.7,0.278,0.427,17.3,26.3,0.097
9.0,9.0,2023-12-02,@,North Florida,REG (Non-Conf),W,86.0,79.0,,32.0,58.0,0.552,4.0,14.0,0.286,28.0,44.0,0.636,0.586,18.0,25.0,0.72,12.0,22.0,34.0,11.0,7.0,3.0,12.0,17.0,27.0,53.0,0.509,12.0,26.0,0.462,15.0,27.0,0.556,0.623,13.0,19.0,0.684,5.0,15.0,20.0,11.0,5.0,2.0,14.0,23.0,122.1,112.1,70.5,0.431,0.241,0.615,63.0,34.4,9.9,11.1,0.586,14.7,44.4,0.31,0.623,18.4,18.5,0.245
10.0,10.0,2023-12-05,,Western Carolina,REG (Non-Conf),W,97.0,71.0,,33.0,56.0,0.589,7.0,16.0,0.438,26.0,40.0,0.65,0.652,24.0,26.0,0.923,5.0,23.0,28.0,17.0,6.0,5.0,11.0,19.0,26.0,61.0,0.426,4.0,25.0,0.16,22.0,36.0,0.611,0.459,15.0,23.0,0.652,8.0,16.0,24.0,10.0,7.0,2.0,10.0,22.0,130.8,95.8,74.1,0.464,0.286,0.71,53.8,51.5,8.1,13.9,0.652,13.9,23.8,0.429,0.459,12.2,25.8,0.246
