Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,St. Joseph's–LI,REG (Non-Conf),W,101.0,48.0,,41.0,77.0,0.532,18.0,42.0,0.429,23.0,35.0,0.657,0.649,1.0,3.0,0.333,14.0,30.0,44.0,28.0,8.0,5.0,8.0,12.0,19.0,59.0,0.322,4.0,16.0,0.25,15.0,43.0,0.349,0.356,6.0,9.0,0.667,6.0,18.0,24.0,11.0,5.0,1.0,18.0,10.0,136.8,65.0,73.9,0.039,0.545,0.644,64.7,68.3,10.8,11.6,0.649,9.3,43.8,0.013,0.356,22.1,16.7,0.102
2.0,2.0,2023-11-10,,Princeton,REG (Non-Conf),L,67.0,74.0,,25.0,57.0,0.439,8.0,24.0,0.333,17.0,33.0,0.515,0.509,9.0,11.0,0.818,6.0,19.0,25.0,16.0,5.0,2.0,13.0,18.0,24.0,54.0,0.444,12.0,34.0,0.353,12.0,20.0,0.6,0.556,14.0,17.0,0.824,7.0,24.0,31.0,12.0,7.0,3.0,10.0,10.0,99.8,110.2,67.2,0.193,0.421,0.538,44.6,64.0,7.4,10.0,0.509,17.3,20.0,0.158,0.556,13.9,26.9,0.259
3.0,3.0,2023-11-14,@,George Washington,REG (Non-Conf),L,60.0,71.0,,25.0,67.0,0.373,7.0,27.0,0.259,18.0,40.0,0.45,0.425,3.0,3.0,1.0,3.0,29.0,32.0,12.0,6.0,6.0,15.0,13.0,27.0,66.0,0.409,8.0,23.0,0.348,19.0,43.0,0.442,0.47,9.0,9.0,1.0,5.0,34.0,39.0,12.0,11.0,5.0,13.0,14.0,75.6,89.5,79.4,0.045,0.403,0.438,45.1,48.0,7.6,14.0,0.425,18.0,8.1,0.045,0.47,15.6,14.7,0.136
4.0,4.0,2023-11-20,N,Buffalo,REG (Non-Conf),W,102.0,68.0,,39.0,62.0,0.629,14.0,29.0,0.483,25.0,33.0,0.758,0.742,10.0,12.0,0.833,8.0,23.0,31.0,20.0,11.0,2.0,14.0,19.0,21.0,58.0,0.362,6.0,25.0,0.24,15.0,33.0,0.455,0.414,20.0,28.0,0.714,12.0,7.0,19.0,10.0,10.0,0.0,19.0,17.0,134.2,89.5,76.0,0.194,0.468,0.753,62.0,51.3,14.5,6.1,0.742,17.1,53.3,0.161,0.414,21.0,34.3,0.345
5.0,5.0,2023-11-21,N,Wright State,REG (Non-Conf),W,85.0,76.0,,29.0,59.0,0.492,11.0,28.0,0.393,18.0,31.0,0.581,0.585,16.0,21.0,0.762,7.0,23.0,30.0,15.0,8.0,3.0,9.0,15.0,26.0,56.0,0.464,9.0,18.0,0.5,17.0,38.0,0.447,0.545,15.0,17.0,0.882,7.0,21.0,28.0,12.0,5.0,2.0,13.0,19.0,120.5,107.8,70.5,0.356,0.475,0.616,51.7,51.7,11.3,7.9,0.585,11.5,25.0,0.271,0.545,16.9,23.3,0.268
6.0,6.0,2023-11-22,N,High Point,REG (Non-Conf),W,97.0,92.0,OT,31.0,62.0,0.5,10.0,27.0,0.37,21.0,35.0,0.6,0.581,25.0,30.0,0.833,5.0,26.0,31.0,15.0,2.0,6.0,9.0,31.0,27.0,73.0,0.37,8.0,28.0,0.286,19.0,45.0,0.422,0.425,30.0,43.0,0.698,19.0,26.0,45.0,9.0,3.0,2.0,4.0,22.0,122.3,116.0,70.5,0.484,0.435,0.636,40.8,48.4,2.5,13.3,0.581,10.6,16.1,0.403,0.425,4.1,42.2,0.411
7.0,7.0,2023-11-30,,South Florida,REG (Non-Conf),W,82.0,63.0,,28.0,57.0,0.491,15.0,30.0,0.5,13.0,27.0,0.481,0.623,11.0,14.0,0.786,6.0,33.0,39.0,21.0,2.0,4.0,9.0,13.0,25.0,72.0,0.347,9.0,28.0,0.321,16.0,44.0,0.364,0.41,4.0,11.0,0.364,15.0,24.0,39.0,13.0,6.0,3.0,8.0,14.0,119.8,92.1,68.4,0.246,0.526,0.644,50.0,75.0,2.9,9.1,0.623,12.4,20.0,0.193,0.41,9.4,31.3,0.056
8.0,8.0,2023-12-06,@,Iona,REG (Non-Conf),W,62.0,57.0,,22.0,54.0,0.407,11.0,29.0,0.379,11.0,25.0,0.44,0.509,7.0,11.0,0.636,9.0,24.0,33.0,16.0,7.0,7.0,12.0,10.0,20.0,57.0,0.351,10.0,28.0,0.357,10.0,29.0,0.345,0.439,7.0,10.0,0.7,12.0,22.0,34.0,15.0,8.0,4.0,13.0,16.0,99.2,91.2,62.5,0.204,0.537,0.523,49.3,72.7,11.2,24.1,0.509,16.8,29.0,0.13,0.439,17.4,33.3,0.123
9.0,9.0,2023-12-09,@,Saint Louis,REG (Non-Conf),L,68.0,71.0,,24.0,57.0,0.421,7.0,25.0,0.28,17.0,32.0,0.531,0.482,13.0,14.0,0.929,6.0,22.0,28.0,9.0,5.0,2.0,11.0,17.0,24.0,53.0,0.453,13.0,29.0,0.448,11.0,24.0,0.458,0.575,10.0,15.0,0.667,8.0,20.0,28.0,14.0,5.0,2.0,12.0,13.0,102.4,106.9,66.4,0.246,0.439,0.534,50.0,37.5,7.5,8.3,0.482,14.7,23.1,0.228,0.575,16.6,26.7,0.189
10.0,10.0,2023-12-12,@,Duke,REG (Non-Conf),L,68.0,89.0,,25.0,50.0,0.5,10.0,24.0,0.417,15.0,26.0,0.577,0.6,8.0,10.0,0.8,2.0,20.0,22.0,13.0,3.0,6.0,14.0,12.0,33.0,60.0,0.55,11.0,22.0,0.5,22.0,38.0,0.579,0.642,12.0,14.0,0.857,8.0,23.0,31.0,22.0,6.0,3.0,10.0,11.0,100.4,131.5,67.7,0.2,0.48,0.621,41.5,52.0,4.4,15.8,0.6,20.4,8.0,0.16,0.642,13.0,28.6,0.2
