Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Siena,REG (Non-Conf),L,71.0,73.0,,29.0,55.0,0.527,10.0,20.0,0.5,19.0,35.0,0.543,0.618,3.0,12.0,0.25,6.0,20.0,26.0,13.0,6.0,2.0,11.0,19.0,25.0,56.0,0.446,7.0,18.0,0.389,18.0,38.0,0.474,0.509,16.0,21.0,0.762,12.0,22.0,34.0,11.0,5.0,8.0,10.0,14.0,109.5,112.6,64.8,0.218,0.364,0.585,43.3,44.8,9.3,5.3,0.618,15.3,21.4,0.055,0.509,13.2,37.5,0.286
2.0,2.0,2023-11-11,@,Georgetown,REG (Non-Conf),W,68.0,67.0,,25.0,54.0,0.463,5.0,20.0,0.25,20.0,34.0,0.588,0.509,13.0,16.0,0.813,14.0,25.0,39.0,8.0,2.0,3.0,12.0,17.0,22.0,61.0,0.361,11.0,29.0,0.379,11.0,32.0,0.344,0.451,12.0,19.0,0.632,14.0,15.0,29.0,15.0,7.0,2.0,4.0,13.0,113.7,112.0,59.8,0.296,0.37,0.552,57.4,32.0,3.3,9.4,0.509,16.3,48.3,0.241,0.451,5.4,35.9,0.197
3.0,3.0,2023-11-14,,Sacred Heart,REG (Non-Conf),L,77.0,84.0,,32.0,66.0,0.485,9.0,24.0,0.375,23.0,42.0,0.548,0.553,4.0,10.0,0.4,11.0,26.0,37.0,13.0,5.0,1.0,14.0,18.0,28.0,60.0,0.467,10.0,21.0,0.476,18.0,39.0,0.462,0.55,18.0,25.0,0.72,9.0,25.0,34.0,11.0,9.0,7.0,10.0,14.0,105.0,114.6,73.3,0.152,0.364,0.544,52.1,40.6,6.8,2.6,0.553,16.5,30.6,0.061,0.55,12.2,25.7,0.3
4.0,4.0,2023-11-17,@,Winthrop,REG (Non-Conf),L,51.0,89.0,,17.0,52.0,0.327,4.0,25.0,0.16,13.0,27.0,0.481,0.365,13.0,18.0,0.722,5.0,17.0,22.0,10.0,7.0,1.0,13.0,18.0,29.0,54.0,0.537,14.0,26.0,0.538,15.0,28.0,0.536,0.667,17.0,23.0,0.739,7.0,28.0,35.0,14.0,5.0,4.0,10.0,17.0,74.7,130.4,68.2,0.346,0.481,0.421,38.6,58.8,10.3,3.6,0.365,17.7,15.2,0.25,0.667,13.3,29.2,0.315
5.0,5.0,2023-11-18,N,Elon,REG (Non-Conf),L,69.0,83.0,,28.0,63.0,0.444,9.0,22.0,0.409,19.0,41.0,0.463,0.516,4.0,6.0,0.667,5.0,18.0,23.0,16.0,4.0,1.0,8.0,10.0,33.0,59.0,0.559,11.0,27.0,0.407,22.0,32.0,0.688,0.653,6.0,11.0,0.545,6.0,27.0,33.0,18.0,5.0,5.0,7.0,10.0,102.9,123.8,67.0,0.095,0.349,0.524,41.1,57.1,6.0,3.1,0.516,10.8,15.6,0.063,0.653,9.8,25.0,0.102
6.0,6.0,2023-11-19,N,IUPUI,REG (Non-Conf),W,74.0,61.0,,27.0,55.0,0.491,10.0,26.0,0.385,17.0,29.0,0.586,0.582,10.0,13.0,0.769,4.0,23.0,27.0,12.0,3.0,4.0,9.0,18.0,24.0,52.0,0.462,2.0,12.0,0.167,22.0,40.0,0.55,0.481,11.0,16.0,0.688,6.0,21.0,27.0,6.0,4.0,3.0,9.0,15.0,114.9,94.7,64.4,0.236,0.473,0.605,50.0,44.4,4.7,10.0,0.582,12.8,16.0,0.182,0.481,13.1,20.7,0.212
7.0,7.0,2023-11-25,@,St. John's (NY),REG (Non-Conf),L,45.0,91.0,,17.0,47.0,0.362,6.0,18.0,0.333,11.0,29.0,0.379,0.426,5.0,8.0,0.625,3.0,18.0,21.0,8.0,1.0,2.0,19.0,10.0,39.0,77.0,0.506,7.0,22.0,0.318,32.0,55.0,0.582,0.552,6.0,8.0,0.75,19.0,27.0,46.0,22.0,14.0,6.0,7.0,13.0,66.4,134.2,67.8,0.17,0.383,0.443,31.3,47.1,1.5,3.6,0.426,27.2,10.0,0.106,0.552,8.0,51.4,0.078
8.0,8.0,2023-11-29,,Maine,REG (Non-Conf),L,57.0,72.0,,23.0,59.0,0.39,4.0,18.0,0.222,19.0,41.0,0.463,0.424,7.0,14.0,0.5,10.0,22.0,32.0,11.0,4.0,5.0,11.0,20.0,22.0,54.0,0.407,7.0,22.0,0.318,15.0,32.0,0.469,0.472,21.0,25.0,0.84,7.0,24.0,31.0,7.0,9.0,0.0,8.0,13.0,85.4,107.8,66.8,0.237,0.305,0.434,50.8,47.8,6.0,15.6,0.424,14.4,29.4,0.119,0.472,10.8,24.1,0.389
9.0,9.0,2023-12-02,@,Central Connecticut State,REG (Non-Conf),L,67.0,78.0,,24.0,64.0,0.375,8.0,23.0,0.348,16.0,41.0,0.39,0.438,11.0,15.0,0.733,11.0,24.0,35.0,9.0,3.0,3.0,9.0,20.0,28.0,58.0,0.483,10.0,20.0,0.5,18.0,38.0,0.474,0.569,12.0,19.0,0.632,7.0,28.0,35.0,16.0,6.0,8.0,8.0,12.0,97.7,113.7,68.6,0.234,0.359,0.471,50.0,37.5,4.4,7.9,0.438,11.2,28.2,0.172,0.569,10.7,22.6,0.207
10.0,10.0,2023-12-08,@,Boston College,REG (Non-Conf),L,64.0,95.0,,19.0,48.0,0.396,9.0,26.0,0.346,10.0,22.0,0.455,0.49,17.0,22.0,0.773,4.0,24.0,28.0,12.0,1.0,0.0,18.0,18.0,35.0,74.0,0.473,11.0,29.0,0.379,24.0,45.0,0.533,0.547,14.0,15.0,0.933,14.0,25.0,39.0,18.0,8.0,3.0,5.0,16.0,88.5,131.4,72.3,0.458,0.542,0.547,41.8,63.2,1.4,0.0,0.49,23.5,13.8,0.354,0.547,5.8,36.8,0.189
