Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Brigham Young,REG (Non-Conf),L,63.0,110.0,,26.0,60.0,0.433,3.0,16.0,0.188,23.0,44.0,0.523,0.458,8.0,16.0,0.5,1.0,22.0,23.0,8.0,6.0,1.0,15.0,12.0,40.0,84.0,0.476,15.0,43.0,0.349,25.0,41.0,0.61,0.565,15.0,18.0,0.833,19.0,37.0,56.0,27.0,7.0,1.0,9.0,17.0,76.8,134.0,82.1,0.267,0.267,0.466,29.1,30.8,7.3,2.4,0.458,18.2,2.6,0.133,0.565,8.9,46.3,0.179
2.0,2.0,2023-11-15,,Florida International,REG (Non-Conf),L,74.0,83.0,,27.0,50.0,0.54,2.0,14.0,0.143,25.0,36.0,0.694,0.56,18.0,30.0,0.6,10.0,21.0,31.0,14.0,3.0,5.0,26.0,17.0,30.0,64.0,0.469,12.0,31.0,0.387,18.0,33.0,0.545,0.563,11.0,18.0,0.611,13.0,16.0,29.0,20.0,15.0,1.0,19.0,26.0,93.2,104.5,79.4,0.6,0.28,0.576,51.7,51.9,3.8,15.2,0.56,28.8,38.5,0.36,0.563,20.8,38.2,0.172
3.0,3.0,2023-11-20,,UTSA,REG (Non-Conf),L,87.0,89.0,,30.0,68.0,0.441,3.0,16.0,0.188,27.0,52.0,0.519,0.463,24.0,35.0,0.686,11.0,21.0,32.0,11.0,8.0,2.0,9.0,16.0,33.0,67.0,0.493,6.0,20.0,0.3,27.0,47.0,0.574,0.537,17.0,25.0,0.68,12.0,26.0,38.0,16.0,6.0,9.0,11.0,27.0,108.4,110.9,80.3,0.515,0.235,0.514,45.7,36.7,10.0,4.3,0.463,9.6,29.7,0.353,0.537,12.2,36.4,0.254
4.0,4.0,2023-11-24,@,Oklahoma State,REG (Non-Conf),L,65.0,92.0,,24.0,64.0,0.375,3.0,10.0,0.3,21.0,54.0,0.389,0.398,14.0,23.0,0.609,6.0,25.0,31.0,7.0,8.0,5.0,14.0,11.0,34.0,70.0,0.486,12.0,33.0,0.364,22.0,37.0,0.595,0.571,12.0,18.0,0.667,10.0,34.0,44.0,24.0,7.0,8.0,9.0,17.0,81.0,114.7,80.2,0.359,0.156,0.434,41.3,29.2,10.0,13.5,0.398,15.7,15.0,0.219,0.571,10.3,28.6,0.171
5.0,5.0,2023-11-27,@,TCU,REG (Non-Conf),L,64.0,101.0,,27.0,64.0,0.422,4.0,14.0,0.286,23.0,50.0,0.46,0.453,6.0,8.0,0.75,8.0,25.0,33.0,17.0,6.0,2.0,22.0,13.0,39.0,67.0,0.582,5.0,17.0,0.294,34.0,50.0,0.68,0.619,18.0,22.0,0.818,2.0,28.0,30.0,26.0,17.0,9.0,6.0,10.0,78.4,123.7,81.6,0.125,0.219,0.472,52.4,63.0,7.4,4.0,0.453,24.5,22.2,0.094,0.619,7.2,7.4,0.269
6.0,6.0,2023-12-02,@,Rice,REG (Non-Conf),L,56.0,65.0,,24.0,68.0,0.353,3.0,17.0,0.176,21.0,51.0,0.412,0.375,5.0,15.0,0.333,13.0,31.0,44.0,6.0,6.0,1.0,14.0,17.0,24.0,61.0,0.393,5.0,25.0,0.2,19.0,36.0,0.528,0.434,12.0,24.0,0.5,9.0,30.0,39.0,14.0,8.0,6.0,9.0,15.0,75.4,87.5,74.3,0.221,0.25,0.373,53.0,25.0,8.1,2.8,0.375,15.7,30.2,0.074,0.434,11.1,22.5,0.197
7.0,7.0,2023-12-06,,SW Adventist,REG (Non-Conf),W,95.0,58.0,,36.0,74.0,0.486,5.0,18.0,0.278,31.0,56.0,0.554,0.52,18.0,25.0,0.72,18.0,34.0,52.0,23.0,11.0,5.0,16.0,13.0,20.0,63.0,0.317,7.0,19.0,0.368,13.0,44.0,0.295,0.373,11.0,12.0,0.917,4.0,20.0,24.0,9.0,8.0,4.0,17.0,20.0,114.8,70.1,82.8,0.338,0.243,0.553,68.4,63.9,13.3,11.4,0.52,15.7,47.4,0.243,0.373,19.8,10.5,0.175
8.0,8.0,2023-12-09,@,Texas,REG (Non-Conf),L,50.0,77.0,,20.0,66.0,0.303,3.0,12.0,0.25,17.0,54.0,0.315,0.326,7.0,11.0,0.636,12.0,26.0,38.0,7.0,4.0,5.0,16.0,11.0,32.0,69.0,0.464,6.0,21.0,0.286,26.0,48.0,0.542,0.507,7.0,12.0,0.583,9.0,26.0,35.0,17.0,13.0,6.0,9.0,8.0,66.7,102.7,75.0,0.167,0.182,0.351,52.1,35.0,5.3,10.4,0.326,18.3,31.6,0.106,0.507,10.8,25.7,0.101
9.0,9.0,2023-12-16,,Champion Christian,REG (Non-Conf),W,107.0,72.0,,42.0,83.0,0.506,10.0,23.0,0.435,32.0,60.0,0.533,0.566,13.0,20.0,0.65,21.0,34.0,55.0,25.0,7.0,4.0,13.0,11.0,29.0,68.0,0.426,6.0,20.0,0.3,23.0,48.0,0.479,0.471,8.0,11.0,0.727,4.0,20.0,24.0,14.0,8.0,3.0,12.0,17.0,129.1,86.9,82.9,0.241,0.277,0.578,69.6,59.5,8.4,8.3,0.566,12.3,51.2,0.157,0.471,14.1,10.5,0.118
10.0,10.0,2023-12-19,@,SMU,REG (Non-Conf),L,53.0,89.0,,22.0,64.0,0.344,4.0,21.0,0.19,18.0,43.0,0.419,0.375,5.0,9.0,0.556,11.0,19.0,30.0,8.0,7.0,4.0,19.0,5.0,35.0,69.0,0.507,10.0,26.0,0.385,25.0,43.0,0.581,0.58,9.0,10.0,0.9,12.0,28.0,40.0,20.0,13.0,12.0,9.0,8.0,72.1,121.1,73.5,0.141,0.328,0.388,42.9,36.4,9.5,9.3,0.375,21.8,28.2,0.078,0.58,10.9,38.7,0.13
11.0,11.0,2023-12-22,@,Texas A&M,REG (Non-Conf),L,52.0,79.0,,17.0,51.0,0.333,6.0,23.0,0.261,11.0,28.0,0.393,0.392,12.0,19.0,0.632,7.0,24.0,31.0,9.0,3.0,3.0,17.0,24.0,22.0,64.0,0.344,7.0,27.0,0.259,15.0,37.0,0.405,0.398,28.0,38.0,0.737,22.0,26.0,48.0,15.0,8.0,3.0,7.0,16.0,75.9,115.3,68.5,0.373,0.451,0.433,39.2,52.9,4.4,8.1,0.392,22.1,21.2,0.235,0.398,7.9,47.8,0.438
12.0,12.0,2024-01-06,,Nicholls State,REG (Conf),L,94.0,98.0,OT,34.0,68.0,0.5,2.0,14.0,0.143,32.0,54.0,0.593,0.515,24.0,38.0,0.632,9.0,27.0,36.0,12.0,9.0,4.0,11.0,23.0,32.0,70.0,0.457,8.0,27.0,0.296,24.0,43.0,0.558,0.514,26.0,32.0,0.813,14.0,29.0,43.0,15.0,5.0,6.0,15.0,28.0,107.9,112.5,77.4,0.559,0.206,0.546,45.6,35.3,10.3,9.3,0.515,11.3,23.7,0.353,0.514,15.0,34.1,0.371
13.0,13.0,2024-01-08,@,Texas A&M–Corpus Christi,REG (Conf),L,59.0,81.0,,22.0,50.0,0.44,4.0,14.0,0.286,18.0,36.0,0.5,0.48,11.0,22.0,0.5,4.0,22.0,26.0,9.0,7.0,4.0,18.0,11.0,35.0,77.0,0.455,4.0,18.0,0.222,31.0,59.0,0.525,0.481,7.0,11.0,0.636,14.0,30.0,44.0,21.0,14.0,4.0,8.0,19.0,78.3,107.5,75.3,0.44,0.28,0.488,37.1,40.9,9.3,6.8,0.48,22.9,11.8,0.22,0.481,8.9,38.9,0.091
14.0,14.0,2024-01-13,@,Texas A&M–Commerce,REG (Conf),W,69.0,65.0,,26.0,55.0,0.473,4.0,13.0,0.308,22.0,42.0,0.524,0.509,13.0,19.0,0.684,14.0,24.0,38.0,14.0,6.0,3.0,18.0,12.0,25.0,59.0,0.424,8.0,25.0,0.32,17.0,34.0,0.5,0.492,7.0,12.0,0.583,7.0,15.0,22.0,11.0,12.0,8.0,11.0,15.0,100.9,95.1,68.4,0.345,0.236,0.539,63.3,53.8,8.8,8.8,0.509,21.9,48.3,0.236,0.492,14.5,22.6,0.119
15.0,15.0,2024-01-15,@,Northwestern State,REG (Conf),L,64.0,69.0,,22.0,55.0,0.4,5.0,15.0,0.333,17.0,40.0,0.425,0.445,15.0,23.0,0.652,10.0,25.0,35.0,10.0,14.0,3.0,19.0,15.0,27.0,62.0,0.435,5.0,18.0,0.278,22.0,44.0,0.5,0.476,10.0,16.0,0.625,11.0,27.0,38.0,12.0,10.0,2.0,15.0,19.0,86.2,92.9,74.3,0.418,0.273,0.485,47.9,45.5,18.9,6.8,0.445,22.4,27.0,0.273,0.476,17.7,30.6,0.161
16.0,16.0,2024-01-20,,Lamar,REG (Conf),W,78.0,77.0,,30.0,61.0,0.492,8.0,19.0,0.421,22.0,42.0,0.524,0.557,10.0,14.0,0.714,13.0,24.0,37.0,13.0,5.0,3.0,16.0,12.0,33.0,71.0,0.465,4.0,16.0,0.25,29.0,55.0,0.527,0.493,7.0,11.0,0.636,14.0,14.0,28.0,17.0,11.0,4.0,9.0,12.0,110.0,108.5,70.9,0.23,0.311,0.576,56.9,43.3,7.0,5.5,0.557,19.1,48.1,0.164,0.493,10.6,36.8,0.099
17.0,17.0,2024-01-22,,New Orleans,REG (Conf),W,88.0,80.0,,31.0,53.0,0.585,7.0,11.0,0.636,24.0,42.0,0.571,0.651,19.0,27.0,0.704,8.0,31.0,39.0,14.0,2.0,5.0,14.0,20.0,30.0,74.0,0.405,7.0,18.0,0.389,23.0,56.0,0.411,0.453,13.0,22.0,0.591,12.0,17.0,29.0,6.0,6.0,5.0,4.0,20.0,118.7,107.9,74.1,0.509,0.208,0.668,57.4,45.2,2.7,8.9,0.651,17.5,32.0,0.358,0.453,4.5,27.9,0.176
18.0,18.0,2024-01-27,@,Incarnate Word,REG (Conf),L,75.0,79.0,,30.0,67.0,0.448,7.0,14.0,0.5,23.0,53.0,0.434,0.5,8.0,17.0,0.471,9.0,25.0,34.0,9.0,3.0,1.0,7.0,14.0,30.0,67.0,0.448,8.0,24.0,0.333,22.0,43.0,0.512,0.507,11.0,19.0,0.579,10.0,28.0,38.0,16.0,5.0,4.0,8.0,15.0,102.0,107.4,73.6,0.254,0.209,0.5,47.2,30.0,4.1,2.3,0.5,8.5,24.3,0.119,0.507,9.5,28.6,0.164
