Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Louisiana–Monroe,REG (Non-Conf),W,84.0,31.0,,26.0,61.0,0.426,11.0,35.0,0.314,15.0,26.0,0.577,0.516,21.0,29.0,0.724,20.0,20.0,40.0,19.0,15.0,5.0,10.0,19.0,11.0,39.0,0.282,3.0,16.0,0.188,8.0,23.0,0.348,0.321,6.0,17.0,0.353,10.0,17.0,27.0,7.0,4.0,2.0,24.0,22.0,133.5,49.3,62.9,0.475,0.574,0.562,59.7,73.1,23.8,21.7,0.516,11.8,54.1,0.344,0.321,33.8,33.3,0.154
2.0,2.0,2023-11-11,,Texas A&M–Corpus Christi,REG (Non-Conf),W,82.0,50.0,,28.0,67.0,0.418,6.0,22.0,0.273,22.0,45.0,0.489,0.463,20.0,34.0,0.588,18.0,34.0,52.0,16.0,13.0,9.0,9.0,17.0,19.0,64.0,0.297,5.0,21.0,0.238,14.0,43.0,0.326,0.336,7.0,12.0,0.583,13.0,26.0,39.0,9.0,6.0,1.0,16.0,23.0,111.7,68.1,73.4,0.507,0.328,0.493,57.1,57.1,17.7,20.9,0.463,9.8,40.9,0.299,0.336,18.7,27.7,0.109
3.0,3.0,2023-11-13,,Stetson,REG (Non-Conf),W,79.0,48.0,,30.0,57.0,0.526,9.0,20.0,0.45,21.0,37.0,0.568,0.605,10.0,15.0,0.667,12.0,20.0,32.0,15.0,17.0,3.0,11.0,12.0,18.0,41.0,0.439,9.0,18.0,0.5,9.0,23.0,0.391,0.549,3.0,5.0,0.6,3.0,16.0,19.0,13.0,3.0,0.0,23.0,15.0,124.9,75.9,63.3,0.263,0.351,0.616,62.7,50.0,26.9,13.0,0.605,14.6,42.9,0.175,0.549,34.7,13.0,0.073
4.0,4.0,2023-11-16,N,Towson,REG (Non-Conf),W,65.0,49.0,,24.0,58.0,0.414,7.0,17.0,0.412,17.0,41.0,0.415,0.474,10.0,14.0,0.714,10.0,24.0,34.0,13.0,6.0,2.0,8.0,20.0,16.0,42.0,0.381,4.0,15.0,0.267,12.0,27.0,0.444,0.429,13.0,25.0,0.52,5.0,23.0,28.0,10.0,4.0,1.0,8.0,14.0,108.8,82.0,59.8,0.241,0.293,0.503,54.8,54.2,10.0,7.4,0.474,11.0,30.3,0.172,0.429,12.9,17.2,0.31
5.0,5.0,2023-11-17,N,Utah,REG (Non-Conf),W,76.0,66.0,,28.0,62.0,0.452,8.0,24.0,0.333,20.0,38.0,0.526,0.516,12.0,24.0,0.5,12.0,27.0,39.0,12.0,10.0,3.0,7.0,21.0,19.0,53.0,0.358,10.0,31.0,0.323,9.0,22.0,0.409,0.453,18.0,25.0,0.72,10.0,25.0,35.0,16.0,5.0,3.0,15.0,15.0,109.9,95.5,69.1,0.387,0.387,0.518,52.7,42.9,14.5,13.6,0.516,8.7,32.4,0.194,0.453,18.8,27.0,0.34
6.0,6.0,2023-11-19,N,Dayton,REG (Non-Conf),W,69.0,55.0,,27.0,63.0,0.429,8.0,20.0,0.4,19.0,43.0,0.442,0.492,7.0,8.0,0.875,13.0,20.0,33.0,11.0,7.0,4.0,6.0,14.0,19.0,47.0,0.404,4.0,18.0,0.222,15.0,29.0,0.517,0.447,13.0,16.0,0.813,5.0,17.0,22.0,15.0,3.0,3.0,11.0,10.0,114.6,91.4,60.2,0.127,0.317,0.516,60.0,40.7,11.6,13.8,0.492,8.2,43.3,0.111,0.447,16.8,20.0,0.277
7.0,7.0,2023-11-24,,Montana,REG (Non-Conf),W,79.0,44.0,,27.0,58.0,0.466,7.0,24.0,0.292,20.0,34.0,0.588,0.526,18.0,30.0,0.6,15.0,27.0,42.0,12.0,9.0,4.0,3.0,17.0,14.0,43.0,0.326,3.0,17.0,0.176,11.0,26.0,0.423,0.36,13.0,19.0,0.684,4.0,22.0,26.0,7.0,2.0,1.0,13.0,20.0,130.3,72.6,60.6,0.517,0.414,0.547,61.8,44.4,14.8,15.4,0.526,4.0,40.5,0.31,0.36,20.0,12.9,0.302
8.0,8.0,2023-12-01,@,Xavier,REG (Non-Conf),W,66.0,60.0,,21.0,61.0,0.344,7.0,22.0,0.318,14.0,39.0,0.359,0.402,17.0,25.0,0.68,12.0,24.0,36.0,11.0,8.0,9.0,10.0,26.0,18.0,55.0,0.327,4.0,16.0,0.25,14.0,39.0,0.359,0.364,20.0,30.0,0.667,12.0,23.0,35.0,13.0,7.0,8.0,15.0,23.0,92.2,83.8,71.6,0.41,0.361,0.453,50.7,52.4,11.2,23.1,0.402,12.1,34.3,0.279,0.364,17.8,33.3,0.364
9.0,9.0,2023-12-06,,Rice,REG (Non-Conf),W,75.0,39.0,,31.0,66.0,0.47,8.0,22.0,0.364,23.0,44.0,0.523,0.53,5.0,9.0,0.556,17.0,25.0,42.0,17.0,13.0,5.0,10.0,18.0,13.0,45.0,0.289,5.0,21.0,0.238,8.0,24.0,0.333,0.344,8.0,13.0,0.615,7.0,18.0,25.0,7.0,7.0,1.0,20.0,11.0,117.7,61.2,63.7,0.136,0.333,0.534,62.7,54.8,20.4,20.8,0.53,12.5,48.6,0.076,0.344,28.1,21.9,0.178
10.0,10.0,2023-12-09,,Jackson State,REG (Non-Conf),W,89.0,55.0,,28.0,66.0,0.424,11.0,30.0,0.367,17.0,36.0,0.472,0.508,22.0,31.0,0.71,21.0,20.0,41.0,16.0,18.0,3.0,12.0,20.0,17.0,40.0,0.425,6.0,20.0,0.3,11.0,20.0,0.55,0.5,15.0,27.0,0.556,7.0,17.0,24.0,10.0,6.0,5.0,23.0,22.0,126.6,78.3,70.3,0.47,0.455,0.551,63.1,57.1,25.6,15.0,0.508,12.9,55.3,0.333,0.5,30.3,25.9,0.375
