Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Hampton,REG (Non-Conf),W,92.0,80.0,,27.0,48.0,0.563,9.0,18.0,0.5,18.0,30.0,0.6,0.656,29.0,36.0,0.806,4.0,25.0,29.0,12.0,9.0,1.0,20.0,20.0,28.0,56.0,0.5,9.0,28.0,0.321,19.0,28.0,0.679,0.58,15.0,21.0,0.714,2.0,14.0,16.0,11.0,12.0,0.0,17.0,28.0,113.5,98.7,81.0,0.75,0.375,0.707,64.4,44.4,11.1,3.6,0.656,23.5,22.2,0.604,0.58,20.5,7.4,0.268
2.0,2.0,2023-11-09,@,Georgia Tech,REG (Non-Conf),L,85.0,88.0,,30.0,60.0,0.5,6.0,21.0,0.286,24.0,39.0,0.615,0.55,19.0,28.0,0.679,11.0,25.0,36.0,11.0,5.0,6.0,13.0,19.0,34.0,77.0,0.442,4.0,18.0,0.222,30.0,59.0,0.508,0.468,16.0,27.0,0.593,15.0,20.0,35.0,12.0,6.0,3.0,6.0,19.0,108.9,112.7,78.1,0.467,0.35,0.58,50.7,36.7,6.4,10.2,0.55,15.1,35.5,0.317,0.468,6.3,37.5,0.208
3.0,3.0,2023-11-12,@,James Madison,REG (Non-Conf),L,86.0,107.0,,29.0,61.0,0.475,7.0,18.0,0.389,22.0,43.0,0.512,0.533,21.0,27.0,0.778,12.0,18.0,30.0,6.0,6.0,2.0,19.0,21.0,37.0,69.0,0.536,11.0,20.0,0.55,26.0,49.0,0.531,0.616,22.0,29.0,0.759,12.0,17.0,29.0,18.0,14.0,5.0,10.0,19.0,106.4,132.4,80.8,0.443,0.295,0.582,50.8,20.7,7.4,4.1,0.533,20.5,41.4,0.344,0.616,10.8,40.0,0.319
4.0,4.0,2023-11-14,,Boston University,REG (Non-Conf),W,64.0,53.0,,19.0,54.0,0.352,6.0,22.0,0.273,13.0,32.0,0.406,0.407,20.0,26.0,0.769,6.0,32.0,38.0,8.0,7.0,3.0,10.0,14.0,20.0,59.0,0.339,6.0,23.0,0.261,14.0,36.0,0.389,0.39,7.0,11.0,0.636,5.0,27.0,32.0,12.0,4.0,1.0,13.0,23.0,89.8,74.3,71.3,0.481,0.407,0.482,54.3,42.1,9.8,8.3,0.407,13.1,18.2,0.37,0.39,16.8,13.5,0.119
5.0,5.0,2023-11-18,@,Rutgers,REG (Non-Conf),L,63.0,85.0,,22.0,55.0,0.4,10.0,21.0,0.476,12.0,34.0,0.353,0.491,9.0,14.0,0.643,7.0,21.0,28.0,13.0,5.0,4.0,20.0,22.0,32.0,59.0,0.542,5.0,17.0,0.294,27.0,42.0,0.643,0.585,16.0,26.0,0.615,10.0,25.0,35.0,19.0,11.0,7.0,11.0,14.0,85.7,115.6,73.5,0.255,0.382,0.511,44.4,59.1,6.8,9.5,0.491,24.5,21.9,0.164,0.585,13.4,32.3,0.271
6.0,6.0,2023-11-20,@,Bryant,REG (Non-Conf),L,61.0,67.0,,21.0,66.0,0.318,7.0,27.0,0.259,14.0,39.0,0.359,0.371,12.0,20.0,0.6,12.0,27.0,39.0,13.0,2.0,3.0,9.0,16.0,25.0,56.0,0.446,8.0,23.0,0.348,17.0,33.0,0.515,0.518,9.0,16.0,0.563,2.0,33.0,35.0,15.0,6.0,6.0,7.0,16.0,86.5,95.0,70.6,0.303,0.409,0.404,52.7,61.9,2.8,9.1,0.371,10.7,26.7,0.182,0.518,9.9,6.9,0.161
7.0,7.0,2023-11-25,@,Mount St. Mary's,REG (Non-Conf),W,87.0,83.0,2OT,29.0,64.0,0.453,6.0,22.0,0.273,23.0,42.0,0.548,0.5,23.0,25.0,0.92,12.0,30.0,42.0,15.0,9.0,3.0,19.0,23.0,28.0,64.0,0.438,7.0,20.0,0.35,21.0,44.0,0.477,0.492,20.0,27.0,0.741,8.0,20.0,28.0,14.0,11.0,1.0,15.0,20.0,104.4,99.6,66.7,0.391,0.344,0.573,60.0,51.7,10.8,6.8,0.5,20.0,37.5,0.359,0.492,16.3,21.1,0.313
8.0,8.0,2023-11-28,,Cincinnati,REG (Non-Conf),L,81.0,86.0,OT,30.0,60.0,0.5,9.0,21.0,0.429,21.0,39.0,0.538,0.575,12.0,14.0,0.857,7.0,17.0,24.0,15.0,5.0,2.0,9.0,20.0,33.0,69.0,0.478,3.0,19.0,0.158,30.0,50.0,0.6,0.5,17.0,21.0,0.81,15.0,21.0,36.0,16.0,7.0,4.0,10.0,14.0,113.6,120.6,63.4,0.233,0.35,0.608,40.0,50.0,7.0,4.0,0.575,11.9,25.0,0.2,0.5,11.2,46.9,0.246
9.0,9.0,2023-12-11,@,Pennsylvania,REG (Non-Conf),L,68.0,78.0,,26.0,52.0,0.5,9.0,22.0,0.409,17.0,30.0,0.567,0.587,7.0,9.0,0.778,5.0,21.0,26.0,15.0,6.0,3.0,13.0,19.0,24.0,58.0,0.414,12.0,31.0,0.387,12.0,27.0,0.444,0.517,18.0,23.0,0.783,13.0,20.0,33.0,15.0,2.0,1.0,8.0,11.0,106.1,121.7,64.1,0.173,0.423,0.604,44.1,57.7,9.4,11.1,0.587,18.8,20.0,0.135,0.517,10.4,38.2,0.31
10.0,10.0,2023-12-13,,Regent,REG (Non-Conf),W,88.0,49.0,,34.0,60.0,0.567,8.0,22.0,0.364,26.0,38.0,0.684,0.633,12.0,21.0,0.571,12.0,30.0,42.0,25.0,11.0,3.0,22.0,26.0,15.0,49.0,0.306,1.0,8.0,0.125,14.0,41.0,0.341,0.316,18.0,30.0,0.6,7.0,14.0,21.0,6.0,8.0,2.0,26.0,19.0,108.5,60.4,81.1,0.35,0.367,0.629,66.7,73.5,13.6,7.3,0.633,23.9,46.2,0.2,0.316,29.1,18.9,0.367
