Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Spalding,REG (Non-Conf),W,70.0,63.0,,25.0,58.0,0.431,3.0,17.0,0.176,22.0,41.0,0.537,0.457,17.0,22.0,0.773,11.0,17.0,28.0,9.0,10.0,1.0,13.0,13.0,25.0,59.0,0.424,2.0,10.0,0.2,23.0,49.0,0.469,0.441,11.0,13.0,0.846,12.0,20.0,32.0,10.0,6.0,4.0,20.0,17.0,97.5,87.7,71.8,0.379,0.293,0.511,46.7,36.0,13.9,2.0,0.457,16.0,35.5,0.293,0.441,23.5,41.4,0.186
2.0,2.0,2023-11-10,@,Valparaiso,REG (Non-Conf),W,66.0,56.0,,25.0,65.0,0.385,5.0,15.0,0.333,20.0,50.0,0.4,0.423,11.0,14.0,0.786,13.0,24.0,37.0,12.0,9.0,5.0,11.0,18.0,19.0,60.0,0.317,2.0,19.0,0.105,17.0,41.0,0.415,0.333,16.0,19.0,0.842,13.0,22.0,35.0,8.0,3.0,6.0,13.0,15.0,95.2,80.8,69.3,0.215,0.231,0.461,51.4,48.0,13.0,12.2,0.423,13.3,37.1,0.169,0.333,15.8,35.1,0.267
3.0,3.0,2023-11-14,@,Indiana State,REG (Non-Conf),L,57.0,96.0,,23.0,58.0,0.397,0.0,13.0,0.0,23.0,45.0,0.511,0.397,11.0,20.0,0.55,6.0,19.0,25.0,6.0,3.0,1.0,12.0,16.0,38.0,63.0,0.603,10.0,23.0,0.435,28.0,40.0,0.7,0.683,10.0,15.0,0.667,7.0,30.0,37.0,28.0,7.0,3.0,7.0,21.0,79.4,133.7,71.8,0.345,0.224,0.422,40.3,26.1,4.2,2.5,0.397,15.1,16.7,0.19,0.683,9.1,26.9,0.159
4.0,4.0,2023-11-17,N,Elon,REG (Non-Conf),L,72.0,86.0,,29.0,58.0,0.5,4.0,12.0,0.333,25.0,46.0,0.543,0.534,10.0,11.0,0.909,11.0,17.0,28.0,11.0,4.0,3.0,11.0,16.0,27.0,58.0,0.466,14.0,28.0,0.5,13.0,30.0,0.433,0.586,18.0,26.0,0.692,8.0,19.0,27.0,18.0,5.0,1.0,8.0,11.0,107.8,128.8,66.8,0.19,0.207,0.569,50.9,37.9,6.0,10.0,0.534,14.8,36.7,0.172,0.586,10.2,32.0,0.31
5.0,5.0,2023-11-18,@,Winthrop,REG (Non-Conf),L,61.0,74.0,,23.0,58.0,0.397,3.0,17.0,0.176,20.0,41.0,0.488,0.422,12.0,13.0,0.923,13.0,19.0,32.0,3.0,10.0,1.0,17.0,24.0,22.0,45.0,0.489,7.0,18.0,0.389,15.0,27.0,0.556,0.567,23.0,34.0,0.676,11.0,19.0,30.0,9.0,12.0,1.0,17.0,14.0,90.2,109.4,67.7,0.224,0.293,0.475,51.6,13.0,14.8,3.7,0.422,20.9,40.6,0.207,0.567,21.8,36.7,0.511
6.0,6.0,2023-11-19,N,Holy Cross,REG (Non-Conf),L,61.0,74.0,,24.0,52.0,0.462,2.0,12.0,0.167,22.0,40.0,0.55,0.481,11.0,16.0,0.688,6.0,21.0,27.0,6.0,4.0,3.0,9.0,15.0,27.0,55.0,0.491,10.0,26.0,0.385,17.0,29.0,0.586,0.582,10.0,13.0,0.769,4.0,23.0,27.0,12.0,3.0,4.0,9.0,18.0,94.7,114.9,64.4,0.308,0.231,0.512,50.0,25.0,6.2,10.3,0.481,13.1,20.7,0.212,0.582,12.8,16.0,0.182
7.0,7.0,2023-11-25,,Cleary,REG (Non-Conf),W,78.0,70.0,OT,28.0,65.0,0.431,7.0,23.0,0.304,21.0,42.0,0.5,0.485,15.0,19.0,0.789,10.0,22.0,32.0,20.0,12.0,1.0,16.0,22.0,27.0,50.0,0.54,4.0,13.0,0.308,23.0,37.0,0.622,0.58,12.0,26.0,0.462,4.0,26.0,30.0,12.0,7.0,5.0,21.0,21.0,97.9,87.8,70.8,0.292,0.354,0.527,51.6,71.4,15.1,2.7,0.485,17.8,27.8,0.231,0.58,25.2,15.4,0.24
8.0,8.0,2023-11-29,@,Wright State,REG (Conf),L,74.0,103.0,,20.0,50.0,0.4,6.0,13.0,0.462,14.0,37.0,0.378,0.46,28.0,36.0,0.778,6.0,15.0,21.0,10.0,5.0,0.0,12.0,18.0,41.0,67.0,0.612,8.0,20.0,0.4,33.0,47.0,0.702,0.672,13.0,19.0,0.684,12.0,24.0,36.0,20.0,7.0,3.0,8.0,21.0,102.0,141.9,72.6,0.72,0.26,0.551,36.8,50.0,6.9,0.0,0.46,15.2,20.0,0.56,0.672,9.5,44.4,0.194
9.0,9.0,2023-12-02,,Northern Kentucky,REG (Conf),L,55.0,71.0,,19.0,39.0,0.487,3.0,13.0,0.231,16.0,26.0,0.615,0.526,14.0,23.0,0.609,4.0,22.0,26.0,9.0,6.0,4.0,20.0,19.0,27.0,51.0,0.529,5.0,14.0,0.357,22.0,37.0,0.595,0.578,12.0,25.0,0.48,7.0,15.0,22.0,13.0,12.0,0.0,12.0,16.0,82.2,106.1,66.9,0.59,0.333,0.551,54.2,47.4,9.0,10.8,0.526,28.6,21.1,0.359,0.578,16.0,24.1,0.235
10.0,10.0,2023-12-07,@,Eastern Illinois,REG (Non-Conf),L,58.0,75.0,,23.0,53.0,0.434,2.0,13.0,0.154,21.0,40.0,0.525,0.453,10.0,14.0,0.714,4.0,16.0,20.0,10.0,14.0,1.0,15.0,14.0,29.0,56.0,0.518,3.0,11.0,0.273,26.0,45.0,0.578,0.545,14.0,18.0,0.778,12.0,26.0,38.0,17.0,8.0,4.0,18.0,14.0,82.2,106.2,70.6,0.264,0.245,0.486,34.5,43.5,19.8,2.2,0.453,20.1,13.3,0.189,0.545,21.8,42.9,0.25
