Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Warner Pacific,REG (Non-Conf),W,92.0,36.0,,36.0,61.0,0.59,9.0,21.0,0.429,27.0,40.0,0.675,0.664,11.0,15.0,0.733,8.0,34.0,42.0,20.0,13.0,6.0,10.0,12.0,15.0,53.0,0.283,4.0,18.0,0.222,11.0,35.0,0.314,0.321,2.0,3.0,0.667,3.0,13.0,16.0,5.0,4.0,1.0,17.0,17.0,132.8,52.0,69.3,0.246,0.344,0.675,72.4,55.6,18.8,17.1,0.664,12.8,38.1,0.18,0.321,23.8,8.1,0.038
2.0,2.0,2023-11-10,@,St. Thomas,REG (Non-Conf),L,53.0,54.0,,23.0,49.0,0.469,1.0,7.0,0.143,22.0,42.0,0.524,0.48,6.0,10.0,0.6,5.0,19.0,24.0,7.0,7.0,1.0,14.0,20.0,21.0,54.0,0.389,1.0,12.0,0.083,20.0,42.0,0.476,0.398,11.0,18.0,0.611,13.0,21.0,34.0,9.0,4.0,1.0,11.0,15.0,86.0,87.6,61.7,0.204,0.143,0.493,41.4,30.4,11.4,2.4,0.48,20.7,19.2,0.122,0.398,15.0,40.6,0.204
3.0,3.0,2023-11-12,@,Iowa State,REG (Non-Conf),L,55.0,86.0,,18.0,43.0,0.419,8.0,19.0,0.421,10.0,24.0,0.417,0.512,11.0,22.0,0.5,7.0,21.0,28.0,11.0,6.0,4.0,24.0,23.0,31.0,65.0,0.477,4.0,13.0,0.308,27.0,52.0,0.519,0.508,20.0,30.0,0.667,14.0,21.0,35.0,15.0,17.0,5.0,9.0,23.0,76.0,118.9,72.4,0.512,0.442,0.514,44.4,61.1,8.3,7.7,0.512,31.0,25.0,0.256,0.508,10.2,40.0,0.308
4.0,4.0,2023-11-16,,Nw University,REG (Non-Conf),W,85.0,51.0,,33.0,67.0,0.493,9.0,21.0,0.429,24.0,46.0,0.522,0.56,10.0,16.0,0.625,10.0,33.0,43.0,19.0,10.0,5.0,9.0,10.0,21.0,60.0,0.35,9.0,33.0,0.273,12.0,27.0,0.444,0.425,0.0,1.0,0.0,3.0,23.0,26.0,8.0,6.0,5.0,14.0,16.0,117.2,70.3,72.5,0.239,0.313,0.57,62.3,57.6,13.8,18.5,0.56,10.8,30.3,0.149,0.425,18.8,8.3,0.0
5.0,5.0,2023-11-20,N,The Citadel,REG (Non-Conf),L,61.0,62.0,,25.0,52.0,0.481,4.0,17.0,0.235,21.0,35.0,0.6,0.519,7.0,7.0,1.0,4.0,18.0,22.0,12.0,9.0,5.0,10.0,15.0,20.0,45.0,0.444,6.0,18.0,0.333,14.0,27.0,0.519,0.511,16.0,18.0,0.889,6.0,20.0,26.0,9.0,7.0,1.0,11.0,12.0,101.8,103.4,59.9,0.135,0.327,0.551,45.8,48.0,15.0,18.5,0.519,15.3,16.7,0.135,0.511,17.0,25.0,0.356
6.0,6.0,2023-11-21,@,Campbell,REG (Non-Conf),W,69.0,55.0,,25.0,59.0,0.424,7.0,29.0,0.241,18.0,30.0,0.6,0.483,12.0,15.0,0.8,16.0,16.0,32.0,17.0,9.0,5.0,11.0,12.0,20.0,45.0,0.444,6.0,15.0,0.4,14.0,30.0,0.467,0.511,9.0,11.0,0.818,8.0,16.0,24.0,13.0,9.0,3.0,19.0,16.0,112.8,89.9,61.2,0.254,0.492,0.522,57.1,68.0,14.7,16.7,0.483,14.3,50.0,0.203,0.511,27.4,33.3,0.2
7.0,7.0,2023-11-28,@,Pepperdine,REG (Non-Conf),L,62.0,77.0,,24.0,54.0,0.444,5.0,17.0,0.294,19.0,37.0,0.514,0.491,9.0,9.0,1.0,7.0,19.0,26.0,8.0,3.0,2.0,14.0,13.0,33.0,62.0,0.532,5.0,12.0,0.417,28.0,50.0,0.56,0.573,6.0,7.0,0.857,8.0,20.0,28.0,21.0,10.0,3.0,7.0,11.0,95.7,118.8,64.8,0.167,0.315,0.532,48.1,33.3,4.6,4.0,0.491,19.4,25.9,0.167,0.573,9.7,29.6,0.097
8.0,8.0,2023-12-02,,Lindenwood,REG (Non-Conf),W,76.0,70.0,,25.0,53.0,0.472,5.0,19.0,0.263,20.0,34.0,0.588,0.519,21.0,30.0,0.7,7.0,24.0,31.0,11.0,4.0,2.0,8.0,20.0,25.0,53.0,0.472,3.0,12.0,0.25,22.0,41.0,0.537,0.5,17.0,25.0,0.68,6.0,25.0,31.0,4.0,3.0,0.0,10.0,23.0,110.8,102.1,68.6,0.566,0.358,0.565,50.0,44.0,5.8,4.9,0.519,10.6,21.9,0.396,0.5,13.4,20.0,0.321
9.0,9.0,2023-12-05,@,Fresno State,REG (Non-Conf),L,67.0,79.0,,26.0,58.0,0.448,7.0,26.0,0.269,19.0,32.0,0.594,0.509,8.0,15.0,0.533,8.0,17.0,25.0,11.0,6.0,5.0,12.0,21.0,29.0,55.0,0.527,3.0,11.0,0.273,26.0,44.0,0.591,0.555,18.0,23.0,0.783,6.0,21.0,27.0,17.0,8.0,0.0,13.0,19.0,94.3,111.2,71.0,0.259,0.448,0.514,48.1,42.3,8.4,11.4,0.509,15.6,27.6,0.138,0.555,16.5,26.1,0.327
10.0,10.0,2023-12-09,@,Southern Utah,REG (Non-Conf),L,74.0,82.0,,31.0,54.0,0.574,5.0,14.0,0.357,26.0,40.0,0.65,0.62,7.0,12.0,0.583,7.0,21.0,28.0,11.0,4.0,2.0,18.0,17.0,33.0,62.0,0.532,4.0,19.0,0.211,29.0,43.0,0.674,0.565,12.0,17.0,0.706,6.0,17.0,23.0,16.0,8.0,0.0,8.0,16.0,103.7,114.9,71.4,0.222,0.259,0.62,54.9,35.5,5.6,4.7,0.62,23.2,29.2,0.13,0.565,10.2,22.2,0.194
