Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Washington State,REG (Non-Conf),L,59.0,84.0,,18.0,52.0,0.346,5.0,25.0,0.2,13.0,27.0,0.481,0.394,18.0,25.0,0.72,5.0,18.0,23.0,8.0,6.0,4.0,11.0,23.0,31.0,57.0,0.544,7.0,18.0,0.389,24.0,39.0,0.615,0.605,15.0,29.0,0.517,13.0,30.0,43.0,14.0,6.0,8.0,9.0,24.0,86.4,122.9,68.3,0.481,0.481,0.462,34.8,44.4,8.8,10.3,0.394,14.7,14.3,0.346,0.605,11.3,41.9,0.263
2.0,2.0,2023-11-09,,Cal State Northridge,REG (Non-Conf),L,73.0,76.0,,28.0,60.0,0.467,11.0,26.0,0.423,17.0,34.0,0.5,0.558,6.0,6.0,1.0,5.0,24.0,29.0,17.0,12.0,6.0,16.0,16.0,28.0,66.0,0.424,4.0,13.0,0.308,24.0,53.0,0.453,0.455,16.0,20.0,0.8,16.0,24.0,40.0,11.0,12.0,5.0,14.0,11.0,99.1,103.2,73.7,0.1,0.433,0.581,42.0,60.7,16.3,11.3,0.558,20.3,17.2,0.1,0.455,15.6,40.0,0.242
3.0,3.0,2023-11-14,,Evergreen St.,REG (Non-Conf),W,88.0,42.0,,33.0,63.0,0.524,9.0,29.0,0.31,24.0,34.0,0.706,0.595,13.0,23.0,0.565,12.0,43.0,55.0,22.0,7.0,5.0,16.0,14.0,14.0,61.0,0.23,5.0,24.0,0.208,9.0,37.0,0.243,0.27,9.0,15.0,0.6,1.0,17.0,18.0,9.0,11.0,1.0,13.0,19.0,111.4,53.1,79.0,0.365,0.46,0.595,75.3,66.7,8.9,13.5,0.595,17.8,41.4,0.206,0.27,16.0,2.3,0.148
4.0,4.0,2023-11-17,,Pacific Lutheran,REG (Non-Conf),W,96.0,52.0,,36.0,64.0,0.563,7.0,20.0,0.35,29.0,44.0,0.659,0.617,17.0,23.0,0.739,15.0,22.0,37.0,20.0,6.0,4.0,6.0,15.0,16.0,48.0,0.333,7.0,19.0,0.368,9.0,29.0,0.31,0.406,13.0,16.0,0.813,6.0,10.0,16.0,9.0,3.0,2.0,13.0,19.0,149.4,80.9,64.3,0.359,0.313,0.641,69.8,55.6,9.3,13.8,0.617,7.4,60.0,0.266,0.406,19.0,21.4,0.271
5.0,5.0,2023-11-22,@,Seattle,REG (Non-Conf),L,55.0,92.0,,21.0,52.0,0.404,6.0,25.0,0.24,15.0,27.0,0.556,0.462,7.0,13.0,0.538,6.0,14.0,20.0,10.0,7.0,2.0,14.0,19.0,34.0,55.0,0.618,11.0,21.0,0.524,23.0,34.0,0.676,0.718,13.0,23.0,0.565,11.0,25.0,36.0,23.0,9.0,2.0,11.0,14.0,83.3,139.3,66.1,0.25,0.481,0.473,35.7,47.6,10.6,5.9,0.462,19.4,19.4,0.135,0.718,14.3,44.0,0.236
6.0,6.0,2023-11-24,N,UC San Diego,REG (Non-Conf),W,73.0,70.0,OT,30.0,68.0,0.441,6.0,27.0,0.222,24.0,41.0,0.585,0.485,7.0,12.0,0.583,10.0,26.0,36.0,10.0,7.0,3.0,12.0,24.0,23.0,54.0,0.426,4.0,20.0,0.2,19.0,34.0,0.559,0.463,20.0,31.0,0.645,5.0,25.0,30.0,8.0,7.0,1.0,11.0,17.0,97.1,93.1,66.9,0.176,0.397,0.495,54.5,33.3,9.3,8.8,0.485,14.0,28.6,0.103,0.463,13.8,16.1,0.37
7.0,7.0,2023-11-29,,Denver,REG (Non-Conf),L,65.0,67.0,,27.0,65.0,0.415,11.0,27.0,0.407,16.0,38.0,0.421,0.5,0.0,1.0,0.0,6.0,26.0,32.0,14.0,4.0,7.0,7.0,14.0,22.0,61.0,0.361,11.0,26.0,0.423,11.0,35.0,0.314,0.451,12.0,15.0,0.8,10.0,28.0,38.0,13.0,6.0,7.0,7.0,10.0,98.8,101.8,65.8,0.015,0.415,0.496,45.7,51.9,6.1,20.0,0.5,9.7,17.6,0.0,0.451,9.3,27.8,0.197
8.0,8.0,2023-12-02,,Cal Poly,REG (Non-Conf),W,85.0,70.0,,26.0,53.0,0.491,9.0,22.0,0.409,17.0,31.0,0.548,0.575,24.0,33.0,0.727,9.0,21.0,30.0,11.0,8.0,5.0,10.0,26.0,20.0,49.0,0.408,6.0,21.0,0.286,14.0,28.0,0.5,0.469,24.0,30.0,0.8,10.0,17.0,27.0,10.0,3.0,5.0,15.0,21.0,123.3,101.5,69.0,0.623,0.415,0.619,52.6,42.3,11.6,17.9,0.575,12.7,34.6,0.453,0.469,19.2,32.3,0.49
9.0,9.0,2023-12-05,,Pacific,REG (Non-Conf),W,83.0,53.0,,26.0,54.0,0.481,12.0,29.0,0.414,14.0,25.0,0.56,0.593,19.0,23.0,0.826,5.0,27.0,32.0,12.0,10.0,4.0,13.0,19.0,19.0,51.0,0.373,6.0,19.0,0.316,13.0,32.0,0.406,0.431,9.0,15.0,0.6,7.0,21.0,28.0,10.0,8.0,1.0,20.0,13.0,115.2,73.6,72.0,0.426,0.537,0.639,53.3,46.2,13.9,12.5,0.593,16.7,19.2,0.352,0.431,25.6,20.6,0.176
10.0,10.0,2023-12-09,@,Utah Tech,REG (Non-Conf),W,63.0,62.0,,20.0,53.0,0.377,10.0,30.0,0.333,10.0,23.0,0.435,0.472,13.0,15.0,0.867,8.0,22.0,30.0,15.0,7.0,4.0,8.0,14.0,22.0,47.0,0.468,8.0,22.0,0.364,14.0,25.0,0.56,0.553,10.0,14.0,0.714,5.0,21.0,26.0,17.0,1.0,2.0,12.0,15.0,104.3,102.7,60.4,0.283,0.566,0.524,53.6,75.0,11.6,16.0,0.472,11.7,27.6,0.245,0.553,18.3,18.5,0.213
11.0,11.0,2023-12-17,@,Stanford,REG (Non-Conf),L,64.0,82.0,,26.0,66.0,0.394,6.0,25.0,0.24,20.0,41.0,0.488,0.439,6.0,7.0,0.857,5.0,18.0,23.0,12.0,4.0,0.0,5.0,10.0,31.0,55.0,0.564,10.0,23.0,0.435,21.0,32.0,0.656,0.655,10.0,15.0,0.667,5.0,35.0,40.0,18.0,2.0,2.0,12.0,9.0,92.5,118.5,69.2,0.106,0.379,0.462,36.5,46.2,5.8,0.0,0.439,6.7,12.5,0.091,0.655,16.2,21.7,0.182
12.0,12.0,2023-12-21,@,UC Riverside,REG (Non-Conf),L,67.0,82.0,,23.0,53.0,0.434,8.0,23.0,0.348,15.0,30.0,0.5,0.509,13.0,19.0,0.684,1.0,20.0,21.0,12.0,2.0,5.0,8.0,21.0,29.0,58.0,0.5,10.0,28.0,0.357,19.0,30.0,0.633,0.586,14.0,21.0,0.667,6.0,29.0,35.0,18.0,4.0,2.0,4.0,19.0,99.3,121.5,67.5,0.358,0.434,0.54,37.5,52.2,3.0,16.7,0.509,11.4,3.3,0.245,0.586,5.6,23.1,0.241
13.0,13.0,2023-12-28,,Sacramento State,REG (Conf),W,61.0,58.0,,21.0,52.0,0.404,7.0,21.0,0.333,14.0,31.0,0.452,0.471,12.0,15.0,0.8,6.0,21.0,27.0,12.0,10.0,0.0,10.0,13.0,18.0,44.0,0.409,9.0,15.0,0.6,9.0,29.0,0.31,0.511,13.0,20.0,0.65,5.0,23.0,28.0,9.0,6.0,3.0,16.0,12.0,95.6,90.9,63.8,0.288,0.404,0.516,49.1,57.1,15.7,0.0,0.471,14.5,20.7,0.231,0.511,23.0,19.2,0.295
14.0,14.0,2023-12-30,,Portland State,REG (Conf),L,72.0,77.0,,25.0,57.0,0.439,10.0,24.0,0.417,15.0,33.0,0.455,0.526,12.0,20.0,0.6,8.0,22.0,30.0,12.0,5.0,5.0,14.0,20.0,24.0,59.0,0.407,7.0,22.0,0.318,17.0,37.0,0.459,0.466,22.0,29.0,0.759,11.0,28.0,39.0,12.0,8.0,1.0,9.0,20.0,100.5,107.5,71.6,0.351,0.421,0.541,43.5,48.0,7.0,13.5,0.526,17.4,22.2,0.211,0.466,11.0,33.3,0.373
15.0,15.0,2024-01-03,,St. Thomas,REG (Non-Conf),L,67.0,75.0,,24.0,58.0,0.414,8.0,20.0,0.4,16.0,38.0,0.421,0.483,11.0,14.0,0.786,11.0,25.0,36.0,10.0,4.0,4.0,8.0,14.0,24.0,59.0,0.407,15.0,38.0,0.395,9.0,21.0,0.429,0.534,12.0,13.0,0.923,8.0,22.0,30.0,17.0,7.0,5.0,8.0,15.0,105.7,118.3,63.4,0.241,0.345,0.518,54.5,41.7,6.3,19.0,0.483,11.0,33.3,0.19,0.534,10.9,24.2,0.203
16.0,16.0,2024-01-13,,Eastern Washington,REG (Conf),L,58.0,79.0,,16.0,57.0,0.281,8.0,29.0,0.276,8.0,28.0,0.286,0.351,18.0,28.0,0.643,9.0,21.0,30.0,10.0,5.0,1.0,10.0,19.0,28.0,57.0,0.491,7.0,22.0,0.318,21.0,35.0,0.6,0.553,16.0,18.0,0.889,6.0,32.0,38.0,10.0,7.0,9.0,11.0,20.0,81.8,111.4,70.9,0.491,0.509,0.413,44.1,62.5,7.0,2.9,0.351,12.5,22.0,0.316,0.553,14.4,22.2,0.281
17.0,17.0,2024-01-18,@,Idaho State,REG (Conf),L,59.0,64.0,,22.0,53.0,0.415,5.0,18.0,0.278,17.0,35.0,0.486,0.462,10.0,12.0,0.833,4.0,25.0,29.0,8.0,2.0,4.0,9.0,22.0,22.0,54.0,0.407,3.0,16.0,0.188,19.0,38.0,0.5,0.435,17.0,25.0,0.68,8.0,23.0,31.0,12.0,3.0,8.0,4.0,17.0,94.0,101.9,62.8,0.226,0.34,0.503,48.3,36.4,3.2,10.5,0.462,13.3,14.8,0.189,0.435,5.7,24.2,0.315
18.0,18.0,2024-01-20,@,Weber State,REG (Conf),L,65.0,88.0,,25.0,51.0,0.49,5.0,19.0,0.263,20.0,32.0,0.625,0.539,10.0,14.0,0.714,2.0,19.0,21.0,15.0,3.0,0.0,8.0,19.0,28.0,56.0,0.5,10.0,28.0,0.357,18.0,28.0,0.643,0.589,22.0,25.0,0.88,9.0,25.0,34.0,16.0,4.0,2.0,7.0,15.0,100.4,135.9,64.8,0.275,0.373,0.564,38.2,60.0,4.6,0.0,0.539,12.2,7.4,0.196,0.589,9.3,32.1,0.393
