Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Lourdes,REG (Non-Conf),W,75.0,56.0,,27.0,58.0,0.466,11.0,29.0,0.379,16.0,29.0,0.552,0.56,10.0,19.0,0.526,9.0,29.0,38.0,19.0,7.0,5.0,15.0,15.0,20.0,55.0,0.364,6.0,16.0,0.375,14.0,39.0,0.359,0.418,10.0,13.0,0.769,6.0,27.0,33.0,13.0,5.0,1.0,14.0,20.0,105.5,78.8,71.1,0.328,0.5,0.559,53.5,70.4,9.8,12.8,0.56,18.3,25.0,0.172,0.418,18.6,17.1,0.182
2.0,2.0,2023-11-11,@,Saint Louis,REG (Non-Conf),L,71.0,80.0,,24.0,61.0,0.393,9.0,29.0,0.31,15.0,32.0,0.469,0.467,14.0,22.0,0.636,9.0,29.0,38.0,9.0,3.0,1.0,15.0,27.0,22.0,52.0,0.423,6.0,21.0,0.286,16.0,31.0,0.516,0.481,30.0,37.0,0.811,3.0,26.0,29.0,8.0,6.0,3.0,9.0,19.0,92.8,104.6,76.5,0.361,0.475,0.497,56.7,37.5,3.9,3.2,0.467,17.4,25.7,0.23,0.481,11.5,9.4,0.577
3.0,3.0,2023-11-15,,Eastern Illinois,REG (Non-Conf),W,69.0,61.0,,23.0,56.0,0.411,6.0,19.0,0.316,17.0,37.0,0.459,0.464,17.0,26.0,0.654,13.0,23.0,36.0,11.0,5.0,2.0,6.0,14.0,22.0,57.0,0.386,6.0,20.0,0.3,16.0,37.0,0.432,0.439,11.0,13.0,0.846,12.0,18.0,30.0,9.0,3.0,5.0,11.0,23.0,111.7,98.8,61.8,0.464,0.339,0.505,54.5,47.8,8.1,5.4,0.464,8.1,41.9,0.304,0.439,14.8,34.3,0.193
4.0,4.0,2023-11-20,N,Long Beach State,REG (Non-Conf),W,61.0,52.0,,20.0,57.0,0.351,8.0,27.0,0.296,12.0,30.0,0.4,0.421,13.0,27.0,0.481,12.0,23.0,35.0,12.0,11.0,2.0,18.0,13.0,23.0,65.0,0.354,4.0,20.0,0.2,19.0,45.0,0.422,0.385,2.0,5.0,0.4,15.0,24.0,39.0,10.0,8.0,4.0,21.0,23.0,81.8,69.7,74.6,0.474,0.474,0.437,47.3,60.0,14.7,4.4,0.421,20.5,33.3,0.228,0.385,23.8,39.5,0.031
5.0,5.0,2023-11-21,N,High Point,REG (Non-Conf),L,72.0,74.0,,24.0,57.0,0.421,5.0,18.0,0.278,19.0,39.0,0.487,0.465,19.0,21.0,0.905,7.0,16.0,23.0,3.0,6.0,0.0,6.0,17.0,26.0,50.0,0.52,9.0,22.0,0.409,17.0,28.0,0.607,0.61,13.0,15.0,0.867,7.0,26.0,33.0,11.0,0.0,1.0,15.0,20.0,109.8,112.9,65.6,0.368,0.316,0.538,41.1,12.5,9.2,0.0,0.465,8.2,21.2,0.333,0.61,20.8,30.4,0.26
6.0,6.0,2023-11-22,N,Wright State,REG (Non-Conf),L,49.0,74.0,,15.0,54.0,0.278,2.0,22.0,0.091,13.0,32.0,0.406,0.296,17.0,19.0,0.895,8.0,24.0,32.0,5.0,8.0,2.0,16.0,19.0,26.0,57.0,0.456,7.0,22.0,0.318,19.0,35.0,0.543,0.518,15.0,21.0,0.714,6.0,28.0,34.0,9.0,8.0,3.0,12.0,15.0,68.1,102.8,72.0,0.352,0.407,0.389,48.5,33.3,11.1,5.7,0.296,20.2,22.2,0.315,0.518,15.2,20.0,0.263
7.0,7.0,2023-11-30,@,Illinois–Chicago,REG (Conf),W,69.0,64.0,,25.0,43.0,0.581,3.0,10.0,0.3,22.0,33.0,0.667,0.616,16.0,24.0,0.667,2.0,25.0,27.0,12.0,8.0,4.0,18.0,14.0,24.0,60.0,0.4,9.0,28.0,0.321,15.0,32.0,0.469,0.475,7.0,15.0,0.467,9.0,13.0,22.0,17.0,10.0,4.0,13.0,21.0,97.5,90.4,70.8,0.558,0.233,0.634,55.1,48.0,11.3,12.5,0.616,24.9,13.3,0.372,0.475,16.2,26.5,0.117
8.0,8.0,2023-12-03,,Murray State,REG (Conf),W,76.0,72.0,,28.0,57.0,0.491,9.0,24.0,0.375,19.0,33.0,0.576,0.57,11.0,11.0,1.0,6.0,19.0,25.0,18.0,5.0,4.0,10.0,15.0,26.0,57.0,0.456,10.0,27.0,0.37,16.0,30.0,0.533,0.544,10.0,15.0,0.667,7.0,16.0,23.0,14.0,7.0,3.0,8.0,15.0,115.7,109.6,65.7,0.193,0.421,0.611,52.1,64.3,7.6,13.3,0.57,13.8,27.3,0.193,0.544,11.1,26.9,0.175
9.0,9.0,2023-12-06,,Northern Kentucky,REG (Non-Conf),W,62.0,59.0,,24.0,58.0,0.414,8.0,27.0,0.296,16.0,31.0,0.516,0.483,6.0,9.0,0.667,11.0,24.0,35.0,14.0,2.0,3.0,14.0,7.0,22.0,56.0,0.393,7.0,20.0,0.35,15.0,36.0,0.417,0.455,8.0,10.0,0.8,5.0,22.0,27.0,17.0,12.0,1.0,8.0,12.0,96.1,91.5,64.5,0.155,0.466,0.498,56.5,58.3,3.1,8.3,0.483,18.4,33.3,0.103,0.455,11.6,17.2,0.143
10.0,10.0,2023-12-09,,Norfolk State,REG (Non-Conf),L,58.0,64.0,,16.0,51.0,0.314,5.0,27.0,0.185,11.0,24.0,0.458,0.363,21.0,29.0,0.724,12.0,24.0,36.0,10.0,8.0,3.0,13.0,20.0,18.0,50.0,0.36,7.0,19.0,0.368,11.0,31.0,0.355,0.43,21.0,26.0,0.808,8.0,23.0,31.0,6.0,8.0,7.0,12.0,24.0,87.8,96.9,66.1,0.569,0.529,0.448,53.7,62.5,12.1,9.7,0.363,16.7,34.3,0.412,0.43,16.1,25.0,0.42
