Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Eastern Illinois,REG (Non-Conf),W,80.0,52.0,,29.0,58.0,0.5,10.0,31.0,0.323,19.0,27.0,0.704,0.586,12.0,23.0,0.522,8.0,38.0,46.0,15.0,4.0,5.0,12.0,13.0,20.0,69.0,0.29,4.0,11.0,0.364,16.0,58.0,0.276,0.319,8.0,16.0,0.5,10.0,24.0,34.0,7.0,4.0,2.0,7.0,22.0,109.2,71.0,73.3,0.397,0.534,0.58,57.5,51.7,5.5,8.6,0.586,14.8,25.0,0.207,0.319,8.4,20.8,0.116
2.0,2.0,2023-11-10,,Oakland,REG (Non-Conf),W,64.0,53.0,,26.0,55.0,0.473,4.0,16.0,0.25,22.0,39.0,0.564,0.509,8.0,16.0,0.5,8.0,25.0,33.0,13.0,3.0,2.0,9.0,8.0,21.0,56.0,0.375,5.0,20.0,0.25,16.0,36.0,0.444,0.42,6.0,9.0,0.667,7.0,24.0,31.0,4.0,7.0,1.0,7.0,16.0,103.3,85.6,61.9,0.291,0.291,0.511,51.6,50.0,4.8,5.6,0.509,12.6,25.0,0.145,0.42,10.4,21.9,0.107
3.0,3.0,2023-11-14,,Marquette,REG (Non-Conf),L,64.0,71.0,,21.0,60.0,0.35,11.0,33.0,0.333,10.0,27.0,0.37,0.442,11.0,13.0,0.846,11.0,26.0,37.0,8.0,6.0,7.0,15.0,15.0,27.0,62.0,0.435,5.0,17.0,0.294,22.0,45.0,0.489,0.476,12.0,20.0,0.6,9.0,27.0,36.0,7.0,9.0,0.0,8.0,14.0,91.0,100.9,70.3,0.217,0.55,0.484,50.7,38.1,8.5,15.6,0.442,18.5,28.9,0.183,0.476,10.1,25.7,0.194
4.0,4.0,2023-11-17,,Valparaiso,REG (Non-Conf),W,87.0,64.0,,33.0,75.0,0.44,9.0,28.0,0.321,24.0,47.0,0.511,0.5,12.0,24.0,0.5,13.0,43.0,56.0,16.0,4.0,4.0,9.0,16.0,24.0,80.0,0.3,5.0,19.0,0.263,19.0,61.0,0.311,0.331,11.0,15.0,0.733,13.0,34.0,47.0,4.0,4.0,7.0,7.0,21.0,106.4,78.3,81.8,0.32,0.373,0.503,54.4,48.5,4.9,6.6,0.5,9.4,27.7,0.16,0.331,7.4,23.2,0.138
5.0,5.0,2023-11-19,,Southern,REG (Non-Conf),W,88.0,60.0,,36.0,63.0,0.571,5.0,22.0,0.227,31.0,41.0,0.756,0.611,11.0,17.0,0.647,15.0,33.0,48.0,18.0,4.0,3.0,21.0,12.0,23.0,61.0,0.377,5.0,24.0,0.208,18.0,37.0,0.486,0.418,9.0,14.0,0.643,4.0,12.0,16.0,10.0,13.0,1.0,12.0,14.0,115.2,78.6,76.4,0.27,0.349,0.619,75.0,50.0,5.2,8.1,0.611,22.8,55.6,0.175,0.418,15.1,10.8,0.148
6.0,6.0,2023-11-24,,Western Illinois,REG (Non-Conf),W,84.0,52.0,,34.0,72.0,0.472,10.0,25.0,0.4,24.0,47.0,0.511,0.542,6.0,12.0,0.5,14.0,34.0,48.0,9.0,5.0,9.0,8.0,8.0,21.0,72.0,0.292,6.0,25.0,0.24,15.0,47.0,0.319,0.333,4.0,8.0,0.5,9.0,22.0,31.0,6.0,5.0,5.0,10.0,15.0,113.1,70.0,74.3,0.167,0.347,0.541,60.8,26.5,6.7,19.1,0.542,9.3,38.9,0.083,0.333,11.7,20.9,0.056
7.0,7.0,2023-12-02,@,Rutgers,REG (Conf),W,76.0,58.0,,30.0,66.0,0.455,9.0,21.0,0.429,21.0,45.0,0.467,0.523,7.0,11.0,0.636,14.0,35.0,49.0,12.0,3.0,4.0,15.0,20.0,20.0,60.0,0.333,6.0,13.0,0.462,14.0,47.0,0.298,0.383,12.0,20.0,0.6,6.0,17.0,23.0,9.0,9.0,9.0,10.0,17.0,104.3,79.6,72.9,0.167,0.318,0.534,68.1,40.0,4.1,8.5,0.523,17.4,45.2,0.106,0.383,12.6,14.6,0.2
8.0,8.0,2023-12-05,N,Florida Atlantic,REG (Non-Conf),W,98.0,89.0,,36.0,57.0,0.632,8.0,20.0,0.4,28.0,37.0,0.757,0.702,18.0,20.0,0.9,4.0,19.0,23.0,10.0,4.0,3.0,13.0,18.0,31.0,64.0,0.484,9.0,23.0,0.391,22.0,41.0,0.537,0.555,18.0,22.0,0.818,10.0,16.0,26.0,23.0,7.0,1.0,13.0,16.0,128.1,116.4,76.5,0.351,0.351,0.737,46.9,27.8,5.2,7.3,0.702,16.4,20.0,0.316,0.555,14.9,34.5,0.281
9.0,9.0,2023-12-09,@,Tennessee,REG (Non-Conf),L,79.0,86.0,,23.0,65.0,0.354,9.0,36.0,0.25,14.0,29.0,0.483,0.423,24.0,28.0,0.857,8.0,22.0,30.0,9.0,5.0,2.0,8.0,22.0,27.0,60.0,0.45,6.0,18.0,0.333,21.0,42.0,0.5,0.5,26.0,34.0,0.765,12.0,27.0,39.0,21.0,6.0,3.0,8.0,20.0,105.0,114.3,75.2,0.431,0.554,0.504,43.5,39.1,6.6,4.8,0.423,9.3,22.9,0.369,0.5,9.5,35.3,0.433
10.0,10.0,2023-12-17,,Colgate,REG (Non-Conf),W,74.0,57.0,,23.0,55.0,0.418,8.0,23.0,0.348,15.0,32.0,0.469,0.491,20.0,22.0,0.909,12.0,27.0,39.0,10.0,5.0,6.0,13.0,11.0,26.0,61.0,0.426,3.0,15.0,0.2,23.0,46.0,0.5,0.451,2.0,6.0,0.333,6.0,17.0,23.0,10.0,4.0,1.0,11.0,18.0,109.4,84.3,67.7,0.4,0.418,0.565,62.9,43.5,7.4,13.0,0.491,16.6,41.4,0.364,0.451,14.7,18.2,0.033
11.0,11.0,2023-12-22,N,Missouri,REG (Non-Conf),W,97.0,73.0,,32.0,65.0,0.492,11.0,33.0,0.333,21.0,32.0,0.656,0.577,22.0,31.0,0.71,15.0,32.0,47.0,17.0,5.0,4.0,10.0,14.0,29.0,74.0,0.392,6.0,27.0,0.222,23.0,47.0,0.489,0.432,9.0,16.0,0.563,8.0,22.0,30.0,6.0,8.0,4.0,6.0,23.0,125.7,94.6,77.2,0.477,0.508,0.608,61.0,53.1,6.5,8.5,0.577,11.1,40.5,0.338,0.432,6.8,20.0,0.122
12.0,12.0,2023-12-29,,FDU,REG (Non-Conf),W,104.0,71.0,,36.0,69.0,0.522,13.0,32.0,0.406,23.0,37.0,0.622,0.616,19.0,26.0,0.731,17.0,31.0,48.0,21.0,5.0,4.0,13.0,12.0,27.0,70.0,0.386,12.0,29.0,0.414,15.0,41.0,0.366,0.471,5.0,7.0,0.714,7.0,14.0,21.0,17.0,8.0,5.0,11.0,19.0,134.5,91.8,77.3,0.377,0.464,0.639,69.6,58.3,6.5,9.8,0.616,13.8,54.8,0.275,0.471,13.0,18.4,0.071
13.0,13.0,2024-01-02,,Northwestern,REG (Conf),W,96.0,66.0,,35.0,56.0,0.625,10.0,18.0,0.556,25.0,38.0,0.658,0.714,16.0,20.0,0.8,9.0,24.0,33.0,17.0,2.0,5.0,10.0,13.0,25.0,61.0,0.41,8.0,16.0,0.5,17.0,45.0,0.378,0.475,8.0,8.0,1.0,8.0,15.0,23.0,8.0,3.0,0.0,10.0,20.0,144.0,99.0,66.7,0.357,0.321,0.733,58.9,48.6,3.0,11.1,0.714,13.2,37.5,0.286,0.475,13.4,25.0,0.131
14.0,14.0,2024-01-05,@,Purdue,REG (Conf),L,78.0,83.0,,26.0,61.0,0.426,8.0,19.0,0.421,18.0,42.0,0.429,0.492,18.0,21.0,0.857,11.0,14.0,25.0,15.0,5.0,3.0,10.0,19.0,27.0,60.0,0.45,9.0,19.0,0.474,18.0,41.0,0.439,0.525,20.0,25.0,0.8,16.0,24.0,40.0,18.0,5.0,4.0,12.0,17.0,113.2,120.4,68.9,0.344,0.311,0.549,38.5,57.7,7.3,7.3,0.492,12.3,31.4,0.295,0.525,14.3,53.3,0.333
15.0,15.0,2024-01-11,,Michigan State,REG (Conf),W,71.0,68.0,,23.0,55.0,0.418,7.0,21.0,0.333,16.0,34.0,0.471,0.482,18.0,22.0,0.818,7.0,24.0,31.0,11.0,3.0,6.0,7.0,10.0,29.0,69.0,0.42,5.0,19.0,0.263,24.0,50.0,0.48,0.457,5.0,7.0,0.714,12.0,22.0,34.0,10.0,4.0,4.0,7.0,15.0,106.9,102.4,66.4,0.4,0.382,0.542,47.7,47.8,4.5,12.0,0.482,9.7,24.1,0.327,0.457,8.8,33.3,0.072
16.0,16.0,2024-01-14,,Maryland,REG (Conf),L,67.0,76.0,,21.0,64.0,0.328,6.0,22.0,0.273,15.0,42.0,0.357,0.375,19.0,24.0,0.792,10.0,25.0,35.0,8.0,5.0,3.0,8.0,14.0,30.0,65.0,0.462,4.0,17.0,0.235,26.0,48.0,0.542,0.492,12.0,17.0,0.706,10.0,27.0,37.0,14.0,4.0,6.0,7.0,15.0,93.4,105.9,71.7,0.375,0.344,0.444,48.6,38.1,7.0,6.3,0.375,9.6,27.0,0.297,0.492,8.7,28.6,0.185
17.0,17.0,2024-01-18,@,Michigan,REG (Conf),W,88.0,73.0,,30.0,62.0,0.484,6.0,18.0,0.333,24.0,44.0,0.545,0.532,22.0,30.0,0.733,13.0,25.0,38.0,12.0,9.0,4.0,6.0,13.0,30.0,63.0,0.476,3.0,13.0,0.231,27.0,50.0,0.54,0.5,10.0,12.0,0.833,7.0,18.0,25.0,10.0,1.0,0.0,9.0,18.0,125.8,104.3,70.0,0.484,0.29,0.577,60.3,40.0,12.9,8.0,0.532,7.3,41.9,0.355,0.5,11.6,21.9,0.159
