Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Texas,REG (Non-Conf),L,56.0,88.0,,19.0,64.0,0.297,4.0,23.0,0.174,15.0,41.0,0.366,0.328,14.0,23.0,0.609,13.0,23.0,36.0,6.0,7.0,4.0,17.0,19.0,32.0,63.0,0.508,10.0,26.0,0.385,22.0,37.0,0.595,0.587,14.0,23.0,0.609,10.0,33.0,43.0,20.0,10.0,9.0,12.0,17.0,72.3,113.7,77.4,0.359,0.359,0.374,45.6,31.6,9.0,10.8,0.328,18.5,28.3,0.219,0.587,14.0,30.3,0.222
2.0,2.0,2023-11-11,@,Tulsa,REG (Non-Conf),L,71.0,85.0,,22.0,77.0,0.286,9.0,33.0,0.273,13.0,44.0,0.295,0.344,18.0,27.0,0.667,19.0,20.0,39.0,11.0,6.0,1.0,9.0,25.0,24.0,59.0,0.407,10.0,26.0,0.385,14.0,33.0,0.424,0.492,27.0,35.0,0.771,10.0,37.0,47.0,14.0,4.0,6.0,8.0,21.0,92.5,110.8,76.7,0.351,0.429,0.395,45.3,50.0,7.8,3.0,0.344,9.1,33.9,0.234,0.492,9.6,33.3,0.458
3.0,3.0,2023-11-14,,Schreiner,REG (Non-Conf),W,104.0,63.0,,41.0,69.0,0.594,13.0,25.0,0.52,28.0,44.0,0.636,0.688,9.0,9.0,1.0,13.0,38.0,51.0,18.0,8.0,7.0,21.0,18.0,23.0,77.0,0.299,6.0,27.0,0.222,17.0,50.0,0.34,0.338,11.0,16.0,0.688,12.0,12.0,24.0,9.0,8.0,3.0,13.0,9.0,124.6,75.5,83.4,0.13,0.362,0.71,68.0,43.9,9.6,14.0,0.688,22.3,52.0,0.13,0.338,13.3,24.0,0.143
4.0,4.0,2023-11-18,@,Arkansas–Pine Bluff,REG (Non-Conf),W,100.0,81.0,,34.0,56.0,0.607,7.0,18.0,0.389,27.0,38.0,0.711,0.67,25.0,30.0,0.833,10.0,27.0,37.0,18.0,4.0,2.0,15.0,19.0,26.0,56.0,0.464,8.0,22.0,0.364,18.0,34.0,0.529,0.536,21.0,29.0,0.724,4.0,14.0,18.0,18.0,5.0,2.0,7.0,21.0,135.1,109.4,74.0,0.536,0.321,0.712,67.3,52.9,5.4,5.9,0.67,17.6,41.7,0.446,0.536,9.1,12.9,0.375
5.0,5.0,2023-11-22,,Jacksonville State,REG (Non-Conf),W,67.0,66.0,,24.0,50.0,0.48,9.0,22.0,0.409,15.0,28.0,0.536,0.57,10.0,14.0,0.714,4.0,18.0,22.0,11.0,9.0,8.0,13.0,22.0,23.0,57.0,0.404,4.0,15.0,0.267,19.0,42.0,0.452,0.439,16.0,24.0,0.667,13.0,20.0,33.0,8.0,7.0,3.0,18.0,15.0,96.4,94.9,69.5,0.28,0.44,0.591,40.0,45.8,12.9,19.0,0.57,18.7,16.7,0.2,0.439,20.8,41.9,0.281
6.0,6.0,2023-11-25,@,UTSA,REG (Non-Conf),L,80.0,90.0,,33.0,73.0,0.452,10.0,32.0,0.313,23.0,41.0,0.561,0.521,4.0,12.0,0.333,8.0,26.0,34.0,15.0,12.0,8.0,11.0,22.0,29.0,67.0,0.433,10.0,33.0,0.303,19.0,34.0,0.559,0.507,22.0,30.0,0.733,12.0,34.0,46.0,13.0,5.0,4.0,14.0,16.0,97.0,109.1,82.5,0.164,0.438,0.508,42.5,45.5,14.5,23.5,0.521,12.3,19.0,0.055,0.507,14.7,31.6,0.328
7.0,7.0,2023-11-26,N,Jacksonville State,REG (Non-Conf),L,65.0,67.0,,23.0,51.0,0.451,6.0,18.0,0.333,17.0,33.0,0.515,0.51,13.0,16.0,0.813,9.0,22.0,31.0,8.0,5.0,5.0,16.0,13.0,28.0,61.0,0.459,5.0,18.0,0.278,23.0,43.0,0.535,0.5,6.0,8.0,0.75,10.0,20.0,30.0,15.0,11.0,5.0,9.0,13.0,100.5,103.6,64.7,0.314,0.353,0.555,50.8,34.8,7.7,11.6,0.51,21.4,31.0,0.255,0.5,12.2,31.3,0.098
8.0,8.0,2023-12-01,@,Bethune-Cookman,REG (Non-Conf),L,82.0,96.0,,22.0,53.0,0.415,9.0,26.0,0.346,13.0,27.0,0.481,0.5,29.0,33.0,0.879,7.0,27.0,34.0,17.0,7.0,1.0,24.0,26.0,31.0,65.0,0.477,3.0,18.0,0.167,28.0,47.0,0.596,0.5,31.0,37.0,0.838,11.0,24.0,35.0,15.0,17.0,4.0,12.0,23.0,96.9,113.4,84.6,0.623,0.491,0.597,49.3,77.3,8.3,2.1,0.5,25.9,22.6,0.547,0.5,12.7,28.9,0.477
9.0,9.0,2023-12-09,,Northern Arizona,REG (Non-Conf),L,75.0,76.0,,24.0,50.0,0.48,8.0,22.0,0.364,16.0,28.0,0.571,0.56,19.0,26.0,0.731,5.0,24.0,29.0,11.0,5.0,0.0,12.0,14.0,28.0,59.0,0.475,9.0,24.0,0.375,19.0,35.0,0.543,0.551,11.0,13.0,0.846,2.0,20.0,22.0,15.0,6.0,1.0,6.0,18.0,108.3,109.7,69.3,0.52,0.44,0.601,56.9,45.8,7.2,0.0,0.56,16.1,20.0,0.38,0.551,8.4,7.7,0.186
10.0,10.0,2023-12-13,@,Rice,REG (Non-Conf),L,57.0,80.0,,19.0,56.0,0.339,8.0,28.0,0.286,11.0,28.0,0.393,0.411,11.0,14.0,0.786,6.0,17.0,23.0,9.0,5.0,3.0,14.0,16.0,31.0,60.0,0.517,6.0,24.0,0.25,25.0,36.0,0.694,0.567,12.0,16.0,0.75,12.0,29.0,41.0,13.0,9.0,2.0,12.0,13.0,82.5,115.7,69.1,0.25,0.5,0.455,35.9,47.4,7.2,8.3,0.411,18.3,17.1,0.196,0.567,15.1,41.4,0.2
