Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,SMWC,REG (Non-Conf),W,90.0,60.0,,31.0,56.0,0.554,12.0,30.0,0.4,19.0,26.0,0.731,0.661,16.0,25.0,0.64,6.0,26.0,32.0,23.0,10.0,3.0,10.0,16.0,22.0,59.0,0.373,5.0,20.0,0.25,17.0,39.0,0.436,0.415,11.0,16.0,0.688,8.0,16.0,24.0,7.0,7.0,1.0,16.0,23.0,122.9,81.9,73.2,0.446,0.536,0.663,57.1,74.2,13.7,7.7,0.661,12.8,27.3,0.286,0.415,19.4,23.5,0.186
2.0,2.0,2023-11-10,@,Alabama,REG (Non-Conf),L,80.0,102.0,,27.0,53.0,0.509,10.0,26.0,0.385,17.0,27.0,0.63,0.604,16.0,26.0,0.615,4.0,20.0,24.0,10.0,8.0,2.0,13.0,24.0,33.0,64.0,0.516,13.0,23.0,0.565,20.0,41.0,0.488,0.617,23.0,27.0,0.852,13.0,25.0,38.0,14.0,6.0,7.0,11.0,18.0,107.3,136.8,74.6,0.491,0.491,0.612,38.7,37.0,10.7,4.9,0.604,16.6,13.8,0.302,0.617,12.5,39.4,0.359
3.0,3.0,2023-11-14,,IUPUI,REG (Non-Conf),W,96.0,57.0,,38.0,63.0,0.603,10.0,23.0,0.435,28.0,40.0,0.7,0.683,10.0,15.0,0.667,7.0,30.0,37.0,28.0,7.0,3.0,7.0,21.0,23.0,58.0,0.397,0.0,13.0,0.0,23.0,45.0,0.511,0.397,11.0,20.0,0.55,6.0,19.0,25.0,6.0,3.0,1.0,12.0,16.0,133.7,79.4,71.8,0.238,0.365,0.684,59.7,73.7,9.7,6.7,0.683,9.1,26.9,0.159,0.397,15.1,16.7,0.19
4.0,4.0,2023-11-21,N,Rice,REG (Non-Conf),W,103.0,88.0,,33.0,66.0,0.5,16.0,34.0,0.471,17.0,32.0,0.531,0.621,21.0,27.0,0.778,5.0,23.0,28.0,23.0,8.0,2.0,7.0,17.0,29.0,65.0,0.446,10.0,22.0,0.455,19.0,43.0,0.442,0.523,20.0,22.0,0.909,9.0,26.0,35.0,15.0,4.0,5.0,18.0,20.0,124.6,106.5,82.6,0.409,0.515,0.653,44.4,69.7,9.7,4.7,0.621,8.2,16.1,0.318,0.523,19.3,28.1,0.308
5.0,5.0,2023-11-22,N,Pepperdine,REG (Non-Conf),W,90.0,82.0,,29.0,49.0,0.592,10.0,23.0,0.435,19.0,26.0,0.731,0.694,22.0,31.0,0.71,5.0,18.0,23.0,16.0,7.0,0.0,15.0,15.0,35.0,63.0,0.556,6.0,15.0,0.4,29.0,48.0,0.604,0.603,6.0,9.0,0.667,7.0,17.0,24.0,18.0,4.0,1.0,15.0,21.0,120.8,110.1,74.5,0.633,0.469,0.706,48.9,55.2,9.4,0.0,0.694,19.1,22.7,0.449,0.603,18.2,28.0,0.095
6.0,6.0,2023-11-24,N,Toledo,REG (Non-Conf),W,76.0,74.0,,26.0,54.0,0.481,9.0,26.0,0.346,17.0,28.0,0.607,0.565,15.0,19.0,0.789,5.0,24.0,29.0,12.0,8.0,1.0,17.0,18.0,31.0,62.0,0.5,4.0,14.0,0.286,27.0,48.0,0.563,0.532,8.0,14.0,0.571,7.0,24.0,31.0,12.0,8.0,4.0,15.0,19.0,100.2,97.6,75.8,0.352,0.481,0.603,48.3,46.2,10.5,2.1,0.565,21.2,17.2,0.278,0.532,17.9,22.6,0.129
7.0,7.0,2023-11-28,,Southern Illinois,REG (Conf),W,77.0,48.0,,27.0,56.0,0.482,7.0,21.0,0.333,20.0,35.0,0.571,0.545,16.0,20.0,0.8,4.0,26.0,30.0,12.0,5.0,4.0,7.0,18.0,17.0,56.0,0.304,3.0,20.0,0.15,14.0,36.0,0.389,0.33,11.0,16.0,0.688,8.0,25.0,33.0,2.0,1.0,7.0,14.0,16.0,111.5,69.5,69.1,0.357,0.375,0.588,47.6,44.4,7.2,11.1,0.545,9.7,13.8,0.286,0.33,18.0,23.5,0.196
8.0,8.0,2023-12-02,@,Bradley,REG (Conf),W,85.0,77.0,,31.0,59.0,0.525,14.0,29.0,0.483,17.0,30.0,0.567,0.644,9.0,13.0,0.692,7.0,25.0,32.0,16.0,6.0,2.0,16.0,17.0,29.0,65.0,0.446,6.0,20.0,0.3,23.0,45.0,0.511,0.492,13.0,17.0,0.765,11.0,19.0,30.0,11.0,11.0,2.0,12.0,16.0,114.7,103.9,74.1,0.22,0.492,0.652,51.6,51.6,8.1,4.4,0.644,19.7,26.9,0.153,0.492,14.1,30.6,0.2
9.0,9.0,2023-12-05,@,Northern Illinois,REG (Non-Conf),W,90.0,67.0,,33.0,63.0,0.524,11.0,27.0,0.407,22.0,36.0,0.611,0.611,13.0,13.0,1.0,9.0,33.0,42.0,15.0,6.0,0.0,13.0,19.0,25.0,64.0,0.391,7.0,27.0,0.259,18.0,37.0,0.486,0.445,10.0,18.0,0.556,7.0,17.0,24.0,5.0,6.0,4.0,8.0,14.0,122.7,91.3,73.4,0.206,0.429,0.651,63.6,45.5,8.2,0.0,0.611,15.8,34.6,0.206,0.445,9.9,17.5,0.156
10.0,10.0,2023-12-09,,Southern Indiana,REG (Non-Conf),W,98.0,54.0,,35.0,71.0,0.493,14.0,36.0,0.389,21.0,35.0,0.6,0.592,14.0,16.0,0.875,11.0,35.0,46.0,27.0,6.0,2.0,10.0,14.0,21.0,58.0,0.362,4.0,19.0,0.211,17.0,39.0,0.436,0.397,8.0,12.0,0.667,3.0,24.0,27.0,6.0,7.0,5.0,15.0,17.0,127.9,70.5,76.7,0.225,0.507,0.623,63.0,77.1,7.8,5.1,0.592,11.3,31.4,0.197,0.397,19.1,7.9,0.138
11.0,11.0,2023-12-16,N,Ball State,REG (Non-Conf),W,83.0,72.0,,28.0,54.0,0.519,9.0,24.0,0.375,19.0,30.0,0.633,0.602,18.0,23.0,0.783,4.0,26.0,30.0,17.0,7.0,1.0,10.0,17.0,26.0,60.0,0.433,11.0,24.0,0.458,15.0,36.0,0.417,0.525,9.0,12.0,0.75,7.0,22.0,29.0,14.0,8.0,4.0,13.0,15.0,116.4,101.0,71.3,0.426,0.444,0.639,50.8,60.7,9.8,2.8,0.602,13.3,15.4,0.333,0.525,16.5,21.2,0.15
