Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Florida Gulf Coast,REG (Non-Conf),W,69.0,63.0,,23.0,45.0,0.511,4.0,13.0,0.308,19.0,32.0,0.594,0.556,19.0,30.0,0.633,6.0,25.0,31.0,11.0,6.0,5.0,11.0,9.0,24.0,62.0,0.387,13.0,34.0,0.382,11.0,28.0,0.393,0.492,2.0,6.0,0.333,8.0,18.0,26.0,13.0,8.0,3.0,13.0,25.0,102.9,94.0,67.1,0.667,0.289,0.582,54.4,47.8,8.9,17.9,0.556,15.7,25.0,0.422,0.492,16.7,24.2,0.032
2.0,2.0,2023-11-12,,Army,REG (Non-Conf),W,72.0,64.0,,25.0,43.0,0.581,4.0,11.0,0.364,21.0,32.0,0.656,0.628,18.0,22.0,0.818,5.0,20.0,25.0,16.0,5.0,5.0,17.0,14.0,24.0,61.0,0.393,13.0,38.0,0.342,11.0,23.0,0.478,0.5,3.0,9.0,0.333,7.0,15.0,22.0,16.0,12.0,0.0,8.0,22.0,109.3,97.2,65.9,0.512,0.256,0.674,53.2,64.0,7.6,21.7,0.628,24.1,25.0,0.419,0.5,10.9,25.9,0.049
3.0,3.0,2023-11-16,,Wright State,REG (Non-Conf),W,89.0,80.0,,33.0,61.0,0.541,3.0,16.0,0.188,30.0,45.0,0.667,0.566,20.0,32.0,0.625,7.0,29.0,36.0,20.0,3.0,6.0,8.0,19.0,28.0,68.0,0.412,11.0,26.0,0.423,17.0,42.0,0.405,0.493,13.0,17.0,0.765,13.0,24.0,37.0,15.0,2.0,1.0,12.0,25.0,116.9,105.1,76.1,0.525,0.262,0.584,49.3,60.6,3.9,14.3,0.566,9.5,22.6,0.328,0.493,13.6,31.0,0.191
4.0,4.0,2023-11-19,N,Connecticut,REG (Non-Conf),L,57.0,77.0,,17.0,45.0,0.378,3.0,13.0,0.231,14.0,32.0,0.438,0.411,20.0,28.0,0.714,2.0,15.0,17.0,6.0,7.0,3.0,12.0,21.0,25.0,56.0,0.446,7.0,22.0,0.318,18.0,34.0,0.529,0.509,20.0,25.0,0.8,15.0,28.0,43.0,19.0,8.0,4.0,13.0,21.0,85.0,114.8,67.1,0.622,0.289,0.489,28.3,35.3,10.4,8.8,0.411,17.1,6.7,0.444,0.509,16.1,50.0,0.357
5.0,5.0,2023-11-20,N,Louisville,REG (Non-Conf),W,74.0,66.0,,24.0,53.0,0.453,1.0,11.0,0.091,23.0,42.0,0.548,0.462,25.0,34.0,0.735,7.0,31.0,38.0,18.0,8.0,7.0,11.0,18.0,20.0,56.0,0.357,5.0,19.0,0.263,15.0,37.0,0.405,0.402,21.0,29.0,0.724,5.0,25.0,30.0,9.0,6.0,2.0,11.0,23.0,99.4,88.6,74.5,0.642,0.208,0.535,55.9,75.0,10.7,18.9,0.462,13.7,21.9,0.472,0.402,13.6,13.9,0.375
6.0,6.0,2023-11-26,,Harvard,REG (Non-Conf),W,89.0,76.0,,36.0,63.0,0.571,4.0,15.0,0.267,32.0,48.0,0.667,0.603,13.0,17.0,0.765,11.0,23.0,34.0,20.0,8.0,4.0,12.0,13.0,26.0,60.0,0.433,9.0,26.0,0.346,17.0,34.0,0.5,0.508,15.0,18.0,0.833,8.0,16.0,24.0,13.0,6.0,1.0,13.0,16.0,122.2,104.4,72.8,0.27,0.238,0.626,58.6,55.6,11.0,11.8,0.603,14.4,40.7,0.206,0.508,15.9,25.8,0.25
7.0,7.0,2023-12-01,,Maryland,REG (Conf),W,65.0,53.0,,26.0,57.0,0.456,3.0,9.0,0.333,23.0,48.0,0.479,0.482,10.0,18.0,0.556,13.0,29.0,42.0,17.0,7.0,4.0,13.0,17.0,20.0,56.0,0.357,2.0,16.0,0.125,18.0,40.0,0.45,0.375,11.0,17.0,0.647,10.0,19.0,29.0,8.0,9.0,7.0,12.0,21.0,98.8,80.5,65.8,0.316,0.158,0.496,59.2,65.4,10.6,10.0,0.482,16.5,40.6,0.175,0.375,15.8,25.6,0.196
8.0,8.0,2023-12-05,@,Michigan,REG (Conf),W,78.0,75.0,,30.0,58.0,0.517,3.0,9.0,0.333,27.0,49.0,0.551,0.543,15.0,21.0,0.714,8.0,20.0,28.0,7.0,8.0,4.0,13.0,19.0,26.0,55.0,0.473,4.0,17.0,0.235,22.0,38.0,0.579,0.509,19.0,24.0,0.792,5.0,21.0,26.0,8.0,4.0,2.0,14.0,21.0,105.1,101.1,74.2,0.362,0.155,0.574,51.9,23.3,10.8,10.5,0.543,16.1,27.6,0.259,0.509,17.4,20.0,0.345
9.0,9.0,2023-12-09,N,Auburn,REG (Non-Conf),L,76.0,104.0,,24.0,56.0,0.429,6.0,17.0,0.353,18.0,39.0,0.462,0.482,22.0,29.0,0.759,7.0,25.0,32.0,14.0,2.0,4.0,11.0,22.0,35.0,72.0,0.486,14.0,29.0,0.483,21.0,43.0,0.488,0.583,20.0,23.0,0.87,9.0,27.0,36.0,25.0,8.0,3.0,2.0,21.0,101.5,138.9,74.9,0.518,0.304,0.545,47.1,58.3,2.7,9.3,0.482,13.6,20.6,0.393,0.583,2.4,26.5,0.278
10.0,10.0,2023-12-16,,Kansas,REG (Non-Conf),L,71.0,75.0,,25.0,59.0,0.424,6.0,16.0,0.375,19.0,43.0,0.442,0.475,15.0,22.0,0.682,6.0,27.0,33.0,10.0,6.0,2.0,14.0,21.0,26.0,61.0,0.426,6.0,18.0,0.333,20.0,43.0,0.465,0.475,17.0,24.0,0.708,7.0,24.0,31.0,18.0,9.0,4.0,11.0,15.0,92.3,97.5,76.9,0.373,0.271,0.511,51.6,40.0,7.8,4.7,0.475,16.8,20.0,0.254,0.475,13.2,20.6,0.279
