Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,College of Charleston,REG (Non-Conf),L,69.0,71.0,,29.0,70.0,0.414,5.0,20.0,0.25,24.0,50.0,0.48,0.45,6.0,8.0,0.75,11.0,25.0,36.0,7.0,10.0,6.0,11.0,19.0,25.0,59.0,0.424,5.0,28.0,0.179,20.0,31.0,0.645,0.466,16.0,20.0,0.8,8.0,29.0,37.0,11.0,7.0,6.0,13.0,12.0,93.7,96.4,73.7,0.114,0.286,0.467,49.3,24.1,13.6,19.4,0.45,13.0,27.5,0.086,0.466,16.0,24.2,0.271
2.0,2.0,2023-11-10,,Sacred Heart,REG (Non-Conf),W,88.0,81.0,,31.0,64.0,0.484,14.0,28.0,0.5,17.0,36.0,0.472,0.594,12.0,24.0,0.5,13.0,21.0,34.0,15.0,10.0,4.0,9.0,16.0,31.0,61.0,0.508,9.0,18.0,0.5,22.0,43.0,0.512,0.582,10.0,17.0,0.588,9.0,23.0,32.0,16.0,6.0,6.0,14.0,20.0,121.0,111.4,72.7,0.375,0.438,0.584,51.5,48.4,13.7,9.3,0.594,10.7,36.1,0.188,0.582,16.9,30.0,0.164
3.0,3.0,2023-11-20,N,High Point,REG (Non-Conf),L,68.0,82.0,,22.0,58.0,0.379,9.0,26.0,0.346,13.0,32.0,0.406,0.457,15.0,21.0,0.714,4.0,16.0,20.0,13.0,5.0,3.0,8.0,23.0,22.0,49.0,0.449,12.0,28.0,0.429,10.0,21.0,0.476,0.571,26.0,30.0,0.867,5.0,28.0,33.0,9.0,4.0,5.0,11.0,18.0,96.3,116.1,70.6,0.362,0.448,0.5,37.7,59.1,7.1,14.3,0.457,10.5,12.5,0.259,0.571,14.8,23.8,0.531
4.0,4.0,2023-11-21,N,Long Beach State,REG (Non-Conf),L,76.0,80.0,,28.0,65.0,0.431,7.0,29.0,0.241,21.0,36.0,0.583,0.485,13.0,18.0,0.722,11.0,24.0,35.0,15.0,9.0,1.0,17.0,23.0,27.0,57.0,0.474,7.0,18.0,0.389,20.0,39.0,0.513,0.535,19.0,30.0,0.633,6.0,27.0,33.0,15.0,14.0,5.0,15.0,19.0,95.1,100.1,79.9,0.277,0.446,0.517,51.5,53.6,11.3,2.6,0.485,18.8,28.9,0.2,0.535,17.4,20.0,0.333
5.0,5.0,2023-11-22,N,Buffalo,REG (Non-Conf),W,89.0,64.0,,34.0,65.0,0.523,13.0,23.0,0.565,21.0,42.0,0.5,0.623,8.0,11.0,0.727,5.0,15.0,20.0,23.0,13.0,1.0,6.0,15.0,21.0,50.0,0.42,6.0,23.0,0.261,15.0,27.0,0.556,0.48,16.0,20.0,0.8,11.0,20.0,31.0,8.0,3.0,8.0,20.0,8.0,127.4,91.6,69.9,0.169,0.354,0.634,39.2,67.6,18.6,3.7,0.623,7.9,20.0,0.123,0.48,25.2,42.3,0.32
6.0,6.0,2023-11-26,@,Colorado,REG (Non-Conf),L,68.0,85.0,,24.0,57.0,0.421,8.0,24.0,0.333,16.0,33.0,0.485,0.491,12.0,17.0,0.706,5.0,16.0,21.0,6.0,7.0,0.0,14.0,22.0,31.0,51.0,0.608,6.0,17.0,0.353,25.0,34.0,0.735,0.667,17.0,23.0,0.739,5.0,28.0,33.0,17.0,5.0,0.0,13.0,15.0,94.4,118.1,72.0,0.298,0.421,0.522,38.9,25.0,9.7,0.0,0.491,17.7,15.2,0.211,0.667,17.4,23.8,0.333
7.0,7.0,2023-11-29,,Marist,REG (Conf),L,64.0,68.0,,19.0,46.0,0.413,2.0,14.0,0.143,17.0,32.0,0.531,0.435,24.0,41.0,0.585,10.0,22.0,32.0,9.0,13.0,4.0,16.0,29.0,18.0,44.0,0.409,4.0,15.0,0.267,14.0,29.0,0.483,0.455,28.0,42.0,0.667,10.0,20.0,30.0,13.0,8.0,3.0,17.0,26.0,89.9,95.5,71.2,0.891,0.304,0.489,51.6,47.4,18.3,13.8,0.435,19.6,33.3,0.522,0.455,21.0,31.3,0.636
8.0,8.0,2023-12-01,@,Fairfield,REG (Conf),W,78.0,67.0,,27.0,54.0,0.5,10.0,18.0,0.556,17.0,36.0,0.472,0.593,14.0,20.0,0.7,12.0,23.0,35.0,17.0,8.0,0.0,14.0,17.0,26.0,60.0,0.433,8.0,26.0,0.308,18.0,34.0,0.529,0.5,7.0,14.0,0.5,12.0,14.0,26.0,12.0,6.0,1.0,17.0,19.0,113.7,97.7,68.6,0.37,0.333,0.614,57.4,63.0,11.7,0.0,0.593,18.1,46.2,0.259,0.5,20.3,34.3,0.117
9.0,9.0,2023-12-06,,Hofstra,REG (Non-Conf),L,57.0,62.0,,20.0,57.0,0.351,10.0,28.0,0.357,10.0,29.0,0.345,0.439,7.0,10.0,0.7,12.0,22.0,34.0,15.0,8.0,4.0,13.0,16.0,22.0,54.0,0.407,11.0,29.0,0.379,11.0,25.0,0.44,0.509,7.0,11.0,0.636,9.0,24.0,33.0,16.0,7.0,7.0,12.0,10.0,91.2,99.2,62.5,0.175,0.491,0.462,50.7,75.0,12.8,16.0,0.439,17.4,33.3,0.123,0.509,16.8,29.0,0.13
10.0,10.0,2023-12-10,,Saint Francis (PA),REG (Non-Conf),W,61.0,54.0,,19.0,55.0,0.345,5.0,20.0,0.25,14.0,35.0,0.4,0.391,18.0,25.0,0.72,7.0,26.0,33.0,14.0,9.0,6.0,9.0,20.0,17.0,55.0,0.309,4.0,23.0,0.174,13.0,32.0,0.406,0.345,16.0,24.0,0.667,12.0,28.0,40.0,12.0,8.0,8.0,14.0,18.0,88.9,78.7,68.6,0.455,0.364,0.456,45.2,73.7,13.1,18.8,0.391,11.9,20.0,0.327,0.345,17.4,31.6,0.291
11.0,11.0,2023-12-16,N,Saint Joseph's,REG (Non-Conf),L,58.0,83.0,,18.0,65.0,0.277,7.0,30.0,0.233,11.0,35.0,0.314,0.331,15.0,23.0,0.652,16.0,17.0,33.0,13.0,13.0,1.0,8.0,17.0,26.0,50.0,0.52,15.0,30.0,0.5,11.0,20.0,0.55,0.67,16.0,24.0,0.667,8.0,30.0,38.0,15.0,5.0,3.0,16.0,18.0,84.5,120.9,68.7,0.354,0.462,0.382,46.5,72.2,18.9,5.0,0.331,9.5,34.8,0.231,0.67,20.7,32.0,0.32
12.0,12.0,2023-12-21,,Colgate,REG (Non-Conf),W,85.0,65.0,,31.0,57.0,0.544,11.0,23.0,0.478,20.0,34.0,0.588,0.64,12.0,15.0,0.8,9.0,26.0,35.0,20.0,5.0,3.0,10.0,18.0,23.0,51.0,0.451,7.0,20.0,0.35,16.0,31.0,0.516,0.52,12.0,22.0,0.545,6.0,15.0,21.0,16.0,4.0,2.0,11.0,13.0,129.2,98.8,65.8,0.263,0.404,0.663,62.5,64.5,7.6,9.7,0.64,13.5,37.5,0.211,0.52,15.2,18.8,0.235
13.0,13.0,2023-12-30,@,Harvard,REG (Non-Conf),W,69.0,60.0,,27.0,61.0,0.443,6.0,19.0,0.316,21.0,42.0,0.5,0.492,9.0,19.0,0.474,9.0,24.0,33.0,9.0,8.0,5.0,6.0,17.0,18.0,49.0,0.367,5.0,21.0,0.238,13.0,28.0,0.464,0.418,19.0,25.0,0.76,8.0,28.0,36.0,12.0,4.0,4.0,15.0,18.0,102.3,89.0,67.5,0.311,0.311,0.493,47.8,33.3,11.9,17.9,0.492,7.9,24.3,0.148,0.418,19.8,25.0,0.388
14.0,14.0,2024-01-05,@,Saint Peter's,REG (Conf),L,57.0,69.0,,19.0,57.0,0.333,8.0,29.0,0.276,11.0,28.0,0.393,0.404,11.0,14.0,0.786,4.0,19.0,23.0,15.0,12.0,6.0,7.0,24.0,19.0,47.0,0.404,9.0,17.0,0.529,10.0,30.0,0.333,0.5,22.0,25.0,0.88,6.0,27.0,33.0,13.0,3.0,2.0,16.0,13.0,84.1,101.8,67.8,0.246,0.509,0.448,41.1,78.9,17.7,20.0,0.404,9.9,12.9,0.193,0.5,21.4,24.0,0.468
15.0,15.0,2024-01-07,,Niagara,REG (Conf),L,73.0,75.0,,31.0,62.0,0.5,5.0,19.0,0.263,26.0,43.0,0.605,0.54,6.0,14.0,0.429,5.0,17.0,22.0,13.0,17.0,2.0,5.0,16.0,24.0,49.0,0.49,8.0,17.0,0.471,16.0,32.0,0.5,0.571,19.0,24.0,0.792,10.0,27.0,37.0,9.0,3.0,0.0,18.0,13.0,106.5,109.4,68.5,0.226,0.306,0.532,37.3,41.9,24.8,6.3,0.54,6.8,15.6,0.097,0.571,23.0,37.0,0.388
16.0,16.0,2024-01-14,,Mount St. Mary's,REG (Conf),W,87.0,70.0,,34.0,65.0,0.523,8.0,17.0,0.471,26.0,48.0,0.542,0.585,11.0,18.0,0.611,13.0,23.0,36.0,17.0,10.0,5.0,5.0,15.0,25.0,56.0,0.446,8.0,22.0,0.364,17.0,34.0,0.5,0.518,12.0,14.0,0.857,8.0,18.0,26.0,16.0,3.0,4.0,11.0,14.0,132.6,106.7,65.6,0.277,0.262,0.591,58.1,50.0,15.2,14.7,0.585,6.4,41.9,0.169,0.518,14.9,25.8,0.214
17.0,17.0,2024-01-19,,Canisius,REG (Conf),W,70.0,58.0,,25.0,61.0,0.41,10.0,27.0,0.37,15.0,34.0,0.441,0.492,10.0,15.0,0.667,10.0,19.0,29.0,17.0,8.0,4.0,7.0,15.0,23.0,48.0,0.479,3.0,17.0,0.176,20.0,31.0,0.645,0.51,9.0,15.0,0.6,6.0,29.0,35.0,12.0,4.0,2.0,15.0,12.0,108.3,89.7,64.6,0.246,0.443,0.514,45.3,68.0,12.4,12.9,0.492,9.3,25.6,0.164,0.51,21.4,24.0,0.188
18.0,18.0,2024-01-21,@,Quinnipiac,REG (Conf),L,87.0,91.0,,31.0,63.0,0.492,14.0,30.0,0.467,17.0,33.0,0.515,0.603,11.0,13.0,0.846,10.0,12.0,22.0,16.0,6.0,3.0,13.0,18.0,33.0,56.0,0.589,5.0,16.0,0.313,28.0,40.0,0.7,0.634,20.0,22.0,0.909,8.0,19.0,27.0,15.0,8.0,3.0,14.0,14.0,120.3,125.8,72.3,0.206,0.476,0.629,44.9,51.6,8.3,7.5,0.603,15.8,34.5,0.175,0.634,17.4,40.0,0.357
19.0,19.0,2024-01-26,@,Siena,REG (Conf),W,70.0,51.0,,30.0,69.0,0.435,5.0,22.0,0.227,25.0,47.0,0.532,0.471,5.0,7.0,0.714,14.0,21.0,35.0,20.0,8.0,2.0,5.0,17.0,18.0,48.0,0.375,6.0,27.0,0.222,12.0,21.0,0.571,0.438,9.0,14.0,0.643,7.0,26.0,33.0,8.0,3.0,6.0,19.0,8.0,107.7,78.5,65.0,0.101,0.319,0.484,51.5,66.7,12.3,9.5,0.471,6.5,35.0,0.072,0.438,25.8,25.0,0.188
20.0,20.0,2024-02-02,,Fairfield,REG (Conf),W,91.0,82.0,,31.0,62.0,0.5,8.0,24.0,0.333,23.0,38.0,0.605,0.565,21.0,33.0,0.636,16.0,20.0,36.0,13.0,9.0,4.0,9.0,17.0,29.0,65.0,0.446,12.0,36.0,0.333,17.0,29.0,0.586,0.538,12.0,15.0,0.8,16.0,15.0,31.0,16.0,5.0,1.0,13.0,21.0,130.2,117.3,69.9,0.532,0.387,0.586,53.7,41.9,12.9,13.8,0.565,10.4,51.6,0.339,0.538,15.3,44.4,0.185
21.0,21.0,2024-02-04,,Rider,REG (Conf),W,94.0,93.0,,29.0,65.0,0.446,10.0,27.0,0.37,19.0,38.0,0.5,0.523,26.0,38.0,0.684,8.0,18.0,26.0,25.0,11.0,4.0,3.0,25.0,28.0,61.0,0.459,10.0,24.0,0.417,18.0,37.0,0.486,0.541,27.0,29.0,0.931,13.0,32.0,45.0,19.0,2.0,5.0,13.0,25.0,123.0,121.7,76.4,0.585,0.415,0.566,36.6,86.2,14.4,10.8,0.523,3.5,20.0,0.4,0.541,14.8,41.9,0.443
