Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Green Bay,REG (Non-Conf),W,85.0,44.0,,31.0,66.0,0.47,8.0,18.0,0.444,23.0,48.0,0.479,0.53,15.0,22.0,0.682,15.0,28.0,43.0,16.0,10.0,2.0,3.0,15.0,13.0,46.0,0.283,8.0,33.0,0.242,5.0,13.0,0.385,0.37,10.0,14.0,0.714,4.0,20.0,24.0,7.0,2.0,5.0,15.0,18.0,132.7,68.7,64.1,0.333,0.273,0.556,64.2,51.6,15.6,15.4,0.53,3.8,42.9,0.227,0.37,22.2,12.5,0.217
2.0,2.0,2023-11-09,,Lindenwood,REG (Non-Conf),W,102.0,47.0,,39.0,66.0,0.591,7.0,20.0,0.35,32.0,46.0,0.696,0.644,17.0,21.0,0.81,9.0,28.0,37.0,25.0,19.0,5.0,8.0,19.0,13.0,46.0,0.283,7.0,24.0,0.292,6.0,22.0,0.273,0.359,14.0,20.0,0.7,3.0,20.0,23.0,7.0,5.0,1.0,21.0,19.0,137.4,63.3,74.2,0.318,0.303,0.671,61.7,64.1,25.6,22.7,0.644,9.5,31.0,0.258,0.359,27.5,9.7,0.304
3.0,3.0,2023-11-12,,Idaho State,REG (Non-Conf),W,86.0,55.0,,31.0,65.0,0.477,4.0,13.0,0.308,27.0,52.0,0.519,0.508,20.0,30.0,0.667,14.0,21.0,35.0,15.0,17.0,5.0,9.0,23.0,18.0,43.0,0.419,8.0,19.0,0.421,10.0,24.0,0.417,0.512,11.0,22.0,0.5,7.0,21.0,28.0,11.0,6.0,4.0,24.0,23.0,118.9,76.0,72.4,0.462,0.2,0.543,55.6,48.4,23.5,20.8,0.508,10.2,40.0,0.308,0.512,31.0,25.0,0.256
4.0,4.0,2023-11-19,,Grambling State,REG (Non-Conf),W,92.0,37.0,,32.0,51.0,0.627,7.0,15.0,0.467,25.0,36.0,0.694,0.696,21.0,27.0,0.778,8.0,25.0,33.0,20.0,14.0,4.0,13.0,8.0,14.0,49.0,0.286,3.0,12.0,0.25,11.0,37.0,0.297,0.316,6.0,7.0,0.857,6.0,10.0,16.0,5.0,7.0,2.0,20.0,21.0,136.1,54.8,67.6,0.529,0.294,0.721,67.3,62.5,20.7,10.8,0.696,16.9,44.4,0.412,0.316,27.7,19.4,0.122
5.0,5.0,2023-11-23,N,VCU,REG (Non-Conf),W,68.0,64.0,,24.0,59.0,0.407,2.0,13.0,0.154,22.0,46.0,0.478,0.424,18.0,30.0,0.6,13.0,18.0,31.0,11.0,7.0,1.0,7.0,14.0,20.0,44.0,0.455,10.0,23.0,0.435,10.0,21.0,0.476,0.568,14.0,18.0,0.778,3.0,17.0,20.0,11.0,3.0,5.0,16.0,22.0,102.4,96.4,66.4,0.508,0.22,0.464,60.8,45.8,10.5,4.8,0.424,8.7,43.3,0.305,0.568,23.3,14.3,0.318
6.0,6.0,2023-11-24,N,Virginia Tech,REG (Non-Conf),L,62.0,71.0,,21.0,50.0,0.42,5.0,21.0,0.238,16.0,29.0,0.552,0.47,15.0,26.0,0.577,8.0,21.0,29.0,12.0,9.0,1.0,13.0,19.0,20.0,49.0,0.408,11.0,28.0,0.393,9.0,21.0,0.429,0.52,20.0,23.0,0.87,8.0,23.0,31.0,16.0,7.0,1.0,15.0,18.0,92.3,105.8,67.1,0.52,0.42,0.497,48.3,57.1,13.4,4.8,0.47,17.3,25.8,0.3,0.52,20.0,27.6,0.408
7.0,7.0,2023-11-26,N,Texas A&M,REG (Non-Conf),L,69.0,73.0,,21.0,61.0,0.344,9.0,34.0,0.265,12.0,27.0,0.444,0.418,18.0,27.0,0.667,13.0,25.0,38.0,14.0,9.0,2.0,16.0,20.0,26.0,64.0,0.406,6.0,24.0,0.25,20.0,40.0,0.5,0.453,15.0,25.0,0.6,14.0,27.0,41.0,10.0,11.0,3.0,13.0,21.0,91.0,96.2,75.9,0.443,0.557,0.467,48.1,66.7,11.9,5.0,0.418,17.8,32.5,0.295,0.453,14.6,35.9,0.234
8.0,8.0,2023-12-01,@,DePaul,REG (Non-Conf),W,99.0,80.0,,39.0,69.0,0.565,7.0,17.0,0.412,32.0,52.0,0.615,0.616,14.0,21.0,0.667,8.0,23.0,31.0,29.0,9.0,2.0,9.0,16.0,25.0,56.0,0.446,9.0,19.0,0.474,16.0,37.0,0.432,0.527,21.0,24.0,0.875,7.0,20.0,27.0,14.0,8.0,3.0,17.0,16.0,125.8,101.7,78.7,0.304,0.246,0.627,53.4,74.4,11.4,5.4,0.616,10.2,28.6,0.203,0.527,20.1,23.3,0.375
9.0,9.0,2023-12-07,,Iowa,REG (Non-Conf),W,90.0,65.0,,32.0,60.0,0.533,8.0,17.0,0.471,24.0,43.0,0.558,0.6,18.0,26.0,0.692,10.0,26.0,36.0,19.0,12.0,6.0,12.0,13.0,22.0,57.0,0.386,8.0,26.0,0.308,14.0,31.0,0.452,0.456,13.0,16.0,0.813,8.0,20.0,28.0,14.0,9.0,3.0,19.0,21.0,120.0,86.7,75.0,0.433,0.283,0.622,56.3,59.4,16.0,19.4,0.6,14.2,33.3,0.3,0.456,22.7,23.5,0.228
10.0,10.0,2023-12-10,,Prairie View A&M,REG (Non-Conf),W,107.0,56.0,,31.0,51.0,0.608,9.0,15.0,0.6,22.0,36.0,0.611,0.696,36.0,48.0,0.75,12.0,27.0,39.0,19.0,16.0,5.0,25.0,17.0,19.0,57.0,0.333,7.0,19.0,0.368,12.0,38.0,0.316,0.395,11.0,13.0,0.846,10.0,11.0,21.0,11.0,14.0,3.0,29.0,30.0,126.6,66.3,84.5,0.941,0.294,0.725,65.0,61.3,18.9,13.2,0.696,25.3,52.2,0.706,0.395,31.5,27.0,0.193
