Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,North Dakota,REG (Non-Conf),W,110.0,68.0,,40.0,75.0,0.533,12.0,24.0,0.5,28.0,51.0,0.549,0.613,18.0,20.0,0.9,9.0,33.0,42.0,23.0,12.0,2.0,7.0,18.0,27.0,67.0,0.403,4.0,25.0,0.16,23.0,42.0,0.548,0.433,10.0,17.0,0.588,11.0,26.0,37.0,9.0,5.0,3.0,18.0,19.0,133.7,82.6,82.3,0.267,0.32,0.651,53.2,57.5,14.6,4.8,0.613,7.7,25.7,0.24,0.433,19.3,25.0,0.149
2.0,2.0,2023-11-10,,Alabama State,REG (Non-Conf),W,98.0,67.0,,33.0,72.0,0.458,9.0,29.0,0.31,24.0,43.0,0.558,0.521,23.0,35.0,0.657,17.0,27.0,44.0,27.0,6.0,3.0,6.0,15.0,23.0,65.0,0.354,6.0,22.0,0.273,17.0,43.0,0.395,0.4,15.0,20.0,0.75,12.0,27.0,39.0,7.0,5.0,3.0,15.0,29.0,126.3,86.4,77.6,0.486,0.403,0.553,53.0,81.8,7.7,7.0,0.521,6.3,38.6,0.319,0.4,16.8,30.8,0.231
3.0,3.0,2023-11-14,@,Creighton,REG (Non-Conf),L,84.0,92.0,,34.0,68.0,0.5,6.0,14.0,0.429,28.0,54.0,0.519,0.544,10.0,14.0,0.714,6.0,21.0,27.0,20.0,7.0,6.0,7.0,18.0,32.0,62.0,0.516,10.0,29.0,0.345,22.0,33.0,0.667,0.597,18.0,24.0,0.75,8.0,29.0,37.0,19.0,2.0,3.0,11.0,14.0,110.5,121.0,76.0,0.206,0.206,0.563,42.2,58.8,9.2,18.2,0.544,8.6,17.1,0.147,0.597,13.0,27.6,0.29
4.0,4.0,2023-11-17,,Arkansas State,REG (Non-Conf),W,88.0,74.0,,27.0,58.0,0.466,2.0,12.0,0.167,25.0,46.0,0.543,0.483,32.0,46.0,0.696,10.0,28.0,38.0,14.0,11.0,8.0,7.0,17.0,28.0,68.0,0.412,10.0,24.0,0.417,18.0,44.0,0.409,0.485,8.0,17.0,0.471,15.0,27.0,42.0,16.0,5.0,4.0,18.0,30.0,112.9,94.9,78.0,0.793,0.207,0.551,47.5,51.9,14.1,18.2,0.483,8.1,27.0,0.552,0.485,19.1,34.9,0.118
5.0,5.0,2023-11-23,N,Oklahoma,REG (Non-Conf),L,67.0,79.0,,24.0,67.0,0.358,4.0,23.0,0.174,20.0,44.0,0.455,0.388,15.0,18.0,0.833,15.0,22.0,37.0,10.0,4.0,4.0,13.0,15.0,31.0,64.0,0.484,4.0,20.0,0.2,27.0,44.0,0.614,0.516,13.0,15.0,0.867,6.0,22.0,28.0,15.0,8.0,4.0,8.0,15.0,91.4,107.7,73.3,0.269,0.343,0.443,56.9,41.7,5.5,9.1,0.388,14.7,40.5,0.224,0.516,10.1,21.4,0.203
6.0,6.0,2023-11-24,N,Seton Hall,REG (Non-Conf),W,85.0,72.0,,31.0,55.0,0.564,7.0,19.0,0.368,24.0,36.0,0.667,0.627,16.0,19.0,0.842,2.0,30.0,32.0,20.0,4.0,2.0,10.0,13.0,27.0,75.0,0.36,8.0,27.0,0.296,19.0,48.0,0.396,0.413,10.0,12.0,0.833,15.0,20.0,35.0,14.0,8.0,1.0,6.0,18.0,118.3,100.2,71.9,0.345,0.345,0.664,47.8,64.5,5.6,4.2,0.627,13.5,9.1,0.291,0.413,6.9,33.3,0.133
7.0,7.0,2023-11-29,,North Florida,REG (Non-Conf),W,103.0,78.0,,36.0,61.0,0.59,8.0,14.0,0.571,28.0,47.0,0.596,0.656,23.0,26.0,0.885,6.0,26.0,32.0,17.0,9.0,6.0,10.0,11.0,30.0,66.0,0.455,12.0,31.0,0.387,18.0,35.0,0.514,0.545,6.0,9.0,0.667,9.0,20.0,29.0,6.0,7.0,0.0,15.0,19.0,134.1,101.5,76.8,0.426,0.23,0.702,52.5,47.2,11.7,17.1,0.656,12.0,23.1,0.377,0.545,17.6,25.7,0.091
8.0,8.0,2023-12-04,@,Purdue,REG (Conf),L,68.0,87.0,,25.0,65.0,0.385,6.0,18.0,0.333,19.0,47.0,0.404,0.431,12.0,17.0,0.706,14.0,17.0,31.0,17.0,5.0,3.0,8.0,15.0,34.0,65.0,0.523,8.0,25.0,0.32,26.0,40.0,0.65,0.585,11.0,16.0,0.688,15.0,24.0,39.0,24.0,3.0,5.0,7.0,13.0,103.3,132.1,65.8,0.262,0.277,0.465,44.3,68.0,7.6,7.5,0.431,9.9,36.8,0.185,0.585,8.8,46.9,0.169
9.0,9.0,2023-12-07,@,Iowa State,REG (Non-Conf),L,65.0,90.0,,22.0,57.0,0.386,8.0,26.0,0.308,14.0,31.0,0.452,0.456,13.0,16.0,0.813,8.0,20.0,28.0,14.0,9.0,3.0,19.0,21.0,32.0,60.0,0.533,8.0,17.0,0.471,24.0,43.0,0.558,0.6,18.0,26.0,0.692,10.0,26.0,36.0,19.0,12.0,6.0,12.0,13.0,86.7,120.0,75.0,0.281,0.456,0.503,43.8,63.6,12.0,7.0,0.456,22.7,23.5,0.228,0.6,14.2,33.3,0.3
10.0,10.0,2023-12-10,,Michigan,REG (Conf),L,80.0,90.0,,28.0,64.0,0.438,5.0,20.0,0.25,23.0,44.0,0.523,0.477,19.0,25.0,0.76,7.0,20.0,27.0,16.0,9.0,3.0,9.0,15.0,29.0,60.0,0.483,9.0,24.0,0.375,20.0,36.0,0.556,0.558,23.0,28.0,0.821,11.0,26.0,37.0,17.0,5.0,6.0,12.0,16.0,105.1,118.3,76.1,0.391,0.313,0.527,42.2,57.1,11.8,8.3,0.477,10.6,21.2,0.297,0.558,14.1,35.5,0.383
