Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Memphis,REG (Non-Conf),L,77.0,94.0,,29.0,63.0,0.46,10.0,30.0,0.333,19.0,33.0,0.576,0.54,9.0,12.0,0.75,6.0,24.0,30.0,13.0,7.0,6.0,23.0,19.0,34.0,67.0,0.507,11.0,28.0,0.393,23.0,39.0,0.59,0.59,15.0,23.0,0.652,9.0,22.0,31.0,21.0,15.0,4.0,16.0,14.0,90.3,110.2,85.3,0.19,0.476,0.56,49.2,44.8,8.2,15.4,0.54,25.1,21.4,0.143,0.59,17.0,27.3,0.224
2.0,2.0,2023-11-08,@,San Diego,REG (Non-Conf),L,61.0,87.0,,22.0,57.0,0.386,7.0,21.0,0.333,15.0,36.0,0.417,0.447,10.0,25.0,0.4,12.0,22.0,34.0,14.0,5.0,2.0,15.0,23.0,24.0,59.0,0.407,11.0,29.0,0.379,13.0,30.0,0.433,0.5,28.0,34.0,0.824,11.0,33.0,44.0,17.0,5.0,3.0,11.0,22.0,83.0,118.3,73.5,0.439,0.368,0.443,43.6,63.6,6.8,6.7,0.447,17.9,26.7,0.175,0.5,12.8,33.3,0.475
3.0,3.0,2023-11-10,@,California Baptist,REG (Non-Conf),L,66.0,80.0,,23.0,57.0,0.404,5.0,11.0,0.455,18.0,46.0,0.391,0.447,15.0,18.0,0.833,8.0,19.0,27.0,10.0,6.0,1.0,8.0,20.0,26.0,54.0,0.481,9.0,26.0,0.346,17.0,28.0,0.607,0.565,19.0,26.0,0.731,8.0,22.0,30.0,13.0,6.0,5.0,11.0,16.0,97.9,118.6,67.5,0.316,0.193,0.503,47.4,43.5,8.9,3.6,0.447,10.9,26.7,0.263,0.565,14.2,29.6,0.352
4.0,4.0,2023-11-14,@,Loyola Marymount,REG (Non-Conf),L,66.0,88.0,,23.0,60.0,0.383,5.0,18.0,0.278,18.0,42.0,0.429,0.425,15.0,20.0,0.75,6.0,22.0,28.0,13.0,7.0,2.0,12.0,20.0,29.0,59.0,0.492,15.0,33.0,0.455,14.0,26.0,0.538,0.619,15.0,24.0,0.625,12.0,34.0,46.0,21.0,9.0,3.0,13.0,19.0,89.9,119.8,73.5,0.333,0.3,0.475,37.8,56.5,9.5,7.7,0.425,14.7,15.0,0.25,0.619,15.6,35.3,0.254
5.0,5.0,2023-11-16,@,Tulsa,REG (Non-Conf),L,52.0,72.0,,19.0,54.0,0.352,3.0,20.0,0.15,16.0,34.0,0.471,0.38,11.0,21.0,0.524,9.0,25.0,34.0,9.0,7.0,6.0,19.0,21.0,24.0,62.0,0.387,5.0,24.0,0.208,19.0,38.0,0.5,0.427,19.0,23.0,0.826,9.0,30.0,39.0,11.0,13.0,4.0,16.0,18.0,67.6,93.6,77.0,0.389,0.37,0.406,46.6,47.4,9.1,15.8,0.38,22.9,23.1,0.204,0.427,18.0,26.5,0.306
6.0,6.0,2023-11-19,@,Missouri,REG (Non-Conf),W,73.0,72.0,,28.0,62.0,0.452,6.0,18.0,0.333,22.0,44.0,0.5,0.5,11.0,16.0,0.688,6.0,20.0,26.0,13.0,12.0,0.0,13.0,17.0,27.0,55.0,0.491,11.0,29.0,0.379,16.0,26.0,0.615,0.591,7.0,11.0,0.636,7.0,26.0,33.0,19.0,7.0,7.0,18.0,17.0,98.8,97.4,73.9,0.258,0.29,0.524,44.1,46.4,16.2,0.0,0.5,15.7,18.8,0.177,0.591,23.0,25.9,0.127
7.0,7.0,2023-11-25,@,Georgetown,REG (Non-Conf),L,81.0,88.0,,30.0,72.0,0.417,6.0,21.0,0.286,24.0,51.0,0.471,0.458,15.0,21.0,0.714,18.0,21.0,39.0,17.0,4.0,2.0,7.0,20.0,29.0,54.0,0.537,13.0,26.0,0.5,16.0,28.0,0.571,0.657,17.0,25.0,0.68,8.0,23.0,31.0,19.0,3.0,6.0,9.0,17.0,117.5,127.7,68.9,0.292,0.292,0.494,55.7,56.7,5.8,7.1,0.458,7.9,43.9,0.208,0.657,12.0,27.6,0.315
8.0,8.0,2023-11-28,@,Arkansas State,REG (Non-Conf),W,75.0,71.0,,24.0,57.0,0.421,4.0,15.0,0.267,20.0,42.0,0.476,0.456,23.0,29.0,0.793,13.0,28.0,41.0,12.0,8.0,6.0,13.0,20.0,21.0,54.0,0.389,14.0,34.0,0.412,7.0,20.0,0.35,0.519,15.0,25.0,0.6,8.0,20.0,28.0,14.0,5.0,2.0,12.0,23.0,106.6,101.0,70.3,0.509,0.263,0.53,59.4,50.0,11.4,30.0,0.456,15.5,39.4,0.404,0.519,15.4,22.2,0.278
9.0,9.0,2023-12-09,@,Houston,REG (Non-Conf),L,55.0,89.0,,17.0,40.0,0.425,6.0,20.0,0.3,11.0,20.0,0.55,0.5,15.0,27.0,0.556,7.0,17.0,24.0,10.0,6.0,5.0,23.0,22.0,28.0,66.0,0.424,11.0,30.0,0.367,17.0,36.0,0.472,0.508,22.0,31.0,0.71,21.0,20.0,41.0,16.0,18.0,3.0,12.0,20.0,78.3,126.6,70.3,0.675,0.5,0.521,36.9,58.8,8.5,13.9,0.5,30.3,25.9,0.375,0.508,12.9,55.3,0.333
10.0,10.0,2023-12-17,N,Howard,REG (Non-Conf),W,81.0,74.0,,27.0,61.0,0.443,9.0,22.0,0.409,18.0,39.0,0.462,0.516,18.0,28.0,0.643,13.0,22.0,35.0,13.0,13.0,5.0,15.0,15.0,29.0,53.0,0.547,10.0,23.0,0.435,19.0,30.0,0.633,0.642,6.0,11.0,0.545,4.0,20.0,24.0,22.0,9.0,2.0,21.0,23.0,106.9,97.7,75.8,0.459,0.361,0.545,59.3,48.1,17.2,16.7,0.516,16.8,39.4,0.295,0.642,26.5,15.4,0.113
11.0,10.0,2023-12-17,N,North Carolina A&T,REG (Non-Conf),W,68.0,60.0,,26.0,66.0,0.394,4.0,18.0,0.222,22.0,48.0,0.458,0.424,12.0,17.0,0.706,16.0,17.0,33.0,13.0,9.0,3.0,14.0,20.0,22.0,52.0,0.423,3.0,17.0,0.176,19.0,35.0,0.543,0.452,13.0,18.0,0.722,8.0,21.0,29.0,8.0,4.0,4.0,14.0,19.0,98.1,86.6,69.3,0.258,0.273,0.459,53.2,50.0,13.0,8.6,0.424,15.9,43.2,0.182,0.452,18.8,32.0,0.25
12.0,12.0,2023-12-20,@,Gonzaga,REG (Non-Conf),L,76.0,100.0,,26.0,78.0,0.333,13.0,32.0,0.406,13.0,46.0,0.283,0.417,11.0,16.0,0.688,15.0,27.0,42.0,17.0,4.0,2.0,8.0,24.0,34.0,65.0,0.523,5.0,18.0,0.278,29.0,47.0,0.617,0.562,27.0,39.0,0.692,11.0,38.0,49.0,20.0,7.0,6.0,7.0,15.0,96.1,126.5,79.1,0.205,0.41,0.444,46.2,65.4,5.1,4.3,0.417,8.5,28.3,0.141,0.562,7.7,28.9,0.415
13.0,13.0,2023-12-29,@,Northwestern,REG (Non-Conf),L,63.0,74.0,,24.0,58.0,0.414,9.0,19.0,0.474,15.0,39.0,0.385,0.491,6.0,7.0,0.857,5.0,25.0,30.0,13.0,6.0,3.0,14.0,14.0,27.0,58.0,0.466,10.0,25.0,0.4,17.0,33.0,0.515,0.552,10.0,16.0,0.625,7.0,26.0,33.0,21.0,4.0,4.0,11.0,9.0,90.0,105.8,70.0,0.121,0.328,0.514,47.6,54.2,8.6,9.1,0.491,18.6,16.1,0.103,0.552,14.4,21.9,0.172
14.0,14.0,2024-01-06,,Alcorn State,REG (Conf),W,88.0,80.0,,32.0,64.0,0.5,8.0,27.0,0.296,24.0,37.0,0.649,0.563,16.0,20.0,0.8,15.0,21.0,36.0,17.0,2.0,5.0,10.0,15.0,30.0,72.0,0.417,2.0,17.0,0.118,28.0,55.0,0.509,0.431,18.0,23.0,0.783,15.0,18.0,33.0,9.0,7.0,0.0,5.0,15.0,124.4,113.1,70.7,0.313,0.422,0.599,52.2,53.1,2.8,9.1,0.563,12.0,45.5,0.25,0.431,5.7,41.7,0.25
15.0,15.0,2024-01-11,@,Alabama State,REG (Conf),W,73.0,63.0,,24.0,51.0,0.471,5.0,17.0,0.294,19.0,34.0,0.559,0.52,20.0,24.0,0.833,8.0,29.0,37.0,10.0,10.0,6.0,17.0,12.0,23.0,67.0,0.343,10.0,35.0,0.286,13.0,32.0,0.406,0.418,7.0,9.0,0.778,13.0,20.0,33.0,9.0,14.0,6.0,18.0,19.0,98.9,85.3,73.8,0.471,0.333,0.585,52.9,41.7,13.5,18.8,0.52,21.4,28.6,0.392,0.418,20.2,31.0,0.104
16.0,16.0,2024-01-13,@,Alabama A&M,REG (Conf),W,75.0,67.0,,22.0,59.0,0.373,8.0,22.0,0.364,14.0,37.0,0.378,0.441,23.0,32.0,0.719,14.0,21.0,35.0,9.0,6.0,3.0,11.0,24.0,19.0,47.0,0.404,4.0,12.0,0.333,15.0,35.0,0.429,0.447,25.0,33.0,0.758,7.0,23.0,30.0,7.0,2.0,5.0,13.0,25.0,107.2,95.8,69.9,0.542,0.373,0.505,53.8,40.9,8.6,8.6,0.441,12.9,37.8,0.39,0.447,17.2,25.0,0.532
17.0,17.0,2024-01-20,,Prairie View A&M,REG (Conf),L,62.0,71.0,,20.0,52.0,0.385,4.0,17.0,0.235,16.0,35.0,0.457,0.423,18.0,28.0,0.643,11.0,24.0,35.0,12.0,6.0,6.0,15.0,15.0,27.0,63.0,0.429,4.0,18.0,0.222,23.0,45.0,0.511,0.46,13.0,17.0,0.765,11.0,24.0,35.0,9.0,10.0,2.0,8.0,18.0,90.3,103.4,68.7,0.538,0.327,0.475,50.0,60.0,8.7,13.3,0.423,18.7,31.4,0.346,0.46,10.1,31.4,0.206
18.0,18.0,2024-01-22,,Texas Southern,REG (Conf),W,73.0,64.0,,23.0,58.0,0.397,5.0,19.0,0.263,18.0,39.0,0.462,0.44,22.0,25.0,0.88,7.0,26.0,33.0,15.0,12.0,6.0,14.0,22.0,21.0,56.0,0.375,5.0,20.0,0.25,16.0,36.0,0.444,0.42,17.0,25.0,0.68,8.0,21.0,29.0,6.0,8.0,6.0,14.0,21.0,96.8,84.9,75.4,0.431,0.328,0.522,53.2,65.2,15.9,16.7,0.44,16.7,25.0,0.379,0.42,17.1,23.5,0.304
