Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Johnson (FL),REG (Non-Conf),W,113.0,46.0,,43.0,84.0,0.512,8.0,30.0,0.267,35.0,54.0,0.648,0.56,19.0,25.0,0.76,19.0,37.0,56.0,22.0,23.0,5.0,16.0,17.0,16.0,58.0,0.276,5.0,17.0,0.294,11.0,41.0,0.268,0.319,9.0,17.0,0.529,6.0,18.0,24.0,6.0,9.0,0.0,31.0,22.0,122.9,50.0,92.0,0.298,0.357,0.589,70.0,51.2,25.0,12.2,0.56,14.3,51.4,0.226,0.319,31.9,14.0,0.155
2.0,2.0,2023-11-10,@,Xavier,REG (Non-Conf),L,56.0,79.0,,23.0,66.0,0.348,3.0,15.0,0.2,20.0,51.0,0.392,0.371,7.0,14.0,0.5,18.0,26.0,44.0,12.0,6.0,3.0,17.0,28.0,25.0,63.0,0.397,7.0,29.0,0.241,18.0,34.0,0.529,0.452,22.0,30.0,0.733,9.0,25.0,34.0,17.0,10.0,3.0,9.0,14.0,75.2,106.1,74.5,0.212,0.227,0.385,56.4,52.2,8.1,8.8,0.371,19.0,41.9,0.106,0.452,10.4,25.7,0.349
3.0,3.0,2023-11-14,,Georgia Southern,REG (Non-Conf),W,85.0,68.0,,29.0,52.0,0.558,9.0,18.0,0.5,20.0,34.0,0.588,0.644,18.0,25.0,0.72,8.0,25.0,33.0,13.0,9.0,7.0,15.0,22.0,21.0,60.0,0.35,7.0,26.0,0.269,14.0,34.0,0.412,0.408,19.0,27.0,0.704,10.0,12.0,22.0,7.0,10.0,4.0,10.0,20.0,118.3,94.6,71.9,0.481,0.346,0.665,60.0,44.8,12.5,20.6,0.644,19.0,40.0,0.346,0.408,12.1,28.6,0.317
4.0,4.0,2023-11-17,@,Pittsburgh,REG (Non-Conf),L,56.0,107.0,,17.0,52.0,0.327,1.0,15.0,0.067,16.0,37.0,0.432,0.337,21.0,25.0,0.84,3.0,26.0,29.0,4.0,4.0,5.0,14.0,26.0,33.0,72.0,0.458,15.0,35.0,0.429,18.0,37.0,0.486,0.563,26.0,35.0,0.743,16.0,31.0,47.0,24.0,7.0,8.0,5.0,20.0,73.4,140.3,76.3,0.481,0.288,0.438,38.2,23.5,5.2,13.5,0.337,18.0,8.8,0.404,0.563,5.3,38.1,0.361
5.0,5.0,2023-11-24,@,Robert Morris,REG (Non-Conf),W,74.0,65.0,,30.0,54.0,0.556,3.0,14.0,0.214,27.0,40.0,0.675,0.583,11.0,19.0,0.579,2.0,23.0,25.0,10.0,12.0,1.0,15.0,23.0,24.0,51.0,0.471,2.0,14.0,0.143,22.0,37.0,0.595,0.49,15.0,23.0,0.652,8.0,18.0,26.0,12.0,10.0,1.0,20.0,21.0,98.7,86.7,75.0,0.352,0.259,0.587,49.0,33.3,16.0,2.7,0.583,19.2,10.0,0.204,0.49,24.4,25.8,0.294
6.0,6.0,2023-11-25,N,FDU,REG (Non-Conf),W,91.0,90.0,,29.0,52.0,0.558,12.0,26.0,0.462,17.0,26.0,0.654,0.673,21.0,31.0,0.677,7.0,25.0,32.0,16.0,4.0,0.0,11.0,21.0,31.0,58.0,0.534,11.0,21.0,0.524,20.0,37.0,0.541,0.629,17.0,23.0,0.739,5.0,22.0,27.0,20.0,6.0,0.0,10.0,22.0,125.8,124.4,72.3,0.596,0.5,0.682,54.2,55.2,5.5,0.0,0.673,14.2,24.1,0.404,0.629,12.7,16.7,0.293
7.0,7.0,2023-11-29,,Campbell,REG (Non-Conf),W,62.0,48.0,,21.0,48.0,0.438,5.0,20.0,0.25,16.0,28.0,0.571,0.49,15.0,17.0,0.882,8.0,25.0,33.0,11.0,10.0,3.0,17.0,21.0,15.0,44.0,0.341,5.0,22.0,0.227,10.0,22.0,0.455,0.398,13.0,20.0,0.65,4.0,16.0,20.0,5.0,7.0,1.0,14.0,15.0,96.4,74.7,64.3,0.354,0.417,0.553,62.3,52.4,15.6,13.6,0.49,23.3,33.3,0.313,0.398,20.7,13.8,0.295
8.0,8.0,2023-12-02,@,Georgia Southern,REG (Non-Conf),W,81.0,79.0,,31.0,60.0,0.517,10.0,21.0,0.476,21.0,39.0,0.538,0.6,9.0,14.0,0.643,13.0,21.0,34.0,13.0,5.0,4.0,8.0,19.0,28.0,54.0,0.519,13.0,23.0,0.565,15.0,31.0,0.484,0.639,10.0,12.0,0.833,6.0,15.0,21.0,15.0,5.0,2.0,10.0,13.0,129.2,126.0,62.7,0.233,0.35,0.608,61.8,41.9,8.0,12.9,0.6,10.7,46.4,0.15,0.639,14.3,22.2,0.185
9.0,9.0,2023-12-06,@,UCF,REG (Non-Conf),L,52.0,94.0,,20.0,66.0,0.303,4.0,20.0,0.2,16.0,46.0,0.348,0.333,8.0,16.0,0.5,12.0,23.0,35.0,7.0,5.0,0.0,14.0,21.0,31.0,65.0,0.477,15.0,33.0,0.455,16.0,32.0,0.5,0.592,17.0,29.0,0.586,12.0,34.0,46.0,17.0,11.0,8.0,8.0,18.0,69.2,125.0,75.2,0.242,0.303,0.353,43.2,35.0,6.7,0.0,0.333,16.0,26.1,0.121,0.592,9.2,34.3,0.262
10.0,10.0,2023-12-11,@,South Carolina State,REG (Non-Conf),L,85.0,86.0,OT,26.0,53.0,0.491,7.0,20.0,0.35,19.0,33.0,0.576,0.557,26.0,36.0,0.722,9.0,19.0,28.0,11.0,12.0,2.0,16.0,26.0,33.0,75.0,0.44,7.0,24.0,0.292,26.0,51.0,0.51,0.487,13.0,23.0,0.565,26.0,17.0,43.0,20.0,6.0,3.0,16.0,28.0,111.1,112.4,68.0,0.679,0.377,0.606,39.4,42.3,15.7,3.9,0.557,18.6,34.6,0.491,0.487,15.7,57.8,0.173
11.0,11.0,2023-12-14,,Trinity Baptist,REG (Non-Conf),W,91.0,54.0,,34.0,76.0,0.447,3.0,24.0,0.125,31.0,52.0,0.596,0.467,20.0,30.0,0.667,23.0,34.0,57.0,12.0,9.0,8.0,15.0,18.0,18.0,55.0,0.327,1.0,16.0,0.063,17.0,39.0,0.436,0.336,17.0,24.0,0.708,4.0,15.0,19.0,4.0,9.0,3.0,12.0,22.0,116.2,68.9,78.3,0.395,0.316,0.504,75.0,35.3,11.5,20.5,0.467,14.3,60.5,0.263,0.336,15.3,10.5,0.309
12.0,12.0,2023-12-18,,Louisiana–Monroe,REG (Non-Conf),W,75.0,65.0,,22.0,49.0,0.449,8.0,14.0,0.571,14.0,35.0,0.4,0.531,23.0,33.0,0.697,8.0,23.0,31.0,14.0,11.0,4.0,15.0,22.0,22.0,60.0,0.367,4.0,18.0,0.222,18.0,42.0,0.429,0.4,17.0,27.0,0.63,12.0,20.0,32.0,13.0,5.0,3.0,18.0,23.0,99.7,86.4,75.3,0.673,0.286,0.58,49.2,63.6,14.6,9.5,0.531,18.8,28.6,0.469,0.4,19.8,34.3,0.283
13.0,13.0,2023-12-21,@,Purdue,REG (Non-Conf),L,57.0,100.0,,21.0,57.0,0.368,4.0,22.0,0.182,17.0,35.0,0.486,0.404,9.0,13.0,0.692,7.0,21.0,28.0,5.0,8.0,2.0,22.0,20.0,35.0,68.0,0.515,9.0,29.0,0.31,26.0,39.0,0.667,0.581,21.0,26.0,0.808,10.0,26.0,36.0,25.0,14.0,6.0,9.0,11.0,72.4,127.0,78.8,0.228,0.386,0.451,43.8,23.8,10.2,5.1,0.404,25.8,21.2,0.158,0.581,10.1,32.3,0.309
14.0,14.0,2023-12-30,,Erskine,REG (Non-Conf),W,79.0,52.0,,27.0,61.0,0.443,13.0,34.0,0.382,14.0,27.0,0.519,0.549,12.0,18.0,0.667,11.0,27.0,38.0,19.0,9.0,8.0,10.0,11.0,22.0,63.0,0.349,4.0,19.0,0.211,18.0,44.0,0.409,0.381,4.0,4.0,1.0,9.0,22.0,31.0,7.0,2.0,3.0,16.0,15.0,112.5,74.0,70.2,0.295,0.557,0.568,55.1,70.4,12.8,18.2,0.549,12.6,33.3,0.197,0.381,19.8,25.0,0.063
15.0,15.0,2024-01-04,@,Florida Gulf Coast,REG (Conf),L,70.0,80.0,,23.0,58.0,0.397,9.0,25.0,0.36,14.0,33.0,0.424,0.474,15.0,19.0,0.789,7.0,12.0,19.0,9.0,10.0,2.0,11.0,22.0,21.0,46.0,0.457,11.0,23.0,0.478,10.0,23.0,0.435,0.576,27.0,34.0,0.794,14.0,22.0,36.0,12.0,4.0,3.0,19.0,15.0,101.3,115.8,69.1,0.328,0.431,0.522,34.5,39.1,14.5,8.7,0.474,14.1,24.1,0.259,0.576,23.4,53.8,0.587
16.0,16.0,2024-01-06,@,Stetson,REG (Conf),L,55.0,71.0,,19.0,50.0,0.38,3.0,11.0,0.273,16.0,39.0,0.41,0.41,14.0,18.0,0.778,8.0,19.0,27.0,5.0,6.0,3.0,12.0,16.0,24.0,53.0,0.453,11.0,26.0,0.423,13.0,27.0,0.481,0.557,12.0,14.0,0.857,7.0,21.0,28.0,16.0,7.0,2.0,12.0,19.0,86.5,111.6,63.6,0.36,0.22,0.47,49.1,26.3,9.4,11.1,0.41,17.0,27.6,0.28,0.557,16.7,26.9,0.226
17.0,17.0,2024-01-12,@,North Florida,REG (Conf),L,74.0,82.0,,30.0,62.0,0.484,3.0,14.0,0.214,27.0,48.0,0.563,0.508,11.0,16.0,0.688,14.0,19.0,33.0,13.0,2.0,2.0,10.0,21.0,28.0,47.0,0.596,7.0,18.0,0.389,21.0,29.0,0.724,0.67,19.0,25.0,0.76,2.0,12.0,14.0,12.0,4.0,5.0,5.0,15.0,116.1,128.7,63.7,0.258,0.226,0.532,70.2,43.3,3.1,6.9,0.508,12.6,53.8,0.177,0.67,7.8,9.5,0.404
18.0,18.0,2024-01-18,,Queens (NC),REG (Conf),W,79.0,77.0,,22.0,53.0,0.415,6.0,19.0,0.316,16.0,34.0,0.471,0.472,29.0,40.0,0.725,12.0,36.0,48.0,6.0,5.0,4.0,21.0,28.0,25.0,63.0,0.397,6.0,19.0,0.316,19.0,44.0,0.432,0.444,21.0,43.0,0.488,14.0,24.0,38.0,6.0,16.0,2.0,9.0,28.0,99.1,96.6,79.7,0.755,0.358,0.549,55.8,27.3,6.3,9.1,0.472,22.6,33.3,0.547,0.444,9.7,28.0,0.333
19.0,19.0,2024-01-20,,Kennesaw State,REG (Conf),L,79.0,83.0,,26.0,56.0,0.464,10.0,19.0,0.526,16.0,37.0,0.432,0.554,17.0,21.0,0.81,8.0,22.0,30.0,10.0,8.0,7.0,10.0,17.0,31.0,62.0,0.5,9.0,25.0,0.36,22.0,37.0,0.595,0.573,12.0,17.0,0.706,8.0,19.0,27.0,12.0,4.0,3.0,11.0,19.0,112.0,117.7,70.5,0.375,0.339,0.599,52.6,38.5,11.3,18.9,0.554,13.2,29.6,0.304,0.573,13.6,26.7,0.194
20.0,20.0,2024-01-25,@,Eastern Kentucky,REG (Conf),L,59.0,75.0,,24.0,60.0,0.4,4.0,15.0,0.267,20.0,45.0,0.444,0.433,7.0,10.0,0.7,9.0,23.0,32.0,12.0,8.0,4.0,16.0,17.0,27.0,60.0,0.45,8.0,19.0,0.421,19.0,41.0,0.463,0.517,13.0,22.0,0.591,9.0,23.0,32.0,19.0,10.0,4.0,10.0,10.0,82.4,104.7,71.6,0.167,0.25,0.456,50.0,50.0,11.2,9.8,0.433,19.8,28.1,0.117,0.517,12.4,28.1,0.217
21.0,21.0,2024-01-27,@,Bellarmine,REG (Conf),L,63.0,69.0,,22.0,49.0,0.449,7.0,24.0,0.292,15.0,25.0,0.6,0.52,12.0,16.0,0.75,4.0,21.0,25.0,8.0,6.0,2.0,12.0,19.0,23.0,48.0,0.479,7.0,16.0,0.438,16.0,32.0,0.5,0.552,16.0,19.0,0.842,5.0,19.0,24.0,18.0,5.0,3.0,9.0,13.0,100.3,109.9,62.8,0.327,0.49,0.557,51.0,36.4,9.6,6.3,0.52,17.5,17.4,0.245,0.552,13.6,19.2,0.333
22.0,22.0,2024-01-31,,Austin Peay,REG (Conf),W,63.0,43.0,,23.0,48.0,0.479,10.0,21.0,0.476,13.0,27.0,0.481,0.583,7.0,8.0,0.875,9.0,23.0,32.0,14.0,3.0,3.0,11.0,11.0,17.0,50.0,0.34,5.0,26.0,0.192,12.0,24.0,0.5,0.39,4.0,9.0,0.444,8.0,13.0,21.0,6.0,8.0,3.0,9.0,14.0,115.5,78.8,54.5,0.167,0.438,0.608,60.4,60.9,5.5,12.5,0.583,17.5,40.9,0.146,0.39,14.2,25.8,0.08
23.0,23.0,2024-02-03,@,Lipscomb,REG (Conf),L,82.0,84.0,,32.0,66.0,0.485,9.0,22.0,0.409,23.0,44.0,0.523,0.553,9.0,15.0,0.6,16.0,18.0,34.0,13.0,6.0,5.0,13.0,22.0,28.0,51.0,0.549,9.0,18.0,0.5,19.0,33.0,0.576,0.637,19.0,22.0,0.864,3.0,16.0,19.0,17.0,6.0,3.0,11.0,14.0,117.5,120.4,69.8,0.227,0.333,0.561,64.2,40.6,8.6,15.2,0.553,15.1,50.0,0.136,0.637,15.2,14.3,0.373
24.0,24.0,2024-02-08,,Central Arkansas,REG (Conf),W,59.0,55.0,,22.0,57.0,0.386,6.0,20.0,0.3,16.0,37.0,0.432,0.439,9.0,13.0,0.692,7.0,23.0,30.0,8.0,5.0,2.0,8.0,16.0,17.0,49.0,0.347,4.0,17.0,0.235,13.0,32.0,0.406,0.388,17.0,21.0,0.81,5.0,25.0,30.0,9.0,5.0,6.0,11.0,11.0,91.4,85.2,64.6,0.228,0.351,0.467,50.0,36.4,7.7,6.3,0.439,11.2,21.9,0.158,0.388,15.7,17.9,0.347
25.0,25.0,2024-02-10,,North Alabama,REG (Conf),W,67.0,63.0,,22.0,61.0,0.361,3.0,21.0,0.143,19.0,40.0,0.475,0.385,20.0,30.0,0.667,18.0,23.0,41.0,8.0,6.0,1.0,6.0,20.0,19.0,51.0,0.373,7.0,19.0,0.368,12.0,32.0,0.375,0.441,18.0,25.0,0.72,6.0,19.0,25.0,7.0,1.0,3.0,8.0,23.0,104.6,98.3,64.1,0.492,0.344,0.445,62.1,36.4,9.4,3.1,0.385,7.4,48.6,0.328,0.441,11.3,20.7,0.353
26.0,26.0,2024-02-14,@,Kennesaw State,REG (Conf),L,61.0,66.0,,24.0,61.0,0.393,6.0,20.0,0.3,18.0,41.0,0.439,0.443,7.0,18.0,0.389,12.0,22.0,34.0,10.0,10.0,1.0,14.0,22.0,21.0,55.0,0.382,4.0,21.0,0.19,17.0,34.0,0.5,0.418,20.0,25.0,0.8,12.0,27.0,39.0,8.0,8.0,6.0,16.0,17.0,85.7,92.7,71.2,0.295,0.328,0.439,46.6,41.7,14.0,2.9,0.443,16.8,30.8,0.115,0.418,19.3,35.3,0.364
27.0,27.0,2024-02-16,@,Queens (NC),REG (Conf),L,65.0,74.0,,24.0,65.0,0.369,7.0,28.0,0.25,17.0,37.0,0.459,0.423,10.0,14.0,0.714,12.0,21.0,33.0,6.0,9.0,3.0,14.0,22.0,24.0,53.0,0.453,9.0,23.0,0.391,15.0,30.0,0.5,0.538,17.0,25.0,0.68,9.0,23.0,32.0,11.0,11.0,3.0,14.0,16.0,90.6,103.1,71.8,0.215,0.431,0.454,50.8,25.0,12.5,10.0,0.423,16.3,34.3,0.154,0.538,17.7,30.0,0.321
28.0,28.0,2024-02-23,,North Florida,REG (Conf),W,62.0,50.0,,22.0,59.0,0.373,4.0,14.0,0.286,18.0,45.0,0.4,0.407,14.0,21.0,0.667,12.0,28.0,40.0,8.0,14.0,1.0,9.0,14.0,13.0,44.0,0.295,8.0,34.0,0.235,5.0,10.0,0.5,0.386,16.0,17.0,0.941,1.0,25.0,26.0,5.0,5.0,3.0,20.0,17.0,90.5,73.0,68.5,0.356,0.237,0.449,60.6,36.4,20.4,10.0,0.407,11.5,32.4,0.237,0.386,27.7,3.4,0.364
29.0,29.0,2024-02-28,,Stetson,REG (Conf),L,73.0,86.0,,28.0,61.0,0.459,8.0,18.0,0.444,20.0,43.0,0.465,0.525,9.0,14.0,0.643,14.0,15.0,29.0,16.0,3.0,0.0,9.0,16.0,29.0,52.0,0.558,13.0,27.0,0.481,16.0,25.0,0.64,0.683,15.0,17.0,0.882,6.0,19.0,25.0,16.0,7.0,4.0,6.0,16.0,119.0,140.2,61.4,0.23,0.295,0.54,53.7,57.1,4.9,0.0,0.525,11.7,42.4,0.148,0.683,9.1,28.6,0.288
30.0,30.0,2024-03-01,,Florida Gulf Coast,REG (Conf),L,57.0,59.0,,22.0,55.0,0.4,5.0,15.0,0.333,17.0,40.0,0.425,0.445,8.0,15.0,0.533,13.0,14.0,27.0,8.0,9.0,3.0,11.0,14.0,22.0,45.0,0.489,7.0,19.0,0.368,15.0,26.0,0.577,0.567,8.0,9.0,0.889,5.0,21.0,26.0,6.0,6.0,3.0,14.0,14.0,96.3,99.7,59.2,0.273,0.273,0.459,50.9,36.4,15.2,11.5,0.445,15.0,38.2,0.145,0.567,22.1,26.3,0.178
