Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Michigan State,REG (Non-Conf),W,79.0,76.0,OT,25.0,68.0,0.368,8.0,29.0,0.276,17.0,39.0,0.436,0.426,21.0,28.0,0.75,10.0,35.0,45.0,14.0,5.0,4.0,15.0,32.0,26.0,72.0,0.361,1.0,20.0,0.05,25.0,52.0,0.481,0.368,23.0,37.0,0.622,14.0,29.0,43.0,13.0,8.0,5.0,11.0,21.0,91.4,87.9,76.8,0.412,0.426,0.486,51.1,56.0,5.8,7.7,0.426,15.6,25.6,0.309,0.368,10.9,28.6,0.319
2.0,2.0,2023-11-09,@,Kent State,REG (Non-Conf),W,113.0,108.0,2OT,36.0,77.0,0.468,17.0,35.0,0.486,19.0,42.0,0.452,0.578,24.0,36.0,0.667,6.0,33.0,39.0,24.0,10.0,3.0,11.0,32.0,31.0,75.0,0.413,11.0,28.0,0.393,20.0,47.0,0.426,0.487,35.0,48.0,0.729,10.0,33.0,43.0,22.0,4.0,4.0,16.0,29.0,111.4,106.5,81.2,0.468,0.455,0.6,47.6,66.7,9.9,6.4,0.578,10.5,15.4,0.312,0.487,14.1,23.3,0.467
3.0,3.0,2023-11-12,,Howard,REG (Non-Conf),W,107.0,86.0,,37.0,69.0,0.536,11.0,20.0,0.55,26.0,49.0,0.531,0.616,22.0,29.0,0.759,12.0,17.0,29.0,18.0,14.0,5.0,10.0,19.0,29.0,61.0,0.475,7.0,18.0,0.389,22.0,43.0,0.512,0.533,21.0,27.0,0.778,12.0,18.0,30.0,6.0,6.0,2.0,19.0,21.0,132.4,106.4,80.8,0.42,0.29,0.646,49.2,48.6,17.3,11.6,0.616,10.8,40.0,0.319,0.533,20.5,41.4,0.344
4.0,4.0,2023-11-17,,Radford,REG (Non-Conf),W,76.0,73.0,,27.0,62.0,0.435,6.0,24.0,0.25,21.0,38.0,0.553,0.484,16.0,21.0,0.762,12.0,19.0,31.0,12.0,11.0,3.0,9.0,11.0,30.0,59.0,0.508,7.0,19.0,0.368,23.0,40.0,0.575,0.568,6.0,8.0,0.75,10.0,25.0,35.0,12.0,6.0,0.0,16.0,18.0,110.3,106.0,68.9,0.339,0.387,0.528,47.0,44.4,16.0,7.5,0.484,11.1,32.4,0.258,0.568,20.3,34.5,0.102
5.0,5.0,2023-11-21,N,Southern Illinois,REG (Non-Conf),W,82.0,76.0,,31.0,59.0,0.525,5.0,13.0,0.385,26.0,46.0,0.565,0.568,15.0,28.0,0.536,9.0,22.0,31.0,10.0,7.0,5.0,12.0,21.0,22.0,49.0,0.449,9.0,24.0,0.375,13.0,25.0,0.52,0.541,23.0,28.0,0.821,5.0,22.0,27.0,8.0,5.0,1.0,14.0,25.0,111.9,103.7,73.3,0.475,0.22,0.567,53.4,32.3,9.5,20.0,0.568,14.2,29.0,0.254,0.541,18.3,18.5,0.469
6.0,6.0,2023-11-22,N,Fresno State,REG (Non-Conf),W,95.0,64.0,,36.0,64.0,0.563,10.0,23.0,0.435,26.0,41.0,0.634,0.641,13.0,16.0,0.813,9.0,20.0,29.0,16.0,7.0,4.0,10.0,16.0,26.0,63.0,0.413,3.0,14.0,0.214,23.0,49.0,0.469,0.437,9.0,16.0,0.563,12.0,18.0,30.0,9.0,7.0,2.0,18.0,13.0,127.3,85.8,74.6,0.25,0.359,0.663,49.2,44.4,9.4,8.2,0.641,12.3,33.3,0.203,0.437,20.3,37.5,0.143
7.0,7.0,2023-11-29,,Buffalo,REG (Non-Conf),W,81.0,66.0,,31.0,64.0,0.484,10.0,27.0,0.37,21.0,37.0,0.568,0.563,9.0,15.0,0.6,11.0,22.0,33.0,19.0,10.0,3.0,8.0,13.0,24.0,53.0,0.453,9.0,26.0,0.346,15.0,27.0,0.556,0.538,9.0,14.0,0.643,7.0,19.0,26.0,8.0,5.0,5.0,18.0,13.0,116.7,95.1,69.4,0.234,0.422,0.569,55.9,61.3,14.4,11.1,0.563,10.1,36.7,0.141,0.538,23.2,24.1,0.17
8.0,8.0,2023-12-03,,Keystone,REG (Non-Conf),W,130.0,59.0,,53.0,88.0,0.602,12.0,32.0,0.375,41.0,56.0,0.732,0.67,12.0,14.0,0.857,19.0,46.0,65.0,25.0,16.0,6.0,17.0,7.0,23.0,71.0,0.324,10.0,29.0,0.345,13.0,42.0,0.31,0.394,3.0,4.0,0.75,1.0,15.0,16.0,12.0,9.0,1.0,20.0,10.0,140.9,63.9,92.3,0.159,0.364,0.687,80.2,47.2,17.3,14.3,0.67,15.2,55.9,0.136,0.394,21.5,2.1,0.042
9.0,9.0,2023-12-09,@,Old Dominion,REG (Non-Conf),W,84.0,69.0,,34.0,63.0,0.54,9.0,24.0,0.375,25.0,39.0,0.641,0.611,7.0,11.0,0.636,10.0,31.0,41.0,19.0,5.0,7.0,14.0,13.0,26.0,72.0,0.361,4.0,22.0,0.182,22.0,50.0,0.44,0.389,13.0,20.0,0.65,14.0,19.0,33.0,6.0,7.0,2.0,6.0,12.0,115.3,94.7,72.9,0.175,0.381,0.616,55.4,55.9,6.9,14.0,0.611,17.0,34.5,0.111,0.389,6.9,31.1,0.181
10.0,10.0,2023-12-16,@,Hampton,REG (Non-Conf),W,88.0,71.0,,36.0,76.0,0.474,12.0,32.0,0.375,24.0,44.0,0.545,0.553,4.0,9.0,0.444,11.0,27.0,38.0,22.0,7.0,3.0,8.0,19.0,25.0,58.0,0.431,8.0,20.0,0.4,17.0,38.0,0.447,0.5,13.0,19.0,0.684,10.0,27.0,37.0,16.0,2.0,6.0,16.0,15.0,117.1,94.5,75.2,0.118,0.421,0.548,50.7,61.1,9.3,7.9,0.553,9.1,28.9,0.053,0.5,19.3,27.0,0.224
